piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00024542,0.00029322,0.0045159,0.00025929,0.0014324,0.0028242,0.0019324,0.00041833,0.00023157,0,-1.6033e-05,0.00079362,0.0012196,0.0006117,0.00062948,0.00030685,0.00051134,0.00077275,0.0012729,0.00030638,0.00014498,0,0,0,0,0,0,0.01
0.00016896,0.00016004,0.0033155,0.00016726,0.0010064,0.0021418,-8.9824e-05,0.00024016,0.0001635,0,-2.7641e-05,0.0013682,0.0010575,0.00043021,0.00045909,0.00023198,0.00041016,0.00062984,0.0012137,0.00048227,0.00024734,0,0,0,0,0,0,0.008
0.00011392,9.8176e-05,0.0024874,0.00011978,0.00071735,0.0016503,-0.00022308,0.00012509,0.00011314,0,-3.6051e-05,0.0017845,0.00093153,0.00031516,0.00033199,0.00017322,0.00033945,0.00052785,0.0010668,0.00057388,0.00031818,0,0,0,0,0,0,0.0064
7.3345e-05,5.7306e-05,0.001873,8.4873e-05,0.00051336,0.0012748,-0.00019813,5.1415e-05,7.5118e-05,0,-4.1958e-05,0.0020769,0.00082531,0.00022705,0.000237,0.0001272,0.0002853,0.0004523,0.00093625,0.00061154,0.00036521,0,0,0,0,0,0,0.00512
4.3433e-05,2.8795e-05,0.0014117,5.7895e-05,0.00036838,0.00098545,-0.00016649,5.3508e-06,4.6443e-05,0,-4.5894e-05,0.0022718,0.00073462,0.00015815,0.00016592,9.1264e-05,0.00024295,0.00039516,0.00082658,0.00061546,0.00039429,0,0,0,0,0,0,0.004096
2.148e-05,8.9007e-06,0.001064,3.7005e-05,0.00026505,0.0007619,-0.00014003,-2.2411e-05,2.4929e-05,0,-4.8291e-05,0.0023904,0.00065682,0.0001044,0.00011272,6.3302e-05,0.00020939,0.00035102,0.00073434,0.00059905,0.00040989,0,0,0,0,0,0,0.0032768
5.4882e-06,-4.8356e-06,0.00080103,2.0909e-05,0.0001912,0.00058892,-0.00011857,-3.817e-05,8.9096e-06,0,-4.9493e-05,0.0024499,0.0005898,6.2702e-05,7.2949e-05,4.1642e-05,0.00018246,0.00031611,0.00065624,0.00057109,0.00041547,0,0,0,0,0,0,0.0026214
-6.035e-06,-1.4158e-05,0.00060179,8.5969e-06,0.00013828,0.00045491,-0.00010114,-4.6176e-05,-2.8941e-06,0,-4.9777e-05,0.0024639,0.00053178,3.0596e-05,4.3277e-05,2.4959e-05,0.00016057,0.00028781,0.00058962,0.00053727,0.00041366,0,0,0,0,0,0,0.0020972
-1.4207e-05,-2.0318e-05,0.00045051,-7.3072e-07,0.00010024,0.00035099,-8.6908e-05,-4.9275e-05,-1.1465e-05,0,-4.9364e-05,0.0024435,0.00048133,6.1069e-06,2.1234e-05,1.2202e-05,0.00014255,0.00026428,0.00053238,0.00050118,0.00040648,0,0,0,0,0,0,0.0016777
-1.9866e-05,-2.4215e-05,0.00033547,-7.7078e-06,7.2812e-05,0.00027036,-7.5225e-05,-4.9359e-05,-1.7562e-05,0,-4.8431e-05,0.0023973,0.00043723,-1.2348e-05,4.9652e-06,2.5356e-06,0.00012753,0.00024425,0.00048283,0.00046503,0.00039549,0,0,0,0,0,0,0.0013422
-2.3645e-05,-2.6498e-05,0.0002479,-1.2837e-05,5.2964e-05,0.00020777,-6.5576e-05,-4.767e-05,-2.1768e-05,0,-4.7118e-05,0.0023323,0.00039848,-2.6035e-05,-6.9255e-06,-4.7006e-06,0.00011486,0.00022682,0.00043963,0.00043012,0.00038186,0,0,0,0,0,0,0.0010737
-2.602e-05,-2.7634e-05,0.00018122,-1.6518e-05,3.8555e-05,0.00015919,-5.7555e-05,-4.5016e-05,-2.4537e-05,0,-4.5534e-05,0.0022539,0.00036427,-3.597e-05,-1.5493e-05,-1.0031e-05,0.00010405,0.00021138,0.00040172,0.00039715,0.00036649,0,0,0,0,0,0,0.00085899
-2.7351e-05,-2.7963e-05,0.00013047,-1.9068e-05,2.8056e-05,0.00012148,-5.0844e-05,-4.191e-05,-2.6215e-05,0,-4.3766e-05,0.0021664,0.00033391,-4.296e-05,-2.1537e-05,-1.3872e-05,9.4721e-05,0.00019747,0.00036823,0.00036645,0.00035008,0,0,0,0,0,0,0.00068719
-2.7913e-05,-2.773e-05,9.1878e-05,-2.0737e-05,2.0379e-05,9.2236e-05,-4.5191e-05,-3.8669e-05,-2.7073e-05,0,-4.1882e-05,0.0020732,0.00030683,-4.7652e-05,-2.5665e-05,-1.6552e-05,8.6593e-05,0.0001848,0.00033847,0.00033813,0.00033313,0,0,0,0,0,0,0.00054976
-2.7911e-05,-2.7111e-05,6.2595e-05,-2.1725e-05,1.4748e-05,6.9573e-05,-4.0396e-05,-3.5484e-05,-2.732e-05,0,-3.9935e-05,0.0019768,0.00028258,-5.0559e-05,-2.8343e-05,-1.8332e-05,7.9446e-05,0.00017314,0.00031186,0.00031215,0.00031603,0,0,0,0,0,0,0.0004398
-2.7503e-05,-2.6235e-05,4.0447e-05,-2.219e-05,1.0603e-05,5.2034e-05,-3.63e-05,-3.2462e-05,-2.7115e-05,0,-3.7964e-05,0.0018792,0.00026075,-5.2091e-05,-2.9926e-05,-1.9417e-05,7.3109e-05,0.00016234,0.00028795,0.00028837,0.00029905,0,0,0,0,0,0,0.00035184
-2.6806e-05,-2.5196e-05,2.3774e-05,-2.2256e-05,7.5439e-06,3.8486e-05,-3.2777e-05,-2.9656e-05,-2.6583e-05,0,-3.6001e-05,0.0017821,0.00024103,-5.2571e-05,-3.0685e-05,-1.997e-05,6.745e-05,0.00015227,0.00026636,0.00026665,0.00028241,0,0,0,0,0,0,0.00028147
-2.5911e-05,-2.4058e-05,1.1303e-05,-2.2023e-05,5.2813e-06,2.8045e-05,-2.9726e-05,-2.7087e-05,-2.5819e-05,0,-3.4069e-05,0.0016864,0.00022315,-5.2256e-05,-3.0831e-05,-2.012e-05,6.2363e-05,0.00014286,0.00024678,0.00024681,0.00026624,0,0,0,0,0,0,0.00022518
-2.4886e-05,-2.2872e-05,2.0596e-06,-2.1567e-05,3.6049e-06,2.0022e-05,-2.7064e-05,-2.4754e-05,-2.4896e-05,0,-3.2184e-05,0.0015931,0.00020687,-5.135e-05,-3.0524e-05,-1.9967e-05,5.7764e-05,0.00013404,0.00022895,0.00022868,0.00025066,0,0,0,0,0,0,0.00018014
-2.378e-05,-2.167e-05,-4.7083e-06,-2.0951e-05,2.3622e-06,1.3881e-05,-2.4728e-05,-2.2648e-05,-2.3868e-05,0,-3.0358e-05,0.0015027,0.000192,-5.0011e-05,-2.9887e-05,-1.9591e-05,5.3586e-05,0.00012576,0.00021266,0.0002121,0.00023571,0,0,0,0,0,0,0.00014412
