piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.0013923,-0.0012268,-0.011881,0.00048781,-0.00026475,-0.012104,-0.0036711,-0.00071889,-0.001444,0,-3.1868e-05,0.0015774,0.0021702,0.00073204,9.8769e-05,9.2922e-05,-0.00064,0.0026304,-0.0024181,-0.00052651,-0.00090406,0,0,0,0,0.01,0,0
-0.00098273,-0.00077199,-0.0080516,0.00041853,0.00016897,-0.0086391,0.00037662,-0.00036612,-0.001031,0,-5.5602e-05,0.0027523,0.0018701,0.00065694,0.00014907,0.00015927,-0.00043978,0.0032319,-0.00217,-0.00079465,-0.0015495,0,0,0,0,0.009,0,0
-0.00067073,-0.00050213,-0.0053033,0.00031209,0.00039468,-0.0060101,0.0006049,-0.00014597,-0.0007118,0,-7.2338e-05,0.0035807,0.0015977,0.00053632,0.00016912,0.00020507,-0.00030458,0.0035951,-0.0017716,-0.00090156,-0.0019952,0,0,0,0,0.0081,0,0
-0.00043191,-0.00030729,-0.0032511,0.00022292,0.00050666,-0.0039807,0.00051904,-1.1944e-05,-0.00046476,0,-8.3577e-05,0.0041371,0.0013688,0.00043282,0.00017077,0.00023498,-0.00020542,0.0037866,-0.0014297,-0.00091031,-0.0022861,0,0,0,0,0.00729,0,0
-0.00025012,-0.00016352,-0.0017199,0.00015205,0.00054843,-0.0024204,0.00042519,6.5581e-05,-0.00027481,0,-9.0562e-05,0.0044828,0.0011773,0.00034803,0.00016176,0.00025266,-0.00013199,0.0038522,-0.0011496,-0.00086228,-0.0024582,0,0,0,0,0.006561,0,0
-0.00011298,-5.8021e-05,-0.00058713,9.6427e-05,0.00054729,-0.0012308,0.00034668,0.00010649,-0.00013013,0,-9.4283e-05,0.004667,0.0010165,0.0002789,0.00014713,0.00026104,-7.766e-05,0.0038265,-0.00092129,-0.00078429,-0.0025397,0,0,0,0,0.0059049,0,0
-1.0773e-05,1.8447e-05,0.00024022,5.3198e-05,0.00052113,-0.0003341,0.0002825,0.00012415,-2.1323e-05,0,-9.5524e-05,0.0047285,0.00088104,0.00022257,0.00013007,0.00026241,-3.7632e-05,0.0037357,-0.00073521,-0.00069337,-0.002553,0,0,0,0,0.0053144,0,0
6.4129e-05,7.2846e-05,0.00083337,1.9972e-05,0.00048161,0.00033179,0.00023012,0.00012749,5.9168e-05,0,-9.4906e-05,0.0046979,0.0007665,0.00017668,0.00011255,0.0002586,-8.352e-06,0.0035997,-0.00058363,-0.0006,-0.002516,0,0,0,0,0.004783,0,0
0.00011775,0.00011049,0.0012472,-5.2139e-06,0.00043618,0.00081623,0.00018732,0.00012242,0.00011737,0,-9.2919e-05,0.0045995,0.00066931,0.00013933,9.5735e-05,0.00025105,1.2831e-05,0.0034336,-0.00046024,-0.00051034,-0.0024425,0,0,0,0,0.0043047,0,0
0.00015486,0.00013544,0.0015241,-2.3965e-05,0.00038947,0.0011586,0.00015235,0.00011277,0.00015813,0,-8.9947e-05,0.0044524,0.00058654,0.00010895,8.0241e-05,0.00024087,2.7902e-05,0.0032488,-0.0003599,-0.00042775,-0.0023435,0,0,0,0,0.0038742,0,0
0.00017921,0.00015082,0.001697,-3.7593e-05,0.00034425,0.0013903,0.00012374,0.00010101,0.00018529,0,-8.6292e-05,0.0042715,0.00051581,8.4278e-05,6.6363e-05,0.00022895,3.8359e-05,0.003054,-0.00027839,-0.00035377,-0.0022275,0,0,0,0,0.0034868,0,0
0.00019377,0.00015903,0.0017913,-4.7166e-05,0.00030205,0.0015364,0.00010033,8.8659e-05,0.00020196,0,-8.219e-05,0.0040684,0.00045515,6.4272e-05,5.4182e-05,0.00021595,4.5333e-05,0.0028554,-0.00021231,-0.00028883,-0.002101,0,0,0,0,0.0031381,0,0
0.00020089,0.00016191,0.0018269,-5.3549e-05,0.00026362,0.0016168,8.117e-05,7.6626e-05,0.00021057,0,-7.7821e-05,0.0038521,0.00040296,4.8086e-05,4.3655e-05,0.0002024,4.9684e-05,0.0026577,-0.00015884,-0.00023271,-0.0019692,0,0,0,0,0.0028243,0,0
0.00020243,0.0001609,0.0018191,-5.7443e-05,0.0002292,0.0016473,6.5493e-05,6.5422e-05,0.0002131,0,-7.3325e-05,0.0036296,0.00035788,3.5027e-05,3.4666e-05,0.00018869,5.2068e-05,0.0024644,-0.0001157,-0.0001848,-0.0018358,0,0,0,0,0.0025419,0,0
0.00019983,0.00015708,0.0017798,-5.9414e-05,0.00019876,0.0016405,5.2668e-05,5.5293e-05,0.00021109,0,-6.8807e-05,0.003406,0.00031883,2.4524e-05,2.707e-05,0.0001751,5.2987e-05,0.0022778,-8.1009e-05,-0.0001443,-0.0017036,0,0,0,0,0.0022877,0,0
0.00019425,0.00015131,0.0017183,-5.9917e-05,0.00017205,0.0016062,4.2179e-05,4.6327e-05,0.00020577,0,-6.4347e-05,0.0031852,0.00028487,1.6113e-05,2.0705e-05,0.00016186,5.2825e-05,0.0020996,-5.3226e-05,-0.00011037,-0.0015748,0,0,0,0,0.0020589,0,0
0.00018657,0.00014422,0.0016417,-5.9315e-05,0.00014879,0.0015522,3.3607e-05,3.8512e-05,0.0001981,0,-6.0002e-05,0.0029701,0.00025525,9.4117e-06,1.5414e-05,0.00014911,5.1875e-05,0.0019307,-3.1089e-05,-8.2167e-05,-0.0014508,0,0,0,0,0.001853,0,0
0.00017749,0.0001363,0.0015554,-5.7899e-05,0.00012861,0.0014846,2.6608e-05,3.178e-05,0.00018884,0,-5.5813e-05,0.0027627,0.00022932,4.1059e-06,1.1047e-05,0.00013696,5.0366e-05,0.0017717,-1.3563e-05,-5.8891e-05,-0.0013325,0,0,0,0,0.0016677,0,0
0.00016754,0.00012793,0.0014636,-5.5898e-05,0.00011117,0.0014083,2.0899e-05,2.6036e-05,0.00017856,0,-5.1807e-05,0.0025645,0.00020655,-6.139e-08,7.4704e-06,0.00012547,4.8469e-05,0.0016229,2.0279e-07,-3.9823e-05,-0.0012207,0,0,0,0,0.0015009,0,0
0.00015713,0.00011939,0.0013694,-5.3495e-05,9.6122e-05,0.0013268,1.6249e-05,2.1172e-05,0.00016772,0,-4.8004e-05,0.0023762,0.00018648,-3.3015e-06,4.5616e-06,0.00011468,4.6317e-05,0.0014842,1.0906e-05,-2.4317e-05,-0.0011157,0,0,0,0,0.0013509,0,0
0.00014657,0.00011089,0.0012752,-5.0831e-05,8.3167e-05,0.0012429,1.2468e-05,1.7078e-05,0.00015666,0,-4.4411e-05,0.0021984,0.00016875,-5.7877e-06,2.2152e-06,0.0001046,4.4012e-05,0.0013555,1.9118e-05,-1.1808e-05,-0.0010177,0,0,0,0,0.0012158,0,0
0.0001361,0.00010257,0.0011827,-4.8016e-05,7.2019e-05,0.0011587,9.4012e-06,1.3653e-05,0.00014564,0,-4.1035e-05,0.0020312,0.00015303,-7.6624e-06,3.3936e-07,9.5226e-05,4.163e-05,0.0012365,2.5311e-05,-1.8091e-06,-0.00092647,0,0,0,0,0.0010942,0,0
0.00012588,9.4532e-05,0.0010931,-4.5136e-05,6.243e-05,0.0010758,6.9196e-06,1.08e-05,0.00013485,0,-3.7873e-05,0.0018747,0.00013906,-9.0422e-06,-1.1445e-06,8.6548e-05,3.9229e-05,0.0011267,2.9869e-05,6.1011e-06,-0.00084204,0,0,0,0,0.00098477,0,0
0.00011603,8.6862e-05,0.0010073,-4.2254e-05,5.4181e-05,0.00099539,4.9182e-06,8.4355e-06,0.00012441,0,-3.4921e-05,0.0017286,0.00012659,-1.0023e-05,-2.3035e-06,7.8542e-05,3.685e-05,0.0010256,3.3108e-05,1.2279e-05,-0.00076415,0,0,0,0,0.00088629,0,0
0.00010664,7.9599e-05,0.00092585,-3.9418e-05,4.7081e-05,0.00091818,3.3103e-06,6.4834e-06,0.00011444,0,-3.2175e-05,0.0015926,0.00011545,-1.0683e-05,-3.1942e-06,7.1178e-05,3.4524e-05,0.00093288,3.5289e-05,1.7028e-05,-0.0006925,0,0,0,0,0.00079766,0,0
9.7747e-05,7.2771e-05,0.00084904,-3.6664e-05,4.0967e-05,0.00084474,2.0248e-06,4.8788e-06,0.00010498,0,-2.9624e-05,0.0014664,0.00010545,-1.1087e-05,-3.8645e-06,6.4422e-05,3.2275e-05,0.00084789,3.6622e-05,2.0601e-05,-0.00062678,0,0,0,0,0.0007179,0,0
8.9391e-05,6.6389e-05,0.00077706,-3.4017e-05,3.5696e-05,0.00077538,1.003e-06,3.5657e-06,9.6077e-05,0,-2.7261e-05,0.0013494,9.6473e-05,-1.1287e-05,-4.3544e-06,5.824e-05,3.0117e-05,0.00077012,3.7283e-05,2.3212e-05,-0.00056662,0,0,0,0,0.00064611,0,0
8.1582e-05,6.0453e-05,0.00070992,-3.1491e-05,3.1147e-05,0.00071027,1.9689e-07,2.4963e-06,8.7743e-05,0,-2.5075e-05,0.0012412,8.838e-05,-1.1326e-05,-4.6974e-06,5.2593e-05,2.806e-05,0.00069909,3.7413e-05,2.5041e-05,-0.00051169,0,0,0,0,0.0005815,0,0
7.4319e-05,5.4954e-05,0.00064758,-2.9099e-05,2.7216e-05,0.00064946,-4.3323e-07,1.6297e-06,7.9982e-05,0,-2.3055e-05,0.0011412,8.1072e-05,-1.124e-05,-4.9213e-06,4.7446e-05,2.6109e-05,0.00063428,3.7127e-05,2.6234e-05,-0.00046161,0,0,0,0,0.00052335,0,0
6.759e-05,4.9879e-05,0.00058989,-2.6846e-05,2.3815e-05,0.00059292,-9.1992e-07,9.317e-07,7.2783e-05,0,-2.1193e-05,0.001049,7.4458e-05,-1.1056e-05,-5.0493e-06,4.2763e-05,2.4268e-05,0.00057521,3.6521e-05,2.6917e-05,-0.00041605,0,0,0,0,0.00047101,0,0
6.1379e-05,4.521e-05,0.00053668,-2.4733e-05,2.0868e-05,0.00054054,-1.29e-06,3.7337e-07,6.6132e-05,0,-1.9476e-05,0.00096407,6.846e-05,-1.0799e-05,-5.1006e-06,3.8507e-05,2.2535e-05,0.00052144,3.5672e-05,2.719e-05,-0.00037464,0,0,0,0,0.00042391,0,0
5.5663e-05,4.0926e-05,0.00048772,-2.2759e-05,1.831e-05,0.00049217,-1.5654e-06,-6.9557e-08,6.0005e-05,0,-1.7896e-05,0.00088584,6.3011e-05,-1.0487e-05,-5.091e-06,3.4646e-05,2.091e-05,0.00047252,3.4641e-05,2.7139e-05,-0.00033707,0,0,0,0,0.00038152,0,0
5.0417e-05,3.7005e-05,0.00044279,-2.0921e-05,1.6087e-05,0.00044762,-1.7643e-06,-4.1735e-07,5.4377e-05,0,-1.6442e-05,0.00081388,5.8051e-05,-1.0135e-05,-5.0337e-06,3.1147e-05,1.9391e-05,0.00042807,3.3479e-05,2.6833e-05,-0.00030303,0,0,0,0,0.00034337,0,0
