piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00072565,0.0017394,0.010073,0.00030895,0.0029484,0.0068159,0.0055945,0.0015748,0.00065847,0,-2.3264e-05,0.0011516,0.00229,0.00087849,0.0011575,0.00060114,-0.00023763,0.00082377,0.003685,0.0011534,0.00041226,0,0,0,0,0,0.01,0
0.00050134,0.00038465,0.0071229,0.00016526,0.0018646,0.005093,-0.00018418,0.00091012,0.00046978,0,-4.1612e-05,0.0020598,0.0021051,0.00061611,0.00082641,0.00047438,-0.00026573,0.00049257,0.0035637,0.00182,0.00070637,0,0,0,0,0,0.0085,0
0.00033926,0.00020549,0.005157,0.0001202,0.001169,0.0038678,-0.00059172,0.00047523,0.00032894,0,-5.6533e-05,0.0027984,0.0019616,0.00047986,0.00058595,0.00037116,-0.00024655,0.00029217,0.003174,0.002168,0.00091231,0,0,0,0,0,0.007225,0
0.00021933,8.977e-05,0.0037344,8.9144e-05,0.00070793,0.0029373,-0.00054204,0.00019362,0.00022152,0,-6.8472e-05,0.0033894,0.001826,0.00037184,0.00041045,0.00028717,-0.00021387,0.00017377,0.0028169,0.0023098,0.001051,0,0,0,0,0,0.0061412,0
0.00013054,1.1526e-05,0.002692,6.3729e-05,0.00040411,0.0022242,-0.00046712,1.5482e-05,0.00013963,0,-7.7783e-05,0.0038502,0.0016969,0.00028129,0.00028176,0.0002189,-0.00017631,0.00010934,0.0025092,0.0023211,0.0011384,0,0,0,0,0,0.0052201,0
6.5078e-05,-4.0852e-05,0.001926,4.2529e-05,0.00020682,0.0016767,-0.00040217,-9.3175e-05,7.7485e-05,0,-8.4804e-05,0.0041978,0.0015749,0.00020535,0.00018698,0.00016353,-0.00013811,7.9967e-05,0.0022443,0.0022529,0.0011869,0,0,0,0,0,0.0044371,0
1.7142e-05,-7.5012e-05,0.0013624,2.4857e-05,8.1395e-05,0.0012562,-0.00034791,-0.00015563,3.065e-05,0,-8.9855e-05,0.0044478,0.0014605,0.00014201,0.00011692,0.00011873,-0.00010174,7.2701e-05,0.0020152,0.0021389,0.0012061,0,0,0,0,0,0.0037715,0
-1.7589e-05,-9.6341e-05,0.00094767,1.019e-05,4.0723e-06,0.00093341,-0.00030252,-0.00018779,-4.302e-06,0,-9.3226e-05,0.0046147,0.0013537,8.9521e-05,6.5e-05,8.2601e-05,-6.851e-05,7.87e-05,0.0018159,0.0020014,0.0012034,0,0,0,0,0,0.0032058,0
-4.2363e-05,-0.00010867,0.00064268,-1.9081e-06,-4.1386e-05,0.00068598,-0.00026435,-0.00020043,-3.0033e-05,0,-9.5181e-05,0.0047114,0.0012545,4.6347e-05,2.6472e-05,5.3589e-05,-3.907e-05,9.2004e-05,0.0016418,0.0018546,0.0011846,0,0,0,0,0,0.0027249,0
-5.9625e-05,-0.00011473,0.00041889,-1.1805e-05,-6.6023e-05,0.00049671,-0.00023209,-0.00020085,-4.8616e-05,0,-9.5953e-05,0.0047497,0.0011626,1.1123e-05,-2.0901e-06,3.0415e-05,-1.3603e-05,0.00010866,0.0014889,0.0017075,0.0011542,0,0,0,0,0,0.0023162,0
-7.1227e-05,-0.00011648,0.00025529,-1.9819e-05,-7.7308e-05,0.00035241,-0.00020469,-0.0001939,-6.1668e-05,0,-9.5748e-05,0.0047395,0.0010775,-1.7339e-05,-2.3182e-05,1.2027e-05,7.9803e-06,0.00012612,0.0013541,0.0015655,0.0011156,0,0,0,0,0,0.0019687,0
-7.8575e-05,-0.00011529,0.0001364,-2.622e-05,-8.0254e-05,0.00024288,-0.00018129,-0.00018282,-7.0455e-05,0,-9.4745e-05,0.0046899,0.00099884,-4.0075e-05,-3.8638e-05,-2.4431e-06,2.5927e-05,0.00014278,0.0012347,0.0014316,0.0010715,0,0,0,0,0,0.0016734,0
-8.2738e-05,-0.00011217,5.0774e-05,-3.1245e-05,-7.8194e-05,0.00016021,-0.00016122,-0.0001697,-7.5967e-05,0,-9.3101e-05,0.0046085,0.0009262,-5.798e-05,-4.981e-05,-1.3708e-05,4.0568e-05,0.0001577,0.0011285,0.0013073,0.0010239,0,0,0,0,0,0.0014224,0
-8.4532e-05,-0.00010779,-1.0108e-05,-3.5098e-05,-7.3318e-05,9.8307e-05,-0.00014393,-0.00015587,-7.8978e-05,0,-9.0948e-05,0.004502,0.00085914,-7.1825e-05,-5.7708e-05,-2.2355e-05,5.2266e-05,0.00017039,0.0010337,0.0011931,0.00097446,0,0,0,0,0,0.0012091,0
-8.4581e-05,-0.00010268,-5.259e-05,-3.7956e-05,-6.704e-05,5.2406e-05,-0.00012896,-0.00014217,-8.0098e-05,0,-8.8401e-05,0.0043759,0.00079723,-8.2274e-05,-6.3093e-05,-2.8872e-05,6.1388e-05,0.00018066,0.00094871,0.001089,0.00092432,0,0,0,0,0,0.0010277,0
