piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00029323,0.0003438,0.0048402,0.00023753,0.0014921,0.0031105,0.0021291,0.00048586,0.0002778,0,-1.3926e-05,0.00068936,0.0013009,0.00057247,0.0006202,0.00030388,0.00055553,0.00095628,0.0014024,0.00035584,0.00017393,0.01,0,0,0,0,0,0
0.0002106,0.0002007,0.0036857,0.00016186,0.0010919,0.002432,-2.5937e-05,0.00029395,0.00020419,0,-2.4797e-05,0.0012274,0.0011864,0.00042809,0.00047677,0.00024247,0.00046403,0.00078202,0.0013854,0.00057112,0.00030177,0.0085,0,0,0,0,0,0
0.00014916,0.00013146,0.0028747,0.00012633,0.00081646,0.0019319,-0.00018794,0.00016631,0.00014792,0,-3.3401e-05,0.0016533,0.0010935,0.00033844,0.00036634,0.00019193,0.0003993,0.00065528,0.0012616,0.00069292,0.00039438,0.007225,0,0,0,0,0,0
0.0001023,8.3861e-05,0.0022558,9.9046e-05,0.00061754,0.0015392,-0.00017821,8.1612e-05,0.00010398,0,-4.0095e-05,0.0019847,0.0010085,0.00026593,0.00028067,0.00015037,0.00034821,0.00056029,0.0011442,0.0007527,0.00045948,0.0061412,0,0,0,0,0,0
6.6478e-05,4.9265e-05,0.0017761,7.6454e-05,0.00047199,0.0012277,-0.00015731,2.6204e-05,6.9662e-05,0,-4.5167e-05,0.0022358,0.00093018,0.00020545,0.00021379,0.00011625,0.00030679,0.00048802,0.0010406,0.00077189,0.00050309,0.0052201,0,0,0,0,0,0
3.9137e-05,2.4002e-05,0.0014019,5.7626e-05,0.00036455,0.00097975,-0.00013866,-9.2661e-06,4.294e-05,0,-4.887e-05,0.002419,0.00085809,0.00015503,0.00016128,8.8291e-05,0.00027267,0.00043219,0.00094922,0.0007651,0.00052997,0.0044371,0,0,0,0,0,0
1.8352e-05,5.6232e-06,0.0011085,4.1966e-05,0.00028449,0.00078199,-0.00012283,-3.1237e-05,2.2238e-05,0,-5.1423e-05,0.0025455,0.00079185,0.00011316,0.00011985,6.5446e-05,0.00024417,0.00038832,0.00086832,0.00074222,0.0005439,0.0037715,0,0,0,0,0,0
2.6509e-06,-7.6422e-06,0.00087723,2.8988e-05,0.00022426,0.00062398,-0.00010936,-4.414e-05,6.3125e-06,0,-5.3021e-05,0.0026245,0.00073105,7.8568e-05,8.7051e-05,4.6837e-05,0.00022004,0.00035317,0.00079628,0.0007099,0.00054785,0.0032058,0,0,0,0,0,0
-9.1007e-06,-1.7098e-05,0.00069429,1.8282e-05,0.00017846,0.00049755,-9.7835e-05,-5.1016e-05,-5.8237e-06,0,-5.3829e-05,0.0026645,0.00067528,5.0133e-05,6.1027e-05,3.174e-05,0.00019936,0.00032442,0.00073184,0.00067253,0.0005442,0.0027249,0,0,0,0,0,0
-1.7779e-05,-2.3707e-05,0.00054906,9.4989e-06,0.00014326,0.0003963,-8.7907e-05,-5.394e-05,-1.4953e-05,0,-5.3991e-05,0.0026725,0.00062412,2.6909e-05,4.0359e-05,1.9551e-05,0.00018144,0.00030038,0.00067393,0.00063303,0.00053484,0.0023162,0,0,0,0,0,0
