piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.0016844,-0.0023763,-0.049487,0.0025899,-0.010215,-0.041863,-0.023211,-0.0036558,-0.0015259,0,0.0098336,0.013239,-0.0092774,0.0046285,0.00050227,9.8191e-05,-0.0058866,-0.025036,-0.015289,-0.0026775,-0.00095532,0,0.01,0,0,0,0,0
-0.00067694,-0.00057773,-0.030335,0.0021432,-0.0055067,-0.026972,0.0050295,-0.0012752,-0.00063195,0,0.0076223,0.022698,-0.0065775,0.0036256,0.00067747,0.00013886,-0.003835,-0.016658,-0.011976,-0.0036114,-0.001351,0,0.008,0,0,0,0,0
-5.5823e-05,0.00011054,-0.018054,0.0014553,-0.0027385,-0.016771,0.0058425,6.7035e-05,-6.6872e-05,0,0.0058769,0.029092,-0.0045701,0.0024605,0.00066826,0.00014316,-0.0024438,-0.010617,-0.0081278,-0.0035623,-0.0013928,0,0.0064,0,0,0,0,0
0.00031773,0.00046595,-0.009781,0.0009068,-0.0010822,-0.0096055,0.0046035,0.0007675,0.00028172,0,0.0045015,0.033174,-0.0029815,0.0015426,0.00056281,0.00012503,-0.0014487,-0.0062688,-0.0050955,-0.0030002,-0.0012165,0,0.00512,0,0,0,0,0
0.00052386,0.00063873,-0.0042606,0.00049532,-0.0001283,-0.0046277,0.003479,0.0010735,0.00048043,0,0.0034194,0.035539,-0.0017238,0.00084884,0.00041532,9.4116e-05,-0.00073565,-0.0031672,-0.0028039,-0.002214,-0.00091567,0,0.004096,0,0,0,0,0
0.00061778,0.00069783,-0.00066646,0.00019218,0.00038262,-0.0012413,0.0025954,0.0011452,0.00057633,0,0.0025697,0.036638,-0.00073599,0.0003313,0.00025798,5.7029e-05,-0.00022838,-0.00098398,-0.0010944,-0.0013752,-0.00055485,0,0.0032768,0,0,0,0,0
0.00063836,0.00068708,0.0015859,-2.7504e-05,0.00062023,0.00099319,0.0019126,0.0010855,0.00060332,0,0.0019041,0.036818,3.1792e-05,-5.0076e-05,0.00010884,1.8205e-05,0.00012822,0.00052461,0.00016541,-0.00058022,-0.00017712,0,0.0026214,0,0,0,0,0
0.0006128,0.00063568,0.0029125,-0.0001834,0.00069489,0.002401,0.0013871,0.00095916,0.00058571,0,0.0013842,0.03634,0.00062092,-0.00032667,-2.2936e-05,-1.9486e-05,0.00037448,0.0015396,0.0010791,0.00012227,0.00018958,0,0.0020972,0,0,0,0,0
0.00055997,0.00056294,0.0036089,-0.00029086,0.00067738,0.0032224,0.000984,0.00080611,0.00054075,0,0.00097947,0.035402,0.0010656,-0.00052289,-0.00013369,-5.4283e-05,0.00054004,0.0021956,0.0017272,0.00071266,0.00052813,0,0.0016777,0,0,0,0,0
0.00049277,0.00048142,0.0038843,-0.00036179,0.00061221,0.0036339,0.00067607,0.00064981,0.00048053,0,0.00066578,0.034153,0.001394,-0.0006577,-0.00022296,-8.5205e-05,0.00064671,0.0025922,0.0021725,0.0011886,0.00082898,0,0.0013422,0,0,0,0,0
0.00041985,0.00039901,0.0038861,-0.00040542,0.00052668,0.0037648,0.00044199,0.00050326,0.00041337,0,0.00042391,0.032703,0.0016291,-0.00074583,-0.00029211,-0.00011181,0.00071058,0.0028035,0.0024637,0.0015572,0.0010878,0,0.0010737,0,0,0,0,0
0.00034686,0.00032047,0.003717,-0.00042886,0.00043684,0.003709,0.00026516,0.00037289,0.00034486,0,0.00023865,0.031137,0.0017901,-0.00079871,-0.00034334,-0.000134,0.00074351,0.0028841,0.0026383,0.0018303,0.0013037,0,0.00085899,0,0,0,0,0
0.00027732,0.00024847,0.0034483,-0.00043755,0.00035162,0.0035342,0.00013266,0.00026108,0.00027862,0,9.7917e-05,0.029513,0.0018922,-0.00082516,-0.00037921,-0.00015193,0.00075428,0.0028742,0.0027257,0.0020215,0.0014781,0,0.00068719,0,0,0,0,0
0.0002133,0.00018429,0.0031284,-0.00043565,0.00027545,0.0032886,3.441e-05,0.00016785,0.00021688,0,-7.8545e-06,0.027877,0.001948,-0.00083203,-0.00040227,-0.00016588,0.00074935,0.0028032,0.0027484,0.0021444,0.0016139,0,0.00054976,0,0,0,0,0
0.00015585,0.0001283,0.0027898,-0.00042632,0.00021004,0.0030061,-3.7452e-05,9.1912e-05,0.00016087,0,-8.6243e-05,0.026259,0.0019677,-0.00082456,-0.0004149,-0.00017624,0.00073352,0.0026927,0.0027237,0.0022117,0.0017146,0,0.0004398,0,0,0,0,0
