regime,variable,eps_a1,eps_a2,eps_a3,eps_pF,eps_D,eps_pX,eps_rp
float,piDC,2.923543388,20.05632038,70.134127,0.2661353795,0.3143140615,0.6868730753,5.61868671
float,PIC,3.664495653,17.48651504,37.08795811,1.329548592,0.4489110092,0.7863886897,39.1961829
float,y_gap,1.05749601,2.09923401,0.922730446,2.601605556,1.067097853,1.067182285,91.18465384
float,y_gap1,18.14842689,0.1710725656,2.139662154,2.924831744,1.507616306,1.592872042,73.5155183
float,y_gap2,1.007408456,28.86147477,29.79578437,1.152094683,1.045206158,1.344753098,36.79327846
float,y_gap3,4.055332325,24.21485498,43.0688485,1.149140159,0.368168721,0.5896945429,26.55396078
float,PI1,73.19167374,3.170988836,11.58368369,0.333643913,0.07644921374,0.1450129465,11.49854766
float,PI2,3.122934691,60.14665572,21.98044366,0.5402125642,0.2773793102,0.5414053218,13.39096873
float,PI3,2.773190918,17.64600269,73.66176694,0.2304169305,0.3000826521,0.6601033286,4.72843654
float,I,0.7373998388,11.75440766,43.26929029,1.304968364,0.07361055292,0.0497893798,42.81053392
float,BSTAR,2.821170748,1.536329666,0.8519748155,4.809282011,1.100436078,1.509721528,87.37108515
peg,piDC,3.092954575,0.4284057821,34.49132148,8.918180277,1.011890718,1.575109167,50.482138
peg,PIC,1.276851532,2.766568183,17.22176179,20.86350935,0.83931012,1.251664104,55.78033491
peg,y_gap,1.772555321,1.142632591,6.232344695,4.441821152,0.9781805582,1.258670802,84.17379488
peg,y_gap1,10.01528861,0.08930816877,3.183858351,0.9194565226,0.6415170372,0.6338715466,84.51669977
peg,y_gap2,1.77362419,11.51588042,1.234153488,7.214552203,2.081283056,2.546223375,73.63428326
peg,y_gap3,0.9757685494,0.4193904731,8.990754256,3.047978451,0.5494363026,0.7346318795,85.28204009
peg,PI1,7.191151337,0.04067548529,1.953475478,4.346960338,0.5201679343,0.6245579583,85.32301147
peg,PI2,0.5662624178,30.86349921,1.966673453,9.917265125,0.690167733,0.9819268694,55.01420519
peg,PI3,3.363028997,0.4945204608,39.5880951,8.155854573,0.9856478768,1.550295356,45.86255764
peg,I,0.04515566758,0.027799303,0.05389262094,0.07503684494,0.01710380185,0.02324168876,99.75777007
peg,BSTAR,1.246976558,0.7676794744,1.488248066,2.072147121,0.4723225476,0.6418206748,93.31080556
managed,piDC,0.5282612472,5.4664171,82.6956538,6.414270514,0.1971047008,0.3032323679,4.395060267
managed,PIC,2.298748378,13.24232514,28.26464518,10.84715335,0.2382449659,0.3082854733,44.80059751
managed,y_gap,8.82191634,12.50724027,15.80935467,14.12800158,3.909985206,5.278766985,39.54473494
managed,y_gap1,15.60277217,0.1552195379,2.573421383,2.296323799,1.255770142,1.300778143,76.81571483
managed,y_gap2,2.702690769,50.53125932,29.51610486,5.736199725,3.059865508,3.948018958,4.505860861
managed,y_gap3,0.7519473338,2.424790278,26.71509703,3.801224462,0.5235689579,0.7635733699,65.01979857
managed,PI1,89.74800986,0.7414751955,2.948760823,3.204994718,0.06334250537,0.07066711909,3.222749783
managed,PI2,0.7374376504,88.28795726,3.894546,4.984224383,0.01631018382,0.02471483225,2.054809691
managed,PI3,0.6702993897,1.6095999,87.29141724,5.447019384,0.199161747,0.3074545794,4.475047763
managed,I,0.07158070278,2.411643098,12.44101078,1.928758704,0.2136702427,0.1771038354,82.75623263
managed,BSTAR,2.230138392,1.229992526,1.078857017,3.842395503,0.8820020967,1.197223791,89.53939067
