piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-2.3641e-05,-0.00017698,0.00026518,0.00011597,0.00029571,-0.0001465,0.00021309,-5.3618e-05,-2.1592e-05,-0.0018018,9.8112e-05,0.0009065,0.00041311,0.00049544,0.00040889,0.00015678,0.00031425,-0.00019904,0.00015385,-4.1048e-05,-1.554e-05,0,0,0,0,0,0,0.01
-3.2964e-05,-2.5849e-05,0.00021911,8.4741e-05,0.00023215,-9.7779e-05,-8.7679e-05,-6.0185e-05,-3.1066e-05,-0.0016866,6.0716e-05,0.0015709,0.00028942,0.00036315,0.0003052,0.00011521,0.00028129,-8.9267e-05,9.0547e-05,-8.7124e-05,-3.79e-05,0,0,0,0,0,0,0.008
-3.92e-05,-3.3075e-05,0.00018252,6.145e-05,0.0001823,-6.1226e-05,-0.00010087,-6.2137e-05,-3.7599e-05,-0.0015951,3.2788e-05,0.0020477,0.00018358,0.00026231,0.00022393,8.2545e-05,0.00025371,-6.0946e-06,1.7721e-05,-0.00013469,-6.4961e-05,0,0,0,0,0,0,0.0064
-4.3306e-05,-3.7366e-05,0.000153,4.3303e-05,0.00014327,-3.357e-05,-9.26e-05,-6.1737e-05,-4.2019e-05,-0.0015216,1.1658e-05,0.0023779,9.1647e-05,0.00018364,0.00016045,5.7002e-05,0.00022992,5.6229e-05,-4.9136e-05,-0.00018196,-9.5203e-05,0,0,0,0,0,0,0.00512
-4.5794e-05,-3.9911e-05,0.00012907,2.9159e-05,0.00011267,-1.2758e-05,-8.382e-05,-5.9935e-05,-4.4807e-05,-0.0014625,-4.1996e-06,0.0025944,1.132e-05,0.00012238,0.00011104,3.7131e-05,0.00020922,0.00010215,-0.00010965,-0.00022784,-0.00012745,0,0,0,0,0,0,0.004096
-4.7049e-05,-4.1196e-05,0.00010958,1.8189e-05,8.8633e-05,2.76e-06,-7.6015e-05,-5.7318e-05,-4.6332e-05,-0.0014148,-1.5942e-05,0.0027229,-5.9231e-05,7.4933e-05,7.2744e-05,2.1766e-05,0.00019107,0.00013521,-0.00016454,-0.00027172,-0.0001608,0,0,0,0,0,0,0.0032768
-4.7369e-05,-4.1554e-05,9.3648e-05,9.7375e-06,6.9728e-05,1.4182e-05,-6.9152e-05,-5.4271e-05,-4.6887e-05,-0.0013761,-2.4474e-05,0.0027839,-0.00012152,3.8443e-05,4.3228e-05,9.9763e-06,0.00017505,0.00015822,-0.00021446,-0.00031327,-0.00019454,0,0,0,0,0,0,0.0026214
-4.6989e-05,-4.1235e-05,8.0561e-05,3.2825e-06,5.484e-05,2.2438e-05,-6.31e-05,-5.1046e-05,-4.6705e-05,-0.0013447,-3.0509e-05,0.0027937,-0.00017678,1.0627e-05,2.0639e-05,1.0173e-06,0.00016083,0.0001734,-0.00026002,-0.00035235,-0.00022816,0,0,0,0,0,0,0.0020972
-4.6094e-05,-4.0429e-05,6.9758e-05,-1.5941e-06,4.3103e-05,2.825e-05,-5.774e-05,-4.7801e-05,-4.5973e-05,-0.001319,-3.4607e-05,0.002765,-0.00022606,-1.0336e-05,3.507e-06,-5.7059e-06,0.00014813,0.00018252,-0.00030171,-0.00038894,-0.00026125,0,0,0,0,0,0,0.0016777
-4.4825e-05,-3.9279e-05,6.0797e-05,-5.2256e-06,3.3842e-05,3.2181e-05,-5.2973e-05,-4.4635e-05,-4.4837e-05,-0.001298,-3.7211e-05,0.0027079,-0.0002702,-2.5898e-05,-9.3311e-06,-1.0668e-05,0.00013672,0.000187,-0.00033995,-0.00042311,-0.00029352,0,0,0,0,0,0,0.0013422
