piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00037001,-0.00073569,-0.00034142,-1.6072e-05,-0.0012176,0.00089222,-1.5433e-05,-0.0027895,-0.00020201,-0.00015693,-0.00073305,0.00029194,0.00091448,-2.3484e-05,0.00033103,2.195e-06,-7.2095e-05,0.0015811,-1.1142e-05,-0.0021356,-0.00014539,0,0,0,0.01,0,0,0
-0.00031377,-0.00059006,-0.00017056,-3.3156e-05,-0.00061854,0.00048113,-0.00042723,-0.0017822,-0.00021176,-0.00087681,-0.00056155,0.0005604,0.00040764,-7.2057e-05,0.00046462,-2.2547e-05,9.4447e-06,0.00146,-0.0003196,-0.0035,-0.0002978,0,0,0,0.009,0,0,0
-0.00026989,-0.00042959,-5.5644e-05,-4.2013e-05,-0.00022086,0.00020723,-0.00037783,-0.001091,-0.00021285,-0.0014215,-0.00043703,0.00080265,1.286e-05,-9.9757e-05,0.0005333,-3.8708e-05,6.4965e-05,0.0013473,-0.00059239,-0.0043352,-0.00045099,0,0,0,0.0081,0,0,0
-0.00023539,-0.00031562,1.9755e-05,-4.6914e-05,3.7697e-05,2.8972e-05,-0.00031271,-0.00062139,-0.00020857,-0.0018381,-0.00034668,0.0010156,-0.00030131,-0.000117,0.00055905,-4.8837e-05,0.00010137,0.0012428,-0.00081817,-0.0048109,-0.00060111,0,0,0,0.00729,0,0,0
-0.00020781,-0.00023506,6.7769e-05,-4.9245e-05,0.00020043,-8.3418e-05,-0.00026135,-0.00030626,-0.00020096,-0.002161,-0.00028063,0.0011984,-0.00055593,-0.00012722,0.00055696,-5.4775e-05,0.00012432,0.0011463,-0.0010069,-0.0050454,-0.00074575,0,0,0,0.006561,0,0,0
-0.00018534,-0.00017804,9.6947e-05,-4.9847e-05,0.00029762,-0.00015082,-0.00022191,-9.8319e-05,-0.00019138,-0.0024149,-0.00023186,0.0013516,-0.00076597,-0.00013252,0.0005374,-5.7817e-05,0.00013787,0.0010572,-0.0011671,-0.0051206,-0.00088349,0,0,0,0.0059049,0,0,0
-0.00016671,-0.00013757,0.00011327,-4.9298e-05,0.00035037,-0.0001878,-0.00019126,3.5589e-05,-0.00018076,-0.0026174,-0.00019538,0.0014769,-0.00094218,-0.00013439,0.00050746,-5.8876e-05,0.0001449,0.00097512,-0.0013052,-0.0050934,-0.0010136,0,0,0,0.0053144,0,0,0
-0.00015099,-0.00010873,0.00012093,-4.8001e-05,0.00037341,-0.00020449,-0.00016704,0.00011866,-0.00016972,-0.0027813,-0.0001677,0.0015764,-0.0010923,-0.00013386,0.00047193,-5.8592e-05,0.00014741,0.00089952,-0.0014258,-0.0050025,-0.0011357,0,0,0,0.004783,0,0,0
-0.00013752,-8.8056e-05,0.00012281,-4.6236e-05,0.00037693,-0.00020789,-0.00014755,0.00016709,-0.00015867,-0.0029158,-0.00014633,0.0016524,-0.0012221,-0.0001317,0.00043401,-5.7415e-05,0.00014684,0.00082993,-0.0015323,-0.0048746,-0.0012499,0,0,0,0.0043047,0,0,0
-0.0001258,-7.3118e-05,0.00012094,-4.4194e-05,0.00036798,-0.00020284,-0.0001316,0.00019217,-0.00014788,-0.0030276,-0.00012952,0.0017075,-0.0013356,-0.00012841,0.00039579,-5.5659e-05,0.00014419,0.00076589,-0.0016273,-0.0047275,-0.0013564,0,0,0,0.0038742,0,0,0
-0.00011549,-6.2208e-05,0.00011672,-4.201e-05,0.00035138,-0.00019265,-0.00011831,0.00020176,-0.00013752,-0.0031217,-0.00011604,0.0017442,-0.001436,-0.00012439,0.00035859,-5.3544e-05,0.00014017,0.00070696,-0.0017127,-0.004573,-0.0014554,0,0,0,0.0034868,0,0,0
-0.00010632,-5.4128e-05,0.00011108,-3.9773e-05,0.00033043,-0.00017957,-0.00010704,0.00020129,-0.00012769,-0.0032017,-0.00010499,0.0017646,-0.0015255,-0.0001199,0.00032322,-5.1221e-05,0.00013527,0.00065274,-0.00179,-0.0044189,-0.0015473,0,0,0,0.0031381,0,0,0
-9.8095e-05,-4.8037e-05,0.0001047,-3.7544e-05,0.00030735,-0.00016511,-9.7361e-05,0.00019448,-0.00011842,-0.0032703,-9.5752e-05,0.0017711,-0.0016059,-0.00011514,0.00029013,-4.8798e-05,0.00012985,0.00060284,-0.0018603,-0.0042701,-0.0016325,0,0,0,0.0028243,0,0,0
-9.0665e-05,-4.3346e-05,9.7987e-05,-3.5361e-05,0.00028359,-0.00015024,-8.8926e-05,0.0001839,-0.00010973,-0.0033297,-8.7882e-05,0.0017655,-0.0016786,-0.00011023,0.00025954,-4.6346e-05,0.00012414,0.00055692,-0.0019245,-0.0041293,-0.0017115,0,0,0,0.0025419,0,0,0
-8.3914e-05,-3.9644e-05,9.1245e-05,-3.3251e-05,0.00026012,-0.00013562,-8.1493e-05,0.00017127,-0.00010164,-0.0033814,-8.1059e-05,0.0017498,-0.0017446,-0.00010529,0.00023151,-4.3914e-05,0.00011833,0.00051465,-0.0019833,-0.0039982,-0.0017846,0,0,0,0.0022877,0,0,0
-7.7752e-05,-3.6642e-05,8.4655e-05,-3.1229e-05,0.00023752,-0.00012163,-7.4881e-05,0.00015774,-9.4109e-05,-0.0034266,-7.5051e-05,0.0017255,-0.0018048,-0.00010037,0.00020598,-4.1535e-05,0.00011252,0.00047573,-0.0020374,-0.0038774,-0.0018524,0,0,0,0.0020589,0,0,0
-7.2107e-05,-3.414e-05,7.8331e-05,-2.9303e-05,0.00021614,-0.00010851,-6.8951e-05,0.00014408,-8.7123e-05,-0.0034664,-6.9692e-05,0.001694,-0.0018598,-9.5529e-05,0.00018286,-3.923e-05,0.0001068,0.00043988,-0.0020872,-0.0037671,-0.0019151,0,0,0,0.001853,0,0,0
-6.6921e-05,-3.1997e-05,7.2341e-05,-2.7477e-05,0.00019617,-9.6355e-05,-6.3599e-05,0.00013076,-8.0651e-05,-0.0035016,-6.4859e-05,0.0016567,-0.0019103,-9.0802e-05,0.000162,-3.7012e-05,0.00010122,0.00040686,-0.0021331,-0.003667,-0.0019731,0,0,0,0.0016677,0,0,0
-6.2144e-05,-3.0116e-05,6.6717e-05,-2.5751e-05,0.00017769,-8.5222e-05,-5.8742e-05,0.00011808,-7.4663e-05,-0.0035326,-6.0463e-05,0.0016147,-0.0019566,-8.621e-05,0.00014325,-3.489e-05,9.5815e-05,0.00037643,-0.0021755,-0.0035766,-0.0020268,0,0,0,0.0015009,0,0,0
-5.7738e-05,-2.843e-05,6.1472e-05,-2.4125e-05,0.0001607,-7.5101e-05,-5.4317e-05,0.00010621,-6.9125e-05,-0.0035602,-5.6436e-05,0.001569,-0.0019992,-8.1769e-05,0.00012643,-3.2866e-05,9.0612e-05,0.00034837,-0.0022147,-0.0034953,-0.0020766,0,0,0,0.0013509,0,0,0
