piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00021394,0.00079444,0.0002762,0.00013771,0.00037918,-0.00024069,0.00161,0.00057351,0.00018877,-0.0041523,0.00046365,0.0016344,0.0006696,0.00070335,0.00066319,0.00027555,-0.00071742,-0.0014528,0.0011624,0.00043906,0.00013587,0,0,0,0,0,0.01,0
0.00015142,7.6414e-05,0.00022226,0.00010005,0.00023366,-0.00011145,2.2703e-05,0.00032793,0.00013918,-0.0036606,0.00034168,0.0029017,0.00068926,0.00053223,0.00049517,0.00021968,-0.00056987,-0.0011113,0.0011788,0.00069011,0.00023604,0,0,0,0,0,0.0085,0
0.00010278,2.2596e-05,0.00018544,7.497e-05,0.00013511,-2.4641e-05,-0.00011326,0.00016515,9.848e-05,-0.0032643,0.00024939,0.0038769,0.00068694,0.00040519,0.00036391,0.0001721,-0.00044125,-0.00082954,0.001097,0.00081654,0.00030692,0,0,0,0,0,0.007225,0
6.4007e-05,-1.322e-05,0.00015861,5.4423e-05,6.9788e-05,3.4399e-05,-0.00012887,5.6675e-05,6.4543e-05,-0.0029399,0.00017709,0.0046121,0.00066487,0.00030055,0.00026131,0.00013198,-0.00033259,-0.00059737,0.001004,0.00085993,0.00035337,0,0,0,0,0,0.0061412,0
3.3117e-05,-3.8114e-05,0.00013861,3.7323e-05,2.7334e-05,7.3954e-05,-0.00013143,-1.4441e-05,3.6443e-05,-0.0026723,0.00012018,0.0051504,0.00062882,0.00021387,0.00018093,9.8377e-05,-0.00024164,-0.00040687,0.0009091,0.00084887,0.0003796,0,0,0,0,0,0.0052201,0
8.6233e-06,-5.5232e-05,0.00012338,2.3173e-05,4.7419e-07,9.9731e-05,-0.00013057,-5.9817e-05,1.3397e-05,-0.0024503,7.5378e-05,0.0055273,0.00058329,0.00014243,0.00011791,7.0406e-05,-0.00016604,-0.00025138,0.00081483,0.00080308,0.00038924,0,0,0,0,0,0.0044371,0
-1.0663e-05,-6.6695e-05,0.00011149,1.1561e-05,-1.5842e-05,0.00011577,-0.00012784,-8.755e-05,-5.3059e-06,-0.0022652,4.0152e-05,0.0057727,0.00053162,8.3916e-05,6.8515e-05,4.7273e-05,-0.00010368,-0.00012524,0.00072253,0.00073605,0.00038543,0,0,0,0,0,0.0037715,0
-2.5703e-05,-7.4027e-05,0.00010195,2.1183e-06,-2.5108e-05,0.00012494,-0.0001239,-0.00010328,-2.0301e-05,-0.0021099,1.2548e-05,0.0059114,0.00047621,3.6345e-05,2.9882e-05,2.8272e-05,-5.262e-05,-2.3688e-05,0.00063307,0.00065699,0.00037081,0,0,0,0,0,0.0032058,0
-3.7278e-05,-7.8341e-05,9.4087e-05,-5.4787e-06,-2.973e-05,0.0001293,-0.0001192,-0.00011094,-3.215e-05,-0.0019793,-8.9627e-06,0.0059641,0.00041884,-1.9967e-06,-2.0528e-07,1.2784e-05,-1.1187e-05,5.7325e-05,0.00054701,0.00057206,0.00034768,0,0,0,0,0,0.0027249,0
-4.6026e-05,-8.045e-05,8.7418e-05,-1.1515e-05,-3.1354e-05,0.00013029,-0.00011406,-0.00011323,-4.1349e-05,-0.0018689,-2.5586e-05,0.005948,0.00036079,-3.2581e-05,-2.3479e-05,2.7107e-07,2.2098e-05,0.00012121,0.00046466,0.00048537,0.00031792,0,0,0,0,0,0.0023162,0
