piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-4.9184e-05,-0.00023382,0.00023583,0.00011052,0.00027509,-0.00014978,9.1339e-05,-0.00010454,-4.5359e-05,-0.0021141,4.4584e-05,0.00083275,0.00036209,0.00046383,0.00037603,0.00014273,0.00034712,-0.00014241,6.5946e-05,-8.0029e-05,-3.2647e-05,0.01,0,0,0,0,0,0
-5.436e-05,-5.1993e-05,0.00020856,8.6794e-05,0.00023517,-0.00011341,-8.9465e-05,-9.6078e-05,-5.1458e-05,-0.0020533,2.2968e-05,0.0014857,0.0002502,0.00036429,0.00030144,0.00011168,0.00032349,-5.6607e-05,1.353e-06,-0.00015358,-6.9683e-05,0.0085,0,0,0,0,0,0
-5.7804e-05,-5.4214e-05,0.00018503,6.786e-05,0.0002006,-8.343e-05,-9.822e-05,-8.858e-05,-5.5661e-05,-0.0020008,5.868e-06,0.0019905,0.00014917,0.00028348,0.00023902,8.5902e-05,0.00030189,1.2078e-05,-6.9561e-05,-0.0002214,-0.00010974,0.007225,0,0,0,0,0,0
-5.9987e-05,-5.5242e-05,0.00016447,5.2216e-05,0.00017087,-5.8608e-05,-9.3609e-05,-8.2178e-05,-5.844e-05,-0.0019552,-7.821e-06,0.0023728,5.7081e-05,0.00021666,0.00018695,6.4583e-05,0.00028178,6.6571e-05,-0.00013715,-0.00028431,-0.00015181,0.0061412,0,0,0,0,0,0
-6.1153e-05,-5.5568e-05,0.00014648,3.9282e-05,0.00014536,-3.816e-05,-8.822e-05,-7.6611e-05,-6.0075e-05,-0.0019155,-1.8675e-05,0.0026539,-2.7082e-05,0.00016144,0.00014366,4.7014e-05,0.00026305,0.00010926,-0.00020084,-0.00034296,-0.00019504,0.0052201,0,0,0,0,0,0
-6.1497e-05,-5.5336e-05,0.00013071,2.8621e-05,0.00012352,-2.1429e-05,-8.3036e-05,-7.1669e-05,-6.0787e-05,-0.0018809,-2.7159e-05,0.0028518,-0.00010416,0.00011599,0.00010779,3.2595e-05,0.00024559,0.00014215,-0.00026079,-0.00039783,-0.00023879,0.0044371,0,0,0,0,0,0
-6.1181e-05,-5.4649e-05,0.00011688,1.9869e-05,0.00010486,-7.8455e-06,-7.8121e-05,-6.7206e-05,-6.076e-05,-0.0018508,-3.3667e-05,0.0029816,-0.00017488,7.8723e-05,7.8191e-05,2.0817e-05,0.00022931,0.00016693,-0.0003172,-0.00044928,-0.00028252,0.0037715,0,0,0,0,0,0
-6.0343e-05,-5.3598e-05,0.00010474,1.2719e-05,8.8933e-05,3.083e-06,-7.3468e-05,-6.312e-05,-6.0148e-05,-0.0018245,-3.8532e-05,0.003056,-0.00023988,4.8334e-05,5.3867e-05,1.1253e-05,0.00021415,0.00018502,-0.00037024,-0.0004976,-0.00032582,0.0032058,0,0,0,0,0,0
-5.9096e-05,-5.226e-05,9.4048e-05,6.9117e-06,7.5357e-05,1.1779e-05,-6.9065e-05,-5.9339e-05,-5.9078e-05,-0.0018015,-4.2041e-05,0.0030857,-0.0002997,2.3704e-05,3.3985e-05,3.541e-06,0.00020001,0.00019761,-0.0004201,-0.00054303,-0.00036834,0.0027249,0,0,0,0,0,0
-5.7535e-05,-5.0703e-05,8.463e-05,2.2279e-06,6.3796e-05,1.8606e-05,-6.4901e-05,-5.5815e-05,-5.7654e-05,-0.0017814,-4.4432e-05,0.0030795,-0.00035484,3.8915e-06,1.7832e-05,-2.6245e-06,0.00018683,0.00020572,-0.00046696,-0.00058576,-0.00040983,0.0023162,0,0,0,0,0,0
-5.5739e-05,-4.8982e-05,7.6315e-05,-1.5177e-06,5.396e-05,2.3873e-05,-6.0966e-05,-5.2512e-05,-5.5963e-05,-0.0017638,-4.591e-05,0.0030447,-0.00040572,-1.19e-05,4.805e-06,-7.5011e-06,0.00017454,0.00021018,-0.00051098,-0.00062596,-0.00045011,0.0019687,0,0,0,0,0,0
-5.3773e-05,-4.7146e-05,6.896e-05,-4.4811e-06,4.5599e-05,2.7842e-05,-5.725e-05,-4.9406e-05,-5.4076e-05,-0.0017484,-4.6646e-05,0.0029877,-0.00045274,-2.4342e-05,-5.6073e-06,-1.1306e-05,0.00016308,0.00021169,-0.00055231,-0.00066378,-0.00048903,0.0016734,0,0,0,0,0,0
-5.169e-05,-4.5235e-05,6.2441e-05,-6.794e-06,3.8496e-05,3.0739e-05,-5.3744e-05,-4.6477e-05,-5.2052e-05,-0.0017348,-4.6783e-05,0.0029135,-0.00049622,-3.4e-05,-1.3838e-05,-1.4222e-05,0.00015238,0.00021085,-0.00059111,-0.00069936,-0.00052649,0.0014224,0,0,0,0,0,0
-4.9535e-05,-4.328e-05,5.6651e-05,-8.5674e-06,3.2467e-05,3.2751e-05,-5.0438e-05,-4.3713e-05,-4.9939e-05,-0.0017228,-4.6442e-05,0.0028263,-0.00053648,-4.1351e-05,-2.0253e-05,-1.6402e-05,0.0001424,0.00020814,-0.00062753,-0.00073283,-0.00056244,0.0012091,0,0,0,0,0,0
-4.7343e-05,-4.131e-05,5.1497e-05,-9.8946e-06,2.7352e-05,3.4039e-05,-4.7322e-05,-4.1102e-05,-4.7776e-05,-0.0017123,-4.5723e-05,0.0027296,-0.00057378,-4.6796e-05,-2.516e-05,-1.7978e-05,0.00013309,0.00020397,-0.0006617,-0.00076429,-0.00059682,0.0010277,0,0,0,0,0,0
-4.5142e-05,-3.9345e-05,4.69e-05,-1.0854e-05,2.3016e-05,3.4738e-05,-4.4387e-05,-3.8635e-05,-4.5594e-05,-0.001703,-4.471e-05,0.0026264,-0.00060838,-5.0674e-05,-2.8821e-05,-1.9057e-05,0.0001244,0.00019869,-0.00069374,-0.00079387,-0.00062964,0.00087354,0,0,0,0,0,0
-4.2955e-05,-3.7403e-05,4.279e-05,-1.1512e-05,1.9343e-05,3.4959e-05,-4.1624e-05,-3.6304e-05,-4.3418e-05,-0.0016947,-4.3473e-05,0.0025189,-0.00064049,-5.3268e-05,-3.1455e-05,-1.973e-05,0.00011628,0.00019256,-0.0007238,-0.00082166,-0.00066089,0.00074251,0,0,0,0,0,0
-4.0802e-05,-3.5498e-05,3.9107e-05,-1.1925e-05,1.6232e-05,3.4799e-05,-3.9026e-05,-3.4103e-05,-4.1267e-05,-0.0016874,-4.207e-05,0.002409,-0.0006703,-5.4815e-05,-3.3246e-05,-2.0075e-05,0.00010871,0.00018583,-0.00075197,-0.00084777,-0.00069059,0.00063113,0,0,0,0,0,0
-3.8695e-05,-3.364e-05,3.58e-05,-1.2137e-05,1.36e-05,3.4337e-05,-3.6582e-05,-3.2026e-05,-3.9158e-05,-0.0016808,-4.0548e-05,0.0022984,-0.00069802,-5.5516e-05,-3.435e-05,-2.0155e-05,0.00010163,0.00017868,-0.00077838,-0.00087229,-0.00071877,0.00053646,0,0,0,0,0,0
-3.6645e-05,-3.1838e-05,3.2823e-05,-1.2188e-05,1.1374e-05,3.3638e-05,-3.4285e-05,-3.0066e-05,-3.7102e-05,-0.001675,-3.8945e-05,0.0021882,-0.00072378,-5.5536e-05,-3.4896e-05,-2.0024e-05,9.502e-05,0.00017127,-0.00080314,-0.00089531,-0.00074548,0.00045599,0,0,0,0,0,0
-3.4661e-05,-3.0097e-05,3.0139e-05,-1.2112e-05,9.4937e-06,3.2757e-05,-3.2128e-05,-2.8218e-05,-3.5109e-05,-0.0016698,-3.7295e-05,0.0020794,-0.00074776,-5.5015e-05,-3.4993e-05,-1.9726e-05,8.8844e-05,0.00016372,-0.00082633,-0.00091691,-0.00077075,0.0003876,0,0,0,0,0,0
-3.2748e-05,-2.8422e-05,2.7713e-05,-1.1933e-05,7.9059e-06,3.1741e-05,-3.0102e-05,-2.6477e-05,-3.3184e-05,-0.0016651,-3.5622e-05,0.0019728,-0.00077007,-5.407e-05,-3.4733e-05,-1.9299e-05,8.3075e-05,0.00015614,-0.00084807,-0.00093718,-0.00079463,0.00032946,0,0,0,0,0,0
-3.0911e-05,-2.6816e-05,2.5516e-05,-1.1676e-05,6.5664e-06,3.0626e-05,-2.8199e-05,-2.4836e-05,-3.1333e-05,-0.0016609,-3.3948e-05,0.001869,-0.00079085,-5.2795e-05,-3.419e-05,-1.8772e-05,7.7683e-05,0.00014859,-0.00086843,-0.00095619,-0.00081718,0.00028004,0,0,0,0,0,0
-2.9151e-05,-2.5279e-05,2.3522e-05,-1.1359e-05,5.4375e-06,2.9443e-05,-2.6414e-05,-2.3292e-05,-2.9558e-05,-0.0016572,-3.2288e-05,0.0017684,-0.00081021,-5.1271e-05,-3.3427e-05,-1.8172e-05,7.2645e-05,0.00014116,-0.0008875,-0.00097403,-0.00083845,0.00023803,0,0,0,0,0,0
