piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.0010621,0.0042872,0.0019402,0.0007236,0.0022038,-0.00098717,0.0094264,0.003006,0.00092588,0.032293,0.0025891,0.0088391,0.0037902,0.0037953,0.0036827,0.0015274,-0.0038811,-0.0076241,0.0068058,0.0023013,0.00066639,0,0.01,0,0,0,0,0
0.00068429,0.00010614,0.001483,0.00048267,0.001285,-0.00028467,-0.00048739,0.0015402,0.00062501,0.025033,0.0017858,0.015245,0.0036137,0.0026712,0.0025761,0.0011434,-0.0028912,-0.005431,0.0064539,0.0034804,0.0011162,0,0.008,0,0,0,0,0
0.00040725,-0.00014565,0.0011675,0.00033139,0.00068502,0.00015105,-0.0011663,0.00061833,0.00039282,0.019106,0.0012067,0.019817,0.003373,0.0018811,0.0017531,0.0008357,-0.00208,-0.003723,0.0056118,0.0039537,0.0013989,0,0.0064,0,0,0,0,0
0.00019959,-0.00029185,0.00093931,0.00021482,0.00030466,0.00041984,-0.0011139,4.2505e-05,0.00021068,0.014297,0.00077681,0.022969,0.0030721,0.0012678,0.001143,0.00059127,-0.0014345,-0.0023962,0.0048076,0.0039863,0.0015506,0,0.00512,0,0,0,0,0
4.4636e-05,-0.0003787,0.00077196,0.00012356,7.0956e-05,0.00057744,-0.0010098,-0.00030424,6.9016e-05,0.010406,0.00045751,0.025022,0.002738,0.00078946,0.00069193,0.00039842,-0.00092567,-0.0013718,0.0040785,0.0037534,0.0016003,0,0.004096,0,0,0,0,0
-6.9799e-05,-0.00042634,0.00064762,5.2638e-05,-6.6169e-05,0.00066115,-0.00090977,-0.00050021,-3.9786e-05,0.0072629,0.00022133,0.026229,0.0023903,0.00041887,0.00035967,0.00024733,-0.00052792,-0.00058697,0.0034217,0.0033704,0.0015716,0,0.0032768,0,0,0,0,0
-0.00015306,-0.00044777,0.00055386,-1.8574e-06,-0.00014068,0.0006964,-0.00081888,-0.00059846,-0.00012203,0.0047298,4.7816e-05,0.026789,0.002042,0.00013435,0.0001164,0.00012992,-0.00021991,8.263e-06,0.0028305,0.0029123,0.0014838,0,0.0026214,0,0,0,0,0
-0.00021236,-0.00045189,0.00048194,-4.3139e-05,-0.00017544,0.00070051,-0.00073745,-0.0006347,-0.00018295,0.0026915,-7.8356e-05,0.02686,0.0017014,-8.156e-05,-6.0095e-05,3.958e-05,1.5935e-05,0.00045386,0.002298,0.0024264,0.0013521,0,0.0020972,0,0,0,0,0
-0.00025327,-0.00044482,0.00042569,-7.3846e-05,-0.00018566,0.00068519,-0.000665,-0.00063281,-0.00022685,0.001054,-0.00016875,0.026564,0.0013733,-0.00024297,-0.00018643,-2.911e-05,0.00019399,0.00078165,0.0018179,0.0019419,0.0011888,0,0.0016777,0,0,0,0,0
-0.0002801,-0.00043075,0.00038078,-9.6134e-05,-0.00018138,0.00065829,-0.00060079,-0.00060856,-0.00025724,-0.00025954,-0.00023209,0.025999,0.0010607,-0.00036126,-0.00027507,-8.0543e-05,0.00032598,0.001017,0.0013841,0.001476,0.0010037,0,0.0013422,0,0,0,0,0
-0.00029621,-0.00041251,0.00034414,-0.00011176,-0.00016913,0.00062503,-0.00054401,-0.00057223,-0.000277,-0.0013115,-0.000275,0.025239,0.00076493,-0.00044557,-0.00033539,-0.00011828,0.00042143,0.0011801,0.00099135,0.0010379,0.00080433,0,0.0010737,0,0,0,0,0
-0.00030419,-0.00039204,0.00031361,-0.00012214,-0.00015306,0.0005888,-0.0004938,-0.00053039,-0.00028845,-0.0021527,-0.00030251,0.024344,0.00048647,-0.00050323,-0.00037448,-0.00014519,0.00048805,0.001287,0.00063484,0.0006319,0.00059672,0,0.00085899,0,0,0,0,0
-0.00030606,-0.00037059,0.00028765,-0.00012842,-0.00013573,0.0005518,-0.00044936,-0.0004871,-0.00029347,-0.0028243,-0.00031845,0.02336,0.00022515,-0.00054012,-0.00039767,-0.00016361,0.00053205,0.0013505,0.0003104,0.00025899,0.0003855,0,0.00068719,0,0,0,0,0
-0.00030339,-0.00034902,0.00026517,-0.00013154,-0.00011866,0.00051536,-0.00040996,-0.00044482,-0.00029355,-0.0033596,-0.00032576,0.022322,-1.9512e-05,-0.00056091,-0.00040905,-0.00017538,0.00055843,0.0013806,1.441e-05,-8.1544e-05,0.00017422,0,0.00054976,0,0,0,0,0
-0.00029739,-0.00032784,0.00024539,-0.00013222,-0.0001027,0.00048031,-0.00037495,-0.00040489,-0.00028991,-0.0037854,-0.00032666,0.021258,-0.00024826,-0.00056936,-0.00041168,-0.00018199,0.00057119,0.0013854,-0.0002563,-0.00039151,-3.4441e-05,0,0.0004398,0,0,0,0,0
-0.000289,-0.0003074,0.00022775,-0.00013105,-8.8268e-05,0.00044707,-0.00034374,-0.000368,-0.00028351,-0.0041234,-0.00032286,0.020186,-0.00046192,-0.00056841,-0.00040791,-0.00018465,0.00057352,0.0013711,-0.00050448,-0.00067324,-0.00023849,0,0.00035184,0,0,0,0,0
-0.00027896,-0.00028787,0.00021185,-0.00012851,-7.5509e-05,0.00041587,-0.00031583,-0.00033438,-0.0002751,-0.0043912,-0.00031567,0.019124,-0.00066139,-0.00056043,-0.00039953,-0.00018429,0.00056799,0.0013428,-0.00073251,-0.00092922,-0.00043649,0,0.00028147,0,0,0,0,0
-0.00026781,-0.00026936,0.00019737,-0.00012497,-6.4409e-05,0.00038675,-0.00029079,-0.00030401,-0.00026529,-0.0046027,-0.00030609,0.018083,-0.00084756,-0.00054727,-0.0003879,-0.00018167,0.0005566,0.0013043,-0.00094245,-0.001162,-0.00062743,0,0.00022518,0,0,0,0,0
-0.00025599,-0.0002519,0.00018411,-0.00012072,-5.4865e-05,0.0003597,-0.00026823,-0.00027675,-0.00025455,-0.0047692,-0.00029488,0.01707,-0.0010213,-0.00053039,-0.00037404,-0.00017739,0.00054095,0.0012586,-0.0011361,-0.0013738,-0.00081064,0,0.00018014,0,0,0,0,0
-0.00024383,-0.0002355,0.00017189,-0.00011599,-4.6728e-05,0.00033461,-0.00024785,-0.00025233,-0.00024324,-0.0048999,-0.00028263,0.016092,-0.0011834,-0.00051094,-0.00035875,-0.0001719,0.0005223,0.0012083,-0.0013151,-0.001567,-0.00098571,0,0.00014412,0,0,0,0,0
-0.00023158,-0.00022012,0.00016059,-0.00011097,-3.9833e-05,0.00031138,-0.00022938,-0.00023049,-0.00023166,-0.005002,-0.00026977,0.015153,-0.0013348,-0.00048981,-0.0003426,-0.00016559,0.00050164,0.001155,-0.0014807,-0.0017435,-0.0011524,0,0.00011529,0,0,0,0,0
