piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00014483,7.0628e-05,0.00062561,9.2542e-05,0.00037557,0.00015751,0.0010672,0.00023913,0.00013815,-0.0011439,0.00018876,0.00084639,0.00071953,0.00046289,0.00045481,0.00018104,0.00033108,4.7658e-05,0.00077051,0.00018307,9.9429e-05,0,0,0,0,0,0,0.01
0.00010733,0.00011929,0.00050712,6.3117e-05,0.00027483,0.00016917,-6.6988e-06,0.00014641,0.00010463,-0.0009401,0.00013387,0.0014589,0.00066264,0.00033185,0.00033628,0.00013718,0.00028764,0.00010798,0.00076567,0.00029515,0.00017474,0,0,0,0,0,0,0.008
7.8958e-05,8.3516e-05,0.00041573,4.4239e-05,0.00020103,0.00017047,-7.9757e-05,8.6411e-05,7.8462e-05,-0.00077839,9.3722e-05,0.0018954,0.00061466,0.00023915,0.00024515,0.00010227,0.00025422,0.00015173,0.00070809,0.00036131,0.00023121,0,0,0,0,0,0,0.0064
5.6781e-05,5.8312e-05,0.00034328,2.9759e-05,0.00014715,0.00016637,-7.604e-05,4.646e-05,5.7516e-05,-0.0006477,6.3133e-05,0.0021956,0.00057105,0.00016724,0.00017527,7.4673e-05,0.00022658,0.0001825,0.00065319,0.00039688,0.00027261,0,0,0,0,0,0,0.00512
3.9387e-05,3.9466e-05,0.00028533,1.8501e-05,0.00010774,0.00015909,-6.7862e-05,1.9997e-05,4.0749e-05,-0.00054129,3.9755e-05,0.0023901,0.00053129,0.00011118,0.00012176,5.294e-05,0.00020331,0.00020306,0.00060419,0.00041218,0.00030193,0,0,0,0,0,0,0.004096
2.5752e-05,2.5251e-05,0.00023865,9.8059e-06,7.8812e-05,0.00015003,-6.0613e-05,2.6883e-06,2.7366e-05,-0.00045413,2.1932e-05,0.0025032,0.00049509,6.7725e-05,8.0875e-05,3.5906e-05,0.0001835,0.00021565,0.00056043,0.00041424,0.00032163,0,0,0,0,0,0,0.0032768
1.5084e-05,1.4508e-05,0.0002008,3.1571e-06,5.7534e-05,0.00014011,-5.4477e-05,-8.421e-06,1.6726e-05,-0.00038235,8.4067e-06,0.0025543,0.0004621,3.4293e-05,4.9756e-05,2.2631e-05,0.00016644,0.00022208,0.0005211,0.0004078,0.00033367,0,0,0,0,0,0,0.0026214
6.7659e-06,6.3896e-06,0.00016993,-1.8623e-06,4.1846e-05,0.00012995,-4.9273e-05,-1.5351e-05,8.3099e-06,-0.00032294,-1.7861e-06,0.0025584,0.00043199,8.8226e-06,2.6193e-05,1.2355e-05,0.00015163,0.00022381,0.00048552,0.00039604,0.00033965,0,0,0,0,0,0,0.0020972
3.14e-07,2.6923e-07,0.00014459,-5.5901e-06,3.026e-05,0.00011992,-4.4827e-05,-1.9479e-05,1.6951e-06,-0.00027354,-9.39e-06,0.0025274,0.00040442,-1.0346e-05,8.4841e-06,4.4657e-06,0.00013864,0.00022199,0.00045316,0.00038113,0.00034087,0,0,0,0,0,0,0.0016777
-4.6531e-06,-4.3227e-06,0.00012367,-8.2987e-06,2.1693e-05,0.00011028,-4.0999e-05,-2.1742e-05,-3.461e-06,-0.00023229,-1.4981e-05,0.0024708,0.0003791,-2.454e-05,-4.6909e-06,-1.5264e-06,0.00012717,0.00021755,0.00042356,0.00036449,0.00033838,0,0,0,0,0,0,0.0013422
-8.437e-06,-7.739e-06,0.0001063,-1.0207e-05,1.5358e-05,0.00010115,-3.7676e-05,-2.2776e-05,-7.4369e-06,-0.00019771,-1.9006e-05,0.0023957,0.00035576,-3.4823e-05,-1.4355e-05,-6.0158e-06,0.00011696,0.00021122,0.00039635,0.00034705,0.00033303,0,0,0,0,0,0,0.0010737
