piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00027074,-1.2995e-05,0.00025664,0.00020085,-0.0001552,0.00021099,-0.007442,0.00042843,0.00026087,-0.0011525,0.00019059,0.00050825,0.00086939,0.0010439,-0.00019879,-6.882e-05,0.00033968,0.00065978,-0.0053731,0.00032799,0.00018776,0,0,0.01,0,0,0,0
0.00022567,0.00024009,0.00021255,0.00021986,-0.00019438,0.00018707,0.00032132,0.00031464,0.00021948,-0.00095361,0.0001603,0.00099549,0.00097635,0.0010236,-0.00021334,-6.9825e-05,0.00033874,0.0006139,-0.0051411,0.00056886,0.00034572,0,0,0.009,0,0,0,0
0.00018019,0.00020118,0.0001644,0.00019974,-0.00020876,0.00017342,0.00082822,0.0002141,0.00017775,-0.00077501,0.0001212,0.001407,0.0010222,0.00091575,-0.00021781,-6.9783e-05,0.00032051,0.00057598,-0.0045431,0.00073277,0.00047365,0,0,0.0081,0,0,0,0
0.0001415,0.0001572,0.00012641,0.00017837,-0.00021051,0.00015855,0.00077602,0.00014043,0.00014149,-0.00062688,8.8276e-05,0.0017475,0.0010462,0.00081154,-0.00021684,-6.946e-05,0.00030307,0.00054276,-0.0039828,0.00084028,0.00057549,0,0,0.00729,0,0,0,0
0.00010902,0.00012065,9.7079e-05,0.00015868,-0.00020463,0.00014303,0.00069013,8.7243e-05,0.00011046,-0.00050454,6.1329e-05,0.0020256,0.0010553,0.0007173,-0.00021243,-6.8881e-05,0.00028727,0.00051308,-0.0034846,0.00090707,0.00065499,0,0,0.006561,0,0,0,0
8.1797e-05,9.0879e-05,7.4381e-05,0.00014081,-0.00019425,0.00012782,0.00061073,4.8811e-05,8.4014e-05,-0.00040331,3.9285e-05,0.0022489,0.0010528,0.00063274,-0.00020584,-6.8043e-05,0.00027279,0.00048615,-0.0030436,0.00094444,0.00071545,0,0,0.0059049,0,0,0,0
5.8994e-05,6.6577e-05,5.6746e-05,0.00012466,-0.00018143,0.00011351,0.00053995,2.0991e-05,6.1566e-05,-0.00031944,2.1245e-05,0.0024245,0.0010413,0.00055704,-0.00019793,-6.6956e-05,0.00025931,0.00046144,-0.0026538,0.00096051,0.00075977,0,0,0.0053144,0,0,0,0
3.9935e-05,4.6692e-05,4.3005e-05,0.00011012,-0.00016752,0.00010041,0.00047705,8.4186e-07,4.2588e-05,-0.00024992,6.4938e-06,0.0025586,0.0010229,0.0004894,-0.00018929,-6.5645e-05,0.00024663,0.00043854,-0.0023093,0.00096115,0.00079042,0,0,0.004783,0,0,0,0
2.4051e-05,3.0402e-05,3.2283e-05,9.7066e-05,-0.00015342,8.8634e-05,0.00042119,-1.3724e-05,2.6619e-05,-0.00019232,-5.5329e-06,0.0026566,0.00099911,0.00042905,-0.00018032,-6.4136e-05,0.00023462,0.00041714,-0.0020053,0.00095065,0.00080958,0,0,0.0043047,0,0,0,0
1.0868e-05,1.7062e-05,2.3917e-05,8.536e-05,-0.00013965,7.8205e-05,0.00037158,-2.4198e-05,1.3253e-05,-0.00014466,-1.5291e-05,0.0027236,0.00097128,0.00037529,-0.00017129,-6.2461e-05,0.00022319,0.00039702,-0.001737,0.00093212,0.00081912,0,0,0.0038742,0,0,0,0
