piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.0005213,0.0012859,0.0011495,7.9911e-05,0.00057437,0.00049527,0.0035635,0.0011628,0.00047632,-0.002707,0.00055012,0.001476,0.0013391,0.00061899,0.00077083,0.00033193,-0.00066997,-0.00084251,0.0025729,0.00089018,0.00034282,0,0,0,0,0,0.01,0
0.00038982,0.00031939,0.00089433,4.853e-05,0.00033656,0.00050925,6.6596e-05,0.00070672,0.00036785,-0.0021329,0.00039599,0.0026118,0.0014376,0.00045427,0.00056554,0.00026893,-0.00054969,-0.00064148,0.0026209,0.0014312,0.00060758,0,0,0,0,0,0.0085,0
0.00028893,0.00019911,0.00070762,3.5616e-05,0.00017975,0.00049225,-0.00020033,0.00040634,0.00028084,-0.0016886,0.00028345,0.0034893,0.0014978,0.00034964,0.00040999,0.0002148,-0.00043619,-0.00046929,0.0024763,0.0017423,0.00080971,0,0,0,0,0,0.007225,0
0.00020913,0.0001167,0.00056551,2.4928e-05,7.9222e-05,0.00046136,-0.00021219,0.00020569,0.00020943,-0.0013382,0.00019696,0.0041547,0.0015201,0.00026314,0.00029191,0.0001689,-0.0003374,-0.00032298,0.0023231,0.0018998,0.00096045,0,0,0,0,0,0.0061412,0
0.00014582,5.7172e-05,0.00045603,1.5434e-05,1.657e-05,0.00042402,-0.00020345,7.2982e-05,0.00015093,-0.0010601,0.00013,0.0046455,0.0015145,0.00019017,0.00020187,0.00013023,-0.0002529,-0.00019997,0.0021762,0.0019556,0.0010691,0,0,0,0,0,0.0052201,0
9.5621e-05,1.4034e-05,0.00037088,7.1443e-06,-2.0893e-05,0.00038463,-0.00019287,-1.3214e-05,0.00010322,-0.00083853,7.8095e-05,0.0049924,0.001489,0.000129,0.00013294,9.787e-05,-0.00018142,-9.7622e-05,0.002037,0.0019455,0.0011434,0,0,0,0,0,0.0044371,0
5.5927e-05,-1.7071e-05,0.0003041,5.7827e-08,-4.1812e-05,0.00034585,-0.00018215,-6.7682e-05,6.4546e-05,-0.00066137,3.7907e-05,0.0052216,0.0014498,7.8171e-05,8.0036e-05,7.0946e-05,-0.00012153,-1.3378e-05,0.0019054,0.0018937,0.0011898,0,0,0,0,0,0.0037715,0
2.4674e-05,-3.9276e-05,0.00025127,-5.8837e-06,-5.2043e-05,0.0003092,-0.00017161,-0.00010062,3.3405e-05,-0.00051941,6.8946e-06,0.0053549,0.0014011,3.632e-05,3.9403e-05,4.8685e-05,-7.1818e-05,5.5175e-05,0.0017815,0.0018167,0.0012139,0,0,0,0,0,0.0032058,0
2.2573e-07,-5.4867e-05,0.00020916,-1.0773e-05,-5.5528e-05,0.00027546,-0.00016136,-0.00011907,8.534e-06,-0.00040549,-1.6895e-05,0.0054105,0.0013462,2.198e-06,8.2345e-06,3.0401e-05,-3.0953e-05,0.00011024,0.001665,0.0017255,0.00122,0,0,0,0,0,0.0027249,0
-1.8729e-05,-6.5523e-05,0.00017534,-1.4717e-05,-5.4897e-05,0.00024495,-0.00015148,-0.00012785,-1.1131e-05,-0.000314,-3.4973e-05,0.0054037,0.0012877,-2.5316e-05,-1.5582e-05,1.5495e-05,2.2971e-06,0.00015379,0.0015557,0.0016277,0.001212,0,0,0,0,0,0.0023162,0
