piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00016868,7.7822e-05,0.00065186,8.3736e-05,0.00036645,0.00020167,0.0011057,0.00026352,0.00016196,-0.0013173,0.00018562,0.00076684,0.00073314,0.00042771,0.00042994,0.00017144,0.00036461,0.0001389,0.00079834,0.00020174,0.00011657,0.01,0,0,0,0,0,0
0.00013114,0.00014186,0.00055191,6.129e-05,0.00028492,0.0002057,4.8555e-05,0.00017315,0.00012823,-0.0011182,0.00013859,0.0013603,0.00072029,0.00032821,0.00033889,0.00013837,0.00032973,0.0001763,0.0008334,0.0003343,0.00020886,0.0085,0,0,0,0,0,0
0.00010141,0.00010527,0.00047166,4.6886e-05,0.00022297,0.00020181,-3.6649e-05,0.00011208,0.00010068,-0.00095379,0.00010283,0.0018173,0.00070525,0.00025578,0.00026531,0.00011043,0.00030179,0.0002048,0.00080694,0.0004201,0.00028133,0.007225,0,0,0,0,0,0
7.7105e-05,7.8195e-05,0.00040512,3.5159e-05,0.00017585,0.00019411,-4.4588e-05,6.9285e-05,7.7666e-05,-0.00081564,7.427e-05,0.0021621,0.00068574,0.00019617,0.00020584,8.6988e-05,0.00027741,0.00022587,0.00077475,0.00047314,0.00033723,0.0061412,0,0,0,0,0,0
5.7179e-05,5.6943e-05,0.00034942,2.5416e-05,0.00013971,0.00018429,-4.5804e-05,3.9188e-05,5.8443e-05,-0.00069887,5.133e-05,0.0024145,0.00066302,0.00014671,0.00015767,6.74e-05,0.00025575,0.00024068,0.00074168,0.00050314,0.00037929,0.0052201,0,0,0,0,0,0
4.0847e-05,4.0104e-05,0.00030247,1.7356e-05,0.00011174,0.00017338,-4.5982e-05,1.8043e-05,4.2444e-05,-0.00059976,3.2907e-05,0.0025912,0.00063826,0.00010581,0.00011864,5.1096e-05,0.00023632,0.00025024,0.00070848,0.00051695,0.00040984,0.0044371,0,0,0,0,0,0
2.7487e-05,2.6722e-05,0.00026267,1.0736e-05,8.9887e-05,0.00016205,-4.5677e-05,3.237e-06,2.9182e-05,-0.00051536,1.8142e-05,0.0027061,0.00061229,7.2164e-05,8.7e-05,3.7581e-05,0.00021878,0.00025546,0.0006755,0.00051943,0.00043084,0.0037715,0,0,0,0,0,0
1.659e-05,1.6077e-05,0.00022878,5.3418e-06,7.2677e-05,0.00015076,-4.5021e-05,-7.0653e-06,1.8242e-05,-0.00044327,6.3545e-06,0.0027707,0.00058574,4.4652e-05,6.1385e-05,2.6429e-05,0.00020284,0.00025714,0.00064299,0.00051402,0.00044397,0.0032058,0,0,0,0,0,0
7.7396e-06,7.6151e-06,0.00019978,9.8456e-07,5.9012e-05,0.00013978,-4.4094e-05,-1.4158e-05,9.2678e-06,-0.00038157,-3.0031e-06,0.0027949,0.00055905,2.2306e-05,4.0691e-05,1.7275e-05,0.00018828,0.00025596,0.00061116,0.00050319,0.00045064,0.0027249,0,0,0,0,0,0
5.9255e-07,9.0752e-07,0.00017487,-2.4982e-06,4.8085e-05,0.00012929,-4.296e-05,-1.8955e-05,1.9564e-06,-0.00032864,-1.0372e-05,0.0027868,0.00053255,4.3012e-06,2.4032e-05,9.8051e-06,0.00017495,0.0002525,0.00058014,0.00048867,0.00045205,0.0023162,0,0,0,0,0,0
