piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00023123,0.0015802,-0.0053374,0.0012196,0.00054221,-0.0070992,-0.0053406,-0.00031415,-0.00022475,0.022236,0.0036923,0.010343,-0.00085523,0.0045771,0.0028356,0.0010937,-0.0043762,-0.012891,-0.0038559,-0.0002405,-0.00016176,0,0.01,0,0,0,0,0
-2.6286e-05,-0.00051927,-0.003664,0.00089271,0.00043515,-0.0049918,0.0013127,2.2842e-06,-2.8459e-05,0.016099,0.0029881,0.017905,-0.00057232,0.0033405,0.0020635,0.00079623,-0.0031254,-0.0091651,-0.0029081,-0.00023876,-0.00018224,0,0.008,0,0,0,0,0
0.00010351,-0.00026714,-0.0024144,0.00061318,0.00033193,-0.0033595,0.0014986,0.00017007,9.8691e-05,0.011415,0.0023965,0.023254,-0.0003077,0.0023144,0.0014532,0.00056336,-0.0021689,-0.0062863,-0.0018262,-0.00010855,-0.00011121,0,0.0064,0,0,0,0,0
0.00018371,-0.00010414,-0.0014797,0.0003969,0.00023691,-0.0021135,0.0012364,0.00025505,0.00017861,0.0078525,0.0019106,0.026885,-4.8112e-05,0.0015179,0.00097315,0.00038119,-0.0014308,-0.0040757,-0.00093352,8.6701e-05,1.7338e-05,0,0.00512,0,0,0,0,0
0.00022833,3.2476e-06,-0.00078637,0.00023221,0.00015405,-0.0011726,0.00098862,0.00028806,0.00022407,0.0051617,0.001513,0.029191,0.00019775,0.00090723,0.00059858,0.00023926,-0.00086382,-0.0023903,-0.00021974,0.00030723,0.00017861,0,0.004096,0,0,0,0,0
0.00024753,7.1028e-05,-0.00027861,0.00010801,8.48e-05,-0.00047142,0.00078285,0.00028886,0.00024459,0.0031474,0.0011881,0.030484,0.00042333,0.00044296,0.00030897,0.00012926,-0.00043128,-0.0011168,0.00034547,0.00052837,0.00035465,0,0.0032768,0,0,0,0,0
0.00024896,0.0001104,8.7026e-05,1.5412e-05,2.8908e-05,4.2706e-05,0.00061394,0.00027054,0.00024741,0.0016565,0.00092311,0.031009,0.000625,9.3612e-05,8.7484e-05,4.4618e-05,-0.00010437,-0.00016552,0.00078873,0.00073549,0.00053271,0,0.0026214,0,0,0,0,0
0.00023831,0.00012965,0.00034422,-5.2594e-05,-1.4749e-05,0.00041156,0.00047553,0.00024177,0.00023804,0.00056908,0.00070737,0.030957,0.00080122,-0.00016579,-7.9646e-05,-1.9921e-05,0.00013972,0.00053446,0.0011321,0.00092058,0.00070404,0,0.0020972,0,0,0,0,0
0.00021985,0.00013489,0.00051911,-0.00010153,-4.7707e-05,0.00066834,0.00036224,0.00020817,0.00022064,-0.00020863,0.00053206,0.03048,0.00095187,-0.00035499,-0.00020361,-6.8535e-05,0.00031902,0.0010391,0.0013936,0.0010799,0.00086284,0,0.0016777,0,0,0,0,0
0.00019671,0.00013067,0.00063195,-0.00013574,-7.1617e-05,0.0008393,0.00026964,0.00017332,0.00019832,-0.00075001,0.00038993,0.029696,0.0010778,-0.0004896,-0.00029348,-0.00010455,0.00044779,0.0013926,0.0015883,0.0012126,0.0010056,0,0.0013422,0,0,0,0,0
0.00017115,0.00012031,0.00069842,-0.00015863,-8.8072e-05,0.00094511,0.0001941,0.00013943,0.00017335,-0.0011122,0.00027502,0.028696,0.0011805,-0.00058193,-0.00035656,-0.00013063,0.00053729,0.0016298,0.0017284,0.0013194,0.0011303,0,0.0010737,0,0,0,0,0
0.00014482,0.00010622,0.00073059,-0.00017288,-9.8527e-05,0.001002,0.00013263,0.00010776,0.0001474,-0.0013398,0.00018242,0.027551,0.0012617,-0.00064171,-0.00039872,-0.00014889,0.00059641,0.001778,0.0018242,0.0014019,0.0012364,0,0.00085899,0,0,0,0,0
0.00011885,9.0164e-05,0.00073779,-0.00018058,-0.00010425,0.0010226,8.2768e-05,7.9002e-05,0.00012163,-0.0014672,0.00010811,0.026315,0.0013235,-0.00067659,-0.00042467,-0.00016101,0.00063218,0.0018587,0.0018839,0.0014624,0.001324,0,0.00068719,0,0,0,0,0
9.402e-05,7.3365e-05,0.00072714,-0.00018339,-0.00010633,0.0010169,4.2498e-05,5.3418e-05,9.6847e-05,-0.001521,4.8776e-05,0.02503,0.0013678,-0.00069259,-0.00043816,-0.00016835,0.00065011,0.0018888,0.0019146,0.0015032,0.0013937,0,0.00054976,0,0,0,0,0
