piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00029328,0.00037726,0.0014693,3.5258e-05,0.00057252,0.00086157,0.0027603,0.00060099,0.00027156,0,-1.3522e-05,0.00066934,0.0012536,0.00037173,0.00055314,0.00023024,0.00039143,0.00066145,0.0019929,0.0004601,0.00019545,0,0,0,0,0,0,0.01
0.00018824,0.00017724,0.0010359,2.0512e-05,0.00036433,0.00065108,-0.00033849,0.00029927,0.0001806,0,-2.3484e-05,0.0011625,0.0011071,0.00026193,0.00038977,0.00017276,0.0003117,0.00049131,0.0017486,0.00068921,0.00032543,0,0,0,0,0,0,0.008
0.00011824,9.621e-05,0.0007453,1.8257e-05,0.00023179,0.00049525,-0.00042662,0.00012661,0.00011773,0,-3.0901e-05,0.0015296,0.00099302,0.00019996,0.00027325,0.00012807,0.00026033,0.00038468,0.0014405,0.00078614,0.00041017,0,0,0,0,0,0,0.0064
6.9651e-05,4.6936e-05,0.00054205,1.5151e-05,0.00014759,0.0003793,-0.00033315,2.6733e-05,7.2689e-05,0,-3.6256e-05,0.0017947,0.00089298,0.00014903,0.00018942,9.3366e-05,0.0002225,0.00031548,0.0012,0.0008066,0.00046248,0,0,0,0,0,0,0.00512
3.5821e-05,1.5222e-05,0.00039822,1.1312e-05,9.4228e-05,0.00029268,-0.00025503,-2.8759e-05,4.0348e-05,0,-3.9941e-05,0.0019771,0.00080471,0.00010638,0.00012865,6.647e-05,0.00019363,0.00026986,0.0010159,0.00078458,0.00049152,0,0,0,0,0,0,0.004096
1.2354e-05,-5.0902e-06,0.00029559,7.3754e-06,6.0473e-05,0.00022774,-0.00019796,-5.7285e-05,1.722e-05,0,-4.2286e-05,0.0020931,0.00072695,7.1254e-05,8.4353e-05,4.5687e-05,0.000171,0.00023911,0.00087296,0.00074073,0.00050392,0,0,0,0,0,0,0.0032768
-3.7917e-06,-1.7845e-05,0.00022174,3.7172e-06,3.9149e-05,0.00017888,-0.00015631,-6.9745e-05,8.1061e-07,0,-4.357e-05,0.0021567,0.00065849,4.2811e-05,5.1919e-05,2.9691e-05,0.00015282,0.00021767,0.0007601,0.00068734,0.0005045,0,0,0,0,0,0,0.0026214
-1.4741e-05,-2.5578e-05,0.00016818,5.1601e-07,2.5679e-05,0.00014198,-0.00012556,-7.2923e-05,-1.0684e-05,0,-4.4023e-05,0.0021791,0.00059814,2.0143e-05,2.8126e-05,1.7447e-05,0.00013788,0.000202,0.00066944,0.00063151,0.00049681,0,0,0,0,0,0,0.0020972
-2.1992e-05,-2.998e-05,0.00012901,-2.1677e-06,1.7154e-05,0.00011402,-0.00010255,-7.099e-05,-1.8578e-05,0,-4.3834e-05,0.0021698,0.00054485,2.3561e-06,1.0683e-05,8.1399e-06,0.00012534,0.00018986,0.0005954,0.00057716,0.00048344,0,0,0,0,0,0,0.0016777
-2.6607e-05,-3.2179e-05,0.00010014,-4.3402e-06,1.1732e-05,9.2751e-05,-8.508e-05,-6.6468e-05,-2.383e-05,0,-4.3158e-05,0.0021363,0.00049765,-1.1369e-05,-2.0556e-06,1.1309e-06,0.00011461,0.00017985,0.00053398,0.00052628,0.00046629,0,0,0,0,0,0,0.0013422
-2.9343e-05,-3.2932e-05,7.8697e-05,-6.0423e-06,8.251e-06,7.6488e-05,-7.1628e-05,-6.085e-05,-2.7149e-05,0,-4.2118e-05,0.0020848,0.0004557,-2.1757e-05,-1.1281e-05,-4.0827e-06,0.00010528,0.00017111,0.00048226,0.00047969,0.00044675,0,0,0,0,0,0,0.0010737
-3.0745e-05,-3.2746e-05,6.2639e-05,-7.33e-06,5.9823e-06,6.3987e-05,-6.1121e-05,-5.4986e-05,-2.9057e-05,0,-4.0813e-05,0.0020203,0.00041828,-2.9434e-05,-1.7869e-05,-7.8962e-06,9.7062e-05,0.00016312,0.00043813,0.0004376,0.00042584,0,0,0,0,0,0,0.00085899
-3.1203e-05,-3.1962e-05,5.052e-05,-8.2636e-06,4.4704e-06,5.4314e-05,-5.2797e-05,-4.9337e-05,-2.9941e-05,0,-3.9325e-05,0.0019466,0.00038479,-3.4928e-05,-2.2466e-05,-1.0621e-05,8.9739e-05,0.00015558,0.00040001,0.00039983,0.00040429,0,0,0,0,0,0,0.00068719
-3.1002e-05,-3.0809e-05,4.13e-05,-8.9015e-06,3.4323e-06,4.6769e-05,-4.6111e-05,-4.4129e-05,-3.0088e-05,0,-3.7714e-05,0.0018668,0.00035469,-3.868e-05,-2.5558e-05,-1.2502e-05,8.3154e-05,0.00014833,0.00036672,0.00036604,0.00038263,0,0,0,0,0,0,0.00054976
-3.0347e-05,-2.9442e-05,3.4226e-05,-9.2969e-06,2.6934e-06,4.0829e-05,-4.0666e-05,-3.945e-05,-2.9713e-05,0,-3.603e-05,0.0017835,0.00032754,-4.1055e-05,-2.751e-05,-1.3732e-05,7.719e-05,0.00014129,0.00033736,0.00033584,0.00036125,0,0,0,0,0,0,0.0004398
-2.9387e-05,-2.7964e-05,2.875e-05,-9.4968e-06,2.1462e-06,3.6101e-05,-3.6174e-05,-3.5309e-05,-2.8974e-05,0,-3.4313e-05,0.0016985,0.00030295,-4.2351e-05,-2.8601e-05,-1.4463e-05,7.1756e-05,0.00013441,0.00031124,0.00030881,0.00034039,0,0,0,0,0,0,0.00035184
-2.823e-05,-2.6443e-05,2.4472e-05,-9.5415e-06,1.7251e-06,3.2288e-05,-3.2421e-05,-3.1679e-05,-2.799e-05,0,-3.259e-05,0.0016132,0.00028062,-4.281e-05,-2.9041e-05,-1.4813e-05,6.6781e-05,0.00012769,0.00028784,0.00028456,0.00032025,0,0,0,0,0,0,0.00028147
-2.6955e-05,-2.4926e-05,2.1096e-05,-9.465e-06,1.3898e-06,2.9171e-05,-2.9247e-05,-2.8509e-05,-2.6847e-05,0,-3.0885e-05,0.0015288,0.00026028,-4.2627e-05,-2.8996e-05,-1.4877e-05,6.2209e-05,0.00012114,0.00026672,0.00026273,0.00030092,0,0,0,0,0,0,0.00022518
-2.5619e-05,-2.3441e-05,1.8403e-05,-9.2955e-06,1.1156e-06,2.6583e-05,-2.6533e-05,-2.5745e-05,-2.5611e-05,0,-2.9214e-05,0.0014461,0.00024168,-4.1961e-05,-2.859e-05,-1.4726e-05,5.7994e-05,0.00011477,0.00024756,0.00024302,0.00028249,0,0,0,0,0,0,0.00018014
-2.4263e-05,-2.2006e-05,1.623e-05,-9.0562e-06,8.8715e-07,2.4399e-05,-2.4187e-05,-2.3333e-05,-2.4327e-05,0,-2.759e-05,0.0013657,0.00022463,-4.0936e-05,-2.7921e-05,-1.4419e-05,5.4097e-05,0.0001086,0.0002301,0.00022516,0.00026498,0,0,0,0,0,0,0.00014412
-2.2914e-05,-2.0634e-05,1.4456e-05,-8.7661e-06,6.9472e-07,2.2527e-05,-2.214e-05,-2.1222e-05,-2.3032e-05,0,-2.6021e-05,0.0012881,0.00020897,-3.9654e-05,-2.7065e-05,-1.3999e-05,5.0489e-05,0.00010263,0.00021411,0.00020891,0.0002484,0,0,0,0,0,0,0.00011529
-2.1593e-05,-1.933e-05,1.2988e-05,-8.4405e-06,5.3173e-07,2.0897e-05,-2.0338e-05,-1.9369e-05,-2.1748e-05,0,-2.4514e-05,0.0012134,0.00019456,-3.8192e-05,-2.6079e-05,-1.3501e-05,4.714e-05,9.6893e-05,0.00019943,0.00019408,0.00023275,0,0,0,0,0,0,9.2234e-05
-2.0314e-05,-1.8096e-05,1.1759e-05,-8.0914e-06,3.936e-07,1.9457e-05,-1.8739e-05,-1.7733e-05,-2.0494e-05,0,-2.3071e-05,0.001142,0.00018126,-3.6612e-05,-2.5009e-05,-1.2952e-05,4.403e-05,9.1384e-05,0.0001859,0.00018051,0.000218,0,0,0,0,0,0,7.3787e-05
-1.9085e-05,-1.6933e-05,1.0715e-05,-7.7285e-06,2.7687e-07,1.8167e-05,-1.7309e-05,-1.6284e-05,-1.928e-05,0,-2.1696e-05,0.0010739,0.00016896,-3.4964e-05,-2.3889e-05,-1.2373e-05,4.1136e-05,8.6111e-05,0.0001734,0.00016804,0.00020413,0,0,0,0,0,0,5.903e-05
-1.7911e-05,-1.5839e-05,9.8186e-06,-7.3595e-06,1.7875e-07,1.6999e-05,-1.6022e-05,-1.4992e-05,-1.8114e-05,0,-2.0388e-05,0.0010092,0.00015758,-3.3284e-05,-2.2747e-05,-1.1778e-05,3.8442e-05,8.1077e-05,0.00016184,0.00015656,0.00019109,0,0,0,0,0,0,4.7224e-05
-1.6796e-05,-1.4812e-05,9.0383e-06,-6.9902e-06,9.6891e-08,1.5932e-05,-1.4858e-05,-1.3835e-05,-1.7002e-05,0,-1.9147e-05,0.00094778,0.00014704,-3.1602e-05,-2.1601e-05,-1.118e-05,3.5932e-05,7.6282e-05,0.00015111,0.00014597,0.00017885,0,0,0,0,0,0,3.7779e-05
-1.574e-05,-1.385e-05,8.3516e-06,-6.6251e-06,2.9237e-08,1.4947e-05,-1.3799e-05,-1.2794e-05,-1.5945e-05,0,-1.7973e-05,0.00088964,0.00013725,-2.9939e-05,-2.0467e-05,-1.0588e-05,3.3591e-05,7.1726e-05,0.00014115,0.00013618,0.00016738,0,0,0,0,0,0,3.0223e-05
