piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00041517,0.00029201,0.0011134,0.00014245,4.4391e-05,0.0009266,-0.0057272,0.00079042,0.00038997,0,-6.6094e-06,0.00032716,0.0014073,0.00095057,-9.9389e-05,-1.8989e-05,0.00040132,0.0012842,-0.004135,0.00060511,0.00028068,0,0,0.01,0,0,0,0
0.0003015,0.00029461,0.0007642,0.00017545,-9.9998e-05,0.00068875,1.8293e-06,0.00046463,0.00029021,0,-1.3909e-05,0.0006885,0.0014261,0.00095026,-0.00015781,-3.312e-05,0.00036501,0.0010154,-0.0041337,0.00096081,0.00048955,0,0,0.009,0,0,0,0
0.00021253,0.00020544,0.00050708,0.00017258,-0.00017556,0.00051006,0.00045808,0.00024595,0.00021017,0,-2.0732e-05,0.0010262,0.0013964,0.00087423,-0.00018874,-4.3354e-05,0.00032789,0.00081973,-0.0038029,0.0011491,0.00064082,0,0,0.0081,0,0,0,0
0.00014634,0.00013603,0.00032985,0.00016328,-0.00020925,0.00037582,0.00049382,0.00010936,0.00014886,0,-2.6861e-05,0.0013296,0.0013543,0.00079227,-0.00020249,-5.0603e-05,0.00029961,0.00067999,-0.0034464,0.0012328,0.00074796,0,0,0.00729,0,0,0,0
9.6999e-05,8.6334e-05,0.00020839,0.00015154,-0.00021814,0.00027499,0.00048117,2.6051e-05,0.00010187,0,-3.2226e-05,0.0015952,0.0013057,0.00071241,-0.00020577,-5.5564e-05,0.00027779,0.0005792,-0.003099,0.0012528,0.00082128,0,0,0.006561,0,0,0,0
6e-05,5.0778e-05,0.00012528,0.00013881,-0.0002129,0.00019937,0.00045521,-2.3464e-05,6.5742e-05,0,-3.6815e-05,0.0018223,0.0012534,0.00063686,-0.00020282,-5.8765e-05,0.00026023,0.0005054,-0.0027703,0.0012348,0.0008686,0,0,0.0059049,0,0,0,0
3.2136e-05,2.5166e-05,6.8626e-05,0.00012591,-0.00020015,0.00014286,0.00042331,-5.1737e-05,3.7907e-05,0,-4.0652e-05,0.0020123,0.0011992,0.0005666,-0.00019631,-6.0611e-05,0.0002455,0.00045041,-0.0024647,0.0011952,0.00089588,0,0,0.0053144,0,0,0,0
1.1107e-05,6.6102e-06,3.0308e-05,0.00011335,-0.00018389,0.00010085,0.00038902,-6.6793e-05,1.6464e-05,0,-4.3779e-05,0.0021671,0.0011444,0.00050203,-0.00018791,-6.1412e-05,0.00023264,0.00040859,-0.0021838,0.0011441,0.00090773,0,0,0.004783,0,0,0,0
-4.7556e-06,-6.8801e-06,4.7496e-06,0.00010142,-0.00016651,6.9842e-05,0.00035446,-7.3736e-05,-1.5085e-08,0,-4.6252e-05,0.0022895,0.0010897,0.0004432,-0.00017864,-6.1411e-05,0.00022107,0.00037604,-0.0019279,0.0010876,0.00090772,0,0,0.0043047,0,0,0,0
-1.6675e-05,-1.6687e-05,-1.1904e-05,9.0275e-05,-0.00014938,4.7198e-05,0.0003209,-7.5796e-05,-1.2616e-05,0,-4.8129e-05,0.0023824,0.0010359,0.00038994,-0.00016911,-6.0797e-05,0.0002104,0.00035007,-0.0016962,0.0010296,0.00089864,0,0,0.0038742,0,0,0,0
