piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00084697,0.0019887,0.0031933,-5.918e-05,0.0010544,0.0021981,0.0076163,0.0019864,0.00076688,0,-2.1022e-05,0.0010406,0.0026061,0.00039563,0.0010076,0.00044959,-0.00051959,0.00065094,0.0054989,0.0015207,0.00055195,0,0,0,0,0,0.01,0
0.00055169,0.00041641,0.0021332,-5.2009e-05,0.00054952,0.0016357,-0.00084904,0.0010223,0.00051921,0,-3.8218e-05,0.0018918,0.0024419,0.00028759,0.00069049,0.00035127,-0.00049076,0.0002607,0.0048859,0.0023033,0.00092564,0,0,0,0,0,0.0085,0
0.00035319,0.00019347,0.0014462,-2.3064e-05,0.00024951,0.0012198,-0.0011111,0.00045637,0.00034623,0,-5.2751e-05,0.0026112,0.002311,0.00026038,0.00047278,0.00027233,-0.00042185,5.4241e-05,0.0040837,0.0026527,0.0011748,0,0,0,0,0,0.007225,0
0.00021406,6.0169e-05,0.00098233,-5.7035e-06,7.6858e-05,0.00091118,-0.00087452,0.00012088,0.00022069,0,-6.4726e-05,0.0032039,0.0021752,0.00022566,0.00032131,0.00020881,-0.00034784,-4.6077e-05,0.0034523,0.0027453,0.0013337,0,0,0,0,0,0.0061412,0
0.00011601,-2.3467e-05,0.00066678,2.6531e-06,-1.7611e-05,0.00068174,-0.00067596,-7.163e-05,0.00012916,0,-7.4292e-05,0.0036775,0.0020381,0.00018496,0.00021449,0.00015766,-0.00027662,-8.2326e-05,0.0029643,0.0026904,0.0014266,0,0,0,0,0,0.0052201,0
4.6971e-05,-7.5049e-05,0.0004516,5.4537e-06,-6.4917e-05,0.00051106,-0.00053138,-0.00017553,6.2507e-05,0,-8.1667e-05,0.0040425,0.0019036,0.00014319,0.0001381,0.00011649,-0.00021147,-8.0987e-05,0.0025806,0.002556,0.0014716,0,0,0,0,0,0.0044371,0
-1.4025e-06,-0.00010557,0.00030468,5.034e-06,-8.4483e-05,0.00038413,-0.00042601,-0.00022531,1.4209e-05,0,-8.71e-05,0.0043114,0.0017743,0.00010343,8.2742e-05,8.3393e-05,-0.00015381,-5.8927e-05,0.0022731,0.0023836,0.0014818,0,0,0,0,0,0.0037715,0
-3.4958e-05,-0.00012225,0.0002044,2.8818e-06,-8.8339e-05,0.00028986,-0.00034803,-0.00024277,-2.048e-05,0,-9.0842e-05,0.0044967,0.0016515,6.7302e-05,4.2133e-05,5.6843e-05,-0.00010396,-2.6771e-05,0.0020218,0.0021977,0.0014671,0,0,0,0,0,0.0032058,0
-5.7829e-05,-0.00012991,0.0001361,-7.4492e-08,-8.3829e-05,0.00022,-0.0002893,-0.00024158,-4.5034e-05,0,-9.3139e-05,0.0046104,0.0015359,3.5506e-05,1.2045e-05,3.5621e-05,-6.1669e-05,8.9139e-06,0.0018129,0.0020128,0.0014347,0,0,0,0,0,0.0027249,0
-7.2968e-05,-0.00013173,8.9779e-05,-3.2691e-06,-7.5348e-05,0.0001684,-0.00024427,-0.00023022,-6.2021e-05,0,-9.4215e-05,0.0046636,0.0014278,8.2091e-06,-1.0401e-05,1.8739e-05,-2.6354e-05,4.4195e-05,0.0016365,0.0018365,0.0013901,0,0,0,0,0,0.0023162,0
