piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00034795,0.00043854,0.0016073,1.8943e-05,0.00058819,0.0010002,0.0030402,0.00069213,0.00032366,0,-1.1485e-05,0.00056852,0.0013469,0.00032528,0.00054168,0.00022771,0.00043143,0.0008317,0.002195,0.00052987,0.00023295,0.01,0,0,0,0,0,0
0.00023398,0.00022267,0.0011695,1.1793e-05,0.00038822,0.00076949,-0.00028149,0.00036587,0.00022489,0,-2.069e-05,0.0010241,0.0012501,0.00024752,0.00040137,0.00018024,0.00035706,0.0006228,0.0019918,0.00080997,0.00039481,0.0085,0,0,0,0,0,0
0.00015565,0.00013163,0.00087101,1.5543e-05,0.00026025,0.00059521,-0.00040315,0.00017379,0.00015447,0,-2.8232e-05,0.0013975,0.001171,0.00020862,0.00029936,0.00014167,0.00030927,0.00048703,0.0017007,0.00094302,0.00050599,0.007225,0,0,0,0,0,0
9.9394e-05,7.3915e-05,0.0006576,1.6551e-05,0.00017819,0.00046286,-0.0003242,5.8423e-05,0.0001023,0,-3.428e-05,0.0016969,0.0010939,0.00017249,0.00022387,0.00011031,0.00027335,0.00039611,0.0014666,0.00098774,0.00057962,0.0061412,0,0,0,0,0,0
5.8687e-05,3.5005e-05,0.00050265,1.5356e-05,0.00012534,0.00036196,-0.00025557,-9.1983e-06,6.3447e-05,0,-3.8995e-05,0.0019302,0.0010192,0.00013846,0.00016711,8.4788e-05,0.00024513,0.00033458,0.0012821,0.0009807,0.00062528,0.0052201,0,0,0,0,0,0
2.9191e-05,8.6408e-06,0.0003888,1.2971e-05,9.1017e-05,0.00028481,-0.00020498,-4.7048e-05,3.4519e-05,0,-4.2539e-05,0.0021057,0.00094797,0.0001075,0.0001238,6.4043e-05,0.00022225,0.00029241,0.0011341,0.00094468,0.00065013,0.0044371,0,0,0,0,0,0
7.8576e-06,-9.1303e-06,0.00030418,1.0071e-05,6.8444e-05,0.00022567,-0.00016767,-6.654e-05,1.305e-05,0,-4.5074e-05,0.0022311,0.00088081,8.01e-05,9.0323e-05,4.7204e-05,0.00020317,0.00026297,0.0010131,0.00089374,0.00065952,0.0037715,0,0,0,0,0,0
-7.4847e-06,-2.0967e-05,0.00024058,7.0648e-06,5.3304e-05,0.00018021,-0.0001397,-7.491e-05,-2.783e-06,0,-4.6749e-05,0.0023141,0.00081793,5.6339e-05,6.4175e-05,3.3566e-05,0.00018686,0.00024185,0.0009122,0.00083639,0.00065752,0.0032058,0,0,0,0,0,0
-1.8401e-05,-2.868e-05,0.00019227,4.1898e-06,4.2874e-05,0.00014521,-0.00011834,-7.6717e-05,-1.4336e-05,0,-4.7701e-05,0.0023612,0.00075934,3.6074e-05,4.3589e-05,2.2556e-05,0.00017263,0.00022614,0.00082676,0.00077766,0.0006472,0.0027249,0,0,0,0,0,0
-2.6028e-05,-3.3512e-05,0.00015521,1.5723e-06,3.5439e-05,0.0001182,-0.00010172,-7.4803e-05,-2.263e-05,0,-4.8052e-05,0.0023786,0.00070492,1.9037e-05,2.7297e-05,1.3707e-05,0.00016001,0.0002139,0.00075332,0.0007204,0.00063091,0.0023162,0,0,0,0,0,0
-3.1203e-05,-3.6327e-05,0.0001265,-7.2957e-07,2.9926e-05,9.7299e-05,-8.8537e-05,-7.0921e-05,-2.8437e-05,0,-4.7909e-05,0.0023715,0.00065448,4.8997e-06,1.4371e-05,6.6329e-06,0.00014866,0.00020387,0.0006894,0.0006661,0.00061045,0.0019687,0,0,0,0,0,0
-3.4546e-05,-3.7723e-05,0.00010406,-2.6993e-06,2.5666e-05,8.109e-05,-7.7904e-05,-6.6132e-05,-3.2346e-05,0,-4.7365e-05,0.0023446,0.00060778,-6.6772e-06,4.1205e-06,1.0181e-06,0.00013837,0.0001952,0.00063315,0.00061547,0.00058716,0.0016734,0,0,0,0,0,0
-3.6519e-05,-3.8124e-05,8.6373e-05,-4.3451e-06,2.2242e-05,6.8476e-05,-6.9181e-05,-6.1062e-05,-3.481e-05,0,-4.6501e-05,0.0023018,0.00056458,-1.6026e-05,-3.9831e-06,-3.3983e-06,0.00012895,0.00018738,0.0005832,0.00056873,0.00056211,0.0014224,0,0,0,0,0,0
-3.7471e-05,-3.7829e-05,7.2328e-05,-5.6889e-06,1.9399e-05,5.8618e-05,-6.1914e-05,-5.6066e-05,-3.6176e-05,0,-4.5384e-05,0.0022465,0.00052463,-2.3456e-05,-1.0348e-05,-6.8314e-06,0.00012028,0.00018005,0.0005385,0.0005258,0.00053607,0.0012091,0,0,0,0,0,0
