piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX1,EX2,EX3,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.0025171,-0.0038433,-0.022863,0.0024177,-0.0036239,-0.021657,-0.039359,-0.0065605,-0.0022311,0,0.0098146,0.014179,-0.011317,0.0065326,0.00082494,0.00010864,-0.0057315,-0.025801,-0.028417,-0.0050225,-0.0016058,0,0.01,0,0,0,0,0
-0.00090483,-0.0006972,-0.013655,0.0017145,-0.0013454,-0.014024,0.010863,-0.0018568,-0.00084037,0,0.0075937,0.024114,-0.0080944,0.0047296,0.0010584,0.00014956,-0.0036446,-0.016506,-0.020574,-0.006444,-0.0022106,0,0.008,0,0,0,0,0
1.3422e-05,0.00034151,-0.0077703,0.0010461,-0.00019202,-0.0086244,0.010515,0.0004822,-2.0617e-05,0,0.0058455,0.030647,-0.0056835,0.0029844,0.00099778,0.00015056,-0.0022822,-0.010101,-0.012982,-0.0060748,-0.0022255,0,0.0064,0,0,0,0,0
0.00052606,0.00081831,-0.0039479,0.00057741,0.00032009,-0.0048454,0.0076089,0.0015557,0.00045355,0,0.0044711,0.034683,-0.0037265,0.0017215,0.00080216,0.00012848,-0.0013255,-0.0056662,-0.0074884,-0.0048838,-0.001899,0,0.00512,0,0,0,0,0
0.00078137,0.0010085,-0.0014979,0.0002597,0.00048255,-0.0022401,0.0053489,0.0019195,0.00070168,0,0.0033917,0.036912,-0.002146,0.00083369,0.0005608,9.4311e-05,-0.00064791,-0.0026155,-0.0036266,-0.0034143,-0.001394,0,0.004096,0,0,0,0,0
0.00087492,0.0010345,3.377e-05,4.755e-05,0.00046759,-0.00048137,0.0037243,0.001902,0.00080319,0,0.0025454,0.037842,-0.00088578,0.00021556,0.00032164,5.5201e-05,-0.0001687,-0.00054179,-0.00093768,-0.0019582,-0.00081592,0,0.0032768,0,0,0,0,0
0.00086991,0.00096967,0.00095314,-9.1383e-05,0.00037414,0.00067039,0.0025621,0.0016979,0.00081216,0,0.0018833,0.03785,0.00010503,-0.00020968,0.00010814,1.5654e-05,0.00016817,0.00084195,0.00091212,-0.00065837,-0.00023138,0,0.0026214,0,0,0,0,0
0.00080794,0.0008594,0.0014675,-0.00017962,0.00025663,0.0013905,0.0017295,0.0014197,0.00076532,0,0.0013665,0.037215,0.00087185,-0.00049674,-7.0384e-05,-2.1612e-05,0.00040224,0.001739,0.0021608,0.00042852,0.00031944,0,0.0020972,0,0,0,0,0
0.00071613,0.0007312,0.0017173,-0.00023287,0.00014308,0.0018071,0.0011327,0.0011297,0.00068735,0,0.00096456,0.03614,0.0014543,-0.00068474,-0.00021243,-5.5081e-05,0.00056164,0.0022939,0.0029787,0.0012934,0.00081415,0,0.0016777,0,0,0,0,0
0.00061184,0.00060127,0.0017973,-0.00026209,4.6164e-05,0.0020133,0.00070534,0.00085969,0.00059461,0,0.00065316,0.034777,0.0018864,-0.00080181,-0.00032053,-8.4035e-05,0.00066662,0.0026095,0.0034879,0.0019515,0.0012421,0,0.0013422,0,0,0,0,0
0.00050589,0.00047866,0.0017716,-0.00027498,-2.9983e-05,0.0020766,0.00040021,0.00062408,0.0004977,0,0.00041315,0.033236,0.0021968,-0.00086824,-0.000399,-0.00010827,0.00073181,0.0027594,0.0037769,0.0024293,0.0016003,0,0.0010737,0,0,0,0,0
0.00040476,0.00036795,0.0016831,-0.00027691,-8.5701e-05,0.0020457,0.00018364,0.00042702,0.00040324,0,0.00022935,0.031597,0.0024094,-0.00089872,-0.0004527,-0.0001279,0.00076794,0.0027961,0.0039094,0.0027562,0.0018905,0,0.00085899,0,0,0,0,0
0.00031203,0.00027096,0.0015602,-0.00027165,-0.00012343,0.0019553,3.1385e-05,0.00026737,0.00031517,0,8.9734e-05,0.029918,0.0025441,-0.00090393,-0.00048632,-0.00014325,0.00078288,0.0027569,0.0039321,0.0029609,0.0021174,0,0.00068719,0,0,0,0,0
0.00022943,0.00018792,0.0014216,-0.00026184,-0.00014638,0.0018298,-7.4099e-05,0.00014135,0.00023559,0,-1.5196e-05,0.02824,0.0026173,-0.00089163,-0.00050409,-0.00015472,0.00078245,0.0026685,0.0038786,0.0030691,0.002287,0,0.00054976,0,0,0,0,0
0.00015749,0.00011814,0.0012792,-0.00024931,-0.00015779,0.0016863,-0.00014557,4.4225e-05,0.0001654,0,-9.2966e-05,0.026592,0.0026425,-0.00086747,-0.00050965,-0.00016278,0.00077099,0.0025496,0.0037735,0.0031029,0.002406,0,0.0004398,0,0,0,0,0
9.5988e-05,6.045e-05,0.0011405,-0.00023533,-0.00016058,0.0015364,-0.00019233,-2.8869e-05,0.0001047,0,-0.00014952,0.024994,0.0026304,-0.00083555,-0.00050602,-0.00016787,0.00075174,0.0024135,0.0036346,0.0030808,0.0024813,0,0.00035184,0,0,0,0,0
4.4292e-05,1.3482e-05,0.0010099,-0.00022074,-0.00015724,0.0013879,-0.00022121,-8.2441e-05,5.3132e-05,0,-0.00018957,0.023457,0.00259,-0.00079883,-0.00049566,-0.00017046,0.00072713,0.0022693,0.0034749,0.0030177,0.0025196,0,0.00028147,0,0,0,0,0
1.5264e-06,-2.416e-05,0.00088963,-0.00020614,-0.00014975,0.0012455,-0.00023721,-0.00012045,1.0032e-05,0,-0.00021681,0.021991,0.0025284,-0.00075946,-0.00048051,-0.00017095,0.00069897,0.0021234,0.0033037,0.0029255,0.0025268,0,0.00022518,0,0,0,0,0
-3.3279e-05,-5.3814e-05,0.00078072,-0.00019189,-0.00013969,0.0011123,-0.00024403,-0.00014627,-2.5402e-05,0,-0.00023418,0.020599,0.0024513,-0.00071896,-0.00046212,-0.00016971,0.00066862,0.0019798,0.0031275,0.0028135,0.0025085,0,0.00018014,0,0,0,0,0
-6.111e-05,-7.6712e-05,0.0006833,-0.00017824,-0.00012821,0.00098975,-0.00024436,-0.00016266,-5.4031e-05,0,-0.00024398,0.019283,0.0023633,-0.0006784,-0.00044166,-0.00016708,0.00063709,0.0018414,0.0029511,0.002689,0.0024696,0,0.00014412,0,0,0,0,0
-8.2912e-05,-9.3957e-05,0.00059696,-0.00016531,-0.00011618,0.00087844,-0.00024021,-0.00017189,-7.671e-05,0,-0.00024803,0.018042,0.002268,-0.00063853,-0.00042005,-0.00016335,0.00060515,0.0017097,0.0027776,0.0025574,0.0024144,0,0.00011529,0,0,0,0,0
-9.9565e-05,-0.00010651,0.00052098,-0.00015318,-0.00010419,0.00077835,-0.00023302,-0.00017574,-9.4256e-05,0,-0.00024775,0.016875,0.0021683,-0.00059985,-0.00039795,-0.00015876,0.00057334,0.0015856,0.0026094,0.0024229,0.0023466,0,9.2234e-05,0,0,0,0,0
-0.00011187,-0.00011522,0.00045448,-0.00014187,-9.2657e-05,0.00068901,-0.00022387,-0.00017565,-0.00010742,0,-0.00024426,0.01578,0.0020663,-0.0005627,-0.00037587,-0.00015353,0.00054208,0.0014695,0.0024477,0.0022884,0.0022693,0,7.3787e-05,0,0,0,0,0
-0.00012053,-0.00012079,0.00039655,-0.00013137,-8.1831e-05,0.00060975,-0.00021354,-0.00017271,-0.0001169,0,-0.00023843,0.014754,0.001964,-0.00052726,-0.00035415,-0.00014783,0.00051163,0.0013614,0.0022936,0.0021562,0.0021851,0,5.903e-05,0,0,0,0,0
-0.00012619,-0.00012384,0.00034622,-0.00012166,-7.1859e-05,0.00053974,-0.00020258,-0.00016777,-0.00012329,0,-0.00023094,0.013793,0.0018625,-0.00049363,-0.00033305,-0.00014183,0.00048221,0.0012613,0.0021473,0.0020277,0.0020964,0,4.7224e-05,0,0,0,0,0
-0.00012937,-0.00012486,0.00030262,-0.00011269,-6.2807e-05,0.00047813,-0.00019139,-0.0001615,-0.00012713,0,-0.00022231,0.012893,0.0017629,-0.00046187,-0.00031275,-0.00013564,0.00045395,0.0011687,0.0020091,0.0019041,0.0020049,0,3.7779e-05,0,0,0,0,0
-0.00013054,-0.00012429,0.00026491,-0.00010443,-5.4685e-05,0.00042403,-0.00018025,-0.00015438,-0.00012888,0,-0.00021295,0.012052,0.0016659,-0.00043195,-0.00029333,-0.00012937,0.00042693,0.0010832,0.001879,0.0017859,0.0019121,0,3.0223e-05,0,0,0,0,0
-0.00013011,-0.00012248,0.00023233,-9.6813e-05,-4.7466e-05,0.00037661,-0.00016935,-0.00014677,-0.00012895,0,-0.00020317,0.011266,0.0015721,-0.00040384,-0.00027488,-0.00012309,0.00040118,0.0010043,0.0017567,0.0016736,0.0018193,0,2.4179e-05,0,0,0,0,0
-0.00012841,-0.00011972,0.0002042,-8.9801e-05,-4.1099e-05,0.0003351,-0.00015882,-0.00013896,-0.00012768,0,-0.00019322,0.010531,0.0014818,-0.00037748,-0.00025741,-0.00011687,0.00037673,0.00093166,0.0016421,0.0015672,0.0017274,0,1.9343e-05,0,0,0,0,0
-0.00012573,-0.00011626,0.00017991,-8.3342e-05,-3.5521e-05,0.00029877,-0.00014875,-0.00013114,-0.00012535,0,-0.00018326,0.0098452,0.0013953,-0.00035279,-0.00024092,-0.00011077,0.00035357,0.00086469,0.0015347,0.0014668,0.0016372,0,1.5474e-05,0,0,0,0,0
-0.00012229,-0.00011228,0.00015893,-7.7393e-05,-3.0659e-05,0.00026698,-0.00013917,-0.00012344,-0.00012221,0,-0.00017343,0.009204,0.0013127,-0.00032969,-0.00022539,-0.00010482,0.00033168,0.00080297,0.0014342,0.0013723,0.0015493,0,1.2379e-05,0,0,0,0,0
-0.00011829,-0.00010795,0.00014078,-7.191e-05,-2.644e-05,0.00023913,-0.00013012,-0.00011597,-0.00011845,0,-0.00016384,0.008605,0.0012341,-0.0003081,-0.00021081,-9.9048e-05,0.00031102,0.00074606,0.0013402,0.0012835,0.001464,0,9.9035e-06,0,0,0,0,0
-0.00011391,-0.00010338,0.00012508,-6.6853e-05,-2.2793e-05,0.00021473,-0.00012158,-0.00010878,-0.00011426,0,-0.00015453,0.0080455,0.0011595,-0.00028792,-0.00019713,-9.3484e-05,0.00029154,0.00069357,0.0012525,0.0012002,0.0013818,0,7.9228e-06,0,0,0,0,0
-0.00010926,-9.8697e-05,0.00011147,-6.2186e-05,-1.965e-05,0.0001933,-0.00011357,-0.00010193,-0.00010976,0,-0.00014557,0.0075228,0.0010887,-0.00026907,-0.00018432,-8.8139e-05,0.00027321,0.00064511,0.0011705,0.0011222,0.0013028,0,6.3383e-06,0,0,0,0,0
-0.00010445,-9.3965e-05,9.9641e-05,-5.7874e-05,-1.6948e-05,0.00017446,-0.00010607,-9.5415e-05,-0.00010508,0,-0.00013699,0.0070344,0.0010218,-0.00025146,-0.00017232,-8.3023e-05,0.00025597,0.00060035,0.0010939,0.0010491,0.0012272,0,5.0706e-06,0,0,0,0,0
