regime,variable,eps_a1,eps_a2,eps_a3,eps_pF,eps_D,eps_pX,eps_rp
float,piDC,0.9997864395,8.852647379,39.3571305,2.235167831,0.5128609428,0.9450779324,47.09732898
float,PIC,0.4605882811,5.057351146,10.91090473,2.834597798,0.2206853539,0.4000780882,80.1157946
float,y_gap,0.4119092841,2.410977622,9.422859773,2.358271635,1.810820328,2.045899346,81.53926201
float,y_gap1,18.55233239,1.997086131,1.51535468,3.111022,1.762214181,1.918740795,71.14324982
float,y_gap2,2.901793935,21.53540787,24.07761602,1.475313533,1.459057239,1.760674736,46.79013666
float,y_gap3,0.4266593597,9.852251421,39.94089553,2.201704746,0.3869563819,0.4714784127,46.72005415
float,PI1,34.67423121,0.3475826078,17.33231357,1.337535631,0.05530847086,0.04775163309,46.20527687
float,PI2,0.2238442055,37.66915529,14.50126159,1.807944505,0.1272532471,0.2437221897,45.42681897
float,PI3,1.045983073,7.378415567,45.23989563,2.080062284,0.5320648593,0.978609842,42.74496875
float,I,0.3260531435,5.86533842,36.80253201,2.066894891,0.1547662712,0.1684771817,54.61593809
float,BSTAR,1.594032444,0.5530030176,0.00350106574,5.065848785,0.9805868468,1.359486796,90.44354104
peg,piDC,2.161004718,0.2004142837,19.71603892,7.550296929,0.8838024531,1.343375948,68.14506674
peg,PIC,0.9249416111,1.018413131,7.99366535,14.99056993,0.6835684924,0.9847923477,73.40404914
peg,y_gap,0.2517644575,0.244389751,5.724884941,2.070905521,0.4949503609,0.6464191767,90.56668579
peg,y_gap1,1.915506009,0.5085421628,1.357073771,0.1187357713,0.03398474072,0.02728724698,96.0388703
peg,y_gap2,1.659281769,14.74178247,3.448573545,6.5435251,2.361206368,2.716890566,68.52874019
peg,y_gap3,0.2109508361,0.1441240139,7.754689322,1.218573883,0.1998357311,0.282361856,90.18946436
peg,PI1,1.709490064,0.0258289839,1.04843367,3.065022459,0.4051604261,0.48403942,93.26202498
peg,PI2,1.196275659,11.21523402,1.020250236,6.940606744,0.6197297921,0.8532679029,78.15463565
peg,PI3,2.258672798,0.3873366762,24.08723039,7.378400793,0.8953286631,1.378099424,63.61493126
peg,I,0.02566912277,0.008756751159,0.01690857027,0.07336177626,0.01374539871,0.01881479136,99.84274359
peg,BSTAR,0.6858969146,0.2339865159,0.4518088242,1.960277975,0.3672866676,0.5027443852,95.79799872
managed,piDC,6.088313473,0.8677779575,56.5082174,17.46807479,1.317477751,2.038543451,15.71159518
managed,PIC,2.59215136,6.567085007,15.83285837,28.50619411,0.5378603081,0.8369826552,45.12686819
managed,y_gap,0.2329477209,1.564854936,14.15702133,4.762928631,1.626268582,2.153296061,75.50268274
managed,y_gap1,7.224105298,1.298226172,0.420089549,0.597456087,0.4888664904,0.4766410868,89.49461532
managed,y_gap2,5.143790142,40.67152905,29.76092046,6.24059376,3.744519283,4.344177882,10.09446942
managed,y_gap3,0.1778442611,0.8715705622,17.22940804,1.423678375,0.2142394051,0.3059316474,79.77732771
managed,PI1,50.36742303,0.02077878643,4.976917874,11.23018874,1.008227601,1.076460492,31.32000347
managed,PI2,2.72203847,71.97813462,3.360196263,15.61440939,0.6632420422,0.8945156847,4.767463531
managed,PI3,5.515813862,0.1174759606,61.97063286,14.75855614,1.179358976,1.845811426,14.61235077
managed,I,0.3163386385,0.5432626352,7.323725456,1.664096065,0.1884953714,0.2141106844,89.74997115
managed,BSTAR,1.110734488,0.3670408332,0.151206914,3.427386289,0.657470419,0.8984171167,93.38774394
