piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-5.0375e-05,-0.00033708,0.00049285,1.8251e-05,0.00013121,0.00034339,-0.00027039,-0.00015366,-4.317e-05,-0.00225,0.00017259,0.0012129,0.00068042,0.0012133,0.00079756,-0.0003939,-0.00041552,-0.00022738,-6.6476e-05,0,0,0,0,0,0,0.01
-3.9741e-05,-2.0119e-05,0.00038444,1.4634e-05,0.00011749,0.00025232,-2.1604e-05,-9.8247e-05,-3.568e-05,-0.0020549,0.00013395,0.0020868,0.00042861,0.00088889,0.00073393,-0.00019456,-0.00044872,-0.00037276,-0.00012142,0,0,0,0,0,0,0.008
-3.1453e-05,-1.0385e-05,0.00029754,1.1294e-05,0.00010329,0.00018296,3.3885e-06,-6.0742e-05,-2.9424e-05,-0.0018805,0.00010261,0.0026974,0.00023379,0.00063549,0.00067488,-4.5304e-05,-0.00044351,-0.00046265,-0.00016673,0,0,0,0,0,0,0.0064
-2.4954e-05,-4.1179e-06,0.00022831,8.6179e-06,8.9595e-05,0.0001301,5.7484e-06,-3.5568e-05,-2.4221e-05,-0.001725,7.7501e-05,0.0031045,8.2804e-05,0.00043857,0.00062034,6.503e-05,-0.00043468,-0.00051528,-0.00020402,0,0,0,0,0,0,0.00512
-1.9843e-05,4.6939e-08,0.00017337,6.5106e-06,7.6962e-05,8.9901e-05,5.5823e-06,-1.8869e-05,-1.9914e-05,-0.0015862,5.7498e-05,0.0033552,-3.4175e-05,0.00028643,0.00057011,0.00014507,-0.0004261,-0.0005432,-0.00023469,0,0,0,0,0,0,0.004096
-1.5813e-05,2.7727e-06,0.00012992,4.8584e-06,6.5641e-05,5.9424e-05,5.0277e-06,-7.9689e-06,-1.6361e-05,-0.0014621,4.1658e-05,0.0034869,-0.00012472,0.00016971,0.00052392,0.00020159,-0.00041837,-0.00055499,-0.00025988,0,0,0,0,0,0,0.0032768
-1.263e-05,4.4981e-06,9.5694e-05,3.5669e-06,5.57e-05,3.6426e-05,4.3894e-06,-1.0122e-06,-1.344e-05,-0.0013512,2.9193e-05,0.0035289,-0.00019467,8.0976e-05,0.00048149,0.00023994,-0.00041163,-0.00055649,-0.00028058,0,0,0,0,0,0,0.0026214
-1.011e-05,5.5299e-06,6.8845e-05,2.5608e-06,4.7099e-05,1.9186e-05,3.7528e-06,3.2824e-06,-1.1043e-05,-0.0012517,1.9452e-05,0.0035041,-0.00024858,1.4266e-05,0.00044254,0.00026433,-0.00040586,-0.00055163,-0.00029758,0,0,0,0,0,0,0.0020972
-8.1117e-06,6.084e-06,4.7894e-05,1.7804e-06,3.9737e-05,6.3762e-06,3.1569e-06,5.7969e-06,-9.0793e-06,-0.0011623,1.1898e-05,0.0034305,-0.00028999,-3.5147e-05,0.0004068,0.00027808,-0.00040101,-0.00054305,-0.00031156,0,0,0,0,0,0,0.0016777
-6.5234e-06,6.3124e-06,3.1642e-05,1.1781e-06,3.3488e-05,-3.0239e-06,2.6204e-06,7.1362e-06,-7.4734e-06,-0.001082,6.097e-06,0.0033222,-0.00032163,-7.1027e-05,0.000374,0.00028379,-0.00039698,-0.00053249,-0.00032307,0,0,0,0,0,0,0.0013422
