piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00019152,-0.00045883,-0.00040147,1.9127e-05,-0.0014164,0.00099581,0.00058643,-0.0025174,-3.0077e-05,0.00045568,-0.00049294,0.00037967,0.0023764,0.00044674,-0.00021215,0.0017309,0.0009012,-0.0037252,-4.6315e-05,0,0,0,0.01,0,0,0
-0.0001518,-0.00041464,-0.00027132,1.2991e-05,-0.0009445,0.00066019,-0.00027333,-0.001562,-5.3833e-05,-2.4737e-05,-0.00036702,0.00066596,0.001493,0.00041461,-9.5079e-05,0.0016543,0.00048116,-0.0060366,-0.00012921,0,0,0,0.009,0,0,0
-0.000122,-0.00027609,-0.00018027,1.0227e-05,-0.00061701,0.00042651,-0.00027707,-0.00090894,-6.7318e-05,-0.00037477,-0.00027589,0.00088008,0.00083127,0.00037849,-1.3321e-05,0.0015632,5.5374e-05,-0.0073816,-0.00023287,0,0,0,0.0081,0,0,0
-9.9479e-05,-0.00017856,-0.00011761,8.3026e-06,-0.00039078,0.00026487,-0.00021852,-0.00046733,-7.3912e-05,-0.0006303,-0.00021012,0.001038,0.00033101,0.00034089,4.303e-05,0.0014645,-0.00028043,-0.0080732,-0.00034668,0,0,0,0.00729,0,0,0
-8.2253e-05,-0.00011114,-7.486e-05,6.8323e-06,-0.00023552,0.00015382,-0.00016969,-0.00017301,-7.5936e-05,-0.00081756,-0.00016243,0.0011518,-5.1818e-05,0.0003037,8.1248e-05,0.0013634,-0.00054121,-0.0083292,-0.00046362,0,0,0,0.006561,0,0,0
-6.8896e-05,-6.4951e-05,-4.5987e-05,5.6819e-06,-0.0001299,7.8227e-05,-0.00013318,1.9091e-05,-7.4998e-05,-0.00095534,-0.00012761,0.0012307,-0.00034871,0.00026813,0.00010653,0.0012633,-0.00074587,-0.0083009,-0.0005791,0,0,0,0.0059049,0,0,0
-5.8391e-05,-3.3627e-05,-2.6739e-05,4.7684e-06,-5.8923e-05,2.7415e-05,-0.00010602,0.00014061,-7.2206e-05,-0.0010571,-0.00010197,0.001282,-0.0005822,0.00023486,0.00012259,0.0011666,-0.0009088,-0.0080928,-0.00069029,0,0,0,0.0053144,0,0,0
-5.0004e-05,-1.2673e-05,-1.4136e-05,4.0334e-06,-1.2049e-05,-6.1204e-06,-8.565e-05,0.00021372,-6.8316e-05,-0.0011324,-8.2903e-05,0.0013113,-0.00076849,0.00020426,0.00013206,0.0010744,-0.0010404,-0.0077766,-0.00079549,0,0,0,0.004783,0,0,0
-4.321e-05,1.0724e-06,-6.0918e-06,3.4345e-06,1.8135e-05,-2.7661e-05,-7.0194e-05,0.00025393,-6.3844e-05,-0.0011882,-6.8546e-05,0.001323,-0.00091927,0.00017646,0.00013685,0.00098764,-0.0011483,-0.0074008,-0.0008938,0,0,0,0.0043047,0,0,0
-3.7627e-05,9.8304e-06,-1.1504e-06,2.9408e-06,3.6824e-05,-4.0916e-05,-5.8315e-05,0.00027205,-5.9133e-05,-0.0012296,-5.7592e-05,0.0013207,-0.001043,0.00015143,0.00013831,0.00090655,-0.0012379,-0.0069983,-0.00098485,0,0,0,0.0038742,0,0,0
