piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00017871,0.00076913,0.0006223,7.0103e-07,0.00010526,0.00051634,0.00083082,0.00039844,0.00016336,-0.005339,0.00058507,0.0023018,0.0011826,0.0019012,-0.0019021,-0.0022926,0.0012768,0.0005896,0.00025155,0,0,0,0,0,0.01,0
0.00014905,4.224e-05,0.00049132,-1.7451e-06,5.4326e-05,0.00043873,0.00012942,0.00025913,0.00014141,-0.0047137,0.00047397,0.00408,0.0012666,0.0014533,-0.0014472,-0.0017321,0.0014756,0.00097305,0.0004693,0,0,0,0,0,0.0085,0
0.00012468,2.6754e-05,0.00038625,-2.3383e-06,2.2135e-05,0.00036646,4.7139e-05,0.00016508,0.00012189,-0.0041629,0.00038399,0.0054262,0.0013247,0.0010864,-0.0010718,-0.0012703,0.0015481,0.0012173,0.00065699,0,0,0,0,0,0.007225,0
0.00010452,1.7989e-05,0.00030121,-2.6713e-06,2.6092e-06,0.00030128,2.9659e-05,0.00010221,0.00010469,-0.0036742,0.00031049,0.0064176,0.0013661,0.00078696,-0.00076383,-0.00089225,0.0015937,0.0013686,0.00081819,0,0,0,0,0,0.0061412,0
8.7755e-05,1.281e-05,0.00023228,-2.9077e-06,-8.5099e-06,0.0002437,2.1181e-05,6.0734e-05,8.9641e-05,-0.0032385,0.00025028,0.0071192,0.0013966,0.00054355,-0.00051265,-0.00058478,0.0016262,0.0014584,0.00095623,0,0,0,0,0,0.0052201,0
7.3781e-05,9.8748e-06,0.00017641,-3.0713e-06,-1.4151e-05,0.00019363,1.5454e-05,3.3869e-05,7.6561e-05,-0.0028483,0.00020089,0.007585,0.0014197,0.00034681,-0.00030923,-0.00033647,0.00165,0.0015086,0.0010741,0,0,0,0,0,0.0044371,0
6.2098e-05,8.3493e-06,0.00013118,-3.1731e-06,-1.6308e-05,0.00015066,1.1335e-05,1.6898e-05,6.5245e-05,-0.0024977,0.00016034,0.0078607,0.0014382,0.00018887,-0.00014582,-0.0001376,0.0016674,0.0015336,0.0011746,0,0,0,0,0,0.0037715,0
5.231e-05,7.6833e-06,9.4635e-05,-3.2224e-06,-1.6328e-05,0.00011419,8.3346e-06,6.5609e-06,5.5493e-05,-0.0021818,0.00012705,0.007984,0.0014535,6.3096e-05,-1.5793e-05,2.0068e-05,0.0016802,0.0015433,0.00126,0,0,0,0,0,0.0032058,0
4.4092e-05,7.5136e-06,6.52e-05,-3.228e-06,-1.5109e-05,8.3537e-05,6.1377e-06,6.1311e-07,4.7118e-05,-0.0018963,9.9736e-05,0.0079864,0.0014669,-3.6031e-05,8.6443e-05,0.00014351,0.0016896,0.0015442,0.0013326,0,0,0,0,0,0.0027249,0
3.7183e-05,7.6043e-06,4.1593e-05,-3.1977e-06,-1.324e-05,5.803e-05,4.5217e-06,-2.482e-06,3.9943e-05,-0.0016379,7.7345e-05,0.0078941,0.0014789,-0.00011315,0.00016564,0.00023864,0.0016966,0.0015405,0.0013941,0,0,0,0,0,0.0023162,0
3.1366e-05,7.8058e-06,2.2765e-05,-3.1387e-06,-1.1101e-05,3.7005e-05,3.3276e-06,-3.7687e-06,3.3811e-05,-0.0014034,5.9022e-05,0.0077286,0.0014901,-0.00017215,0.00022582,0.00031041,0.0017017,0.0015349,0.0014462,0,0,0,0,0,0.0019687,0
2.6464e-05,8.0268e-06,7.8584e-06,-3.0571e-06,-8.9291e-06,1.9845e-05,2.4413e-06,-3.9502e-06,2.858e-05,-0.0011904,4.4066e-05,0.0075078,0.0015008,-0.00021628,0.00027035,0.00036303,0.0017054,0.0015291,0.0014902,0,0,0,0,0,0.0016734,0
2.2329e-05,8.2148e-06,-3.8323e-06,-2.9584e-06,-6.8644e-06,5.9905e-06,1.7805e-06,-3.494e-06,2.4126e-05,-0.00099661,3.1896e-05,0.0072461,0.001511,-0.00024826,0.00030209,0.00039999,0.0017082,0.0015239,0.0015273,0,0,0,0,0,0.0014224,0
1.8839e-05,8.3423e-06,-1.2889e-05,-2.847e-06,-4.9841e-06,-5.0576e-06,1.2859e-06,-2.7063e-06,2.0338e-05,-0.00082011,2.2034e-05,0.0069557,0.0015208,-0.00027034,0.00032341,0.00042424,0.0017101,0.0015199,0.0015586,0,0,0,0,0,0.0012091,0
1.5891e-05,8.3982e-06,-1.9791e-05,-2.7267e-06,-3.3242e-06,-1.374e-05,9.144e-07,-1.7829e-06,1.7121e-05,-0.00065919,1.4082e-05,0.0066461,0.0015303,-0.00028442,0.00033631,0.00043824,0.0017116,0.0015173,0.001585,0,0,0,0,0,0.0010277,0
1.3401e-05,8.3813e-06,-2.4935e-05,-2.6007e-06,-1.8943e-06,-2.044e-05,6.345e-07,-8.4489e-07,1.4392e-05,-0.00051232,7.7114e-06,0.0063251,0.0015395,-0.00029208,0.00034245,0.00044405,0.0017125,0.001516,0.0016072,0,0,0,0,0,0.00087354,0
1.1297e-05,8.2962e-06,-2.865e-05,-2.4717e-06,-6.8825e-07,-2.549e-05,4.2324e-07,3.6338e-08,1.2081e-05,-0.00037819,2.6471e-06,0.005999,0.0015484,-0.00029461,0.00034323,0.00044336,0.0017132,0.0015161,0.0016258,0,0,0,0,0,0.00074251,0
9.5187e-06,8.1507e-06,-3.1207e-05,-2.3416e-06,3.095e-07,-2.9175e-05,2.6369e-07,8.2245e-07,1.0124e-05,-0.00025559,-1.3387e-06,0.0056727,0.001557,-0.00029311,0.00033979,0.00043758,0.0017136,0.0015173,0.0016414,0,0,0,0,0,0.00063113,0
8.0158e-06,7.954e-06,-3.2831e-05,-2.2122e-06,1.119e-06,-3.1738e-05,1.4331e-07,1.4964e-06,8.4697e-06,-0.00014346,-4.4362e-06,0.0053502,0.0015652,-0.00028847,0.00033309,0.0004279,0.0017138,0.0015195,0.0016544,0,0,0,0,0,0.00053646,0
6.7457e-06,7.7155e-06,-3.3708e-05,-2.0849e-06,1.7622e-06,-3.3386e-05,5.2774e-08,2.0545e-06,7.0725e-06,-4.0844e-05,-6.8037e-06,0.0050345,0.0015731,-0.00028142,0.00032391,0.00041526,0.0017139,0.0015225,0.0016653,0,0,0,0,0,0.00045599,0
5.6724e-06,7.4443e-06,-3.3992e-05,-1.9606e-06,2.2608e-06,-3.4292e-05,-1.492e-08,2.5011e-06,5.8935e-06,5.311e-05,-8.5732e-06,0.0047277,0.0015806,-0.00027257,0.0003129,0.00040046,0.0017139,0.0015263,0.0016744,0,0,0,0,0,0.0003876,0
4.7657e-06,7.1487e-06,-3.3809e-05,-1.8402e-06,2.6358e-06,-3.4605e-05,-6.5052e-08,2.8452e-06,4.8997e-06,0.00013918,-9.8547e-06,0.0044316,0.0015878,-0.00026242,0.00030058,0.00038414,0.0017138,0.0015305,0.0016819,0,0,0,0,0,0.00032946,0
3.9998e-06,6.8361e-06,-3.3264e-05,-1.7241e-06,2.9061e-06,-3.4446e-05,-1.0163e-07,3.0979e-06,4.0631e-06,0.00021805,-1.074e-05,0.0041474,0.0015946,-0.00025137,0.00028738,0.00036682,0.0017136,0.001535,0.0016882,0,0,0,0,0,0.00028004,0
3.3533e-06,6.5129e-06,-3.2443e-05,-1.6129e-06,3.089e-06,-3.3919e-05,-1.2774e-07,3.271e-06,3.3595e-06,0.00029037,-1.1304e-05,0.0038758,0.001601,-0.00023975,0.00027365,0.00034892,0.0017134,0.0015399,0.0016933,0,0,0,0,0,0.00023803,0
2.8076e-06,6.1845e-06,-3.1415e-05,-1.5068e-06,3.1997e-06,-3.3107e-05,-1.4571e-07,3.3764e-06,2.7685e-06,0.0003567,-1.1612e-05,0.0036174,0.0016071,-0.00022781,0.00025967,0.00033079,0.0017132,0.0015449,0.0016976,0,0,0,0,0,0.00020233,0
2.3473e-06,5.8555e-06,-3.0237e-05,-1.4059e-06,3.2513e-06,-3.2083e-05,-1.574e-07,3.4249e-06,2.2728e-06,0.00041755,-1.1715e-05,0.0033722,0.0016128,-0.00021577,0.00024565,0.00031268,0.0017129,0.0015499,0.0017011,0,0,0,0,0,0.00017198,0
1.9593e-06,5.5294e-06,-2.8958e-05,-1.3103e-06,3.2552e-06,-3.0903e-05,-1.6422e-07,3.4266e-06,1.8577e-06,0.00047339,-1.1656e-05,0.0031404,0.0016182,-0.00020379,0.00023177,0.0002948,0.0017127,0.001555,0.001704,0,0,0,0,0,0.00014618,0
1.6324e-06,5.2093e-06,-2.7613e-05,-1.22e-06,3.2212e-06,-2.9614e-05,-1.6728e-07,3.3903e-06,1.5105e-06,0.00052466,-1.1473e-05,0.0029218,0.0016233,-0.000192,0.00021816,0.00027732,0.0017124,0.00156,0.0017063,0,0,0,0,0,0.00012425,0
1.3572e-06,4.8975e-06,-2.6233e-05,-1.1348e-06,3.1575e-06,-2.8256e-05,-1.6747e-07,3.324e-06,1.2208e-06,0.00057174,-1.1193e-05,0.002716,0.001628,-0.0001805,0.00020493,0.00026035,0.0017122,0.001565,0.0017082,0,0,0,0,0,0.00010562,0
1.1257e-06,4.5958e-06,-2.4843e-05,-1.0547e-06,3.0709e-06,-2.6859e-05,-1.6547e-07,3.2342e-06,9.7941e-07,0.00061498,-1.0841e-05,0.0025228,0.0016324,-0.00016936,0.00019214,0.00024399,0.0017119,0.0015697,0.0017097,0,0,0,0,0,8.9774e-05,0
9.3114e-07,4.3054e-06,-2.346e-05,-9.7955e-07,2.9674e-06,-2.5448e-05,-1.6183e-07,3.1267e-06,7.788e-07,0.0006547,-1.0438e-05,0.0023417,0.0016366,-0.00015864,0.00017986,0.00022829,0.0017117,0.0015744,0.0017109,0,0,0,0,0,7.6308e-05,0
7.6783e-07,4.0273e-06,-2.21e-05,-9.091e-07,2.8515e-06,-2.4042e-05,-1.5699e-07,3.0063e-06,6.1248e-07,0.00069121,-9.9982e-06,0.0021723,0.0016405,-0.00014837,0.00016812,0.0002133,0.0017114,0.0015788,0.0017118,0,0,0,0,0,6.4861e-05,0
6.3089e-07,3.762e-06,-2.0774e-05,-8.432e-07,2.7273e-06,-2.2658e-05,-1.5128e-07,2.877e-06,4.75e-07,0.00072475,-9.5358e-06,0.0020139,0.0016441,-0.00013857,0.00015693,0.00019904,0.0017112,0.0015831,0.0017126,0,0,0,0,0,5.5132e-05,0
5.1622e-07,3.5099e-06,-1.949e-05,-7.8163e-07,2.598e-06,-2.1306e-05,-1.4498e-07,2.7421e-06,3.6171e-07,0.00075559,-9.061e-06,0.001866,0.0016474,-0.00012926,0.00014632,0.00018553,0.001711,0.0015871,0.0017131,0,0,0,0,0,4.6862e-05,0
4.2034e-07,3.271e-06,-1.8254e-05,-7.2418e-07,2.4662e-06,-1.9996e-05,-1.3831e-07,2.6043e-06,2.6873e-07,0.00078394,-8.5821e-06,0.0017282,0.0016506,-0.00012044,0.00013628,0.00017275,0.0017108,0.001591,0.0017135,0,0,0,0,0,3.9833e-05,0
3.403e-07,3.0454e-06,-1.707e-05,-6.7063e-07,2.3339e-06,-1.8733e-05,-1.3142e-07,2.4658e-06,1.9273e-07,0.00081001,-8.1056e-06,0.0015999,0.0016535,-0.00011211,0.00012681,0.0001607,0.0017106,0.0015946,0.0017138,0,0,0,0,0,3.3858e-05,0
2.7361e-07,2.8327e-06,-1.5942e-05,-6.2078e-07,2.2028e-06,-1.7524e-05,-1.2447e-07,2.3284e-06,1.3095e-07,0.00083398,-7.6367e-06,0.0014805,0.0016562,-0.00010427,0.0001179,0.00014937,0.0017104,0.0015981,0.001714,0,0,0,0,0,2.8779e-05,0
2.1816e-07,2.6327e-06,-1.4869e-05,-5.744e-07,2.0741e-06,-1.6369e-05,-1.1754e-07,2.1933e-06,8.1015e-08,0.00085603,-7.1793e-06,0.0013695,0.0016587,-9.6891e-05,0.00010952,0.00013873,0.0017102,0.0016013,0.0017141,0,0,0,0,0,2.4462e-05,0
1.7216e-07,2.445e-06,-1.3854e-05,-5.313e-07,1.9489e-06,-1.5272e-05,-1.1072e-07,2.0617e-06,4.0958e-08,0.00087631,-6.7362e-06,0.0012664,0.001661,-8.997e-05,0.00010167,0.00012876,0.00171,0.0016044,0.0017142,0,0,0,0,0,2.0793e-05,0
1.3411e-07,2.2691e-06,-1.2895e-05,-4.9127e-07,1.8278e-06,-1.4232e-05,-1.0406e-07,1.9343e-06,9.1075e-09,0.00089497,-6.3096e-06,0.0011707,0.0016632,-8.3487e-05,9.4321e-05,0.00011943,0.0017099,0.0016072,0.0017142,0,0,0,0,0,1.7674e-05,0
