piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-9.018e-05,-0.00041483,0.00043398,1.902e-05,0.00012296,0.000292,-0.00040613,-0.00022442,-8.0812e-05,-0.0025457,8.2544e-05,0.0010955,0.0005327,0.0011068,0.00088738,-0.00029674,-0.00062412,-0.00033209,-0.00012444,0.01,0,0,0,0,0,0
-7.5761e-05,-6.6413e-05,0.00036188,1.6465e-05,0.00012163,0.00022379,-6.544e-05,-0.00015601,-7.0188e-05,-0.0024421,6.7981e-05,0.0019391,0.00027403,0.00086773,0.0008421,-0.00014212,-0.00072468,-0.00056295,-0.00023252,0.0085,0,0,0,0,0,0
-6.3828e-05,-4.9299e-05,0.00029978,1.3632e-05,0.00011589,0.00017026,-2.5839e-05,-0.00010771,-6.0786e-05,-0.002336,5.4692e-05,0.0025759,6.2702e-05,0.0006698,0.00079583,-2.0414e-05,-0.00076439,-0.00072234,-0.00032612,0.007225,0,0,0,0,0,0
-5.3882e-05,-3.6865e-05,0.00024689,1.12e-05,0.00010769,0.000128,-1.7522e-05,-7.36e-05,-5.2518e-05,-0.0022303,4.3051e-05,0.0030435,-0.00011082,0.00050666,0.00074963,7.4581e-05,-0.00079132,-0.00083125,-0.00040699,0.0061412,0,0,0,0,0,0
-4.5562e-05,-2.7448e-05,0.00020208,9.1644e-06,9.8358e-05,9.4558e-05,-1.3414e-05,-4.9536e-05,-4.529e-05,-0.0021268,3.3028e-05,0.0033733,-0.0002537,0.00037277,0.00070422,0.00014772,-0.00081193,-0.00090455,-0.00047673,0.0052201,0,0,0,0,0,0
-3.8581e-05,-2.025e-05,0.00016427,7.4672e-06,8.8724e-05,6.8082e-05,-1.0538e-05,-3.2587e-05,-3.9002e-05,-0.0020266,2.451e-05,0.0035913,-0.00037156,0.00026342,0.00066007,0.00020298,-0.00082813,-0.00095277,-0.00053679,0.0044371,0,0,0,0,0,0
-3.2711e-05,-1.4722e-05,0.00013249,6.0539e-06,7.9312e-05,4.7128e-05,-8.3791e-06,-2.0681e-05,-3.355e-05,-0.0019306,1.7353e-05,0.0037193,-0.00046891,0.00017461,0.00061751,0.00024368,-0.000841,-0.00098338,-0.00058845,0.0037715,0,0,0,0,0,0
-2.7765e-05,-1.0466e-05,0.00010588,4.8785e-06,7.0426e-05,3.0573e-05,-6.7311e-06,-1.235e-05,-2.8838e-05,-0.001839,1.1406e-05,0.0037755,-0.0005494,0.00010295,0.00057675,0.00027253,-0.00085135,-0.0010017,-0.00063286,0.0032058,0,0,0,0,0,0
-2.3589e-05,-7.1834e-06,8.3667e-05,3.9024e-06,6.2227e-05,1.7538e-05,-5.4595e-06,-6.5514e-06,-2.4775e-05,-0.0017522,6.5153e-06,0.0037747,-0.00061596,4.5584e-05,0.00053792,0.00029182,-0.00085974,-0.0010113,-0.00067101,0.0027249,0,0,0,0,0,0
-2.0059e-05,-4.6504e-06,6.5205e-05,3.0934e-06,5.4783e-05,7.3282e-06,-4.4686e-06,-2.5489e-06,-2.1277e-05,-0.0016702,2.5398e-06,0.0037294,-0.00067099,9.9487e-08,0.00050109,0.0003034,-0.0008666,-0.0010151,-0.00070377,0.0023162,0,0,0,0,0,0
