piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.0010093,0.0043898,0.0040281,-1.1801e-05,0.00070275,0.0033371,0.0058465,0.0023377,0.00091634,0.02637,0.0035636,0.012749,0.0073553,0.010738,-0.010376,-0.012281,0.0089846,0.0034593,0.001411,0,0.01,0,0,0,0,0
0.00079038,2.9811e-05,0.0030073,-2.5486e-05,0.00035196,0.0026808,0.0003828,0.0013956,0.0007484,0.020153,0.0027164,0.021961,0.0073802,0.007686,-0.0073661,-0.0086293,0.0095728,0.0055244,0.0025635,0,0.008,0,0,0,0,0
0.00062046,-3.427e-05,0.0022286,-2.5384e-05,0.00013724,0.0021168,-0.00015288,0.00078695,0.000609,0.015282,0.0020657,0.028417,0.0073179,0.0053229,-0.0050182,-0.0057866,0.0093379,0.0066889,0.0035012,0,0.0064,0,0,0,0,0
0.00048775,-5.735e-05,0.0016305,-2.4089e-05,1.2153e-05,0.0016424,-0.00019255,0.00040162,0.00049383,0.011495,0.0015625,0.032735,0.0072193,0.0035011,-0.0032006,-0.0035922,0.009042,0.0072832,0.0042617,0,0.00512,0,0,0,0,0
0.00038385,-6.2002e-05,0.0011712,-2.2777e-05,-5.5261e-05,0.0012492,-0.00017875,0.00016461,0.00039915,0.0085766,0.0011731,0.035408,0.0071106,0.0021057,-0.0018048,-0.0019129,0.0087673,0.0075268,0.0048763,0,0.004096,0,0,0,0,0
0.00030234,-5.6884e-05,0.00081932,-2.1527e-05,-8.6449e-05,0.00092729,-0.00015817,2.4965e-05,0.00032167,0.0063501,0.00087188,0.036824,0.0070064,0.0010459,-0.00074371,-0.00064126,0.0085242,0.0075637,0.0053716,0,0.0032768,0,0,0,0,0
0.00023828,-4.6925e-05,0.00055066,-2.0325e-05,-9.5634e-05,0.00066662,-0.00013719,-5.1802e-05,0.00025849,0.0046729,0.00063915,0.03729,0.0069145,0.0002495,5.2883e-05,0.00030867,0.0083134,0.0074871,0.0057697,0,0.0026214,0,0,0,0,0
0.00018788,-3.5118e-05,0.0003465,-1.9161e-05,-9.212e-05,0.00045778,-0.00011743,-8.883e-05,0.00020714,0.00343,0.00045967,0.037048,0.0068381,-0.0003405,0.00064112,0.0010058,0.0081329,0.0073556,0.0060886,0,0.0020972,0,0,0,0,0
0.00014816,-2.3232e-05,0.00019237,-1.8031e-05,-8.1884e-05,0.00029228,-9.9517e-05,-0.0001015,0.00016554,0.0025289,0.00032164,0.036288,0.0067779,-0.00076936,0.001066,0.001505,0.00798,0.0072055,0.0063435,0,0.0016777,0,0,0,0,0
0.00011683,-1.225e-05,7.6996e-05,-1.6936e-05,-6.868e-05,0.00016261,-8.37e-05,-9.991e-05,0.00013191,0.0018954,0.00021591,0.035156,0.0067331,-0.0010729,0.0013632,0.0018502,0.0078514,0.0070576,0.0065467,0,0.0013422,0,0,0,0,0
