piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.0001589,-1.5541e-05,0.0010015,3.9079e-06,0.00021896,0.00077862,0.0010517,0.00024474,0.00015282,-0.0015694,0.00027098,0.0012063,0.0017057,0.0013887,0.00094098,-1.8942e-05,0.0016163,0.00036215,0.00023532,0,0,0,0,0,0,0.01
0.00012347,0.00014872,0.00079184,1.6117e-07,0.00016286,0.00062882,6.0733e-05,0.0001639,0.00012067,-0.001277,0.00020001,0.0020774,0.0016076,0.0010293,0.00084506,0.00010585,0.0017096,0.00060469,0.00042113,0,0,0,0,0,0,0.008
9.4595e-05,0.00011089,0.00062569,-7.5227e-07,0.00012166,0.00050478,-3.8451e-05,0.00010665,9.3776e-05,-0.0010375,0.00014495,0.0026875,0.0015156,0.00074853,0.00076172,0.00019679,0.0016505,0.00076251,0.00056553,0,0,0,0,0,0,0.0064
7.0953e-05,8.2628e-05,0.00049284,-1.1987e-06,9.1401e-05,0.00040264,-4.9102e-05,6.5962e-05,7.1317e-05,-0.00084023,0.0001018,0.0030953,0.0014303,0.00052961,0.00068847,0.00026032,0.001575,0.00086012,0.00067535,0,0,0,0,0,0,0.00512
5.1598e-05,6.0362e-05,0.00038644,-1.4556e-06,6.9122e-05,0.00031878,-5.0391e-05,3.7033e-05,5.2624e-05,-0.00067754,6.8038e-05,0.0033476,0.0013508,0.00035967,0.00062369,0.00030251,0.0014976,0.00091492,0.00075638,0,0,0,0,0,0,0.004096
3.5781e-05,4.2662e-05,0.00030118,-1.5862e-06,5.2681e-05,0.00025009,-5.0245e-05,1.6497e-05,3.7133e-05,-0.00054323,4.1713e-05,0.003481,0.0012765,0.00022849,0.00056609,0.00032829,0.0014204,0.00093933,0.00081356,0,0,0,0,0,0,0.0032768
2.2896e-05,2.8567e-05,0.00023287,-1.6257e-06,4.0517e-05,0.00019398,-4.9559e-05,1.9744e-06,2.4359e-05,-0.00043231,2.1298e-05,0.0035248,0.0012067,0.00012796,0.00051465,0.00034157,0.0013442,0.00094225,0.00085107,0,0,0,0,0,0,0.0026214
1.2444e-05,1.735e-05,0.00017816,-1.6002e-06,3.1496e-05,0.00014826,-4.8509e-05,-8.2229e-06,1.3888e-05,-0.00034073,5.5831e-06,0.0035017,0.0011407,5.1621e-05,0.00046855,0.00034547,0.0012697,0.00093009,0.00087245,0,0,0,0,0,0,0.0020972
4.0167e-06,8.4444e-06,0.00013439,-1.53e-06,2.4788e-05,0.00011113,-4.7188e-05,-1.5296e-05,5.3653e-06,-0.00026517,-6.3942e-06,0.0034296,0.0010781,-5.676e-06,0.00042709,0.00034243,0.0011972,0.00090745,0.00088071,0,0,0,0,0,0,0.0016777
-2.726e-06,1.4047e-06,9.943e-05,-1.4305e-06,1.9786e-05,8.1074e-05,-4.5663e-05,-2.0104e-05,-1.513e-06,-0.00020291,-1.5401e-05,0.0033225,0.0010186,-4.8014e-05,0.0003897,0.00033435,0.001127,0.0008777,0.00087838,0,0,0,0,0,0,0.0013422
-8.0664e-06,-4.122e-06,7.1567e-05,-1.3135e-06,1.6043e-05,5.6837e-05,-4.3991e-05,-2.3262e-05,-7.0059e-06,-0.0001517,-2.2048e-05,0.0031913,0.00096185,-7.8641e-05,0.00035591,0.00032274,0.0010594,0.00084328,0.0008676,0,0,0,0,0,0,0.0010737
-1.224e-05,-8.418e-06,4.943e-05,-1.1879e-06,1.3232e-05,3.7387e-05,-4.2216e-05,-2.5216e-05,-1.1335e-05,-0.00010971,-2.6825e-05,0.0030443,0.00090769,-0.00010014,0.00032531,0.00030874,0.00099452,0.00080597,0.00085014,0,0,0,0,0,0,0.00085899
-1.5445e-05,-1.1711e-05,3.1913e-05,-1.0599e-06,1.1108e-05,2.1865e-05,-4.0375e-05,-2.629e-05,-1.4688e-05,-7.5377e-05,-3.0125e-05,0.0028881,0.00085594,-0.00011454,0.00029754,0.00029325,0.00093248,0.00076706,0.00082753,0,0,0,0,0,0,0.00068719
-1.7845e-05,-1.4186e-05,1.8124e-05,-9.3427e-07,9.4937e-06,9.5642e-06,-3.8499e-05,-2.672e-05,-1.7226e-05,-4.7439e-05,-3.226e-05,0.0027275,0.0008065,-0.00012348,0.00027231,0.00027693,0.00087331,0.00072752,0.000801,0,0,0,0,0,0,0.00054976
-1.9581e-05,-1.5994e-05,7.3423e-06,-8.1399e-07,8.2563e-06,-1.0001e-07,-3.6612e-05,-2.6679e-05,-1.9086e-05,-2.4826e-05,-3.3483e-05,0.0025661,0.00075926,-0.00012824,0.00024935,0.00026028,0.00081705,0.00068804,0.00077161,0,0,0,0,0,0,0.0004398
-2.0769e-05,-1.7257e-05,-1.0132e-06,-7.0113e-07,7.2977e-06,-7.6098e-06,-3.4735e-05,-2.6297e-05,-2.0383e-05,-6.6521e-06,-3.3996e-05,0.0024068,0.00071416,-0.00012982,0.00022844,0.0002437,0.00076367,0.00064913,0.00074022,0,0,0,0,0,0,0.00035184
-2.1508e-05,-1.8079e-05,-7.4142e-06,-5.969e-07,6.5452e-06,-1.3363e-05,-3.2882e-05,-2.5669e-05,-2.1218e-05,7.8277e-06,-3.3961e-05,0.0022514,0.00067114,-0.00012903,0.00020936,0.00022744,0.00071314,0.00061115,0.00070755,0,0,0,0,0,0,0.00028147
-2.1881e-05,-1.8543e-05,-1.2243e-05,-5.0188e-07,5.9451e-06,-1.7686e-05,-3.1068e-05,-2.4866e-05,-2.1672e-05,1.9235e-05,-3.3507e-05,0.0021015,0.00063015,-0.00012649,0.00019196,0.0002117,0.0006654,0.00057435,0.00067418,0,0,0,0,0,0,0.00022518
-2.1957e-05,-1.8719e-05,-1.5808e-05,-4.1623e-07,5.4576e-06,-2.085e-05,-2.9302e-05,-2.3945e-05,-2.1818e-05,2.8092e-05,-3.2739e-05,0.0019578,0.00059114,-0.00012269,0.00017606,0.00019661,0.00062037,0.00053892,0.00064058,0,0,0,0,0,0,0.00018014
-2.1795e-05,-1.8665e-05,-1.8363e-05,-3.3979e-07,5.0534e-06,-2.3076e-05,-2.7591e-05,-2.2944e-05,-2.1714e-05,3.4836e-05,-3.174e-05,0.0018211,0.00055407,-0.00011802,0.00016152,0.00018227,0.00057797,0.00050497,0.00060715,0,0,0,0,0,0,0.00014412
-2.1444e-05,-1.8428e-05,-2.011e-05,-2.7218e-07,4.7108e-06,-2.4549e-05,-2.5942e-05,-2.1897e-05,-2.1412e-05,3.9835e-05,-3.0577e-05,0.0016916,0.00051887,-0.00011276,0.00014823,0.0001687,0.0005381,0.00047256,0.00057417,0,0,0,0,0,0,0.00011529
-2.0946e-05,-1.8049e-05,-2.1216e-05,-2.1287e-07,4.4139e-06,-2.5417e-05,-2.4358e-05,-2.0826e-05,-2.0953e-05,4.3396e-05,-2.9301e-05,0.0015695,0.00048552,-0.00010716,0.00013607,0.00015594,0.00050067,0.00044174,0.00054191,0,0,0,0,0,0,9.2234e-05
-2.0334e-05,-1.7559e-05,-2.1815e-05,-1.6126e-07,4.1513e-06,-2.5805e-05,-2.2843e-05,-1.975e-05,-2.0374e-05,4.5778e-05,-2.7954e-05,0.0014548,0.00045394,-0.00010138,0.00012493,0.000144,0.00046556,0.00041252,0.00051054,0,0,0,0,0,0,7.3787e-05
-1.9638e-05,-1.6988e-05,-2.2016e-05,-1.1671e-07,3.9146e-06,-2.5813e-05,-2.1397e-05,-1.8683e-05,-1.9704e-05,4.7199e-05,-2.657e-05,0.0013473,0.0004241,-9.5556e-05,0.00011473,0.00013284,0.00043268,0.00038487,0.0004802,0,0,0,0,0,0,5.903e-05
-1.888e-05,-1.6356e-05,-2.1907e-05,-7.8552e-08,3.6975e-06,-2.5526e-05,-2.0021e-05,-1.7635e-05,-1.8967e-05,4.7841e-05,-2.5174e-05,0.0012468,0.00039592,-8.9788e-05,0.00010538,0.00012246,0.00040192,0.00035878,0.00045099,0,0,0,0,0,0,4.7224e-05
-1.8082e-05,-1.5683e-05,-2.1561e-05,-4.6149e-08,3.4959e-06,-2.5011e-05,-1.8715e-05,-1.6613e-05,-1.8184e-05,4.7855e-05,-2.3785e-05,0.0011531,0.00036936,-8.4148e-05,9.6808e-05,0.00011281,0.00037316,0.00033419,0.00042299,0,0,0,0,0,0,3.7779e-05
-1.7259e-05,-1.4984e-05,-2.1036e-05,-1.8877e-08,3.3066e-06,-2.4324e-05,-1.7478e-05,-1.5624e-05,-1.7373e-05,4.737e-05,-2.242e-05,0.0010659,0.00034435,-7.8688e-05,8.8949e-05,0.00010388,0.0003463,0.00031107,0.00039624,0,0,0,0,0,0,3.0223e-05
-1.6424e-05,-1.4271e-05,-2.0378e-05,3.8507e-09,3.1276e-06,-2.3509e-05,-1.6309e-05,-1.4671e-05,-1.6546e-05,4.6493e-05,-2.1088e-05,0.00098478,0.00032083,-7.3443e-05,8.174e-05,9.5605e-05,0.00032123,0.00028936,0.00037076,0,0,0,0,0,0,2.4179e-05
-1.5588e-05,-1.3555e-05,-1.9625e-05,2.2579e-08,2.9572e-06,-2.2605e-05,-1.5206e-05,-1.3757e-05,-1.5716e-05,4.5311e-05,-1.98e-05,0.00090948,0.00029873,-6.8438e-05,7.5126e-05,8.7961e-05,0.00029787,0.00026901,0.00034656,0,0,0,0,0,0,1.9343e-05
-1.476e-05,-1.2842e-05,-1.8807e-05,3.7809e-08,2.7945e-06,-2.1639e-05,-1.4168e-05,-1.2884e-05,-1.4891e-05,4.3898e-05,-1.856e-05,0.00083963,0.000278,-6.3685e-05,6.9055e-05,8.0906e-05,0.00027609,0.00024994,0.00032363,0,0,0,0,0,0,1.5474e-05
-1.3947e-05,-1.2141e-05,-1.7948e-05,4.9997e-08,2.6389e-06,-2.0637e-05,-1.3191e-05,-1.2053e-05,-1.4078e-05,4.2317e-05,-1.7373e-05,0.00077492,0.00025856,-5.9191e-05,6.3482e-05,7.4399e-05,0.00025582,0.00023211,0.00030195,0,0,0,0,0,0,1.2379e-05
-1.3153e-05,-1.1455e-05,-1.7068e-05,5.9555e-08,2.4898e-06,-1.9617e-05,-1.2274e-05,-1.1263e-05,-1.3284e-05,4.0616e-05,-1.624e-05,0.000715,0.00024035,-5.4958e-05,5.8366e-05,6.8404e-05,0.00023696,0.00021544,0.0002815,0,0,0,0,0,0,9.9035e-06
-1.2382e-05,-1.0788e-05,-1.6181e-05,6.6854e-08,2.3469e-06,-1.8595e-05,-1.1414e-05,-1.0516e-05,-1.2512e-05,3.8838e-05,-1.5164e-05,0.00065956,0.00022332,-5.0982e-05,5.3667e-05,6.2883e-05,0.00021942,0.00019988,0.00026223,0,0,0,0,0,0,7.9228e-06
