piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00077247,-2.5194e-05,-0.0012863,9.382e-05,0.0011808,-0.0025609,0.0021535,0.00054659,-0.0008645,0.0031488,-0.00086588,0.00076164,0.0090373,0.0015505,7.3603e-05,0.0054697,0.0033094,0.00080883,-0.0013312,0,0,0,0,0.01,0,0
-0.00059616,-0.00048117,-0.0010655,7.312e-05,0.00090053,-0.0020391,-0.00017379,0.00026678,-0.00065615,0.0023068,-0.00074234,0.0013996,0.0075428,0.0013743,0.00013046,0.0050771,0.0030423,0.0012036,-0.0023416,0,0,0,0,0.009,0,0
-0.00044758,-0.00039182,-0.00086455,6.0411e-05,0.00069164,-0.0016166,-0.00033775,9.3255e-05,-0.00048516,0.0015999,-0.00062998,0.0019267,0.0062547,0.0012203,0.00018393,0.004719,0.0025232,0.0013416,-0.0030887,0,0,0,0,0.0081,0,0
-0.00032386,-0.00030578,-0.00068844,4.9931e-05,0.00053475,-0.0012731,-0.00029854,-1.0127e-05,-0.00034565,0.0010148,-0.00053088,0.0023552,0.0051553,0.0010839,0.00023102,0.0043872,0.0020645,0.0013266,-0.0036209,0,0,0,0,0.00729,0,0
-0.00022181,-0.0002293,-0.0005367,4.0973e-05,0.00041588,-0.00099356,-0.00024779,-6.7646e-05,-0.00023252,0.00053631,-0.00044463,0.0026971,0.0042237,0.00096215,0.00027081,0.004078,0.0016837,0.0012265,-0.003979,0,0,0,0,0.006561,0,0
-0.00013848,-0.0001632,-0.0004077,3.3327e-05,0.00032502,-0.00076605,-0.00020326,-9.5708e-05,-0.00014144,0.00015007,-0.00037026,0.002963,0.003439,0.00085319,0.00030321,0.0037889,0.0013713,0.0010849,-0.0041968,0,0,0,0,0.0059049,0,0
-7.1164e-05,-0.0001072,-0.0002993,2.6835e-05,0.00025497,-0.0005811,-0.00016571,-0.00010534,-6.8777e-05,-0.00015722,-0.00030663,0.0031631,0.0027819,0.00075545,0.00032851,0.0035181,0.0011166,0.000929,-0.0043027,0,0,0,0,0.0053144,0,0
-1.7444e-05,-6.0561e-05,-0.00020922,2.1351e-05,0.00020052,-0.00043108,-0.00013432,-0.00010389,-1.1423e-05,-0.00039752,-0.00025256,0.0033063,0.0022346,0.00066764,0.00034729,0.0032645,0.00091022,0.00077526,-0.0043203,0,0,0,0,0.004783,0,0
2.4805e-05,-2.238e-05,-0.00013518,1.6744e-05,0.00015788,-0.0003098,-0.00010822,-9.6197e-05,3.3228e-05,-0.00058142,-0.00020688,0.0034008,0.0017814,0.00058874,0.00036023,0.0030269,0.0007439,0.00063292,-0.0042691,0,0,0,0,0.0043047,0,0
5.744e-05,8.3368e-06,-7.5043e-05,1.2894e-05,0.00012426,-0.0002122,-8.6631e-05,-8.5377e-05,6.738e-05,-0.00071822,-0.00016851,0.0034537,0.0014082,0.00051784,0.00036803,0.0028044,0.00061077,0.00050658,-0.0041654,0,0,0,0,0.0038742,0,0
8.2072e-05,3.257e-05,-2.681e-05,9.6944e-06,9.7607e-05,-0.00013411,-6.8856e-05,-7.3409e-05,9.2892e-05,-0.00081597,-0.00013645,0.0034714,0.0011026,0.00045417,0.00037141,0.0025963,0.00050496,0.00039795,-0.0040223,0,0,0,0,0.0034868,0,0
0.00010009,5.1249e-05,1.1308e-05,7.0513e-06,7.6378e-05,-7.2121e-05,-5.4301e-05,-6.1496e-05,0.00011133,-0.00088163,-0.0001098,0.0034597,0.00085403,0.00039706,0.00037104,0.0024018,0.00042151,0.00030695,-0.0038509,0,0,0,0,0.0031381,0,0
0.00011267,6.5229e-05,4.0901e-05,4.8822e-06,5.9408e-05,-2.3389e-05,-4.2453e-05,-5.0333e-05,0.00012401,-0.00092114,-8.7769e-05,0.0034235,0.00065324,0.0003459,0.00036754,0.0022202,0.00035627,0.00023247,-0.0036599,0,0,0,0,0.0028243,0,0
0.00012082,7.5277e-05,6.3367e-05,3.115e-06,4.5811e-05,1.4441e-05,-3.287e-05,-4.0281e-05,0.00013204,-0.00093957,-6.9646e-05,0.0033671,0.0004923,0.00030012,0.00036147,0.002051,0.00030576,0.00017286,-0.0034566,0,0,0,0,0.0025419,0,0
0.00012541,8.2068e-05,7.9916e-05,1.6876e-06,3.4903e-05,4.3326e-05,-2.5173e-05,-3.1488e-05,0.00013633,-0.00094117,-5.4826e-05,0.0032943,0.00036445,0.00025925,0.00035331,0.0018933,0.00026708,0.00012627,-0.0032467,0,0,0,0,0.0022877,0,0
0.00012715,8.6194e-05,9.1596e-05,5.4614e-07,2.6152e-05,6.4897e-05,-1.9042e-05,-2.3973e-05,0.00013766,-0.00092956,-4.2781e-05,0.0032085,0.00026395,0.00022281,0.00034351,0.0017467,0.00023781,9.0793e-05,-0.0030347,0,0,0,0,0.0020589,0,0
0.00012663,8.8163e-05,9.93e-05,-3.556e-07,1.9143e-05,8.0512e-05,-1.4203e-05,-1.7674e-05,0.00013668,-0.00090775,-3.3057e-05,0.0031123,0.0001859,0.0001904,0.00033244,0.0016105,0.00021599,6.4641e-05,-0.0028242,0,0,0,0,0.001853,0,0
0.00012437,8.8411e-05,0.00010379,-1.0572e-06,1.3542e-05,9.1303e-05,-1.0427e-05,-1.2488e-05,0.0001339,-0.00087823,-2.5266e-05,0.0030084,0.00012622,0.00016163,0.00032043,0.001484,0.00019996,4.6162e-05,-0.0026181,0,0,0,0,0.0016677,0,0
0.00012079,8.7305e-05,0.0001057,-1.5924e-06,9.0861e-06,9.821e-05,-7.5193e-06,-8.293e-06,0.00012977,-0.00084307,-1.9077e-05,0.0028989,8.1438e-05,0.00013616,0.00030775,0.0013668,0.00018841,3.389e-05,-0.0024182,0,0,0,0,0.0015009,0,0
0.00011622,8.5155e-05,0.00010559,-1.9901e-06,5.5618e-06,0.00010202,-5.3171e-06,-4.9613e-06,0.00012466,-0.00080398,-1.421e-05,0.0027854,4.8673e-05,0.00011366,0.00029463,0.0012582,0.00018024,2.6548e-05,-0.0022263,0,0,0,0,0.0013509,0,0
0.00011096,8.222e-05,0.00010389,-2.2747e-06,2.7965e-06,0.00010337,-3.6842e-06,-2.3687e-06,0.00011884,-0.00076234,-1.0428e-05,0.0026695,2.5514e-05,9.3831e-05,0.00028128,0.0011577,0.00017458,2.3043e-05,-0.0020433,0,0,0,0,0.0012158,0,0
0.00010522,7.8714e-05,0.00010099,-2.4669e-06,6.496e-07,0.00010281,-2.5073e-06,-3.9961e-07,0.00011257,-0.00071927,-7.5308e-06,0.0025526,9.9603e-06,7.6417e-05,0.00026786,0.0010648,0.00017072,2.2452e-05,-0.0018699,0,0,0,0,0.0010942,0,0
9.9204e-05,7.4813e-05,9.7198e-05,-2.584e-06,-9.9399e-07,0.00010078,-1.6921e-06,1.0506e-06,0.00010604,-0.00067568,-5.3509e-06,0.0024357,3.5787e-07,6.1168e-05,0.00025449,0.0009789,0.00016812,2.4006e-05,-0.0017066,0,0,0,0,0.00098477,0,0
