piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00060722,0.0014706,0.0018681,-3.4323e-05,0.0003222,0.0015803,0.003979,0.0012793,0.00056006,-0.0037576,0.00072487,0.0022858,0.0035627,0.0023311,-0.0015508,-0.0013747,0.0061147,0.001893,0.00086242,0,0,0,0,0,0.01,0
0.00046388,0.0003663,0.001474,-3.6659e-05,0.00016609,0.0013446,0.00021168,0.00080406,0.00044028,-0.0029942,0.00053996,0.0040573,0.0038709,0.0017923,-0.0011792,-0.0010079,0.00644,0.0030828,0.0015404,0,0,0,0,0,0.0085,0
0.0003491,0.00023579,0.0011652,-3.0951e-05,6.7589e-05,0.0011285,-0.00016561,0.00047917,0.00034014,-0.0023785,0.00039665,0.0054025,0.0040366,0.001355,-0.00086577,-0.00069609,0.0061855,0.0037919,0.0020642,0,0,0,0,0,0.007225,0
0.00025666,0.00014481,0.00091796,-2.5579e-05,7.827e-06,0.00093571,-0.00020522,0.00025802,0.00025663,-0.0018778,0.00028346,0.0063961,0.0041017,0.00099948,-0.00060515,-0.00043737,0.0058702,0.0041737,0.0024593,0,0,0,0,0,0.0061412,0
0.00018214,7.776e-05,0.00071889,-2.1123e-05,-2.6361e-05,0.00076637,-0.00020843,0.00010875,0.0001873,-0.0014692,0.00019382,0.0071013,0.0040937,0.00071107,-0.00039059,-0.00022562,0.0055499,0.0043346,0.0027477,0,0,0,0,0,0.0052201,0
0.00012215,2.796e-05,0.00055803,-1.7457e-05,-4.395e-05,0.00061944,-0.00020574,9.256e-06,0.00013004,-0.0011353,0.00012288,0.0075715,0.0040327,0.00047802,-0.00021569,-5.4518e-05,0.0052337,0.0043483,0.002948,0,0,0,0,0,0.0044371,0
7.3989e-05,-8.9695e-06,0.00042779,-1.443e-05,-5.1006e-05,0.00049322,-0.0002008,-5.5822e-05,8.3044e-05,-0.00086225,6.6869e-05,0.0078515,0.0039337,0.00029067,-7.4651e-05,8.1818e-05,0.0049251,0.0042657,0.0030759,0,0,0,0,0,0.0037715,0
3.5485e-05,-3.6198e-05,0.00032222,-1.192e-05,-5.1592e-05,0.00038573,-0.00019446,-9.717e-05,4.4731e-05,-0.00063902,2.2859e-05,0.0079788,0.0038078,0.00014104,3.7707e-05,0.0001887,0.0046263,0.0041219,0.0031447,0,0,0,0,0,0.0032058,0
4.8962e-06,-5.6059e-05,0.00023667,-9.83e-06,-4.8403e-05,0.0002949,-0.00018718,-0.00012221,1.3752e-05,-0.00045682,-1.148e-05,0.0079848,0.0036636,2.2532e-05,0.00012593,0.00027083,0.0043386,0.0039411,0.0031659,0,0,0,0,0,0.0027249,0
-1.9196e-05,-7.0292e-05,0.00016743,-8.0854e-06,-4.3202e-05,0.00021871,-0.00017928,-0.00013611,-1.1052e-05,-0.00030849,-3.8006e-05,0.0078954,0.0035074,-7.034e-05,0.00019399,0.00033234,0.0040631,0.0037397,0.0031489,0,0,0,0,0,0.0023162,0
