piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00018344,-1.4813e-05,0.00099696,3.0267e-06,0.00021798,0.00077595,0.0011059,0.00026988,0.00017731,-0.0017487,0.00025156,0.0010881,0.001735,0.0013008,0.001046,0.00011858,0.0016995,0.00039936,0.00027303,0.01,0,0,0,0,0,0
0.00014727,0.00016781,0.00083002,-1.5938e-07,0.00017152,0.00065866,0.00010697,0.00018928,0.00014436,-0.0014779,0.00019451,0.0019285,0.0017368,0.0010289,0.00096968,0.00020337,0.0018639,0.00067945,0.00049533,0.0085,0,0,0,0,0,0
0.00011684,0.00013001,0.00069124,-7.0771e-07,0.00013639,0.00055556,-1.9589e-06,0.00013048,0.00011591,-0.0012467,0.00014835,0.0025647,0.0017197,0.00080448,0.00089942,0.00026866,0.0018609,0.00087253,0.00067381,0.007225,0,0,0,0,0,0
9.1122e-05,0.00010083,0.00057452,-9.2391e-07,0.00010967,0.00046578,-2.1089e-05,8.7257e-05,9.1406e-05,-0.0010486,0.00011048,0.0030331,0.0016893,0.00061926,0.00083418,0.00031672,0.0018285,0.0010017,0.00081457,0.0061412,0,0,0,0,0,0
6.9399e-05,7.7049e-05,0.00047614,-1.046e-06,8.9153e-05,0.00038803,-2.9493e-05,5.5319e-05,7.0391e-05,-0.00087852,7.9405e-05,0.0033645,0.0016491,0.00046683,0.00077345,0.00035046,0.0017831,0.0010835,0.00092296,0.0052201,0,0,0,0,0,0
5.1091e-05,5.7488e-05,0.00039315,-1.1086e-06,7.3263e-05,0.000321,-3.5272e-05,3.1636e-05,5.2455e-05,-0.00073262,5.3965e-05,0.0035845,0.0016015,0.00034185,0.00071686,0.00037251,0.0017289,0.0011303,0.0010037,0.0044371,0,0,0,0,0,0
3.571e-05,4.1367e-05,0.00032315,-1.1254e-06,6.0837e-05,0.00026343,-3.9494e-05,1.4037e-05,3.7226e-05,-0.00060751,3.3219e-05,0.0037146,0.0015486,0.00023982,0.00066412,0.00038509,0.0016682,0.0011511,0.0010611,0.0037715,0,0,0,0,0,0
2.2842e-05,2.8084e-05,0.00026412,-1.1071e-06,5.1029e-05,0.0002142,-4.249e-05,9.5701e-07,2.4371e-05,-0.00050033,1.6388e-05,0.0037728,0.0014918,0.00015695,0.00061497,0.00039011,0.0016029,0.0011525,0.0010986,0.0032058,0,0,0,0,0,0
1.2132e-05,1.7157e-05,0.00021439,-1.0626e-06,4.3214e-05,0.00017224,-4.4481e-05,-8.7368e-06,1.3589e-05,-0.00040865,2.8258e-06,0.0037738,0.0014325,9.0078e-05,0.00056918,0.00038913,0.0015346,0.0011396,0.0011195,0.0027249,0,0,0,0,0,0
3.2768e-06,8.1996e-06,0.00017254,-9.9945e-07,3.6931e-05,0.00013661,-4.5646e-05,-1.5873e-05,4.6137e-06,-0.00033038,-8.0059e-06,0.0037301,0.0013715,3.6523e-05,0.00052656,0.00038349,0.0014644,0.0011161,0.0011266,0.0023162,0,0,0,0,0,0
-3.986e-06,8.9465e-07,0.00013739,-9.2387e-07,3.1833e-05,0.00010648,-4.6138e-05,-2.1064e-05,-2.7939e-06,-0.0002637,-1.6559e-05,0.0036518,0.0013098,-5.9616e-06,0.00048691,0.00037429,0.0013935,0.0010849,0.0011223,0.0019687,0,0,0,0,0,0
-9.8834e-06,-5.02e-06,0.00010792,-8.4085e-07,2.7661e-05,8.1104e-05,-4.6083e-05,-2.4762e-05,-8.8449e-06,-0.00020706,-2.3213e-05,0.0035474,0.0012479,-3.9265e-05,0.00045005,0.00036241,0.0013227,0.0010483,0.0011087,0.0016734,0,0,0,0,0,0
