piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00043879,0.0016725,-0.0020818,0.00015592,-0.00042839,-0.0018094,-0.0087163,-0.00096524,-0.00040105,0.019329,0.0041411,0.012829,-0.0032064,0.0086255,-0.012104,-0.016776,-0.013395,-0.0014283,-0.00061757,0,0.01,0,0,0,0,0
-9.4246e-05,-0.00073378,-0.0012105,0.00012485,-0.00019415,-0.0011412,0.0019838,-0.00020963,-8.6525e-05,0.013686,0.003393,0.022071,-0.0023863,0.006227,-0.0085218,-0.011731,-0.010346,-0.0017385,-0.0007508,0,0.008,0,0,0,0,0
0.00012794,-0.00032603,-0.00062588,8.082e-05,-6.3289e-05,-0.00064341,0.0024517,0.00021974,0.00012124,0.0094862,0.0027523,0.028529,-0.0014712,0.0043347,-0.0057738,-0.0078845,-0.0065785,-0.0014134,-0.00056411,0,0.0064,0,0,0,0,0
0.0002631,-7.4758e-05,-0.00023522,4.6636e-05,3.4831e-06,-0.00028534,0.0020217,0.00044067,0.00025052,0.0063816,0.0022137,0.032836,-0.00055676,0.0028546,-0.0036751,-0.0049624,-0.0034717,-0.00076129,-0.00017834,0,0.00512,0,0,0,0,0
0.00033629,8.1049e-05,1.7117e-05,2.1837e-05,3.2322e-05,-3.7042e-05,0.0015921,0.00053059,0.00032262,0.0041098,0.0017636,0.035491,0.00030643,0.0017053,-0.0020836,-0.0027595,-0.001025,2.3856e-05,0.00031844,0,0.004096,0,0,0,0,0
0.00036602,0.00017139,0.00017085,4.3031e-06,3.9879e-05,0.00012667,0.0012354,0.00054083,0.00035376,0.0024695,0.0013892,0.036889,0.0010898,0.00082027,-0.00088789,-0.001116,0.0008735,0.00082416,0.00086318,0,0.0032768,0,0,0,0,0
0.00036604,0.00021661,0.0002551,-7.7607e-06,3.6477e-05,0.00022639,0.00094554,0.00050513,0.00035629,0.0013058,0.0010791,0.037338,0.001779,0.00014598,-6.716e-07,9.342e-05,0.0023266,0.0015716,0.0014118,0,0.0026214,0,0,0,0,0
0.00034645,0.00023124,0.00029122,-1.5746e-05,2.8319e-05,0.00027865,0.00071111,0.00044533,0.00033953,0.00049951,0.00082337,0.037082,0.0023689,-0.00036088,0.00064688,0.00096718,0.0034194,0.0022306,0.0019346,0,0.0020972,0,0,0,0,0
0.00031465,0.00022575,0.00029483,-2.0718e-05,1.8965e-05,0.00029658,0.00052212,0.00037528,0.00031041,-4.0857e-05,0.00061326,0.036311,0.0028606,-0.00073513,0.0011088,0.0015824,0.0042217,0.002786,0.0024126,0,0.0016777,0,0,0,0,0
0.00027598,0.0002076,0.00027725,-2.3487e-05,1.0315e-05,0.00029042,0.00037029,0.00030349,0.00027406,-0.00038523,0.00044144,0.035171,0.0032591,-0.0010048,0.0014276,0.0019994,0.0047908,0.0032351,0.0028346,0,0.0013422,0,0,0,0,0
0.00023424,0.00018208,0.00024667,-2.4671e-05,3.2484e-06,0.00026809,0.00024884,0.00023498,0.00023419,-0.00058696,0.00030163,0.033778,0.0035714,-0.0011923,0.0016367,0.0022655,0.0051732,0.0035828,0.0031953,0,0.0010737,0,0,0,0,0
0.00019208,0.00015289,0.00020891,-2.4735e-05,-1.9528e-06,0.00023559,0.00015218,0.00017245,0.00019345,-0.00068654,0.0001885,0.03222,0.0038058,-0.0013156,0.0017621,0.0024176,0.005407,0.003838,0.0034932,0,0.00085899,0,0,0,0,0
0.00015128,0.00012256,0.00016805,-2.4029e-05,-5.3435e-06,0.00019742,7.575e-05,0.00011714,0.00015366,-0.00071451,9.7569e-05,0.030565,0.0039712,-0.0013891,0.0018243,0.0024845,0.0055234,0.0040113,0.0037298,0,0.00068719,0,0,0,0,0
0.000113,9.2795e-05,0.0001269,-2.2817e-05,-7.1469e-06,0.00015686,1.5796e-05,6.94e-05,0.00011605,-0.00069381,2.5063e-05,0.028865,0.0040761,-0.0014244,0.0018394,0.0024884,0.0055477,0.004114,0.0039085,0,0.00054976,0,0,0,0,0
7.7939e-05,6.4683e-05,8.7321e-05,-2.1292e-05,-7.6539e-06,0.00011627,-3.0755e-05,2.9008e-05,8.1353e-05,-0.00064145,-3.2187e-05,0.027158,0.0041288,-0.0014304,0.0018198,0.0024468,0.0055005,0.0041569,0.0040337,0,0.0004398,0,0,0,0,0
4.6447e-05,3.8881e-05,5.0499e-05,-1.9596e-05,-7.165e-06,7.726e-05,-6.642e-05,-4.5488e-06,5.0005e-05,-0.00056996,-7.6835e-05,0.025473,0.0041371,-0.0014145,0.0017752,0.002373,0.0053984,0.0041502,0.0041107,0,0.00035184,0,0,0,0,0
1.8651e-05,1.5738e-05,1.7116e-05,-1.7831e-05,-5.9583e-06,4.0906e-05,-9.3264e-05,-3.1936e-05,2.218e-05,-0.00048841,-0.0001111,0.02383,0.0041081,-0.0013823,0.0017131,0.0022771,0.0052551,0.0041029,0.0041449,0,0.00028147,0,0,0,0,0
-5.4927e-06,-4.6118e-06,-1.2492e-05,-1.6071e-05,-4.2749e-06,7.8532e-06,-0.00011298,-5.3875e-05,-2.1172e-06,-0.00040329,-0.00013684,0.022244,0.0040482,-0.0013385,0.0016392,0.0021671,0.0050814,0.0040232,0.0041416,0,0.00022518,0,0,0,0,0
-2.6136e-05,-2.2181e-05,-3.8238e-05,-1.4364e-05,-2.3137e-06,-2.156e-05,-0.00012695,-7.1079e-05,-2.3001e-05,-0.00031907,-0.0001556,0.020725,0.0039632,-0.0012865,0.001558,0.0020489,0.0048864,0.003918,0.0041062,0,0.00018014,0,0,0,0,0
-4.3503e-05,-3.7078e-05,-6.0198e-05,-1.2743e-05,-2.3219e-07,-4.7223e-05,-0.00013631,-8.4224e-05,-4.0662e-05,-0.00023876,-0.00016867,0.019279,0.003858,-0.0012291,0.0014727,0.0019268,0.0046769,0.0037934,0.0040436,0,0.00014412,0,0,0,0,0
-5.7856e-05,-4.9474e-05,-7.8563e-05,-1.1229e-05,1.8497e-06,-6.9184e-05,-0.00014199,-9.3928e-05,-5.5339e-05,-0.00016427,-0.00017712,0.01791,0.0037371,-0.0011686,0.001386,0.0018042,0.0044587,0.0036544,0.0039584,0,0.00011529,0,0,0,0,0
-6.948e-05,-5.9574e-05,-9.3589e-05,-9.832e-06,3.8445e-06,-8.7602e-05,-0.00014476,-0.00010074,-6.7297e-05,-9.6705e-05,-0.00018184,0.016619,0.0036043,-0.0011065,0.0012996,0.0016833,0.0042362,0.0035053,0.0038548,0,9.2234e-05,0,0,0,0,0
-7.8661e-05,-6.7597e-05,-0.00010557,-8.557e-06,5.6918e-06,-0.0001027,-0.00014522,-0.00010516,-7.6811e-05,-3.658e-05,-0.00018359,0.015406,0.0034629,-0.0010441,0.0012149,0.001566,0.0040131,0.0033497,0.0037365,0,7.3787e-05,0,0,0,0,0
-8.5682e-05,-7.3771e-05,-0.00011481,-7.4032e-06,7.3529e-06,-0.00011476,-0.0001439,-0.0001076,-8.4151e-05,1.6005e-05,-0.00018296,0.014269,0.0033158,-0.00098236,0.0011328,0.0014533,0.0037919,0.0031905,0.0036069,0,5.903e-05,0,0,0,0,0
-9.0812e-05,-7.8316e-05,-0.00012163,-6.367e-06,8.8065e-06,-0.00012407,-0.00014119,-0.00010843,-8.9581e-05,6.1234e-05,-0.00018047,0.013207,0.0031652,-0.00092201,0.0010541,0.0013459,0.0035749,0.00303,0.003469,0,4.7224e-05,0,0,0,0,0
-9.4302e-05,-8.1441e-05,-0.00012633,-5.4425e-06,1.0044e-05,-0.00013093,-0.00013745,-0.00010796,-9.3348e-05,9.9482e-05,-0.00017654,0.012216,0.0030132,-0.00086354,0.00097905,0.0012445,0.0033637,0.0028703,0.0033252,0,3.7779e-05,0,0,0,0,0
-9.6387e-05,-8.3343e-05,-0.00012918,-4.6225e-06,1.1067e-05,-0.00013563,-0.00013294,-0.00010645,-9.5682e-05,0.00013124,-0.00017151,0.011293,0.0028615,-0.00080731,0.00090802,0.001149,0.0031594,0.0027128,0.0031779,0,3.0223e-05,0,0,0,0,0
-9.7276e-05,-8.4202e-05,-0.00013046,-3.8991e-06,1.1883e-05,-0.00013845,-0.00012788,-0.00010414,-9.6795e-05,0.00015707,-0.00016568,0.010435,0.0027113,-0.00075356,0.00084107,0.0010597,0.0029629,0.0025587,0.0030288,0,2.4179e-05,0,0,0,0,0
-9.7161e-05,-8.4181e-05,-0.00013041,-3.264e-06,1.2505e-05,-0.00013965,-0.00012245,-0.0001012,-9.6876e-05,0.00017756,-0.00015927,0.0096378,0.0025638,-0.00070242,0.00077823,0.00097635,0.0027747,0.0024089,0.0028797,0,1.9343e-05,0,0,0,0,0
-9.6211e-05,-8.3427e-05,-0.00012924,-2.7092e-06,1.2949e-05,-0.00013948,-0.0001168,-9.7802e-05,-9.6097e-05,0.0001933,-0.00015247,0.0088986,0.0024198,-0.00065398,0.00071944,0.00089885,0.0025952,0.0022642,0.0027317,0,1.5474e-05,0,0,0,0,0
-9.4577e-05,-8.2071e-05,-0.00012714,-2.2268e-06,1.3233e-05,-0.00013815,-0.00011103,-9.4064e-05,-9.461e-05,0.00020486,-0.00014543,0.0082136,0.0022801,-0.00060825,0.00066458,0.00082696,0.0024246,0.002125,0.002586,0,1.2379e-05,0,0,0,0,0
-9.2392e-05,-8.0227e-05,-0.0001243,-1.8091e-06,1.3374e-05,-0.00013587,-0.00010525,-9.0098e-05,-9.2549e-05,0.00021277,-0.00013829,0.0075793,0.0021451,-0.00056519,0.00061351,0.00076042,0.0022629,0.0019917,0.0024435,0,9.9035e-06,0,0,0,0,0
-8.977e-05,-7.7996e-05,-0.00012087,-1.4491e-06,1.339e-05,-0.00013281,-9.9505e-05,-8.5992e-05,-9.0031e-05,0.00021754,-0.00013114,0.0069923,0.0020153,-0.00052476,0.00056605,0.00069892,0.0021099,0.0018644,0.0023048,0,7.9228e-06,0,0,0,0,0
-8.6813e-05,-7.5466e-05,-0.00011697,-1.1403e-06,1.3299e-05,-0.00012913,-9.3867e-05,-8.1816e-05,-8.7159e-05,0.00021963,-0.00012406,0.0064495,0.0018909,-0.00048687,0.00052203,0.00064218,0.0019657,0.0017433,0.0021706,0,6.3383e-06,0,0,0,0,0
-8.3605e-05,-7.2712e-05,-0.00011273,-8.7673e-07,1.3116e-05,-0.00012497,-8.8372e-05,-7.7629e-05,-8.4019e-05,0.00021947,-0.0001171,0.0059478,0.001772,-0.00045143,0.00048124,0.00058989,0.0018299,0.0016285,0.0020413,0,5.0706e-06,0,0,0,0,0
-8.022e-05,-6.9798e-05,-0.00010824,-6.5284e-07,1.2857e-05,-0.00012044,-8.3053e-05,-7.3477e-05,-8.0688e-05,0.00021742,-0.00011032,0.0054842,0.0016587,-0.00041833,0.0004435,0.00054173,0.0017023,0.0015197,0.001917,0,4.0565e-06,0,0,0,0,0
-7.6722e-05,-6.678e-05,-0.00010358,-4.6373e-07,1.2536e-05,-0.00011565,-7.7932e-05,-6.9396e-05,-7.723e-05,0.00021383,-0.00010376,0.0050561,0.0015511,-0.00038746,0.0004086,0.00049743,0.0015825,0.0014171,0.0017981,0,3.2452e-06,0,0,0,0,0
-7.3161e-05,-6.3703e-05,-9.8832e-05,-3.0497e-07,1.2166e-05,-0.00011069,-7.3022e-05,-6.5415e-05,-7.3699e-05,0.00020898,-9.7437e-05,0.0046609,0.0014491,-0.00035871,0.00037637,0.0004567,0.0014703,0.0013203,0.0016846,0,2.5961e-06,0,0,0,0,0
-6.9582e-05,-6.0606e-05,-9.4049e-05,-1.726e-07,1.1756e-05,-0.00010563,-6.8335e-05,-6.1554e-05,-7.014e-05,0.00020314,-9.1369e-05,0.0042961,0.0013527,-0.00033196,0.00034661,0.00041928,0.0013653,0.0012292,0.0015766,0,2.0769e-06,0,0,0,0,0
-6.6022e-05,-5.7522e-05,-8.9283e-05,-6.3093e-08,1.1317e-05,-0.00010054,-6.3875e-05,-5.783e-05,-6.6591e-05,0.00019653,-8.557e-05,0.0039595,0.0012616,-0.00030709,0.00031916,0.0003849,0.0012671,0.0011436,0.001474,0,1.6615e-06,0,0,0,0,0
