piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00043276,0.00054669,0.0024245,-3.4525e-05,0.00048906,0.00197,0.0043491,0.00091433,0.00039876,0,-2.3982e-05,0.0011871,0.0040572,0.0018807,0.0013443,0.0010279,0.0066835,0.001353,0.00061403,0,0,0,0,0,0,0.01
0.00026551,0.00023979,0.0016721,-3.1602e-05,0.00027966,0.001424,-0.00059004,0.00043307,0.00025399,0,-4.1452e-05,0.0020519,0.0035342,0.001334,0.0010864,0.00075285,0.0057767,0.0019938,0.0010051,0,0,0,0,0,0,0.008
0.0001544,0.00011455,0.0011619,-2.1099e-05,0.00015653,0.0010265,-0.00077627,0.00015683,0.00015436,0,-5.378e-05,0.0026621,0.0030883,0.00093441,0.00090291,0.00059046,0.0045838,0.0022259,0.0012428,0,0,0,0,0,0,0.0064
8.0089e-05,4.2713e-05,0.00080664,-1.3398e-05,8.5404e-05,0.00073463,-0.0005973,3.3713e-06,8.5513e-05,0,-6.2082e-05,0.0030731,0.0027081,0.00063863,0.00076679,0.0004903,0.0036659,0.0022309,0.0013745,0,0,0,0,0,0,0.00512
3.0601e-05,-8.5929e-07,0.00055689,-8.2819e-06,4.5466e-05,0.0005197,-0.00044379,-7.6631e-05,3.8116e-05,0,-6.7259e-05,0.0033293,0.0023834,0.00041912,0.00066284,0.00042704,0.0029839,0.0021175,0.0014332,0,0,0,0,0,0,0.004096
-2.0138e-06,-2.688e-05,0.00038019,-4.9377e-06,2.395e-05,0.00036118,-0.00033346,-0.00011347,5.774e-06,0,-7.0036e-05,0.0034668,0.0021053,0.00025631,0.00058123,0.0003856,0.0024715,0.0019496,0.0014421,0,0,0,0,0,0,0.0032768
-2.3116e-05,-4.1732e-05,0.00025458,-2.7676e-06,1.3074e-05,0.00024428,-0.00025496,-0.00012566,-1.5961e-05,0,-7.099e-05,0.003514,0.0018665,0.00013594,0.00051544,0.00035679,0.0020796,0.0017637,0.0014175,0,0,0,0,0,0,0.0026214
-3.6346e-05,-4.9486e-05,0.000165,-1.3722e-06,8.1547e-06,0.00015822,-0.00019852,-0.00012441,-3.0207e-05,0,-7.058e-05,0.0034937,0.0016606,4.7508e-05,0.00046112,0.00033508,0.0017746,0.0015796,0.001371,0,0,0,0,0,0,0.0020972
-4.4192e-05,-5.2766e-05,0.00010104,-4.8761e-07,6.4126e-06,9.5114e-05,-0.00015735,-0.00011638,-3.9162e-05,0,-6.9168e-05,0.0034238,0.0014824,-1.6799e-05,0.00041531,0.00031723,0.0015328,0.0014073,0.0013107,0,0,0,0,0,0,0.0016777
-4.8363e-05,-5.3266e-05,5.5422e-05,6.0542e-08,6.2368e-06,4.9124e-05,-0.00012688,-0.00010543,-4.4389e-05,0,-6.7037e-05,0.0033183,0.0013276,-6.2845e-05,0.00037597,0.00030135,0.0013378,0.0012513,0.0012424,0,0,0,0,0,0,0.0013422
