piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
1.7512e-05,-0.00018558,5.9167e-05,-2.9699e-05,1.7693e-05,7.1173e-05,-0.0087662,3.599e-05,1.7466e-05,0,-5.9195e-07,2.9301e-05,0.00015878,9.0658e-05,2.6486e-05,0.00027342,-0.013471,5.3256e-05,2.6895e-05,0,0,0.01,0,0,0,0
1.3916e-05,1.3759e-05,6.571e-05,-3.8568e-06,1.1502e-05,5.8065e-05,2.0527e-05,2.2676e-05,1.3307e-05,0,-1.0847e-06,5.3695e-05,0.00015031,8.3936e-05,2.8937e-05,0.00025845,-0.01344,8.6811e-05,4.7385e-05,0,0,0.009,0,0,0,0
9.4027e-06,2.6483e-05,5.1191e-05,-9.6828e-07,7.0624e-06,4.5097e-05,0.00078275,1.1102e-05,9.1757e-06,0,-1.4898e-06,7.3747e-05,0.00014199,7.0999e-05,2.5749e-05,0.00022969,-0.012237,0.00010324,6.1515e-05,0,0,0.0081,0,0,0,0
6.0176e-06,2.2964e-05,3.8948e-05,-4.1827e-07,4.424e-06,3.4942e-05,0.00078165,3.9098e-06,6.0547e-06,0,-1.817e-06,8.994e-05,0.00013383,5.9781e-05,2.3108e-05,0.00020418,-0.011036,0.00010903,7.0838e-05,0,0,0.00729,0,0,0,0
3.5882e-06,1.9028e-05,2.9873e-05,-1.8483e-07,2.9353e-06,2.7122e-05,0.00071344,-2.6459e-07,3.7558e-06,0,-2.0755e-06,0.00010274,0.00012592,5.0486e-05,2.1199e-05,0.00018244,-0.0099394,0.00010863,7.6622e-05,0,0,0.006561,0,0,0,0
1.8479e-06,1.5856e-05,2.3153e-05,-4.3826e-08,2.13e-06,2.1067e-05,0.0006447,-2.5639e-06,2.0638e-06,0,-2.2743e-06,0.00011258,0.0001183,4.274e-05,1.9784e-05,0.00016374,-0.0089487,0.00010484,7.9799e-05,0,0,0.0059049,0,0,0,0
5.994e-07,1.3334e-05,1.8107e-05,4.6423e-08,1.7172e-06,1.6344e-05,0.00058156,-3.7294e-06,8.1822e-07,0,-2.4216e-06,0.00011987,0.00011101,3.6226e-05,1.8676e-05,0.00014747,-0.008055,9.9322e-05,8.1059e-05,0,0,0.0053144,0,0,0,0
-2.9523e-07,1.13e-05,1.4261e-05,1.0343e-07,1.5211e-06,1.2637e-05,0.00052421,-4.2232e-06,-9.6294e-08,0,-2.5246e-06,0.00012497,0.00010408,3.0706e-05,1.7757e-05,0.00013318,-0.0072494,9.3072e-05,8.0911e-05,0,0,0.004783,0,0,0,0
-9.3271e-07,9.6324e-06,1.1287e-05,1.3799e-07,1.4375e-06,9.7112e-06,0.0004723,-4.3304e-06,-7.6339e-07,0,-2.5901e-06,0.00012821,9.7494e-05,2.6e-05,1.6952e-05,0.00012051,-0.0065236,8.6664e-05,7.9736e-05,0,0,0.0043047,0,0,0,0
-1.3816e-06,8.2459e-06,8.9563e-06,1.5732e-07,1.4063e-06,7.3927e-06,0.00042538,-4.2242e-06,-1.2443e-06,0,-2.6239e-06,0.00012988,9.126e-05,2.1972e-05,1.6215e-05,0.00010923,-0.0058699,8.0413e-05,7.782e-05,0,0,0.0038742,0,0,0,0
-1.6911e-06,7.0799e-06,7.1098e-06,1.6635e-07,1.3941e-06,5.5493e-06,0.00038302,-4.0087e-06,-1.5843e-06,0,-2.631e-06,0.00013024,8.5368e-05,1.8513e-05,1.5519e-05,9.9129e-05,-0.0052813,7.4481e-05,7.538e-05,0,0,0.0034868,0,0,0,0
-1.8967e-06,6.0903e-06,5.6325e-06,1.6843e-07,1.3835e-06,4.0805e-06,0.00034481,-3.7451e-06,-1.8172e-06,0,-2.6161e-06,0.0001295,7.9808e-05,1.5538e-05,1.485e-05,9.0053e-05,-0.0047514,6.894e-05,7.2582e-05,0,0,0.0031381,0,0,0,0
-2.0248e-06,5.2444e-06,4.441e-06,1.6591e-07,1.3663e-06,2.9088e-06,0.00031036,-3.4683e-06,-1.9686e-06,0,-2.5829e-06,0.00012785,7.4569e-05,1.2976e-05,1.4197e-05,8.1876e-05,-0.0042744,6.3807e-05,6.9551e-05,0,0,0.0028243,0,0,0,0
-2.0948e-06,4.5174e-06,3.474e-06,1.604e-07,1.3396e-06,1.974e-06,0.00027932,-3.1974e-06,-2.0578e-06,0,-2.5349e-06,0.00012548,6.9637e-05,1.077e-05,1.3558e-05,7.4492e-05,-0.0038452,5.9076e-05,6.6382e-05,0,0,0.0025419,0,0,0,0
-2.1211e-06,3.8899e-06,2.6853e-06,1.5303e-07,1.3031e-06,1.2292e-06,0.00025136,-2.9418e-06,-2.0998e-06,0,-2.475e-06,0.00012251,6.5e-05,8.8693e-06,1.2931e-05,6.7812e-05,-0.0034589,5.4723e-05,6.3148e-05,0,0,0.0022877,0,0,0,0
-2.1149e-06,3.3468e-06,2.0399e-06,1.4457e-07,1.2582e-06,6.3719e-07,0.00022619,-2.7058e-06,-2.106e-06,0,-2.4057e-06,0.00011908,6.0643e-05,7.2343e-06,1.2315e-05,6.1761e-05,-0.0031113,5.0719e-05,5.9905e-05,0,0,0.0020589,0,0,0,0
-2.0844e-06,2.8756e-06,1.5106e-06,1.3557e-07,1.2066e-06,1.6851e-07,0.00020352,-2.4901e-06,-2.0852e-06,0,-2.3292e-06,0.0001153,5.6553e-05,5.8296e-06,1.1713e-05,5.6274e-05,-0.0027986,4.7034e-05,5.6694e-05,0,0,0.001853,0,0,0,0
-2.0362e-06,2.4663e-06,1.0762e-06,1.264e-07,1.1501e-06,-2.0033e-07,0.00018311,-2.2942e-06,-2.0444e-06,0,-2.2474e-06,0.00011125,5.2717e-05,4.6247e-06,1.1124e-05,5.1293e-05,-0.0025172,4.3639e-05,5.3546e-05,0,0,0.0016677,0,0,0,0
-1.9752e-06,2.1105e-06,7.1984e-07,1.1733e-07,1.0907e-06,-4.8817e-07,0.00016474,-2.1165e-06,-1.9889e-06,0,-2.1618e-06,0.00010701,4.9121e-05,3.5938e-06,1.0551e-05,4.6767e-05,-0.002264,4.0507e-05,5.0484e-05,0,0,0.0015009,0,0,0,0
-1.9052e-06,1.8009e-06,4.2798e-07,1.0851e-07,1.0297e-06,-7.1023e-07,0.00014821,-1.9554e-06,-1.9229e-06,0,-2.0737e-06,0.00010265,4.5753e-05,2.714e-06,9.9947e-06,4.2654e-05,-0.0020363,3.7614e-05,4.7523e-05,0,0,0.0013509,0,0,0,0
-1.8292e-06,1.5317e-06,1.8969e-07,1.0007e-07,9.684e-07,-8.7879e-07,0.00013333,-1.809e-06,-1.8496e-06,0,-1.9843e-06,9.8222e-05,4.26e-05,1.9658e-06,9.4558e-06,3.8912e-05,-0.0018314,3.4937e-05,4.4675e-05,0,0,0.0012158,0,0,0,0
-1.7494e-06,1.2976e-06,-3.9492e-09,9.2072e-08,9.0782e-07,-1.0038e-06,0.00011994,-1.6756e-06,-1.7717e-06,0,-1.8945e-06,9.3776e-05,3.9651e-05,1.3319e-06,8.9354e-06,3.5507e-05,-0.001647,3.2457e-05,4.1947e-05,0,0,0.0010942,0,0,0,0
-1.6677e-06,1.0942e-06,-1.603e-07,8.4547e-08,8.4867e-07,-1.0935e-06,0.00010789,-1.5538e-06,-1.691e-06,0,-1.8051e-06,8.935e-05,3.6893e-05,7.9734e-07,8.4343e-06,3.2408e-05,-0.0014812,3.0158e-05,3.9343e-05,0,0,0.00098477,0,0,0,0
-1.5854e-06,9.1764e-07,-2.8545e-07,7.7514e-08,7.9153e-07,-1.1545e-06,9.7051e-05,-1.4421e-06,-1.6093e-06,0,-1.7167e-06,8.4975e-05,3.4316e-05,3.4906e-07,7.9529e-06,2.9585e-05,-0.0013321,2.8024e-05,3.6865e-05,0,0,0.00088629,0,0,0,0
-1.5036e-06,7.6454e-07,-3.8447e-07,7.0974e-08,7.3677e-07,-1.1922e-06,8.7298e-05,-1.3395e-06,-1.5275e-06,0,-1.6298e-06,8.0677e-05,3.1908e-05,-2.442e-08,7.4915e-06,2.7013e-05,-0.0011979,2.6042e-05,3.4512e-05,0,0,0.00079766,0,0,0,0
-1.4231e-06,6.32e-07,-4.6159e-07,6.4915e-08,6.8464e-07,-1.2112e-06,7.8523e-05,-1.245e-06,-1.4467e-06,0,-1.545e-06,7.6477e-05,2.9661e-05,-3.3316e-07,7.0502e-06,2.4669e-05,-0.0010773,2.42e-05,3.2285e-05,0,0,0.0007179,0,0,0,0
-1.3445e-06,5.1744e-07,-5.2039e-07,5.932e-08,6.353e-07,-1.215e-06,7.0628e-05,-1.1577e-06,-1.3676e-06,0,-1.4624e-06,7.2391e-05,2.7564e-05,-5.8593e-07,6.629e-06,2.2532e-05,-0.00096874,2.2487e-05,3.0179e-05,0,0,0.00064611,0,0,0,0
-1.2682e-06,4.1863e-07,-5.6386e-07,5.4166e-08,5.888e-07,-1.2068e-06,6.3526e-05,-1.0769e-06,-1.2906e-06,0,-1.3825e-06,6.8432e-05,2.5609e-05,-7.9043e-07,6.2277e-06,2.0584e-05,-0.00087111,2.0893e-05,2.8191e-05,0,0,0.0005815,0,0,0,0
-1.1945e-06,3.3359e-07,-5.9454e-07,4.943e-08,5.4514e-07,-1.1891e-06,5.7136e-05,-1.002e-06,-1.2161e-06,0,-1.3053e-06,6.461e-05,2.3785e-05,-9.5339e-07,5.846e-06,1.8807e-05,-0.00078331,1.9411e-05,2.6319e-05,0,0,0.00052335,0,0,0,0
-1.1237e-06,2.6062e-07,-6.1456e-07,4.5086e-08,5.0428e-07,-1.1639e-06,5.1388e-05,-9.324e-07,-1.1443e-06,0,-1.2309e-06,6.0932e-05,2.2086e-05,-1.0807e-06,5.4836e-06,1.7186e-05,-0.00070434,1.8031e-05,2.4557e-05,0,0,0.00047101,0,0,0,0
-1.0558e-06,1.9817e-07,-6.2575e-07,4.1106e-08,4.6614e-07,-1.133e-06,4.6217e-05,-8.6774e-07,-1.0756e-06,0,-1.1596e-06,5.7401e-05,2.0503e-05,-1.1775e-06,5.14e-06,1.5708e-05,-0.00063332,1.6747e-05,2.29e-05,0,0,0.00042391,0,0,0,0
-9.9109e-07,1.4494e-07,-6.2966e-07,3.7464e-08,4.3061e-07,-1.0977e-06,4.1566e-05,-8.0758e-07,-1.0098e-06,0,-1.0913e-06,5.4021e-05,1.9029e-05,-1.2483e-06,4.8147e-06,1.4358e-05,-0.00056944,1.5552e-05,2.1345e-05,0,0,0.00038152,0,0,0,0
-9.2944e-07,9.9727e-08,-6.2758e-07,3.4136e-08,3.9758e-07,-1.0593e-06,3.7382e-05,-7.5156e-07,-9.4719e-07,0,-1.0261e-06,5.0793e-05,1.7657e-05,-1.297e-06,4.507e-06,1.3126e-05,-0.00051199,1.444e-05,1.9887e-05,0,0,0.00034337,0,0,0,0
-8.7087e-07,6.1516e-08,-6.2063e-07,3.1097e-08,3.6692e-07,-1.0187e-06,3.3618e-05,-6.9937e-07,-8.8764e-07,0,-9.6396e-07,4.7716e-05,1.6381e-05,-1.3271e-06,4.2165e-06,1.2002e-05,-0.00046033,1.3405e-05,1.852e-05,0,0,0.00030903,0,0,0,0
-8.1536e-07,2.9397e-08,-6.0977e-07,2.8324e-08,3.385e-07,-9.7659e-07,3.0233e-05,-6.5072e-07,-8.3117e-07,0,-9.0482e-07,4.4789e-05,1.5193e-05,-1.3414e-06,3.9424e-06,1.0975e-05,-0.00041387,1.2442e-05,1.724e-05,0,0,0.00027813,0,0,0,0
-7.6283e-07,2.5724e-09,-5.9578e-07,2.5795e-08,3.1217e-07,-9.3375e-07,2.7188e-05,-6.0538e-07,-7.777e-07,0,-8.4865e-07,4.2008e-05,1.4089e-05,-1.3427e-06,3.6841e-06,1.0037e-05,-0.00037209,1.1546e-05,1.6043e-05,0,0,0.00025032,0,0,0,0
-7.132e-07,-1.9659e-08,-5.7936e-07,2.3489e-08,2.8782e-07,-8.9067e-07,2.4449e-05,-5.631e-07,-7.2717e-07,0,-7.9539e-07,3.9372e-05,1.3062e-05,-1.3331e-06,3.4409e-06,9.1807e-06,-0.00033451,1.0713e-05,1.4923e-05,0,0,0.00022528,0,0,0,0
-6.6639e-07,-3.7912e-08,-5.6107e-07,2.1389e-08,2.653e-07,-8.4776e-07,2.1986e-05,-5.2367e-07,-6.7949e-07,0,-7.4496e-07,3.6875e-05,1.2108e-05,-1.3146e-06,3.2121e-06,8.3983e-06,-0.00030073,9.9378e-06,1.3877e-05,0,0,0.00020276,0,0,0,0
-6.2229e-07,-5.2728e-08,-5.4139e-07,1.9475e-08,2.445e-07,-8.0537e-07,1.977e-05,-4.8691e-07,-6.3456e-07,0,-6.9727e-07,3.4515e-05,1.1221e-05,-1.2888e-06,2.9972e-06,7.6836e-06,-0.00027035,9.2173e-06,1.2899e-05,0,0,0.00018248,0,0,0,0
-5.8079e-07,-6.4582e-08,-5.2075e-07,1.7733e-08,2.2529e-07,-7.6377e-07,1.7777e-05,-4.5264e-07,-5.9227e-07,0,-6.5224e-07,3.2286e-05,1.0398e-05,-1.2573e-06,2.7953e-06,7.0305e-06,-0.00024303,8.5475e-06,1.1987e-05,0,0,0.00016423,0,0,0,0
