piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.0012404,0.002797,0.0053027,-0.00012688,0.00097669,0.0044529,0.011899,0.0028535,0.0011268,0,-4.5239e-05,0.0022393,0.0091911,0.0035187,-0.0005771,0.0011518,0.018286,0.0042226,0.0017351,0,0,0,0,0,0.01,0
0.00077863,0.00055048,0.0035674,-0.0001123,0.00044601,0.0032337,-0.0014538,0.0014099,0.0007351,0,-8.0723e-05,0.0039958,0.0083867,0.002517,-0.00060498,0.00053048,0.016052,0.006309,0.0028671,0,0,0,0,0,0.0085,0
0.00046808,0.00021513,0.0024168,-7.8583e-05,0.00014925,0.0023461,-0.0020033,0.00056264,0.00046186,0,-0.00010791,0.0053415,0.0076413,0.0017891,-0.00053639,0.00022251,0.012973,0.0071416,0.0035783,0,0,0,0,0,0.007225,0
0.00025716,2.5177e-05,0.0016308,-5.3431e-05,-8.1972e-06,0.0016925,-0.0015577,7.7766e-05,0.00026987,0,-0.00012813,0.0063427,0.0069571,0.0012474,-0.00042787,8.4724e-05,0.01058,0.0072566,0.0039939,0,0,0,0,0,0.0061412,0
0.00011397,-8.7726e-05,0.0010884,-3.6074e-05,-8.3743e-05,0.0012082,-0.0011708,-0.00018647,0.00013502,0,-0.00014258,0.0070576,0.0063328,0.00084023,-0.00030698,4.3884e-05,0.0087805,0.0069807,0.0042018,0,0,0,0,0,0.0052201,0
1.7289e-05,-0.00015283,0.00071136,-2.417e-05,-0.00011247,0.000848,-0.00089256,-0.00031813,4.0713e-05,0,-0.00015227,0.0075373,0.0057651,0.00053238,-0.00018872,5.607e-05,0.0074088,0.0065099,0.0042645,0,0,0,0,0,0.0044371,0
-4.7243e-05,-0.0001876,0.00044789,-1.5986e-05,-0.00011561,0.00057949,-0.0006943,-0.00037178,-2.461e-05,0,-0.00015809,0.0078256,0.00525,0.0002989,-8.0901e-05,9.4534e-05,0.0063418,0.0059598,0.0042266,0,0,0,0,0,0.0037715,0
-8.9433e-05,-0.00020319,0.0002631,-1.0345e-05,-0.0001058,0.00037924,-0.0005511,-0.00038099,-6.9117e-05,0,-0.0001608,0.0079595,0.0047831,0.0001218,1.2961e-05,0.00014326,0.0054949,0.005396,0.0041201,0,0,0,0,0,0.0032058,0
-0.00011604,-0.00020681,0.0001333,-6.4528e-06,-9.0387e-05,0.00023014,-0.00044586,-0.00036617,-9.8617e-05,0,-0.00016102,0.0079705,0.00436,-1.2082e-05,9.1867e-05,0.00019296,0.0048098,0.0048542,0.0039683,0,0,0,0,0,0.0027249,0
-0.00013175,-0.0002031,4.2314e-05,-3.7712e-06,-7.3492e-05,0.00011958,-0.00036707,-0.00033952,-0.00011728,0,-0.00015929,0.0078848,0.0039767,-0.00011253,0.00015623,0.00023857,0.0042457,0.0043518,0.0037877,0,0,0,0,0,0.0023162,0
-0.00013984,-0.00019508,-2.1075e-05,-1.9316e-06,-5.7294e-05,3.8151e-05,-0.00030697,-0.00030817,-0.00012813,0,-0.00015605,0.0077243,0.0036292,-0.00018696,0.00020722,0.00027759,0.0037739,0.0038957,0.0035904,0,0,0,0,0,0.0019687,0
-0.00014264,-0.00018466,-6.4684e-05,-6.8078e-07,-4.2827e-05,-2.1176e-05,-0.00026029,-0.00027615,-0.00013335,0,-0.00015165,0.0075069,0.003314,-0.00024101,0.00024631,0.00030908,0.003374,0.0034871,0.003385,0,0,0,0,0,0.0016734,0
-0.00014179,-0.00017309,-9.4033e-05,1.5721e-07,-3.0472e-05,-6.3718e-05,-0.00022336,-0.0002456,-0.00013457,0,-0.00014642,0.0072477,0.0030279,-0.00027908,0.0002751,0.00033304,0.0030307,0.0031237,0.0031778,0,0,0,0,0,0.0014224,0
-0.00013846,-0.00016114,-0.00011306,7.0512e-07,-2.0252e-05,-9.3509e-05,-0.00019367,-0.00021755,-0.00013296,0,-0.00014058,0.0069587,0.0027681,-0.00030459,0.00029512,0.00034993,0.0027331,0.0028018,0.0029731,0,0,0,0,0,0.0012091,0
-0.00013348,-0.0001493,-0.00012459,1.0493e-06,-1.2006e-05,-0.00011363,-0.00016941,-0.00019237,-0.00012939,0,-0.00013434,0.0066499,0.0025319,-0.00032025,0.00030782,0.0003605,0.0024727,0.0025171,0.0027738,0,0,0,0,0,0.0010277,0
-0.00012747,-0.00013786,-0.00013068,1.2507e-06,-5.4961e-06,-0.00012643,-0.00014931,-0.00017009,-0.00012451,0,-0.00012786,0.0063293,0.002317,-0.00032821,0.00031447,0.00036557,0.0022433,0.0022654,0.0025821,0,0,0,0,0,0.00087354,0
-0.00012085,-0.00012699,-0.00013283,1.3529e-06,-4.6108e-07,-0.00013373,-0.00013244,-0.00015054,-0.00011879,0,-0.00012128,0.0060031,0.0021213,-0.00033019,0.00031619,0.00036599,0.0020397,0.0020426,0.0023992,0,0,0,0,0,0.00074251,0
-0.00011393,-0.00011677,-0.00013217,1.3866e-06,3.3493e-06,-0.0001369,-0.00011812,-0.00013346,-0.00011258,0,-0.00011468,0.0056766,0.001943,-0.00032756,0.00031398,0.00036255,0.0018582,0.0018451,0.0022259,0,0,0,0,0,0.00063113,0
-0.00010694,-0.00010725,-0.0001295,1.3741e-06,6.1612e-06,-0.00013704,-0.00010584,-0.00011857,-0.00010613,0,-0.00010816,0.0053537,0.0017804,-0.00032141,0.00030865,0.00035599,0.0016956,0.0016697,0.0020624,0,0,0,0,0,0.00053646,0
-0.00010002,-9.8419e-05,-0.00012545,1.331e-06,8.1711e-06,-0.00013495,-9.5202e-05,-0.00010559,-9.9633e-05,0,-0.00010177,0.0050374,0.001632,-0.00031264,0.00030092,0.00034696,0.0015493,0.0015134,0.001909,0,0,0,0,0,0.00045599,0
