piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00050578,0.00062713,0.0025608,-3.9405e-05,0.00051228,0.002088,0.004761,0.0010409,0.00046801,0,-2.1559e-05,0.0010672,0.0043562,0.0018414,0.001489,0.0012692,0.0073165,0.0015403,0.00072068,0.01,0,0,0,0,0,0
0.00032494,0.00029691,0.0018279,-3.6075e-05,0.00030182,0.0015621,-0.00052098,0.00052214,0.00031137,0,-3.8394e-05,0.0019005,0.0039674,0.0013742,0.0012431,0.00093699,0.0065159,0.002313,0.0012001,0.0085,0,0,0,0,0,0
0.00020144,0.00015719,0.0013237,-2.4563e-05,0.00017747,0.0011708,-0.00075983,0.00021665,0.00020052,0,-5.1245e-05,0.0025366,0.0036102,0.0010236,0.0010661,0.00073324,0.0053482,0.0026335,0.0015089,0.007225,0,0,0,0,0,0
0.0001161,7.3701e-05,0.0009652,-1.596e-05,0.00010512,0.00087604,-0.0005993,4.0711e-05,0.00012143,0,-6.0775e-05,0.0030083,0.0032842,0.0007548,0.00093237,0.00060336,0.0044273,0.0026938,0.0016959,0.0061412,0,0,0,0,0,0
5.7018e-05,2.0519e-05,0.00070645,-1.0103e-05,6.402e-05,0.00065254,-0.00045642,-5.6252e-05,6.4957e-05,0,-6.7559e-05,0.0033442,0.0029879,0.00054693,0.0008277,0.00051914,0.0037259,0.0026106,0.0017959,0.0052201,0,0,0,0,0,0
1.6226e-05,-1.3341e-05,0.00051747,-6.1651e-06,4.1422e-05,0.00048221,-0.00035277,-0.00010564,2.4742e-05,0,-7.2094e-05,0.0035687,0.0027192,0.00038527,0.00074315,0.00046326,0.0031837,0.0024542,0.001834,0.0044371,0,0,0,0,0,0
-1.1728e-05,-3.4502e-05,0.00037798,-3.5268e-06,2.9538e-05,0.00035197,-0.00027829,-0.00012693,-3.6896e-06,0,-7.4804e-05,0.0037028,0.0024757,0.00025918,0.00067283,0.00042477,0.0027561,0.0022664,0.0018283,0.0037715,0,0,0,0,0,0
-3.0609e-05,-4.7261e-05,0.00027405,-1.7689e-06,2.3668e-05,0.00025216,-0.000224,-0.00013208,-2.3534e-05,0,-7.6046e-05,0.0037643,0.0022553,0.00016076,0.00061288,0.0003968,0.0024118,0.002071,0.0017921,0.0032058,0,0,0,0,0,0
-4.304e-05,-5.4451e-05,0.00019604,-6.0915e-07,2.1022e-05,0.00017562,-0.00018371,-0.00012841,-3.7091e-05,0,-7.6119e-05,0.0037679,0.0020558,8.4084e-05,0.00056071,0.00037505,0.0021295,0.0018809,0.001735,0.0027249,0,0,0,0,0,0
-5.087e-05,-5.7951e-05,0.00013711,1.4325e-07,1.9976e-05,0.000117,-0.00015322,-0.00012027,-4.6035e-05,0,-7.5275e-05,0.0037261,0.001875,2.4606e-05,0.00051456,0.00035689,0.0018941,0.001703,0.0016641,0.0023162,0,0,0,0,0,0
-5.541e-05,-5.9013e-05,9.2441e-05,6.1788e-07,1.9618e-05,7.2205e-05,-0.0001297,-0.00011023,-5.1592e-05,0,-7.3722e-05,0.0036492,0.0017112,-2.1184e-05,0.00047322,0.0003407,0.0016947,0.0015399,0.0015847,0.0019687,0,0,0,0,0,0
-5.7602e-05,-5.8481e-05,5.8508e-05,9.0327e-07,1.946e-05,3.8145e-05,-0.00011121,-9.9749e-05,-5.4667e-05,0,-7.1631e-05,0.0035457,0.0015626,-5.6042e-05,0.00043585,0.00032556,0.0015238,0.0013923,0.0015005,0.0016734,0,0,0,0,0,0
-5.8124e-05,-5.6919e-05,3.2748e-05,1.0602e-06,1.9259e-05,1.2429e-05,-9.6415e-05,-8.9616e-05,-5.5931e-05,0,-6.9145e-05,0.0034227,0.0014278,-8.2148e-05,0.00040183,0.00031095,0.0013757,0.0012596,0.0014144,0.0014224,0,0,0,0,0,0
-5.7471e-05,-5.4714e-05,1.3254e-05,1.1307e-06,1.8915e-05,-6.7915e-06,-8.4376e-05,-8.0216e-05,-5.5887e-05,0,-6.6377e-05,0.0032857,0.0013053,-0.00010125,0.00037071,0.00029661,0.001246,0.0011409,0.0013283,0.0012091,0,0,0,0,0,0
-5.6003e-05,-5.2126e-05,-1.4041e-06,1.1436e-06,1.8403e-05,-2.095e-05,-7.4427e-05,-7.1706e-05,-5.491e-05,0,-6.3424e-05,0.0031395,0.001194,-0.00011473,0.00034215,0.00028243,0.0011316,0.0010348,0.0012437,0.0010277,0,0,0,0,0,0
-5.3985e-05,-4.9333e-05,-1.2313e-05,1.1192e-06,1.7737e-05,-3.1168e-05,-6.6091e-05,-6.411e-05,-5.3281e-05,0,-6.0359e-05,0.0029878,0.0010927,-0.00012374,0.00031587,0.00026838,0.0010301,0.00093997,0.0011617,0.00087354,0,0,0,0,0,0
-5.1613e-05,-4.6458e-05,-2.0304e-05,1.0713e-06,1.6947e-05,-3.8323e-05,-5.902e-05,-5.7385e-05,-5.1211e-05,0,-5.7243e-05,0.0028336,0.0010004,-0.00012919,0.00029165,0.0002545,0.00093938,0.00085505,0.0010828,0.00074251,0,0,0,0,0,0
-4.9027e-05,-4.3581e-05,-2.6023e-05,1.0097e-06,1.607e-05,-4.3103e-05,-5.2954e-05,-5.1457e-05,-4.8858e-05,0,-5.4126e-05,0.0026792,0.00091638,-0.00013182,0.0002693,0.00024084,0.000858,0.00077891,0.0010076,0.00063113,0,0,0,0,0,0
-4.6334e-05,-4.0759e-05,-2.9971e-05,9.4081e-07,1.5138e-05,-4.605e-05,-4.7702e-05,-4.6239e-05,-4.634e-05,0,-5.1043e-05,0.0025267,0.00083973,-0.00013224,0.00024866,0.00022745,0.00078469,0.00071048,0.00093625,0.00053646,0,0,0,0,0,0
-4.3609e-05,-3.8028e-05,-3.2541e-05,8.6923e-07,1.4181e-05,-4.7591e-05,-4.3116e-05,-4.1644e-05,-4.3746e-05,0,-4.8025e-05,0.0023772,0.00076978,-0.00013095,0.00022958,0.0002144,0.00071844,0.00064886,0.00086888,0.00045599,0,0,0,0,0,0
-4.0908e-05,-3.541e-05,-3.4042e-05,7.9796e-07,1.3222e-05,-4.8062e-05,-3.9081e-05,-3.759e-05,-4.1138e-05,0,-4.5093e-05,0.0022321,0.00070591,-0.00012834,0.00021196,0.00020173,0.00065838,0.00059324,0.00080554,0.0003876,0,0,0,0,0,0
-3.8268e-05,-3.292e-05,-3.4719e-05,7.2893e-07,1.228e-05,-4.7727e-05,-3.5509e-05,-3.4007e-05,-3.8564e-05,0,-4.2263e-05,0.002092,0.00064754,-0.00012475,0.00019567,0.0001895,0.00060381,0.00054291,0.00074615,0.00032946,0,0,0,0,0,0
-3.5717e-05,-3.0564e-05,-3.4764e-05,6.6335e-07,1.1368e-05,-4.6795e-05,-3.233e-05,-3.0829e-05,-3.6057e-05,0,-3.9547e-05,0.0019576,0.00059419,-0.00012043,0.00018062,0.00017773,0.00055413,0.00049729,0.00069063,0.00028004,0,0,0,0,0,0
-3.3273e-05,-2.8346e-05,-3.4332e-05,6.0192e-07,1.0495e-05,-4.5429e-05,-2.9486e-05,-2.8002e-05,-3.364e-05,0,-3.6952e-05,0.0018291,0.00054539,-0.0001156,0.0001667,0.00016645,0.00050881,0.00045586,0.00063883,0.00023803,0,0,0,0,0,0
-3.0947e-05,-2.6265e-05,-3.3544e-05,5.4496e-07,9.6691e-06,-4.3758e-05,-2.6932e-05,-2.5479e-05,-3.1327e-05,0,-3.4482e-05,0.0017069,0.00050072,-0.00011044,0.00015384,0.00015568,0.00046742,0.00041815,0.00059059,0.00020233,0,0,0,0,0,0
-2.8745e-05,-2.4317e-05,-3.2496e-05,4.9258e-07,8.8923e-06,-4.1881e-05,-2.463e-05,-2.3221e-05,-2.9129e-05,0,-3.2141e-05,0.001591,0.00045982,-0.00010508,0.00014196,0.00014543,0.00042957,0.00038379,0.00054574,0.00017198,0,0,0,0,0,0
-2.6669e-05,-2.2499e-05,-3.1265e-05,4.4469e-07,8.1665e-06,-3.9876e-05,-2.2549e-05,-2.1192e-05,-2.705e-05,0,-2.9926e-05,0.0014814,0.00042236,-9.9631e-05,0.00013097,0.0001357,0.00039492,0.00035243,0.00050408,0.00014618,0,0,0,0,0,0
-2.4719e-05,-2.0805e-05,-2.9911e-05,4.0112e-07,7.4917e-06,-3.7804e-05,-2.0662e-05,-1.9365e-05,-2.5092e-05,0,-2.7839e-05,0.001378,0.00038804,-9.4177e-05,0.00012083,0.00012649,0.00036317,0.00032378,0.00046545,0.00012425,0,0,0,0,0,0
-2.2893e-05,-1.9229e-05,-2.8481e-05,3.6163e-07,6.8668e-06,-3.5709e-05,-1.8948e-05,-1.7714e-05,-2.3253e-05,0,-2.5874e-05,0.0012808,0.00035657,-8.8786e-05,0.00011146,0.0001178,0.00033405,0.00029756,0.00042964,0.00010562,0,0,0,0,0,0
-2.1187e-05,-1.7765e-05,-2.7012e-05,3.2593e-07,6.29e-06,-3.3627e-05,-1.7387e-05,-1.622e-05,-2.1532e-05,0,-2.403e-05,0.0011895,0.00032771,-8.351e-05,0.00010281,0.0001096,0.00030733,0.00027356,0.00039648,8.9774e-05,0,0,0,0,0,0
-1.9596e-05,-1.6407e-05,-2.5532e-05,2.9374e-07,5.759e-06,-3.1585e-05,-1.5964e-05,-1.4865e-05,-1.9925e-05,0,-2.2301e-05,0.0011039,0.00030124,-7.8388e-05,9.4817e-05,0.0001019,0.0002828,0.00025157,0.0003658,7.6308e-05,0,0,0,0,0,0
-1.8115e-05,-1.5148e-05,-2.4063e-05,2.6475e-07,5.2712e-06,-2.9599e-05,-1.4665e-05,-1.3632e-05,-1.8426e-05,0,-2.0684e-05,0.0010239,0.00027694,-7.3446e-05,8.744e-05,9.4663e-05,0.00026026,0.00023139,0.00033743,6.4861e-05,0,0,0,0,0,0
-1.6738e-05,-1.3982e-05,-2.2623e-05,2.3868e-07,4.8238e-06,-2.7685e-05,-1.3476e-05,-1.251e-05,-1.7032e-05,0,-1.9173e-05,0.00094906,0.00025465,-6.8706e-05,8.063e-05,8.7883e-05,0.00023955,0.00021288,0.0003112,5.5132e-05,0,0,0,0,0,0
-1.546e-05,-1.2902e-05,-2.1223e-05,2.1526e-07,4.4139e-06,-2.5852e-05,-1.2389e-05,-1.1486e-05,-1.5736e-05,0,-1.7763e-05,0.00087925,0.00023417,-6.4179e-05,7.4344e-05,8.1537e-05,0.00022051,0.00019589,0.00028697,4.6862e-05,0,0,0,0,0,0
-1.4275e-05,-1.1903e-05,-1.9872e-05,1.9423e-07,4.0389e-06,-2.4105e-05,-1.1392e-05,-1.0551e-05,-1.4534e-05,0,-1.6448e-05,0.00081419,0.00021537,-5.9874e-05,6.8543e-05,7.5607e-05,0.00020301,0.00018027,0.00026459,3.9833e-05,0,0,0,0,0,0
-1.3177e-05,-1.098e-05,-1.8576e-05,1.7535e-07,3.6959e-06,-2.2447e-05,-1.0478e-05,-9.6955e-06,-1.3419e-05,0,-1.5225e-05,0.00075361,0.00019811,-5.5794e-05,6.3191e-05,7.007e-05,0.00018691,0.00016593,0.00024393,3.3858e-05,0,0,0,0,0,0
-1.216e-05,-1.0126e-05,-1.7339e-05,1.584e-07,3.3824e-06,-2.088e-05,-9.6398e-06,-8.9128e-06,-1.2386e-05,0,-1.4086e-05,0.00069726,0.00018224,-5.1938e-05,5.8252e-05,6.4908e-05,0.00017209,0.00015274,0.00022485,2.8779e-05,0,0,0,0,0,0
-1.1219e-05,-9.3379e-06,-1.6164e-05,1.4318e-07,3.0959e-06,-1.9403e-05,-8.87e-06,-8.1956e-06,-1.1429e-05,0,-1.3028e-05,0.00064489,0.00016766,-4.8303e-05,5.3697e-05,6.0099e-05,0.00015846,0.00014061,0.00020725,2.4462e-05,0,0,0,0,0,0
-1.0349e-05,-8.6099e-06,-1.5051e-05,1.2952e-07,2.8343e-06,-1.8014e-05,-8.163e-06,-7.538e-06,-1.0544e-05,0,-1.2045e-05,0.00059625,0.00015426,-4.4885e-05,4.9494e-05,5.5623e-05,0.00014592,0.00012946,0.00019102,2.0793e-05,0,0,0,0,0,0
-9.5446e-06,-7.9377e-06,-1.4e-05,1.1724e-07,2.5953e-06,-1.6713e-05,-7.5133e-06,-6.9347e-06,-9.7261e-06,0,-1.1133e-05,0.00055111,0.00014195,-4.1678e-05,4.5618e-05,5.1461e-05,0.00013437,0.00011919,0.00017604,1.7674e-05,0,0,0,0,0,0
