piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00323,-0.0047182,-0.020356,0.00064168,-0.0039941,-0.017003,-0.049936,-0.0083103,-0.0028706,0,0.0098367,0.013082,-0.032126,0.0023049,-0.017296,-0.030215,-0.076739,-0.012297,-0.0044203,0,0.01,0,0,0,0,0
-0.0011864,-0.00087835,-0.011291,0.00049251,-0.0016065,-0.010177,0.013695,-0.0023418,-0.0011082,0,0.0076283,0.0224,-0.022997,0.0027339,-0.011293,-0.019134,-0.055693,-0.015763,-0.0061268,0,0.008,0,0,0,0,0
-1.7746e-05,0.00041046,-0.0058068,0.00028331,-0.00039053,-0.0056996,0.013845,0.00064978,-6.6063e-05,0,0.0058818,0.028849,-0.015832,0.0025334,-0.00713,-0.01168,-0.034416,-0.014801,-0.0062286,0,0.0064,0,0,0,0,0
0.00061135,0.00096218,-0.002493,0.0001404,0.00017023,-0.0028036,0.0098009,0.0019637,0.00051613,0,0.0045028,0.033112,-0.010257,0.0020634,-0.0042114,-0.0066059,-0.019355,-0.011895,-0.0054338,0,0.00512,0,0,0,0,0
0.00090645,0.0011568,-0.00055114,5.0929e-05,0.00037663,-0.0009787,0.0066337,0.0023576,0.00080486,0,0.0034158,0.035717,-0.0059596,0.0014983,-0.002163,-0.0031604,-0.0091606,-0.0084066,-0.0041944,0,0.004096,0,0,0,0,0
0.00099936,0.0011579,0.00052488,-2.8067e-06,0.0004031,0.00012458,0.0044206,0.0022774,0.00091011,0,0.0025611,0.037068,-0.0026829,0.00093267,-0.00073033,-0.00083926,-0.0023673,-0.0050365,-0.002793,0,0.0032768,0,0,0,0,0
0.00097463,0.0010587,0.0010618,-3.3361e-05,0.00034822,0.0007469,0.0028939,0.0019801,0.00090453,0,0.0018908,0.037479,-0.00021692,0.00041549,0.00026355,0.00070216,0.0020798,-0.0021064,-0.0014002,0,0.0026214,0,0,0,0,0
0.0008861,0.00091433,0.0012702,-4.9101e-05,0.00026545,0.0010538,0.0018422,0.0016091,0.00083575,0,0.0013669,0.037194,0.0016087,-3.1161e-05,0.00094285,0.0017016,0.0049108,0.00027462,-0.00011322,0,0.0020972,0,0,0,0,0
0.00076746,0.00075679,0.0012852,-5.5543e-05,0.00018194,0.0011588,0.0011188,0.0012397,0.00073461,0,0.00095929,0.036401,0.0029311,-0.00040086,0.0013957,0.0023242,0.0066301,0.0021091,0.001018,0,0.0016777,0,0,0,0,0
0.00063935,0.00060382,0.0011927,-5.6309e-05,0.00010994,0.0011391,0.00062317,0.00090813,0.00062069,0,0.00064367,0.035247,0.0038604,-0.00069583,0.0016851,0.0026852,0.0075877,0.0034529,0.0019737,0,0.0013422,0,0,0,0,0
0.00051395,0.00046448,0.0010467,-5.3762e-05,5.3516e-05,0.0010469,0.00028606,0.00062813,0.00050605,0,0.00040085,0.033845,0.0044845,-0.00092273,0.0018567,0.0028656,0.0080273,0.0043824,0.002753,0,0.0010737,0,0,0,0,0
0.00039797,0.00034264,0.00088014,-4.9428e-05,1.2595e-05,0.00091697,5.9548e-05,0.00040149,0.00039778,0,0.00021551,0.032282,0.0048735,-0.0010901,0.0019433,0.0029221,0.0081189,0.0049765,0.0033655,0,0.00085899,0,0,0,0,0
0.00029471,0.00023918,0.00071276,-4.4278e-05,-1.4802e-05,0.00077184,-8.9727e-05,0.00022405,0.00029967,0,7.5475e-05,0.030624,0.0050828,-0.001207,0.0019691,0.0028952,0.007981,0.005308,0.003827,0,0.00068719,0,0,0,0,0
0.0002053,0.00015331,0.00055563,-3.8916e-05,-3.1298e-05,0.00062585,-0.0001851,8.9142e-05,0.00021343,0,-2.8962e-05,0.028921,0.0051565,-0.0012818,0.0019519,0.0028132,0.0076965,0.0054399,0.0041556,0,0.00054976,0,0,0,0,0
0.00012963,8.3444e-05,0.00041443,-3.3705e-05,-3.9515e-05,0.00048765,-0.00024297,-1.0494e-05,0.00013942,0,-0.00010551,0.027213,0.0051289,-0.0013226,0.0019048,0.0026961,0.0073231,0.0054244,0.0043703,0,0.0004398,0,0,0,0,0
6.6846e-05,2.7625e-05,0.00029141,-2.8848e-05,-4.1772e-05,0.00036203,-0.00027488,-8.1755e-05,7.7215e-05,0,-0.00016029,0.025526,0.0050272,-0.0013361,0.0018374,0.0025583,0.0069007,0.0053034,0.0044892,0,0.00035184,0,0,0,0,0
1.5709e-05,-1.6143e-05,0.00018683,-2.4447e-05,-3.9985e-05,0.00025127,-0.00028901,-0.00013073,2.5923e-05,0,-0.00019815,0.023882,0.0048726,-0.0013282,0.0017568,0.0024095,0.0064566,0.00511,0.0045291,0,0.00028147,0,0,0,0,0
-2.5153e-05,-4.9761e-05,9.976e-05,-2.054e-05,-3.5653e-05,0.00015595,-0.00029111,-0.00016255,-1.5572e-05,0,-0.00022295,0.022295,0.0046814,-0.0013039,0.0016683,0.0022567,0.0060092,0.0048695,0.0045051,0,0.00022518,0,0,0,0,0
-5.7127e-05,-7.4952e-05,2.8646e-05,-1.7123e-05,-2.9902e-05,7.5671e-05,-0.00028528,-0.00018142,-4.8462e-05,0,-0.00023773,0.020775,0.0044664,-0.0012673,0.0015757,0.0021045,0.0055708,0.004601,0.0044305,0,0.00018014,0,0,0,0,0
-8.1538e-05,-9.3234e-05,-2.8324e-05,-1.4172e-05,-2.3546e-05,9.3932e-06,-0.00027438,-0.00019071,-7.3928e-05,0,-0.00024488,0.019327,0.0042373,-0.0012217,0.0014818,0.0019562,0.0051492,0.0043188,0.0043167,0,0.00014412,0,0,0,0,0
-9.9598e-05,-0.00010591,-7.302e-05,-1.1647e-05,-1.7146e-05,-4.4228e-05,-0.00026042,-0.00019305,-9.3085e-05,0,-0.00024629,0.017956,0.0040014,-0.00117,0.0013886,0.0018137,0.004749,0.0040331,0.0041733,0,0.00011529,0,0,0,0,0
-0.00011239,-0.0001141,-0.00010724,-9.5048e-06,-1.1071e-05,-8.6669e-05,-0.00024482,-0.00019047,-0.00010695,0,-0.00024346,0.016663,0.0037642,-0.0011143,0.0012976,0.0016783,0.0043727,0.0037513,0.0040086,0,9.2234e-05,0,0,0,0,0
-0.00012087,-0.00011873,-0.00013266,-7.7007e-06,-5.5429e-06,-0.00011942,-0.00022852,-0.00018454,-0.00011643,0,-0.00023753,0.015447,0.00353,-0.0010563,0.0012097,0.0015506,0.0040216,0.0034782,0.0038293,0,7.3787e-05,0,0,0,0,0
-0.00012585,-0.00012057,-0.00015076,-6.1908e-06,-6.802e-07,-0.00014389,-0.0002122,-0.00017642,-0.00012233,0,-0.00022943,0.014308,0.0033015,-0.00099737,0.0011256,0.001431,0.0036955,0.0032171,0.003641,0,5.903e-05,0,0,0,0,0
-0.00012804,-0.00012025,-0.00016286,-4.9345e-06,3.4739e-06,-0.0001614,-0.00019627,-0.00016697,-0.00012533,0,-0.00021983,0.013243,0.003081,-0.00093862,0.0010457,0.0013195,0.0033938,0.0029701,0.003448,0,4.7224e-05,0,0,0,0,0
-0.00012803,-0.00011831,-0.0001701,-3.895e-06,6.926e-06,-0.00017313,-0.000181,-0.00015683,-0.00012602,0,-0.0002093,0.012249,0.0028698,-0.00088083,0.00097009,0.0012158,0.0031157,0.002738,0.0032539,0,3.7779e-05,0,0,0,0,0
