piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00017118,-0.00053624,0.00080339,5.3804e-05,0.00031208,0.00043751,-0.00078359,-0.00040215,-0.00014409,-0.0029783,0.00014639,0.0017481,0.00092382,0.0017121,0.0011752,-0.00042079,-0.00091915,-0.00047836,-0.00016302,0,0,0,0,0,0,0.01
-0.00014559,-0.00014177,0.00063962,4.8644e-05,0.00032814,0.00026284,-0.00016406,-0.00028824,-0.00012893,-0.0027984,0.00010245,0.0029907,0.00048773,0.0012287,0.0010558,-0.00014667,-0.0011116,-0.00082122,-0.00030889,0,0,0,0,0,0,0.008
-0.0001243,-0.00010974,0.00050531,4.1185e-05,0.0003263,0.00013782,-7.4814e-05,-0.0002053,-0.00011486,-0.0026372,6.6865e-05,0.0038437,0.00014157,0.00085357,0.00094848,5.524e-05,-0.0011994,-0.0010654,-0.00043883,0,0,0,0,0,0,0.0064
-0.00010653,-8.6628e-05,0.00039679,3.4546e-05,0.00031323,4.9022e-05,-5.055e-05,-0.00014524,-0.00010202,-0.0024941,3.8989e-05,0.0043981,-0.00013509,0.00056435,0.00085242,0.00020136,-0.0012587,-0.0012382,-0.00055426,0,0,0,0,0,0,0.00512
-9.1648e-05,-6.9098e-05,0.00030954,2.8925e-05,0.00029367,-1.3052e-05,-3.7609e-05,-0.00010194,-9.0458e-05,-0.0023676,1.7472e-05,0.0047253,-0.00035722,0.00034303,0.00076659,0.00030433,-0.0013028,-0.0013595,-0.0006566,0,0,0,0,0,0,0.004096
-7.9147e-05,-5.5651e-05,0.00023961,2.421e-05,0.00027085,-5.5447e-05,-2.8839e-05,-7.0849e-05,-8.0126e-05,-0.0022558,1.0973e-06,0.0048813,-0.00053634,0.00017522,0.00068994,0.00037408,-0.0013366,-0.0014437,-0.00074726,0,0,0,0,0,0,0.0032768
-6.8612e-05,-4.5271e-05,0.00018376,2.0268e-05,0.00024691,-8.3411e-05,-2.2607e-05,-4.865e-05,-7.0952e-05,-0.0021571,-1.1148e-05,0.0049099,-0.00068147,4.9437e-05,0.00062149,0.0004184,-0.0013631,-0.0015016,-0.00082753,0,0,0,0,0,0,0.0026214
-5.9705e-05,-3.721e-05,0.00013932,1.6977e-05,0.0002232,-0.00010086,-1.8134e-05,-3.2896e-05,-6.2844e-05,-0.0020699,-2.01e-05,0.0048451,-0.00079963,-4.3426e-05,0.00056034,0.00044343,-0.0013844,-0.0015407,-0.00089864,0,0,0,0,0,0,0.0020972
-5.2146e-05,-3.0905e-05,0.00010409,1.4235e-05,0.00020056,-0.00011071,-1.4901e-05,-2.1796e-05,-5.5698e-05,-0.0019929,-2.6441e-05,0.0047135,-0.00089633,-0.0001106,0.00050569,0.00045395,-0.0014019,-0.0015667,-0.00096165,0,0,0,0,0,0,0.0016777
-4.5708e-05,-2.5935e-05,7.6282e-05,1.1953e-05,0.00017946,-0.00011513,-1.2542e-05,-1.4044e-05,-4.9412e-05,-0.0019248,-3.0728e-05,0.0045354,-0.0009759,-0.00015784,0.0004568,0.00045372,-0.0014166,-0.0015834,-0.0010176,0,0,0,0,0,0,0.0013422
