piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-7.3821e-05,-0.0003835,1.5035e-05,-2.9069e-06,2.2063e-05,-4.1208e-06,-0.010166,-0.00015024,-6.286e-05,-0.00019854,-0.00010426,9.7134e-05,0.0001087,0.00015636,-2.0205e-05,0.00036539,-0.011925,-0.00017871,-7.112e-05,0,0,0.01,0,0,0,0
-6.6412e-05,-8.5676e-05,6.0405e-05,6.209e-05,4.3676e-05,-4.5361e-05,-0.00020714,-0.00012117,-5.9989e-05,-0.00029981,-7.0117e-05,0.00017262,-2.8881e-05,0.00014317,-2.1235e-06,0.00034862,-0.012168,-0.00032285,-0.00013899,0,0,0.009,0,0,0,0
-6.0281e-05,-4.3893e-05,6.3246e-05,6.3706e-05,6.1353e-05,-6.1813e-05,0.00081876,-9.5122e-05,-5.639e-05,-0.00036577,-5.9393e-05,0.00023103,-0.00012438,0.00012452,7.374e-06,0.00032422,-0.011207,-0.000436,-0.00020279,0,0,0.0081,0,0,0,0
-5.4744e-05,-3.3756e-05,6.0541e-05,5.8654e-05,7.24e-05,-7.0513e-05,0.00085257,-7.4774e-05,-5.2588e-05,-0.00041995,-5.2369e-05,0.00027549,-0.00020463,0.00010725,1.3931e-05,0.00030028,-0.010207,-0.00052494,-0.00026229,0,0,0.00729,0,0,0,0
-4.9694e-05,-2.8237e-05,5.6771e-05,5.3273e-05,7.8285e-05,-7.4787e-05,0.00078261,-5.9122e-05,-4.8761e-05,-0.00046628,-4.6622e-05,0.00030849,-0.00027435,9.1955e-05,1.8629e-05,0.0002777,-0.0092892,-0.00059527,-0.00031746,0,0,0.006561,0,0,0,0
-4.5091e-05,-2.4068e-05,5.2674e-05,4.8257e-05,8.0475e-05,-7.6058e-05,0.00070781,-4.7071e-05,-4.5011e-05,-0.00050627,-4.1716e-05,0.00033208,-0.00033545,7.8499e-05,2.1938e-05,0.00025659,-0.0084589,-0.00065126,-0.00036838,0,0,0.0059049,0,0,0,0
-4.0899e-05,-2.07e-05,4.8501e-05,4.3662e-05,8.0098e-05,-7.526e-05,0.00063871,-3.7757e-05,-4.1403e-05,-0.00054093,-3.7473e-05,0.00034796,-0.00038926,6.6701e-05,2.4178e-05,0.00023689,-0.0077097,-0.00069617,-0.00041523,0,0,0.0053144,0,0,0,0
-3.7086e-05,-1.7932e-05,4.4391e-05,3.9473e-05,7.7982e-05,-7.3064e-05,0.00057599,-3.0524e-05,-3.7976e-05,-0.00057107,-3.3771e-05,0.00035751,-0.00043683,5.6382e-05,2.5592e-05,0.00021857,-0.0070341,-0.00073248,-0.00045819,0,0,0.004783,0,0,0,0
-3.362e-05,-1.5633e-05,4.0433e-05,3.5662e-05,7.4732e-05,-6.9961e-05,0.00051922,-2.4877e-05,-3.4753e-05,-0.00059735,-3.0519e-05,0.0003619,-0.00047904,4.738e-05,2.637e-05,0.00020155,-0.006425,-0.00076207,-0.00049751,0,0,0.0043047,0,0,0,0
-3.0473e-05,-1.3707e-05,3.6684e-05,3.2202e-05,7.0787e-05,-6.6305e-05,0.0004679,-2.0442e-05,-3.1745e-05,-0.00062033,-2.7644e-05,0.00036211,-0.0005166,3.9545e-05,2.666e-05,0.00018577,-0.0058762,-0.00078639,-0.00053343,0,0,0.0038742,0,0,0,0
-2.7617e-05,-1.2079e-05,3.3176e-05,2.9064e-05,6.6461e-05,-6.235e-05,0.00042155,-1.6937e-05,-2.8954e-05,-0.00064045,-2.5088e-05,0.00035895,-0.00055011,3.2744e-05,2.6575e-05,0.00017115,-0.0053817,-0.00080653,-0.00056619,0,0,0.0034868,0,0,0,0
-2.5025e-05,-1.0692e-05,2.9922e-05,2.6223e-05,6.1977e-05,-5.8278e-05,0.00037972,-1.4147e-05,-2.6377e-05,-0.00065811,-2.2805e-05,0.00035309,-0.00058006,2.6855e-05,2.6207e-05,0.00015762,-0.0049363,-0.00082336,-0.00059603,0,0,0.0031381,0,0,0,0
-2.2675e-05,-9.5009e-06,2.6926e-05,2.3652e-05,5.7489e-05,-5.4214e-05,0.00034197,-1.191e-05,-2.4006e-05,-0.00067362,-2.0757e-05,0.0003451,-0.00060688,2.1772e-05,2.5626e-05,0.00014512,-0.0045352,-0.00083753,-0.00062319,0,0,0.0028243,0,0,0,0
-2.0544e-05,-8.4709e-06,2.4184e-05,2.1327e-05,5.3104e-05,-5.0246e-05,0.00030794,-1.0102e-05,-2.183e-05,-0.00068727,-1.8913e-05,0.00033547,-0.00063094,1.7396e-05,2.4888e-05,0.00013357,-0.004174,-0.00084954,-0.00064789,0,0,0.0025419,0,0,0,0
-1.8613e-05,-7.5742e-06,2.1686e-05,1.9227e-05,4.889e-05,-4.643e-05,0.00027725,-8.6282e-06,-1.9839e-05,-0.00069929,-1.7249e-05,0.00032459,-0.00065256,1.3643e-05,2.4036e-05,0.00012291,-0.0038487,-0.00085981,-0.00067033,0,0,0.0022877,0,0,0,0
-1.6863e-05,-6.7893e-06,1.9419e-05,1.7331e-05,4.489e-05,-4.2802e-05,0.0002496,-7.4178e-06,-1.802e-05,-0.00070987,-1.5743e-05,0.00031278,-0.00067199,1.0434e-05,2.3107e-05,0.00011308,-0.003556,-0.00086863,-0.00069072,0,0,0.0020589,0,0,0,0
-1.5278e-05,-6.0984e-06,1.7367e-05,1.562e-05,4.113e-05,-3.9382e-05,0.00022469,-6.4152e-06,-1.6361e-05,-0.0007192,-1.4377e-05,0.00030034,-0.00068948,7.7026e-06,2.2127e-05,0.00010401,-0.0032924,-0.00087626,-0.00070923,0,0,0.001853,0,0,0,0
-1.3841e-05,-5.4876e-06,1.5515e-05,1.4076e-05,3.762e-05,-3.618e-05,0.00020225,-5.5779e-06,-1.485e-05,-0.00072743,-1.3136e-05,0.00028749,-0.00070524,5.3876e-06,2.1118e-05,9.5644e-05,-0.0030552,-0.0008829,-0.00072603,0,0,0.0016677,0,0,0,0
-1.254e-05,-4.9455e-06,1.3848e-05,1.2683e-05,3.4361e-05,-3.3196e-05,0.00018204,-4.8733e-06,-1.3475e-05,-0.00073468,-1.2006e-05,0.00027441,-0.00071944,3.4358e-06,2.0096e-05,8.7939e-05,-0.0028416,-0.00088869,-0.00074128,0,0,0.0015009,0,0,0,0
-1.1361e-05,-4.4626e-06,1.2349e-05,1.1427e-05,3.1349e-05,-3.0428e-05,0.00016384,-4.2757e-06,-1.2224e-05,-0.00074108,-1.0977e-05,0.00026128,-0.00073225,1.7999e-06,1.9075e-05,8.0841e-05,-0.0026494,-0.00089378,-0.00075511,0,0,0.0013509,0,0,0,0
-1.0294e-05,-4.0312e-06,1.1003e-05,1.0295e-05,2.8575e-05,-2.7868e-05,0.00014746,-3.7654e-06,-1.1088e-05,-0.00074672,-1.0039e-05,0.00024821,-0.00074381,4.3817e-07,1.8066e-05,7.4305e-05,-0.0024765,-0.00089826,-0.00076766,0,0,0.0012158,0,0,0,0
-9.3267e-06,-3.6448e-06,9.7972e-06,9.2751e-06,2.6028e-05,-2.5506e-05,0.0001327,-3.3268e-06,-1.0056e-05,-0.0007517,-9.1833e-06,0.00023531,-0.00075424,-6.8608e-07,1.7077e-05,6.8287e-05,-0.0023208,-0.00090222,-0.00077903,0,0,0.0010942,0,0,0,0
-8.4509e-06,-3.298e-06,8.7174e-06,8.3555e-06,2.3693e-05,-2.3331e-05,0.00011942,-2.9476e-06,-9.1193e-06,-0.00075608,-8.4016e-06,0.00022267,-0.00076366,-1.6052e-06,1.6112e-05,6.2747e-05,-0.0021807,-0.00090572,-0.00078935,0,0,0.00098477,0,0,0,0
-7.6575e-06,-2.9861e-06,7.7516e-06,7.5269e-06,2.1557e-05,-2.1333e-05,0.00010747,-2.6179e-06,-8.2693e-06,-0.00075995,-7.6874e-06,0.00021034,-0.00077218,-2.3475e-06,1.5178e-05,5.765e-05,-0.0020547,-0.00090884,-0.00079871,0,0,0.00088629,0,0,0,0
-6.939e-06,-2.7052e-06,6.8885e-06,6.7803e-06,1.9607e-05,-1.9498e-05,9.671e-05,-2.3299e-06,-7.4981e-06,-0.00076335,-7.0346e-06,0.00019839,-0.00077987,-2.9379e-06,1.4277e-05,5.296e-05,-0.0019412,-0.00091161,-0.00080719,0,0,0.00079766,0,0,0,0
-6.2881e-06,-2.4518e-06,6.1179e-06,6.1076e-06,1.7827e-05,-1.7817e-05,8.7026e-05,-2.0772e-06,-6.7987e-06,-0.00076635,-6.4376e-06,0.00018684,-0.00078682,-3.3983e-06,1.3412e-05,4.8645e-05,-0.0018392,-0.00091408,-0.00081488,0,0,0.0007179,0,0,0,0
-5.6986e-06,-2.2231e-06,5.4303e-06,5.5016e-06,1.6205e-05,-1.6276e-05,7.8311e-05,-1.8547e-06,-6.1644e-06,-0.00076898,-5.8917e-06,0.00017573,-0.0007931,-3.7477e-06,1.2584e-05,4.4677e-05,-0.0017473,-0.00091628,-0.00082186,0,0,0.00064611,0,0,0,0
-5.1646e-06,-2.0164e-06,4.8172e-06,4.9557e-06,1.4728e-05,-1.4866e-05,7.0467e-05,-1.6582e-06,-5.5893e-06,-0.0007713,-5.3922e-06,0.00016508,-0.00079878,-4.0028e-06,1.1793e-05,4.1028e-05,-0.0016646,-0.00091826,-0.00082818,0,0,0.0005815,0,0,0,0
-4.6808e-06,-1.8294e-06,4.2708e-06,4.4639e-06,1.3383e-05,-1.3576e-05,6.3408e-05,-1.4841e-06,-5.0679e-06,-0.00077334,-4.9352e-06,0.00015489,-0.00080392,-4.1781e-06,1.1041e-05,3.7673e-05,-0.0015903,-0.00092002,-0.00083391,0,0,0.00052335,0,0,0,0
-4.2426e-06,-1.6602e-06,3.7841e-06,4.0209e-06,1.216e-05,-1.2396e-05,5.7056e-05,-1.3294e-06,-4.5952e-06,-0.00077512,-4.517e-06,0.00014517,-0.00080857,-4.2862e-06,1.0327e-05,3.4589e-05,-0.0015233,-0.0009216,-0.00083911,0,0,0.00047101,0,0,0,0
-3.8456e-06,-1.5069e-06,3.3509e-06,3.6219e-06,1.1047e-05,-1.1318e-05,5.1339e-05,-1.1918e-06,-4.1667e-06,-0.00077669,-4.1343e-06,0.00013593,-0.00081277,-4.3382e-06,9.6497e-06,3.1754e-05,-0.0014631,-0.00092302,-0.00084383,0,0,0.00042391,0,0,0,0
-3.486e-06,-1.3681e-06,2.9655e-06,3.2625e-06,1.0036e-05,-1.0333e-05,4.6195e-05,-1.0691e-06,-3.7782e-06,-0.00077807,-3.784e-06,0.00012716,-0.00081657,-4.3435e-06,9.0096e-06,2.9149e-05,-0.0014089,-0.00092429,-0.0008481,0,0,0.00038152,0,0,0,0
-3.1601e-06,-1.2422e-06,2.6228e-06,2.9387e-06,9.1171e-06,-9.433e-06,4.1566e-05,-9.5957e-07,-3.4261e-06,-0.00077927,-3.4634e-06,0.00011884,-0.00082001,-4.3104e-06,8.4053e-06,2.6755e-05,-0.0013602,-0.00092543,-0.00085198,0,0,0.00034337,0,0,0,0
-2.8649e-06,-1.1281e-06,2.3182e-06,2.6471e-06,8.2821e-06,-8.6109e-06,3.74e-05,-8.6164e-07,-3.1069e-06,-0.00078032,-3.1699e-06,0.00011098,-0.00082312,-4.246e-06,7.8356e-06,2.4555e-05,-0.0013163,-0.00092646,-0.00085549,0,0,0.00030903,0,0,0,0
-2.5974e-06,-1.0246e-06,2.0476e-06,2.3845e-06,7.5234e-06,-7.8602e-06,3.3652e-05,-7.74e-07,-2.8176e-06,-0.00078124,-2.9012e-06,0.00010356,-0.00082593,-4.1564e-06,7.2995e-06,2.2534e-05,-0.0012768,-0.00092738,-0.00085868,0,0,0.00027813,0,0,0,0
-2.355e-06,-9.3071e-07,1.8074e-06,2.1479e-06,6.8343e-06,-7.1748e-06,3.0279e-05,-6.9549e-07,-2.5553e-06,-0.00078204,-2.6553e-06,9.6558e-05,-0.00082848,-4.0468e-06,6.7955e-06,2.0678e-05,-0.0012413,-0.00092821,-0.00086157,0,0,0.00025032,0,0,0,0
-2.1353e-06,-8.4551e-07,1.5941e-06,1.9348e-06,6.2083e-06,-6.549e-06,2.7244e-05,-6.2511e-07,-2.3176e-06,-0.00078274,-2.4302e-06,8.9969e-05,-0.00083079,-3.9218e-06,6.3224e-06,1.8973e-05,-0.0012093,-0.00092895,-0.00086419,0,0,0.00022528,0,0,0,0
-1.9362e-06,-7.6818e-07,1.405e-06,1.7429e-06,5.6398e-06,-5.9777e-06,2.4513e-05,-5.6197e-07,-2.102e-06,-0.00078335,-2.2241e-06,8.3774e-05,-0.00083287,-3.7851e-06,5.8787e-06,1.7407e-05,-0.0011806,-0.00092962,-0.00086657,0,0,0.00020276,0,0,0,0
-1.7558e-06,-6.9798e-07,1.2372e-06,1.57e-06,5.1234e-06,-5.4562e-06,2.2056e-05,-5.0531e-07,-1.9067e-06,-0.00078387,-2.0355e-06,7.7957e-05,-0.00083476,-3.6401e-06,5.4631e-06,1.5969e-05,-0.0011547,-0.00093022,-0.00086873,0,0,0.00018248,0,0,0,0
-1.5923e-06,-6.3425e-07,1.0886e-06,1.4143e-06,4.6545e-06,-4.9801e-06,1.9845e-05,-4.5443e-07,-1.7295e-06,-0.00078433,-1.8628e-06,7.25e-05,-0.00083647,-3.4894e-06,5.0741e-06,1.4649e-05,-0.0011314,-0.00093076,-0.00087069,0,0,0.00016423,0,0,0,0
