piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
9.2979e-05,0.00052153,0.0011901,1.4115e-05,0.00036719,0.00080876,0.00067014,0.00030683,6.789e-05,-0.0064603,0.00074192,0.0025801,0.00032607,0.0025513,-0.0014583,-0.0027912,0.00078608,0.00036497,7.6811e-05,0,0,0,0,0,0.01,0
6.7993e-05,7.0328e-06,0.00095312,6.0638e-06,0.00022639,0.00072067,6.7649e-05,0.00017294,5.5738e-05,-0.0056742,0.00058439,0.0045631,0.00041578,0.0019419,-0.0011022,-0.0020957,0.00086543,0.00057069,0.00013987,0,0,0,0,0,0.0085,0
4.749e-05,-1.6879e-05,0.00076342,3.0352e-06,0.00013517,0.00062522,-2.3321e-05,8.0892e-05,4.3604e-05,-0.0050044,0.00045752,0.0060535,0.00046176,0.0014445,-0.00080692,-0.0015264,0.00083807,0.00066691,0.00018921,0,0,0,0,0,0.007225,0
3.0769e-05,-3.1456e-05,0.00061012,1.4232e-06,7.8539e-05,0.00053016,-4.8117e-05,1.913e-05,3.2144e-05,-0.0044304,0.00035476,0.0071397,0.0004774,0.0010403,-0.00056401,-0.0010632,0.00078163,0.00068966,0.00022557,0,0,0,0,0,0.0061412,0
1.7245e-05,-4.0335e-05,0.00048598,5.4738e-07,4.5544e-05,0.00043989,-5.9205e-05,-2.0984e-05,2.1725e-05,-0.0039364,0.00027157,0.0078961,0.0004718,0.00071326,-0.0003657,-0.00068887,0.00071218,0.0006647,0.00025015,0,0,0,0,0,0.0052201,0
6.4139e-06,-4.527e-05,0.00038536,1.3497e-07,2.8337e-05,0.00035689,-6.4369e-05,-4.5786e-05,1.2524e-05,-0.0035096,0.00020435,0.0083853,0.00045159,0.0004504,-0.00020519,-0.00038853,0.00063668,0.00061024,0.00026432,0,0,0,0,0,0.0044371,0
-2.1597e-06,-4.7448e-05,0.00030381,1.6781e-08,2.1366e-05,0.00028243,-6.5868e-05,-5.9892e-05,4.595e-06,-0.0031396,0.00015017,0.0086596,0.00042166,0.00024068,-7.656e-05,-0.00014974,0.00055942,0.000539,0.00026952,0,0,0,0,0,0.0037715,0
-8.8493e-06,-4.7725e-05,0.00023771,7.7474e-08,2.0748e-05,0.00021689,-6.4957e-05,-6.6647e-05,-2.0884e-06,-0.0028177,0.00010665,0.0087627,0.00038559,7.4879e-05,2.5324e-05,3.8036e-05,0.00048322,0.00045972,0.00026716,0,0,0,0,0,0.0032058,0
-1.3974e-05,-4.6721e-05,0.00018419,2.3816e-07,2.3805e-05,0.00016015,-6.2496e-05,-6.8461e-05,-7.6015e-06,-0.0025369,7.1852e-05,0.008731,0.00034598,-5.4712e-05,0.00010487,0.00018366,0.00040991,0.00037829,0.00025856,0,0,0,0,0,0.0027249,0
-1.7807e-05,-4.4885e-05,0.0001409,4.4583e-07,2.8727e-05,0.00011173,-5.9091e-05,-6.7056e-05,-1.2047e-05,-0.0022912,4.4182e-05,0.0085946,0.00030471,-0.00015454,0.00016584,0.00029458,0.0003406,0.00029852,0.00024493,0,0,0,0,0,0.0023162,0
