piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00023508,-0.00063607,0.00069755,5.3076e-05,0.0002897,0.00035477,-0.00090931,-0.00050507,-0.00020342,-0.0032856,-3.8883e-06,0.0015774,0.00082331,0.0015368,0.0012679,-0.00024326,-0.0010666,-0.00060078,-0.00023015,0.01,0,0,0,0,0,0
-0.00020781,-0.00022166,0.00059593,5.1473e-05,0.00033945,0.00020501,-0.00026174,-0.00038385,-0.00018725,-0.0032579,-1.3897e-05,0.0027753,0.00037077,0.0011811,0.0011858,-3.5007e-05,-0.0013736,-0.0010574,-0.000442,0.0085,0,0,0,0,0,0
-0.00018385,-0.00018209,0.00050489,4.6377e-05,0.00036289,9.5621e-05,-0.00015759,-0.00029197,-0.00017123,-0.0032161,-2.3567e-05,0.0036648,-7.7332e-06,0.00088883,0.0011042,0.00012594,-0.0015585,-0.0014047,-0.00063573,0.007225,0,0,0,0,0,0
-0.00016276,-0.00015164,0.00042551,4.1248e-05,0.00036812,1.6141e-05,-0.00012137,-0.00022242,-0.00015581,-0.0031662,-3.1708e-05,0.0043044,-0.00032659,0.00064998,0.0010249,0.00024862,-0.0017009,-0.0016692,-0.000812,0.0061412,0,0,0,0,0,0
-0.00014421,-0.00012717,0.00035689,3.6508e-05,0.00036119,-4.0813e-05,-9.8171e-05,-0.00016972,-0.00014124,-0.0031115,-3.8253e-05,0.0047426,-0.00059638,0.00045584,0.00094876,0.0003402,-0.001816,-0.0018711,-0.0009718,0.0052201,0,0,0,0,0,0
-0.00012788,-0.00010728,0.00029788,3.2209e-05,0.00034645,-8.0783e-05,-8.0562e-05,-0.00012976,-0.00012767,-0.0030545,-4.3308e-05,0.0050194,-0.0008255,0.00029899,0.00087646,0.00040656,-0.0019105,-0.0020255,-0.0011162,0.0044371,0,0,0,0,0,0
-0.0001135,-9.099e-05,0.00024738,2.8348e-05,0.00032701,-0.00010798,-6.6746e-05,-9.9406e-05,-0.00011515,-0.002997,-4.7022e-05,0.0051678,-0.0010208,0.00017317,0.00080827,0.00045256,-0.0019888,-0.0021437,-0.0012465,0.0037715,0,0,0,0,0,0
-0.00010083,-7.7579e-05,0.00020435,2.4902e-05,0.00030504,-0.0001256,-5.579e-05,-7.6326e-05,-0.0001037,-0.0029402,-4.956e-05,0.0052149,-0.0011878,7.3127e-05,0.00074433,0.00048223,-0.0020543,-0.0022345,-0.0013638,0.0032058,0,0,0,0,0,0
-8.9658e-05,-6.6472e-05,0.00016782,2.1845e-05,0.00028206,-0.00013608,-4.7034e-05,-5.8747e-05,-9.3276e-05,-0.0028849,-5.1086e-05,0.0051831,-0.0013311,-5.5905e-06,0.00068464,0.00049887,-0.0021094,-0.0023044,-0.0014694,0.0027249,0,0,0,0,0,0
-7.9806e-05,-5.7219e-05,0.00013694,1.9142e-05,0.00025907,-0.00014127,-3.9979e-05,-4.5335e-05,-8.384e-05,-0.0028318,-5.1758e-05,0.0050906,-0.0014544,-6.6705e-05,0.00062913,0.00050522,-0.0021563,-0.0023583,-0.0015642,0.0023162,0,0,0,0,0,0
