piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00050211,0.0029317,0.0078181,9.3823e-05,0.0024673,0.005257,0.0041259,0.0016455,0.00036785,0.020089,0.0047093,0.014313,0.0021177,0.014503,-0.007888,-0.015248,0.0048396,0.0019574,0.00041619,0,0.01,0,0,0,0,0
0.00034028,-0.0001335,0.0059323,3.9832e-05,0.0015141,0.0043783,0.00013127,0.00083984,0.00028198,0.015037,0.0035117,0.024596,0.0024394,0.010346,-0.0055461,-0.010663,0.0049936,0.0029564,0.00073522,0,0.008,0,0,0,0,0
0.00021496,-0.00023302,0.0044892,2.0149e-05,0.00090526,0.0035638,-0.00038399,0.0003131,0.00020362,0.011006,0.002593,0.031739,0.0025301,0.0071348,-0.0037143,-0.0071162,0.0045432,0.0033288,0.0009656,0,0.0064,0,0,0,0,0
0.00011866,-0.00028006,0.0033783,9.9289e-06,0.00053123,0.0028371,-0.00046689,-1.8874e-05,0.00013484,0.0078075,0.001886,0.03645,0.0024744,0.0046681,-0.0022941,-0.004394,0.0039955,0.0033063,0.0011182,0,0.00512,0,0,0,0,0
4.5469e-05,-0.00029843,0.0025233,4.4607e-06,0.0003138,0.002205,-0.000474,-0.00021724,7.6252e-05,0.0052836,0.0013433,0.039294,0.0023263,0.0027869,-0.0012037,-0.0023235,0.0034395,0.0030479,0.0012044,0,0.004096,0,0,0,0,0
-9.3869e-06,-0.00029889,0.0018661,1.882e-06,0.00019834,0.0016659,-0.00045597,-0.00032549,2.7617e-05,0.0033033,0.00092824,0.040715,0.0021231,0.0013656,-0.00037629,-0.00076623,0.0029047,0.0026608,0.0012357,0,0.0032768,0,0,0,0,0
-4.9748e-05,-0.00028826,0.001362,1.0714e-06,0.00014721,0.0012137,-0.00042576,-0.00037422,-1.1781e-05,0.0017598,0.00061251,0.041067,0.0018907,0.00030452,0.00024217,0.00038802,0.0024053,0.0022156,0.0012224,0,0.0026214,0,0,0,0,0
-7.8712e-05,-0.00027117,0.00097647,1.2892e-06,0.00013482,0.00084037,-0.00038968,-0.0003848,-4.2904e-05,0.00056608,0.00037391,0.040628,0.0016463,-0.00047531,0.00069542,0.0012271,0.0019482,0.0017579,0.0011738,0,0.0020972,0,0,0,0,0
-9.8763e-05,-0.00025074,0.0006826,2.0478e-06,0.00014409,0.00053646,-0.00035163,-0.00037195,-6.6811e-05,-0.00034835,0.00019511,0.039614,0.0014016,-0.0010363,0.0010188,0.0018207,0.0015357,0.0013155,0.0010982,0,0.0016777,0,0,0,0,0
-0.0001119,-0.00022902,0.00045962,3.0335e-06,0.00016388,0.0002927,-0.00031403,-0.00034566,-8.4555e-05,-0.0010406,6.2591e-05,0.038196,0.0011639,-0.0014279,0.0012405,0.0022244,0.0011674,0.00090431,0.0010026,0,0.0013422,0,0,0,0,0
