piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-9.729e-07,-0.00029359,0.001956,6.5849e-05,0.00066968,0.0012205,-0.00014864,-0.00016165,1.782e-05,-0.0023894,0.00026237,0.0017087,0.0014571,0.0020048,0.0013882,-0.00014325,-0.00017435,-0.00019228,2.0162e-05,0,0,0,0,0,0,0.01
4.1036e-06,1.3919e-05,0.0016432,5.5655e-05,0.00061644,0.00097107,-2.7059e-06,-9.3997e-05,1.5561e-05,-0.0020955,0.00020111,0.0029228,0.0011581,0.0014862,0.001236,9.1792e-05,-0.00017753,-0.00030409,3.7768e-05,0,0,0,0,0,0,0.008
7.3409e-06,2.2625e-05,0.0013813,4.6443e-05,0.00055995,0.0007749,1.8745e-05,-4.7584e-05,1.3753e-05,-0.0018379,0.00015181,0.0037554,0.00092756,0.0010806,0.0011014,0.00026053,-0.00015554,-0.00036069,5.3327e-05,0,0,0,0,0,0,0.0064
9.2199e-06,2.7187e-05,0.0011624,3.8688e-05,0.00050374,0.00062002,2.3435e-05,-1.6405e-05,1.221e-05,-0.0016125,0.00011242,0.0042958,0.00074953,0.00076478,0.00098258,0.00037823,-0.00012805,-0.00038021,6.7141e-05,0,0,0,0,0,0,0.00512
1.0105e-05,2.9118e-05,0.00097947,3.2229e-05,0.00044997,0.00049728,2.4369e-05,3.9466e-06,1.0822e-05,-0.0014153,8.1121e-05,0.0046139,0.00061195,0.00052016,0.00087764,0.0004568,-9.9465e-05,-0.00037551,7.9385e-05,0,0,0,0,0,0,0.004096
1.0277e-05,2.9295e-05,0.0008264,2.6863e-05,0.00039988,0.00039966,2.3689e-05,1.6673e-05,9.5279e-06,-0.0012427,5.6371e-05,0.0047646,0.0005055,0.00033192,0.00078488,0.00050558,-7.1677e-05,-0.00035568,9.0165e-05,0,0,0,0,0,0,0.0032768
9.9503e-06,2.8326e-05,0.00069821,2.2412e-05,0.00035407,0.00032173,2.2114e-05,2.4088e-05,8.2969e-06,-0.0010916,3.6919e-05,0.0047907,0.00042301,0.00018821,0.00070281,0.00053186,-4.5737e-05,-0.00032703,9.9552e-05,0,0,0,0,0,0,0.0026214
9.287e-06,2.6641e-05,0.00059072,1.8721e-05,0.00031271,0.00025929,2.0053e-05,2.7856e-05,7.1163e-06,-0.00095924,2.1738e-05,0.0047256,0.00035894,7.9586e-05,0.00063011,0.00054133,-2.2215e-05,-0.00029389,0.0001076,0,0,0,0,0,0,0.0020972
8.4101e-06,2.4545e-05,0.00050047,1.5663e-05,0.00027574,0.00020907,1.7774e-05,2.9168e-05,5.9841e-06,-0.0008432,9.9906e-06,0.0045953,0.000309,-1.4742e-06,0.00056562,0.00053844,-1.3662e-06,-0.0002592,0.00011437,0,0,0,0,0,0,0.0016777
7.4115e-06,2.2249e-05,0.00042458,1.3128e-05,0.00024291,0.00016854,1.5451e-05,2.8872e-05,4.9037e-06,-0.00074141,9.9573e-07,0.0044197,0.0002699,-6.0949e-05,0.00050833,0.00052662,1.6757e-05,-0.00022485,0.00011992,0,0,0,0,0,0,0.0013422
6.3584e-06,1.9898e-05,0.00036066,1.1026e-05,0.00021392,0.00013571,1.3196e-05,2.7563e-05,3.8807e-06,-0.00065203,-5.7999e-06,0.0042142,0.00023909,-0.00010359,0.00045735,0.00050854,3.2237e-05,-0.00019207,0.00012431,0,0,0,0,0,0,0.0010737
5.2996e-06,1.7589e-05,0.00030672,9.2824e-06,0.00018841,0.00010903,1.1078e-05,2.5658e-05,2.921e-06,-0.00057349,-1.0845e-05,0.0039906,0.00021462,-0.00013316,0.00041193,0.00048623,4.5232e-05,-0.00016155,0.00012762,0,0,0,0,0,0,0.00085899
4.2694e-06,1.5383e-05,0.00026113,7.8344e-06,0.00016601,8.7281e-05,9.1339e-06,2.3442e-05,2.0295e-06,-0.00050441,-1.4501e-05,0.0037576,0.00019498,-0.00015266,0.00037138,0.00046126,5.5946e-05,-0.00013366,0.00012991,0,0,0,0,0,0,0.00068719
3.2913e-06,1.3317e-05,0.00022251,6.6305e-06,0.00014638,6.9501e-05,7.3796e-06,2.1109e-05,1.2097e-06,-0.00044362,-1.7061e-05,0.003522,0.00017903,-0.00016442,0.00033513,0.0004348,6.4602e-05,-0.00010855,0.00013128,0,0,0,0,0,0,0.00054976
2.3803e-06,1.1413e-05,0.00018975,5.628e-06,0.00012919,5.4931e-05,5.8186e-06,1.8786e-05,4.6381e-07,-0.00039007,-1.8761e-05,0.0032885,0.00016588,-0.00017033,0.00030268,0.00040774,7.1427e-05,-8.6207e-05,0.00013181,0,0,0,0,0,0,0.0004398
1.5454e-06,9.6789e-06,0.0001619,4.7916e-06,0.00011414,4.2965e-05,4.4455e-06,1.6554e-05,-2.0783e-07,-0.00034287,-1.979e-05,0.0030607,0.00015485,-0.00017183,0.00027359,0.00038072,7.6642e-05,-6.6516e-05,0.00013157,0,0,0,0,0,0,0.00035184
7.9078e-07,8.114e-06,0.00013818,4.0925e-06,0.00010097,3.3124e-05,3.2495e-06,1.446e-05,-8.0603e-07,-0.00030125,-2.03e-05,0.0028411,0.00014544,-0.00017008,0.00024748,0.00035423,8.0454e-05,-4.9315e-05,0.00013066,0,0,0,0,0,0,0.00028147
1.1729e-07,6.7137e-06,0.00011795,3.5067e-06,8.942e-05,2.5021e-05,2.217e-06,1.2531e-05,-1.3328e-06,-0.00026452,-2.0411e-05,0.0026312,0.00013726,-0.00016597,0.000224,0.0003286,8.3054e-05,-3.4409e-05,0.00012915,0,0,0,0,0,0,0.00022518
-4.7658e-07,5.4695e-06,0.00010066,3.0146e-06,7.9294e-05,1.8347e-05,1.3332e-06,1.0777e-05,-1.7911e-06,-0.00023211,-2.0222e-05,0.0024321,0.00013001,-0.0001602,0.00020287,0.00030405,8.4618e-05,-2.159e-05,0.00012713,0,0,0,0,0,0,0.00018014
-9.9401e-07,4.3711e-06,8.5853e-05,2.6001e-06,7.0402e-05,1.2851e-05,5.8287e-07,9.1985e-06,-2.1846e-06,-0.00020349,-1.9808e-05,0.0022444,0.00012348,-0.00015331,0.00018383,0.00028073,8.5302e-05,-1.0648e-05,0.00012465,0,0,0,0,0,0,0.00014412
-1.4393e-06,3.407e-06,7.3165e-05,2.25e-06,6.2586e-05,8.3293e-06,-4.8707e-08,7.7897e-06,-2.5173e-06,-0.00017821,-1.9231e-05,0.0020683,0.0001175,-0.00014571,0.00016667,0.00025872,8.5245e-05,-1.3823e-06,0.00012181,0,0,0,0,0,0,0.00011529
-1.8175e-06,2.5655e-06,6.2274e-05,1.9533e-06,5.5703e-05,4.6172e-06,-5.7545e-07,6.5409e-06,-2.7938e-06,-0.00015588,-1.8539e-05,0.0019037,0.00011194,-0.00013771,0.00015117,0.00023807,8.457e-05,6.3981e-06,0.00011864,0,0,0,0,0,0,9.2234e-05
-2.1339e-06,1.8353e-06,5.2915e-05,1.7011e-06,4.9635e-05,1.579e-06,-1.0102e-06,5.4404e-06,-3.0186e-06,-0.00013616,-1.7769e-05,0.0017504,0.00010672,-0.00012956,0.00013716,0.00021876,8.3385e-05,1.2869e-05,0.00011523,0,0,0,0,0,0,7.3787e-05
-2.3939e-06,1.2051e-06,4.4864e-05,1.486e-06,4.4275e-05,-8.9676e-07,-1.3648e-06,4.4755e-06,-3.1963e-06,-0.00011874,-1.6951e-05,0.001608,0.00010178,-0.00012143,0.0001245,0.00020079,8.1784e-05,1.8193e-05,0.00011161,0,0,0,0,0,0,5.903e-05
-2.603e-06,6.6446e-07,3.7934e-05,1.3019e-06,3.9534e-05,-2.9021e-06,-1.6498e-06,3.6333e-06,-3.3315e-06,-0.00010337,-1.6108e-05,0.0014761,9.707e-05,-0.00011345,0.00011304,0.00018411,7.9849e-05,2.2515e-05,0.00010784,0,0,0,0,0,0,4.7224e-05
-2.7665e-06,2.0372e-07,3.1965e-05,1.1438e-06,3.5335e-05,-4.5133e-06,-1.8746e-06,2.9015e-06,-3.4286e-06,-8.9791e-05,-1.5257e-05,0.0013541,9.2551e-05,-0.00010571,0.00010267,0.00016867,7.765e-05,2.5966e-05,0.00010397,0,0,0,0,0,0,3.7779e-05
-2.8894e-06,-1.8616e-07,2.6822e-05,1.0076e-06,3.1608e-05,-5.7939e-06,-2.0476e-06,2.2681e-06,-3.4918e-06,-7.7814e-05,-1.4411e-05,0.0012414,8.8204e-05,-9.8284e-05,9.3269e-05,0.0001544,7.5248e-05,2.8664e-05,0.00010001,0,0,0,0,0,0,3.0223e-05
-2.9764e-06,-5.1337e-07,2.239e-05,8.8979e-07,2.8297e-05,-6.797e-06,-2.1764e-06,1.7222e-06,-3.5252e-06,-6.7252e-05,-1.3581e-05,0.0011376,8.4013e-05,-9.1205e-05,8.4749e-05,0.00014125,7.2695e-05,3.0713e-05,9.6026e-05,0,0,0,0,0,0,2.4179e-05
-3.0319e-06,-7.8539e-07,1.8572e-05,7.8762e-07,2.5351e-05,-7.5672e-06,-2.2674e-06,1.2536e-06,-3.5325e-06,-5.7945e-05,-1.2773e-05,0.001042,7.9968e-05,-8.45e-05,7.7021e-05,0.00012915,7.0035e-05,3.2204e-05,9.2029e-05,0,0,0,0,0,0,1.9343e-05
-3.06e-06,-1.0089e-06,1.5283e-05,6.9869e-07,2.2726e-05,-8.1418e-06,-2.3264e-06,8.5325e-07,-3.5171e-06,-4.975e-05,-1.1993e-05,0.00095413,7.6062e-05,-7.818e-05,7.0011e-05,0.00011802,6.7306e-05,3.3219e-05,8.805e-05,0,0,0,0,0,0,1.5474e-05
-3.0644e-06,-1.1901e-06,1.2453e-05,6.2105e-07,2.0385e-05,-8.5526e-06,-2.3583e-06,5.1284e-07,-3.4823e-06,-4.2541e-05,-1.1245e-05,0.00087337,7.229e-05,-7.2249e-05,6.3648e-05,0.00010781,6.454e-05,3.3829e-05,8.411e-05,0,0,0,0,0,0,1.2379e-05
-3.0485e-06,-1.3342e-06,1.002e-05,5.5305e-07,1.8294e-05,-8.8262e-06,-2.3675e-06,2.2499e-07,-3.4309e-06,-3.6205e-05,-1.0529e-05,0.00079922,6.865e-05,-6.6701e-05,5.7871e-05,9.8441e-05,6.1763e-05,3.4096e-05,8.0228e-05,0,0,0,0,0,0,9.9035e-06
-3.0153e-06,-1.4462e-06,7.9318e-06,4.9333e-07,1.6424e-05,-8.9854e-06,-2.3578e-06,-1.6914e-08,-3.3656e-06,-3.0645e-05,-9.8491e-06,0.0007312,6.514e-05,-6.1527e-05,5.2624e-05,8.9857e-05,5.8997e-05,3.4076e-05,7.642e-05,0,0,0,0,0,0,7.9228e-06
-2.9676e-06,-1.5305e-06,6.1421e-06,4.4073e-07,1.4751e-05,-9.0495e-06,-2.3325e-06,-2.1873e-07,-3.2888e-06,-2.5772e-05,-9.204e-06,0.00066883,6.1759e-05,-5.6712e-05,4.7858e-05,8.1998e-05,5.6261e-05,3.3816e-05,7.27e-05,0,0,0,0,0,0,6.3383e-06
-2.9079e-06,-1.5907e-06,4.6118e-06,3.9429e-07,1.3252e-05,-9.0348e-06,-2.2943e-06,-3.8565e-07,-3.2025e-06,-2.1507e-05,-8.594e-06,0.00061168,5.8506e-05,-5.2241e-05,4.3527e-05,7.4807e-05,5.357e-05,3.3357e-05,6.9076e-05,0,0,0,0,0,0,5.0706e-06
-2.8382e-06,-1.6303e-06,3.3068e-06,3.5318e-07,1.1909e-05,-8.9553e-06,-2.2458e-06,-5.2226e-07,-3.1088e-06,-1.7782e-05,-8.0186e-06,0.00055932,5.538e-05,-4.8096e-05,3.9592e-05,6.8231e-05,5.0936e-05,3.2736e-05,6.5559e-05,0,0,0,0,0,0,4.0565e-06
-2.7606e-06,-1.6524e-06,2.1976e-06,3.1671e-07,1.0704e-05,-8.823e-06,-2.189e-06,-6.3263e-07,-3.0093e-06,-1.4533e-05,-7.4769e-06,0.00051139,5.2381e-05,-4.426e-05,3.6014e-05,6.222e-05,4.8368e-05,3.1984e-05,6.2154e-05,0,0,0,0,0,0,3.2452e-06
