piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00039816,-0.00082018,-0.00090419,3.4907e-05,-0.0033676,0.0024285,0.00023955,-0.002988,-9.5849e-05,0.00064399,-0.00086479,0.0013968,0.0047159,0.0012377,-0.00087207,0.0035456,0.00028099,-0.0035543,-0.00010844,0,0,0,0.01,0,0,0
-0.00032303,-0.00074492,-0.00025207,5.3393e-05,-0.0019786,0.0016732,-0.00078477,-0.0019938,-0.00012782,-0.00018422,-0.00067257,0.0024308,0.0033601,0.0011673,-0.00048512,0.0034393,-0.00063955,-0.005926,-0.00025306,0,0,0,0.009,0,0,0
-0.00025874,-0.00052311,0.00022449,7.0271e-05,-0.0009878,0.001142,-0.00065955,-0.0012702,-0.00014054,-0.00080145,-0.00052151,0.0031829,0.0023065,0.0010877,-0.00019932,0.0033028,-0.0014132,-0.0074368,-0.00041207,0,0,0,0.0081,0,0,0
-0.0002039,-0.00035311,0.00056474,8.0612e-05,-0.00029017,0.0007743,-0.00046654,-0.00074675,-0.00014045,-0.0012541,-0.00040374,0.0037158,0.0014894,0.0010036,9.5424e-06,0.0031468,-0.0019604,-0.0083251,-0.00057098,0,0,0,0.00729,0,0,0
-0.00015724,-0.00022501,0.00080218,8.5724e-05,0.00019214,0.00052431,-0.00031153,-0.0003716,-0.00013217,-0.0015795,-0.00031172,0.004078,0.00085641,0.00091873,0.0001603,0.0029798,-0.0023259,-0.0087671,-0.00072052,0,0,0,0.006561,0,0,0
-0.00011765,-0.00012897,0.00096247,8.7116e-05,0.00051697,0.00035838,-0.00019503,-0.00010599,-0.000119,-0.0018065,-0.0002396,0.0043076,0.00036714,0.00083583,0.00026724,0.002808,-0.0025546,-0.0088932,-0.00085516,0,0,0,0.0059049,0,0,0
-8.4188e-05,-5.7309e-05,0.001065,8.5955e-05,0.00072722,0.00025185,-0.00010864,7.8902e-05,-0.00010323,-0.0019576,-0.00018287,0.0044341,-9.5749e-06,0.00075659,0.00034116,0.002636,-0.0026821,-0.0087994,-0.00097195,0,0,0,0.0053144,0,0,0
-5.6011e-05,-4.1751e-06,0.0011245,8.3096e-05,0.00085467,0.00018678,-4.5033e-05,0.00020454,-8.644e-05,-0.0020499,-0.0001381,0.0044808,-0.00029783,0.00068205,0.00039023,0.0024669,-0.0027349,-0.0085561,-0.0010697,0,0,0,0.004783,0,0,0
-3.2404e-05,3.4857e-05,0.0011521,7.916e-05,0.00092285,0.00015012,1.3929e-06,0.00028686,-6.9694e-05,-0.002097,-0.00010268,0.004466,-0.00051635,0.00061277,0.00042064,0.0023029,-0.0027333,-0.0082148,-0.0011486,0,0,0,0.0043047,0,0,0
-1.2741e-05,6.3148e-05,0.0011562,7.4591e-05,0.00094908,0.00013249,3.4879e-05,0.00033773,-5.3679e-05,-0.0021094,-7.4585e-05,0.0044042,-0.00067974,0.00054896,0.00043709,0.0021453,-0.0026924,-0.0078131,-0.0012093,0,0,0,0.0038742,0,0,0
3.5199e-06,8.3252e-05,0.001143,6.9705e-05,0.00094611,0.00012719,5.8621e-05,0.00036593,-3.8812e-05,-0.0020951,-5.227e-05,0.0043068,-0.00079943,0.00049063,0.00044315,0.0019951,-0.0026236,-0.0073778,-0.0012532,0,0,0,0.0034868,0,0,0
1.6852e-05,9.7116e-05,0.0011175,6.4723e-05,0.0009233,0.00012948,7.5033e-05,0.00037794,-2.5327e-05,-0.0020607,-3.4532e-05,0.004183,-0.00088443,0.00043761,0.00044154,0.0018528,-0.0025356,-0.0069283,-0.0012819,0,0,0,0.0031381,0,0,0
2.7668e-05,0.00010622,0.0010833,5.9796e-05,0.00088745,0.00013603,8.5936e-05,0.00037858,-1.3323e-05,-0.0020112,-2.0437e-05,0.00404,-0.00094188,0.00038963,0.00043432,0.0017185,-0.0024348,-0.0064779,-0.001297,0,0,0,0.0028243,0,0,0
3.6324e-05,0.00011171,0.0010431,5.5027e-05,0.00084349,0.0001446,9.2711e-05,0.00037137,-2.8133e-06,-0.0019507,-9.2538e-06,0.0038835,-0.00097744,0.0003464,0.00042307,0.0015923,-0.002326,-0.0060362,-0.0013002,0,0,0,0.0025419,0,0,0
4.3134e-05,0.00011446,0.00099909,5.0479e-05,0.00079497,0.00015365,9.6402e-05,0.0003589,6.2481e-06,-0.0018822,-4.1059e-07,0.0037181,-0.00099564,0.00030756,0.00040898,0.0014742,-0.0022129,-0.0056093,-0.0012931,0,0,0,0.0022877,0,0,0
