piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00034564,0.00093234,0.0037801,4.1624e-05,0.0011765,0.0025619,0.0019565,0.00070376,0.00030349,-0.0052801,0.00083281,0.0024824,0.0013793,0.0032017,-0.00097329,-0.0021576,0.0022949,0.00083712,0.00034337,0,0,0,0,0,0.01,0
0.0002733,0.00021751,0.0031049,2.1288e-05,0.00085178,0.0022318,0.00025435,0.00046375,0.00025106,-0.004406,0.00064709,0.0043968,0.0016008,0.0024887,-0.00071092,-0.0015773,0.0025933,0.0013888,0.00062742,0,0,0,0,0,0.0085,0
0.00021299,0.00014333,0.0025556,1.3903e-05,0.00061935,0.0019224,1.9438e-05,0.00029101,0.00020392,-0.0036774,0.00049908,0.0058406,0.0017397,0.0019057,-0.00049062,-0.0011018,0.0026161,0.0017349,0.00085814,0,0,0,0,0,0.007225,0
0.00016276,9.0635e-05,0.0021031,9.5491e-06,0.000454,0.0016395,-3.7647e-05,0.00016805,0.00016218,-0.0030665,0.00037951,0.0068966,0.0018191,0.0014293,-0.00030834,-0.00071605,0.0025719,0.0019348,0.0010416,0,0,0,0,0,0.0061412,0
0.00012103,5.1179e-05,0.0017287,6.6588e-06,0.00033697,0.001385,-6.4669e-05,8.1493e-05,0.00012569,-0.0025529,0.00028285,0.0076351,0.0018544,0.0010416,-0.00015932,-0.00040575,0.0024961,0.0020317,0.0011838,0,0,0,0,0,0.0052201,0
8.6483e-05,2.1489e-05,0.0014182,4.7243e-06,0.00025453,0.0011589,-8.0924e-05,2.1424e-05,9.4115e-05,-0.0021201,0.00020483,0.0081156,0.001857,0.00072733,-3.9033e-05,-0.00015856,0.0024011,0.0020572,0.0012903,0,0,0,0,0,0.0044371,0
5.8001e-05,-7.7052e-07,0.0011603,3.4487e-06,0.00019671,0.00096011,-9.0633e-05,-1.9462e-05,6.7077e-05,-0.001755,0.00014204,0.0083881,0.0018354,0.000474,5.6682e-05,3.606e-05,0.0022948,0.0020341,0.0013662,0,0,0,0,0,0.0037715,0
3.4637e-05,-1.7337e-05,0.00094565,2.6264e-06,0.00015628,0.00078675,-9.5786e-05,-4.6531e-05,4.4142e-05,-0.0014467,9.1704e-05,0.0084943,0.0017963,0.00027112,0.00013155,0.00018709,0.0021825,0.0019787,0.0014162,0,0,0,0,0,0.0032058,0
1.5585e-05,-2.9532e-05,0.0007669,2.1117e-06,0.00012804,0.00063675,-9.7722e-05,-6.3715e-05,2.4868e-05,-0.001186,5.1547e-05,0.0084694,0.0017447,0.00010996,0.00018888,0.00030213,0.0020678,0.0019029,0.0014443,0,0,0,0,0,0.0027249,0
1.6293e-07,-3.8364e-05,0.0006179,1.8016e-06,0.00010826,0.00050784,-9.7408e-05,-7.3889e-05,8.8303e-06,-0.00096556,1.9722e-05,0.0083422,0.0016844,-1.6801e-05,0.00023157,0.0003876,0.0019536,0.0018151,0.0014543,0,0,0,0,0,0.0023162,0
