piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-5.2785e-06,-0.00032587,0.001943,6.5878e-05,0.00067336,0.0012037,-0.00017233,-0.00019296,1.6672e-05,-0.0025974,0.00018619,0.0015389,0.0014513,0.0018563,0.0014953,5.2278e-05,-0.00020214,-0.00022952,1.8863e-05,0.01,0,0,0,0,0,0
2.6036e-07,-3.1571e-06,0.0017301,5.931e-05,0.00066199,0.0010088,-1.9521e-05,-0.00012083,1.4405e-05,-0.0023823,0.00015225,0.0027076,0.0012136,0.0014743,0.0013872,0.00023154,-0.00022504,-0.00037325,3.5161e-05,0.0085,0,0,0,0,0,0
4.1923e-06,1.0023e-05,0.0015368,5.253e-05,0.00063552,0.00084874,7.242e-06,-6.9293e-05,1.2773e-05,-0.0021774,0.00012268,0.003575,0.001022,0.0011575,0.001283,0.00036607,-0.00021654,-0.00045568,4.9613e-05,0.007225,0,0,0,0,0,0
6.8658e-06,1.8474e-05,0.0013627,4.6313e-05,0.0005999,0.00071651,1.6226e-05,-3.2965e-05,1.1515e-05,-0.0019845,9.729e-05,0.0041984,0.00086695,0.00089575,0.0011836,0.00046453,-0.00019751,-0.00049489,6.2641e-05,0.0061412,0,0,0,0,0,0
8.5571e-06,2.37e-05,0.0012066,4.0726e-05,0.00055931,0.00060661,2.0593e-05,-7.8074e-06,1.0466e-05,-0.0018042,7.5654e-05,0.004625,0.00074111,0.00068024,0.0010898,0.00053397,-0.00017336,-0.00050418,7.4482e-05,0.0052201,0,0,0,0,0,0
9.4897e-06,2.6605e-05,0.0010672,3.5746e-05,0.00051665,0.00051476,2.2598e-05,9.1857e-06,9.5226e-06,-0.0016368,5.7348e-05,0.0048939,0.00063861,0.00050355,0.0010017,0.00058014,-0.00014685,-0.00049325,8.5256e-05,0.0044371,0,0,0,0,0,0
9.8442e-06,2.7845e-05,0.00094284,3.133e-05,0.00047388,0.00043763,2.3072e-05,2.0248e-05,8.6266e-06,-0.0014821,4.1962e-05,0.0050374,0.00055484,0.0003594,0.00091953,0.0006078,-0.00011978,-0.00046917,9.5016e-05,0.0037715,0,0,0,0,0,0
9.7661e-06,2.7905e-05,0.00083227,2.743e-05,0.00043229,0.00037255,2.2526e-05,2.7034e-05,7.747e-06,-0.0013398,2.912e-05,0.005082,0.0004861,0.00024245,0.00084312,0.00062084,-9.3361e-05,-0.00043701,0.00010378,0.0032058,0,0,0,0,0,0
9.3721e-06,2.715e-05,0.0007341,2.3998e-05,0.0003927,0.00031741,2.1323e-05,3.0769e-05,6.871e-06,-0.0012094,1.848e-05,0.0050495,0.00042944,0.00014819,0.00077232,0.00062244,-6.835e-05,-0.00040041,0.00011155,0.0027249,0,0,0,0,0,0
8.7549e-06,2.5848e-05,0.00064707,2.0985e-05,0.00035556,0.00027052,1.972e-05,3.2354e-05,5.9968e-06,-0.0010901,9.7348e-06,0.0049579,0.00038252,7.2815e-05,0.00070691,0.00061522,-4.5218e-05,-0.00036192,0.00011834,0.0023162,0,0,0,0,0,0
7.9882e-06,2.4201e-05,0.00056998,1.8345e-05,0.00032112,0.00023052,1.7902e-05,3.2454e-05,5.1292e-06,-0.0009813,2.6106e-06,0.0048216,0.00034345,1.312e-05,0.00064661,0.0006013,-2.4219e-05,-0.00032332,0.00012414,0.0019687,0,0,0,0,0,0
7.1296e-06,2.2354e-05,0.00050178,1.6036e-05,0.00028944,0.0001963,1.5998e-05,3.1552e-05,4.2758e-06,-0.00088228,-3.1325e-06,0.0046527,0.00031071,-3.3599e-05,0.00059112,0.0005824,-5.4532e-06,-0.00028579,0.00012898,0.0016734,0,0,0,0,0,0
6.2237e-06,2.0415e-05,0.00044147,1.4018e-05,0.0002605,0.00016696,1.4096e-05,3.0002e-05,3.4453e-06,-0.00079233,-7.7048e-06,0.0044606,0.00028308,-6.9613e-05,0.00054012,0.00055991,1.1081e-05,-0.0002501,0.00013288,0.0014224,0,0,0,0,0,0
5.3049e-06,1.8459e-05,0.00038818,1.2257e-05,0.00023418,0.00014174,1.2255e-05,2.8059e-05,2.6463e-06,-0.00071075,-1.1289e-05,0.0042532,0.00025959,-9.6828e-05,0.00049333,0.00053497,2.5457e-05,-0.00021672,0.00013587,0.0012091,0,0,0,0,0,0
4.3987e-06,1.6541e-05,0.00034111,1.0721e-05,0.00021034,0.00012005,1.0514e-05,2.5903e-05,1.8863e-06,-0.00063686,-1.4044e-05,0.0040366,0.00023945,-0.00011684,0.00045042,0.00050847,3.779e-05,-0.00018591,0.00013801,0.0010277,0,0,0,0,0,0
3.5242e-06,1.4697e-05,0.00029956,9.3817e-06,0.00018881,0.00010137,8.8942e-06,2.3664e-05,1.1713e-06,-0.00057003,-1.6105e-05,0.0038157,0.00022204,-0.00013099,0.00041113,0.00048112,4.8222e-05,-0.00015776,0.00013933,0.00087354,0,0,0,0,0,0
2.6948e-06,1.2952e-05,0.00026288,8.214e-06,0.00016941,8.5261e-05,7.4079e-06,2.143e-05,5.0606e-07,-0.00050966,-1.7589e-05,0.0035945,0.00020685,-0.00014039,0.00037516,0.00045349,5.6912e-05,-0.00013227,0.0001399,0.00074251,0,0,0,0,0,0
1.9196e-06,1.1319e-05,0.00023053,7.196e-06,0.00015196,7.1371e-05,6.0592e-06,1.926e-05,-1.063e-07,-0.00045518,-1.8597e-05,0.0033759,0.00019346,-0.00014597,0.00034225,0.00042602,6.4019e-05,-0.00010936,0.00013978,0.00063113,0,0,0,0,0,0
