piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00017586,0.0021386,-0.00036322,3.4116e-06,-0.00013186,-0.00023477,0.00061681,0.00096334,8.3805e-05,0.016919,0.0052099,0.01468,-0.00066565,0.012494,-0.0094602,-0.017311,0.00072352,0.0011459,9.4817e-05,0,0.01,0,0,0,0,0
0.00016795,-0.00025682,-7.0584e-06,-3.4265e-06,-0.00026282,0.00025919,0.00038305,0.00050442,0.00012861,0.01237,0.0039995,0.025194,3.5517e-05,0.008866,-0.0066557,-0.012134,0.0011728,0.0017459,0.00024033,0,0.008,0,0,0,0,0
0.00015603,-0.00022283,0.00027211,-5.7829e-06,-0.00027204,0.00054994,0.00023772,0.00021306,0.00014935,0.0088336,0.0030507,0.032472,0.00053703,0.0060648,-0.0044754,-0.0081355,0.0014517,0.0019993,0.00040931,0,0.0064,0,0,0,0,0
0.0001416,-0.00018688,0.00048273,-5.5604e-06,-0.00021333,0.00070162,0.0001404,3.5333e-05,0.00015401,0.0061033,0.0023078,0.037249,0.000893,0.0039148,-0.0027934,-0.0050691,0.0016164,0.0020414,0.00058355,0,0.00512,0,0,0,0,0
0.0001258,-0.00015252,0.00063432,-3.9399e-06,-0.00012178,0.00076004,7.4956e-05,-6.6575e-05,0.00014827,0.004013,0.001727,0.04011,0.0011427,0.0022768,-0.0015081,-0.0027388,0.0017043,0.0019622,0.00075131,0,0.004096,0,0,0,0,0
0.00010947,-0.00012162,0.00073638,-1.6785e-06,-1.9589e-05,0.00075765,3.1367e-05,-0.00011898,0.00013617,0.0024289,0.0012738,0.041516,0.0013145,0.0010406,-0.00053717,-0.00098781,0.0017411,0.0018206,0.00090537,0,0.0032768,0,0,0,0,0
9.3242e-05,-9.5033e-05,0.00079786,7.5017e-07,7.9851e-05,0.00071726,2.7269e-06,-0.00014,0.0001205,0.0012435,0.00092106,0.041833,0.0014292,0.00011887,0.00018532,0.00030879,0.0017443,0.0016541,0.0010417,0,0.0026214,0,0,0,0,0
7.754e-05,-7.2938e-05,0.00082682,3.0639e-06,0.00016905,0.00065471,-1.5778e-05,-0.00014193,0.00010319,0.00037057,0.00064736,0.041344,0.0015017,-0.00055737,0.00071249,0.0012504,0.0017258,0.0014853,0.0011584,0,0.0020972,0,0,0,0,0
6.2666e-05,-5.5142e-05,0.00083032,5.1083e-06,0.00024437,0.00058084,-2.7487e-05,-0.000133,8.5534e-05,-0.00025881,0.00043587,0.040274,0.001543,-0.0010428,0.0010869,0.0019159,0.0016935,0.0013271,0.0012552,0,0.0016777,0,0,0,0,0
4.8812e-05,-4.1238e-05,0.0008144,6.8124e-06,0.00030467,0.00050291,-3.47e-05,-0.00011861,6.838e-05,-0.00069953,0.00027329,0.038797,0.001561,-0.0013805,0.0013424,0.0023679,0.0016528,0.001186,0.0013326,0,0.0013422,0,0,0,0,0
3.609e-05,-3.0723e-05,0.00078413,8.1582e-06,0.00035028,0.00042569,-3.8981e-05,-0.00010216,5.225e-05,-0.00099521,0.00014913,0.037047,0.0015617,-0.0016044,0.0015063,0.0026559,0.0016071,0.0010645,0.0013917,0,0.0010737,0,0,0,0,0
