piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00032138,0.00036884,0.0078809,0.00013138,0.0025497,0.0051999,0.0024788,0.00042386,0.00030898,0,-2.927e-05,0.0014488,0.0035675,0.0034647,0.0025228,0.0013442,0.0029076,0.00050419,0.00034958,0,0,0,0,0,0,0.01
0.00021583,0.00018916,0.005888,8.6144e-05,0.0018795,0.0039224,-0.00011373,0.00024153,0.0002129,0,-5.0605e-05,0.0025049,0.0030741,0.0025495,0.0020238,0.0011356,0.0027742,0.0007915,0.00059045,0,0,0,0,0,0,0.008
0.00013886,0.00010746,0.0044093,6.464e-05,0.0013954,0.0029493,-0.00032827,0.0001217,0.00014096,0,-6.5635e-05,0.0032489,0.0026537,0.0018544,0.0016423,0.00098496,0.0023891,0.00093626,0.00074993,0,0,0,0,0,0,0.0064
8.2765e-05,5.5328e-05,0.0032963,4.9781e-05,0.0010425,0.002204,-0.00029624,4.466e-05,8.7292e-05,0,-7.5711e-05,0.0037477,0.0022966,0.0013242,0.0013459,0.00086993,0.0020417,0.00098939,0.00084869,0,0,0,0,0,0,0.00512
4.2181e-05,1.9934e-05,0.0024561,3.8665e-05,0.00078411,0.0016334,-0.00024793,-3.4427e-06,4.7568e-05,0,-8.1932e-05,0.0040556,0.0019932,0.00092069,0.0011134,0.0007792,0.0017508,0.00098529,0.00090251,0,0,0,0,0,0,0.004096
1.3136e-05,-3.9908e-06,0.0018213,3.0214e-05,0.00059415,0.0011969,-0.00020637,-3.2174e-05,1.8472e-05,0,-8.5183e-05,0.0042166,0.001735,0.0006147,0.00092952,0.00070547,0.0015088,0.00094702,0.00092341,0,0,0,0,0,0,0.0032768
-7.3315e-06,-1.9802e-05,0.0013415,2.3749e-05,0.0004539,0.00086388,-0.00017236,-4.8107e-05,-2.5364e-06,0,-8.6177e-05,0.0042658,0.001515,0.00038395,0.00078293,0.00064377,0.0013066,0.0008898,0.00092054,0,0,0,0,0,0,0.0026214
-2.1437e-05,-2.9865e-05,0.00097909,1.8778e-05,0.00034986,0.00061045,-0.00014464,-5.5727e-05,-1.7407e-05,0,-8.5482e-05,0.0042314,0.0013271,0.0002112,0.00066505,0.00059075,0.0011369,0.00082351,0.00090084,0,0,0,0,0,0,0.0020972
-3.0837e-05,-3.5875e-05,0.00070557,1.4936e-05,0.00027226,0.00041837,-0.00012199,-5.8073e-05,-2.7638e-05,0,-8.3548e-05,0.0041356,0.0011661,8.3128e-05,0.00056941,0.00054414,0.00099383,0.00075443,0.00086957,0,0,0,0,0,0,0.0016777
-3.6776e-05,-3.905e-05,0.00049952,1.1954e-05,0.00021404,0.00027352,-0.00010341,-5.7186e-05,-3.438e-05,0,-8.0729e-05,0.0039961,0.0010279,-1.0579e-05,0.00049114,0.00050239,0.00087252,0.00068641,0.00083068,0,0,0,0,0,0,0.0013422
-4.0185e-05,-4.0263e-05,0.00034472,9.6254e-06,0.00017007,0.00016503,-8.812e-05,-5.4421e-05,-3.8513e-05,0,-7.7304e-05,0.0038266,0.00090882,-7.7917e-05,0.00042651,0.00046447,0.00076916,0.00062167,0.0007871,0,0,0,0,0,0,0.0010737
-4.1759e-05,-4.0141e-05,0.00022888,7.799e-06,0.00013661,8.4468e-05,-7.5476e-05,-5.0662e-05,-4.0713e-05,0,-7.3489e-05,0.0036377,0.00080586,-0.00012508,0.00037269,0.00042968,0.00068062,0.00056141,0.00074104,0,0,0,0,0,0,0.00085899
-4.2022e-05,-3.9132e-05,0.00014266,6.3588e-06,0.00011096,2.5341e-05,-6.4976e-05,-4.6477e-05,-4.1497e-05,0,-6.9449e-05,0.0034377,0.00071654,-0.00015688,0.0003275,0.00039753,0.00060441,0.00050613,0.00069409,0,0,0,0,0,0,0.00068719
-4.1363e-05,-3.7553e-05,7.8952e-05,5.2172e-06,9.1119e-05,-1.7384e-05,-5.6216e-05,-4.222e-05,-4.126e-05,0,-6.5312e-05,0.0032329,0.00063879,-0.00017704,0.00028923,0.0003677,0.00053847,0.0004559,0.00064741,0,0,0,0,0,0,0.00054976
-4.0072e-05,-3.563e-05,3.2343e-05,4.3074e-06,7.5633e-05,-4.7597e-05,-4.8872e-05,-3.8102e-05,-4.03e-05,0,-6.1172e-05,0.003028,0.00057088,-0.00018845,0.00025658,0.00033995,0.00048114,0.00041058,0.00060181,0,0,0,0,0,0,0.0004398
-3.8364e-05,-3.3521e-05,-1.3011e-06,3.5786e-06,6.3429e-05,-6.8308e-05,-4.2685e-05,-3.4238e-05,-3.8845e-05,0,-5.7099e-05,0.0028264,0.00051135,-0.00019333,0.00022853,0.00031409,0.00043107,0.00036986,0.00055786,0,0,0,0,0,0,0.00035184
-3.6398e-05,-3.1337e-05,-2.5134e-05,2.9914e-06,5.3715e-05,-8.184e-05,-3.7445e-05,-3.0686e-05,-3.7065e-05,0,-5.3145e-05,0.0026307,0.00045899,-0.00019341,0.00020425,0.00029001,0.00038715,0.00033335,0.00051593,0,0,0,0,0,0,0.00028147
-3.4291e-05,-2.9152e-05,-4.1567e-05,2.5158e-06,4.5903e-05,-8.9986e-05,-3.2985e-05,-2.7465e-05,-3.5089e-05,0,-4.9344e-05,0.0024425,0.00041279,-0.00019003,0.00018311,0.00026757,0.00034846,0.00030068,0.00047623,0,0,0,0,0,0,0.00022518
-3.2127e-05,-2.7017e-05,-5.2444e-05,2.1284e-06,3.9555e-05,-9.4128e-05,-2.9169e-05,-2.4571e-05,-3.301e-05,0,-4.572e-05,0.0022631,0.0003719,-0.0001842,0.00016461,0.0002467,0.00031424,0.00027146,0.00043888,0,0,0,0,0,0,0.00018014
-2.9966e-05,-2.4964e-05,-5.9173e-05,1.8112e-06,3.4344e-05,-9.5328e-05,-2.5887e-05,-2.1985e-05,-3.0899e-05,0,-4.2286e-05,0.0020932,0.00033559,-0.00017671,0.00014831,0.00022729,0.00028388,0.00024531,0.00040392,0,0,0,0,0,0,0.00014412
-2.785e-05,-2.3014e-05,-6.283e-05,1.5498e-06,3.0021e-05,-9.4401e-05,-2.305e-05,-1.9684e-05,-2.8804e-05,0,-3.9051e-05,0.001933,0.00030327,-0.00016814,0.00013391,0.00020927,0.00025684,0.00022189,0.00037133,0,0,0,0,0,0,0.00011529
-2.5808e-05,-2.1178e-05,-6.4234e-05,1.3334e-06,2.6401e-05,-9.1969e-05,-2.0586e-05,-1.7641e-05,-2.6763e-05,0,-3.6016e-05,0.0017828,0.00027443,-0.00015894,0.00012111,0.00019255,0.00023269,0.00020091,0.00034105,0,0,0,0,0,0,9.2234e-05
-2.3859e-05,-1.946e-05,-6.4011e-05,1.1531e-06,2.3341e-05,-8.8506e-05,-1.8436e-05,-1.5828e-05,-2.4797e-05,0,-3.318e-05,0.0016424,0.00024862,-0.00014946,0.00010971,0.00017707,0.00021107,0.00018208,0.000313,0,0,0,0,0,0,7.3787e-05
-2.2013e-05,-1.786e-05,-6.2636e-05,1.0021e-06,2.0732e-05,-8.437e-05,-1.6551e-05,-1.4221e-05,-2.2924e-05,0,-3.0537e-05,0.0015116,0.00022547,-0.00013993,9.951e-05,0.00016274,0.00019165,0.00016516,0.00028706,0,0,0,0,0,0,5.903e-05
-2.0278e-05,-1.6378e-05,-6.0466e-05,8.7483e-07,1.8489e-05,-7.983e-05,-1.4892e-05,-1.2794e-05,-2.1153e-05,0,-2.808e-05,0.00139,0.00020467,-0.00013055,9.0362e-05,0.00014949,0.00017418,0.00014995,0.00026313,0,0,0,0,0,0,4.7224e-05
-1.8654e-05,-1.5007e-05,-5.7772e-05,7.6707e-07,1.6546e-05,-7.5085e-05,-1.3426e-05,-1.1526e-05,-1.9488e-05,0,-2.5802e-05,0.0012772,0.00018595,-0.00012143,8.2135e-05,0.00013726,0.00015844,0.00013624,0.00024108,0,0,0,0,0,0,3.7779e-05
-1.7142e-05,-1.3743e-05,-5.4755e-05,6.753e-07,1.4853e-05,-7.0284e-05,-1.2126e-05,-1.0398e-05,-1.793e-05,0,-2.3694e-05,0.0011729,0.00016907,-0.00011267,7.472e-05,0.00012598,0.00014421,0.00012387,0.00022079,0,0,0,0,0,0,3.0223e-05
-1.5737e-05,-1.258e-05,-5.1567e-05,5.9674e-07,1.3367e-05,-6.5531e-05,-1.0969e-05,-9.3924e-06,-1.6479e-05,0,-2.1747e-05,0.0010765,0.00015382,-0.00010432,6.8024e-05,0.00011558,0.00013135,0.00011269,0.00020215,0,0,0,0,0,0,2.4179e-05
-1.4437e-05,-1.1511e-05,-4.8317e-05,5.2914e-07,1.2057e-05,-6.0903e-05,-9.9357e-06,-8.4946e-06,-1.5132e-05,0,-1.9949e-05,0.00098749,0.00014003,-9.6411e-05,6.1966e-05,0.000106,0.00011969,0.00010259,0.00018503,0,0,0,0,0,0,1.9343e-05
-1.3236e-05,-1.053e-05,-4.5083e-05,4.7068e-07,1.0897e-05,-5.6451e-05,-9.011e-06,-7.6916e-06,-1.3884e-05,0,-1.8293e-05,0.00090549,0.00012754,-8.8971e-05,5.6479e-05,9.7184e-05,0.00010912,9.3441e-05,0.00016932,0,0,0,0,0,0,1.5474e-05
-1.2128e-05,-9.6304e-06,-4.1924e-05,4.199e-07,9.8639e-06,-5.2208e-05,-8.1812e-06,-6.9718e-06,-1.2731e-05,0,-1.6768e-05,0.00083,0.00011622,-8.1999e-05,5.1501e-05,8.9077e-05,9.9525e-05,8.5148e-05,0.00015492,0,0,0,0,0,0,1.2379e-05
