piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
5.5329e-06,-0.00028215,0.00032681,-7.885e-09,0.00011568,0.00021113,-0.0099531,-4.4559e-05,1.3392e-05,0,-1.8254e-06,9.0357e-05,0.0002915,0.00023851,3.4744e-05,0.00043645,-0.011675,-5.3003e-05,1.5151e-05,0,0,0.01,0,0,0,0
7.6986e-06,-3.2067e-06,0.00043972,6.4882e-05,0.00015135,0.00022348,-8.8565e-05,-2.7165e-05,1.1789e-05,0,-3.1537e-06,0.00015611,0.0002606,0.00024122,6.5244e-05,0.00043778,-0.011779,-8.5316e-05,2.849e-05,0,0,0.009,0,0,0,0
7.1749e-06,2.6298e-05,0.00042777,6.5957e-05,0.00015822,0.00020359,0.0008896,-1.4499e-05,9.5279e-06,0,-4.1658e-06,0.00020621,0.00023871,0.00021899,7.0961e-05,0.00040966,-0.010735,-0.00010256,3.927e-05,0,0,0.0081,0,0,0,0
6.224e-06,2.796e-05,0.00039872,6.0527e-05,0.00015687,0.00018133,0.00090636,-5.9485e-06,7.4639e-06,0,-4.9311e-06,0.00024409,0.00021981,0.00019535,7.1789e-05,0.00037898,-0.0096722,-0.00010964,4.7714e-05,0,0,0.00729,0,0,0,0
5.1934e-06,2.6275e-05,0.00036657,5.4848e-05,0.00015143,0.00016029,0.00082705,-3.553e-07,5.6755e-06,0,-5.4969e-06,0.0002721,0.00020288,0.00017314,7.0649e-05,0.00034919,-0.0087021,-0.00011006,5.4136e-05,0,0,0.006561,0,0,0,0
4.1825e-06,2.4098e-05,0.00033426,4.9582e-05,0.00014365,0.00014104,0.00074535,3.1782e-06,4.1502e-06,0,-5.9001e-06,0.00029205,0.00018753,0.00015277,6.8377e-05,0.00032095,-0.0078278,-0.00010628,5.8831e-05,0,0,0.0059049,0,0,0,0
3.2376e-06,2.1859e-05,0.00030302,4.4779e-05,0.0001346,0.00012364,0.00067071,5.2936e-06,2.8629e-06,0,-6.1705e-06,0.00030544,0.00017352,0.00013429,6.5426e-05,0.00029446,-0.007041,-9.9984e-05,6.207e-05,0,0,0.0053144,0,0,0,0
2.3823e-06,1.9677e-05,0.00027348,4.0414e-05,0.000125,0.00010807,0.00060342,6.4435e-06,1.7867e-06,0,-6.3326e-06,0.00031347,0.00016066,0.00011766,6.2092e-05,0.00026981,-0.0063332,-9.2319e-05,6.4092e-05,0,0,0.004783,0,0,0,0
1.626e-06,1.7608e-05,0.00024599,3.6457e-05,0.00011532,9.4218e-05,0.00054286,6.9453e-06,8.956e-07,0,-6.4065e-06,0.00031712,0.00014881,0.00010278,5.8577e-05,0.00024698,-0.0056964,-8.4058e-05,6.5105e-05,0,0,0.0043047,0,0,0,0
9.6998e-07,1.5683e-05,0.00022069,3.2874e-05,0.00010586,8.1961e-05,0.00048836,7.021e-06,1.6502e-07,0,-6.4086e-06,0.00031723,0.00013787,8.9521e-05,5.5016e-05,0.00022592,-0.0051236,-7.5706e-05,6.5292e-05,0,0,0.0038742,0,0,0,0
4.1026e-07,1.3914e-05,0.0001976,2.9634e-05,9.6807e-05,7.1157e-05,0.00043932,6.8248e-06,-4.2736e-07,0,-6.3529e-06,0.00031447,0.00012774,7.7759e-05,5.1501e-05,0.00020655,-0.0046083,-6.7588e-05,6.4808e-05,0,0,0.0034868,0,0,0,0
-6.008e-08,1.2306e-05,0.00017665,2.6707e-05,8.8278e-05,6.1662e-05,0.0003952,6.463e-06,-9.0158e-07,0,-6.2507e-06,0.00030941,0.00011835,6.7357e-05,4.8088e-05,0.00018877,-0.0041447,-5.99e-05,6.3788e-05,0,0,0.0031381,0,0,0,0
-4.4942e-07,1.0853e-05,0.00015773,2.4065e-05,8.0323e-05,5.334e-05,0.0003555,6.0086e-06,-1.2754e-06,0,-6.1119e-06,0.00030254,0.00010963,5.8183e-05,4.4814e-05,0.00017248,-0.0037277,-5.2753e-05,6.2345e-05,0,0,0.0028243,0,0,0,0
-7.6662e-07,9.5482e-06,0.0001407,2.168e-05,7.2961e-05,4.6059e-05,0.00031979,5.5106e-06,-1.5643e-06,0,-5.9444e-06,0.00029425,0.00010154,5.0111e-05,4.17e-05,0.00015756,-0.0033526,-4.6198e-05,6.0575e-05,0,0,0.0025419,0,0,0,0
