piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00098446,0.002329,0.01715,0.00019078,0.0054316,0.011528,0.0077683,0.0019066,0.0008754,0,-3.7999e-05,0.0018809,0.0060358,0.0064844,0.0015975,0.0012143,0.0091122,0.0022679,0.00099043,0,0,0,0,0,0.01,0
0.00066171,0.00049992,0.012333,8.7629e-05,0.0036108,0.0086345,-0.00022717,0.0010995,0.00061076,0,-6.9548e-05,0.0034426,0.0056114,0.0047938,0.0010084,0.00070039,0.0088457,0.0035758,0.0016815,0,0,0,0,0,0.0085,0
0.00042642,0.00023632,0.0088628,5.1513e-05,0.0023666,0.0064447,-0.00093527,0.00056228,0.00041083,0,-9.4923e-05,0.0046987,0.0051722,0.0035163,0.00063797,0.00040861,0.0077486,0.0042446,0.0021463,0,0,0,0,0,0.007225,0
0.00025488,7.1819e-05,0.006321,3.0945e-05,0.0015165,0.0047735,-0.00087448,0.00021183,0.00026013,0,-0.00011467,0.0056763,0.0047401,0.0025395,0.0004062,0.00025009,0.0067229,0.0044966,0.0024406,0,0,0,0,0,0.0061412,0
0.00013061,-3.5931e-05,0.0044551,1.7741e-05,0.00094047,0.0034969,-0.00075245,-1.0563e-05,0.00014728,0,-0.00012944,0.0064074,0.0043262,0.0017912,0.00026641,0.0001759,0.0058402,0.0044841,0.0026072,0,0,0,0,0,0.0052201,0
4.1495e-05,-0.00010516,0.0030862,9.2192e-06,0.00055465,0.0025223,-0.00064254,-0.00014597,6.3525e-05,0,-0.0001399,0.006925,0.0039368,0.0012182,0.00018719,0.00015392,0.0050865,0.0043104,0.0026791,0,0,0,0,0,0.0044371,0
-2.1487e-05,-0.00014757,0.002084,3.8416e-06,0.00030034,0.0017798,-0.00054948,-0.00022295,2.1456e-06,0,-0.00014669,0.0072612,0.0035749,0.00078034,0.00014701,0.0001626,0.004442,0.0040452,0.0026815,0,0,0,0,0,0.0037715,0
-6.5059e-05,-0.00017137,0.0013526,5.7551e-07,0.00013633,0.0012156,-0.00047114,-0.00026125,-4.2066e-05,0,-0.00015042,0.0074456,0.0032415,0.00044699,0.00013117,0.00018759,0.0038894,0.0037345,0.0026339,0,0,0,0,0,0.0032058,0
-9.425e-05,-0.00018238,0.00082145,-1.289e-06,3.3834e-05,0.0007889,-0.00040508,-0.00027449,-7.3139e-05,0,-0.00015162,0.0075052,0.0029363,0.00019467,0.00012976,0.00021959,0.0034142,0.003408,0.0025512,0,0,0,0,0,0.0027249,0
-0.00011283,-0.00018474,0.00043856,-2.2395e-06,-2.7227e-05,0.00046803,-0.00034925,-0.00027196,-9.4195e-05,0,-0.00015078,0.0074636,0.0026582,5.3236e-06,0.00013619,0.0002527,0.0030045,0.0030845,0.0024446,0,0,0,0,0,0.0023162,0
-0.00012361,-0.00018138,0.00016537,-2.6085e-06,-6.0764e-05,0.00022874,-0.00030195,-0.00025994,-0.00010765,0,-0.00014832,0.0073416,0.0024056,-0.00013503,0.00014617,0.00028341,0.0026503,0.0027753,0.0023228,0,0,0,0,0,0.0019687,0
-0.00012872,-0.00017438,-2.6707e-05,-2.621e-06,-7.637e-05,5.2284e-05,-0.00026177,-0.00024265,-0.00011539,0,-0.00014459,0.007157,0.0021767,-0.00023725,0.000157,0.00030975,0.0023433,0.0024866,0.0021922,0,0,0,0,0,0.0016734,0
-0.00012976,-0.00016518,-0.0001589,-2.4269e-06,-8.0614e-05,-7.5861e-05,-0.00022754,-0.00022285,-0.00011887,0,-0.00013989,0.0069248,0.0019697,-0.00030981,0.00016706,0.00033082,0.0020764,0.0022216,0.0020577,0,0,0,0,0,0.0014224,0
-0.0001279,-0.00015478,-0.00024701,-2.125e-06,-7.7948e-05,-0.00016694,-0.00019832,-0.00020232,-0.00011919,0,-0.0001345,0.0066578,0.0017826,-0.00035933,0.00017543,0.00034639,0.0018438,0.0019809,0.0019229,0,0,0,0,0,0.0012091,0
-0.00012404,-0.00014388,-0.0003028,-1.7787e-06,-7.1354e-05,-0.00022967,-0.0001733,-0.00018218,-0.00011725,0,-0.00012861,0.0063664,0.0016138,-0.00039102,0.0001817,0.00035664,0.0016405,0.0017642,0.0017902,0,0,0,0,0,0.0010277,0
-0.00011886,-0.00013293,-0.00033505,-1.4272e-06,-6.2795e-05,-0.00027083,-0.00015182,-0.00016307,-0.00011369,0,-0.00012241,0.0060595,0.0014613,-0.00040896,0.00018574,0.000362,0.0014624,0.0015702,0.0016616,0,0,0,0,0,0.00087354,0
-0.00011283,-0.00012225,-0.0003503,-1.094e-06,-5.3536e-05,-0.00029567,-0.00013333,-0.00014535,-0.00010903,0,-0.00011604,0.005744,0.0013238,-0.00041637,0.00018763,0.00036302,0.001306,0.0013973,0.0015383,0,0,0,0,0,0.00074251,0
-0.00010634,-0.00011204,-0.00035343,-7.9176e-07,-4.4363e-05,-0.00030828,-0.00011738,-0.00012918,-0.00010367,0,-0.00010961,0.0054258,0.0011996,-0.00041582,0.00018753,0.0003603,0.0011683,0.0012437,0.001421,0,0,0,0,0,0.00063113,0
-9.9633e-05,-0.00010239,-0.00034807,-5.2627e-07,-3.5739e-05,-0.00031181,-0.00010357,-0.00011457,-9.7887e-05,0,-0.00010322,0.0051092,0.0010875,-0.00040929,0.00018569,0.00035444,0.0010468,0.0011074,0.0013102,0,0,0,0,0,0.00053646,0
