piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00037776,0.00042432,0.0082584,0.00013511,0.0026711,0.0054522,0.0026816,0.00048514,0.00036475,0,-2.5638e-05,0.0012691,0.0037484,0.0034178,0.0026998,0.0016304,0.0031455,0.00057708,0.00041268,0.01,0,0,0,0,0,0
0.00026572,0.00023486,0.0064231,9.2966e-05,0.0020518,0.0042784,-2.9728e-05,0.00029224,0.00026268,0,-4.581e-05,0.0022676,0.0033995,0.0026528,0.0022551,0.0013816,0.0031106,0.0009247,0.00070988,0.0085,0,0,0,0,0,0
0.00018123,0.0001449,0.0050231,7.3628e-05,0.0015941,0.0033554,-0.00028095,0.00016148,0.00018363,0,-6.1298e-05,0.0030342,0.0030759,0.0020488,0.001905,0.0011997,0.0027811,0.0011168,0.00091764,0.007225,0,0,0,0,0,0
0.00011739,8.4933e-05,0.0039348,5.9964e-05,0.0012509,0.0026239,-0.00027044,7.4173e-05,0.00012252,0,-7.2831e-05,0.0036051,0.0027794,0.0015677,0.0016235,0.0010604,0.0024638,0.001205,0.0010563,0.0061412,0,0,0,0,0,0
6.9336e-05,4.2307e-05,0.0030839,4.9333e-05,0.00099142,0.0020431,-0.00023726,1.6976e-05,7.5512e-05,0,-8.1064e-05,0.0040127,0.0025093,0.0011841,0.0013945,0.00095105,0.0021855,0.0012252,0.0011417,0.0052201,0,0,0,0,0,0
3.3394e-05,1.1933e-05,0.0024162,4.0878e-05,0.00079358,0.0015817,-0.00020652,-1.9488e-05,3.9618e-05,0,-8.6568e-05,0.0042851,0.0022644,0.00087829,0.0012063,0.0008629,0.0019433,0.001202,0.0011865,0.0044371,0,0,0,0,0,0
6.7629e-06,-9.4676e-06,0.0018907,3.4083e-05,0.00064141,0.0012152,-0.00018012,-4.1782e-05,1.247e-05,0,-8.9839e-05,0.004447,0.0020431,0.00063495,0.0010502,0.00079001,0.001732,0.0011523,0.0012006,0.0037715,0,0,0,0,0,0
-1.2711e-05,-2.4262e-05,0.0014761,2.8577e-05,0.00052331,0.00092421,-0.00015759,-5.4485e-05,-7.8036e-06,0,-9.1304e-05,0.0045196,0.0018434,0.00044181,0.0009194,0.00072817,0.0015471,0.0010875,0.0011918,0.0032058,0,0,0,0,0,0
-2.6686e-05,-3.4192e-05,0.0011484,2.4081e-05,0.00043079,0.00069352,-0.00013832,-6.0777e-05,-2.2682e-05,0,-9.1325e-05,0.0045206,0.0016635,0.00028912,0.00080896,0.00067444,0.0013849,0.0010152,0.0011661,0.0027249,0,0,0,0,0,0
-3.6442e-05,-4.0547e-05,0.000889,2.0382e-05,0.00035762,0.00051099,-0.00012177,-6.286e-05,-3.3339e-05,0,-9.0209e-05,0.0044653,0.0015015,0.00016904,0.00071495,0.00062676,0.0012421,0.00094044,0.0011284,0.0023162,0,0,0,0,0,0
-4.297e-05,-4.4285e-05,0.00068351,1.7321e-05,0.00029921,0.00036698,-0.00010752,-6.2249e-05,-4.0706e-05,0,-8.8211e-05,0.0043665,0.0013559,7.5271e-05,0.00063434,0.00058372,0.0011159,0.0008664,0.0010824,0.0019687,0,0,0,0,0,0
-4.7041e-05,-4.6118e-05,0.00052071,1.4772e-05,0.00025215,0.00025379,-9.5197e-05,-5.9976e-05,-4.552e-05,0,-8.5547e-05,0.0042346,0.0012249,2.7328e-06,0.00056475,0.00054432,0.0010043,0.00079505,0.0010309,0.0016734,0,0,0,0,0,0
-4.9249e-05,-4.6577e-05,0.00039179,1.2638e-05,0.00021389,0.00016527,-8.451e-05,-5.6742e-05,-4.8367e-05,0,-8.2393e-05,0.0040784,0.0011071,-5.269e-05,0.00050431,0.00050787,0.00090515,0.00072756,0.00097613,0.0014224,0,0,0,0,0,0
-5.006e-05,-4.6055e-05,0.00028983,1.0844e-05,0.00018251,9.6475e-05,-7.5208e-05,-5.3013e-05,-4.971e-05,0,-7.8894e-05,0.0039053,0.0010011,-9.4334e-05,0.00045154,0.00047392,0.00081693,0.0006645,0.00091989,0.0012091,0,0,0,0,0,0
-4.9834e-05,-4.4849e-05,0.00020936,9.3278e-06,0.00015658,4.3453e-05,-6.7085e-05,-4.9095e-05,-4.9917e-05,0,-7.517e-05,0.0037209,0.00090568,-0.00012491,0.00040523,0.00044212,0.00073824,0.0006061,0.00086341,0.0010277,0,0,0,0,0,0
-4.8851e-05,-4.3178e-05,0.00014605,8.0427e-06,0.00013499,3.0208e-06,-5.9969e-05,-4.5185e-05,-4.9277e-05,0,-7.1316e-05,0.0035301,0.00081981,-0.00014663,0.00036442,0.00041225,0.00066789,0.00055236,0.00080766,0.00087354,0,0,0,0,0,0
-4.7327e-05,-4.1205e-05,9.645e-05,6.9495e-06,0.00011688,-2.738e-05,-5.3716e-05,-4.1404e-05,-4.8017e-05,0,-6.7409e-05,0.0033367,0.00074247,-0.00016128,0.00032831,0.00038414,0.00060489,0.00050311,0.00075333,0.00074251,0,0,0,0,0,0
-4.543e-05,-3.9051e-05,5.7807e-05,6.0168e-06,0.0001016,-4.9808e-05,-4.8204e-05,-3.7823e-05,-4.6318e-05,0,-6.3509e-05,0.0031437,0.00067276,-0.00017033,0.00029625,0.00035767,0.00054834,0.00045812,0.00070093,0.00063113,0,0,0,0,0,0
-4.3289e-05,-3.6807e-05,2.7923e-05,5.2189e-06,8.8626e-05,-6.5922e-05,-4.3333e-05,-3.4478e-05,-4.4318e-05,0,-5.9666e-05,0.0029534,0.0006099,-0.00017497,0.0002677,0.00033275,0.00049751,0.0004171,0.00065079,0.00053646,0,0,0,0,0,0
-4.1004e-05,-3.4536e-05,5.0374e-06,4.5348e-06,7.7558e-05,-7.7056e-05,-3.9016e-05,-3.1385e-05,-4.2127e-05,0,-5.5913e-05,0.0027677,0.00055318,-0.00017616,0.0002422,0.00030929,0.00045175,0.00037977,0.00060312,0.00045599,0,0,0,0,0,0
-3.8648e-05,-3.2287e-05,-1.2267e-05,3.9468e-06,6.807e-05,-8.4283e-05,-3.518e-05,-2.8544e-05,-3.9828e-05,0,-5.228e-05,0.0025879,0.00050196,-0.0001747,0.00021937,0.00028724,0.00041048,0.00034582,0.00055806,0.0003876,0,0,0,0,0,0
-3.6278e-05,-3.0092e-05,-2.5126e-05,3.4406e-06,5.99e-05,-8.8466e-05,-3.1764e-05,-2.5946e-05,-3.7485e-05,0,-4.8786e-05,0.0024149,0.0004557,-0.00017122,0.00019888,0.00026653,0.00037322,0.00031496,0.00051565,0.00032946,0,0,0,0,0,0
-3.3936e-05,-2.7975e-05,-3.4456e-05,3.0039e-06,5.2838e-05,-9.0298e-05,-2.8714e-05,-2.358e-05,-3.5147e-05,0,-4.5444e-05,0.0022495,0.00041387,-0.00016624,0.00018047,0.00024709,0.00033954,0.00028691,0.00047589,0.00028004,0,0,0,0,0,0
-3.1653e-05,-2.5951e-05,-4.0994e-05,2.6265e-06,4.6712e-05,-9.0333e-05,-2.5987e-05,-2.1429e-05,-3.2848e-05,0,-4.2264e-05,0.002092,0.00037603,-0.00016016,0.00016389,0.00022889,0.00030906,0.00026142,0.00043872,0.00023803,0,0,0,0,0,0
-2.945e-05,-2.4029e-05,-4.5334e-05,2.2999e-06,4.1382e-05,-8.9015e-05,-2.3542e-05,-1.9477e-05,-3.0616e-05,0,-3.9249e-05,0.0019428,0.00034179,-0.00015333,0.00014893,0.00021186,0.00028144,0.00023825,0.00040408,0.00020233,0,0,0,0,0,0
-2.7342e-05,-2.2215e-05,-4.7952e-05,2.0168e-06,3.6729e-05,-8.6698e-05,-2.1347e-05,-1.7706e-05,-2.8469e-05,0,-3.6402e-05,0.0018019,0.00031078,-0.00014602,0.00013543,0.00019595,0.0002564,0.00021719,0.00037187,0.00017198,0,0,0,0,0,0
-2.5338e-05,-2.051e-05,-4.9233e-05,1.771e-06,3.2658e-05,-8.3662e-05,-1.9373e-05,-1.6101e-05,-2.6418e-05,0,-3.3722e-05,0.0016693,0.00028268,-0.00013842,0.00012321,0.0001811,0.00023368,0.00019804,0.00034198,0.00014618,0,0,0,0,0,0
-2.3444e-05,-1.8914e-05,-4.9486e-05,1.5573e-06,2.9085e-05,-8.0129e-05,-1.7594e-05,-1.4646e-05,-2.4473e-05,0,-3.1206e-05,0.0015447,0.00025721,-0.00013071,0.00011216,0.00016727,0.00021304,0.00018061,0.00031429,0.00012425,0,0,0,0,0,0
-2.1661e-05,-1.7425e-05,-4.8958e-05,1.3713e-06,2.5944e-05,-7.6274e-05,-1.599e-05,-1.3327e-05,-2.2635e-05,0,-2.885e-05,0.0014281,0.0002341,-0.00012302,0.00010214,0.00015439,0.00019428,0.00016476,0.00028868,0.00010562,0,0,0,0,0,0
-1.9989e-05,-1.6038e-05,-4.7848e-05,1.2091e-06,2.3176e-05,-7.2233e-05,-1.4541e-05,-1.2131e-05,-2.0908e-05,0,-2.6648e-05,0.0013191,0.00021313,-0.00011545,9.3049e-05,0.00014242,0.00017723,0.00015033,0.00026503,8.9774e-05,0,0,0,0,0,0
-1.8427e-05,-1.4751e-05,-4.6312e-05,1.0676e-06,2.0732e-05,-6.8112e-05,-1.3231e-05,-1.1046e-05,-1.929e-05,0,-2.4595e-05,0.0012174,0.0001941,-0.00010806,8.4801e-05,0.00013129,0.00016171,0.00013719,0.0002432,7.6308e-05,0,0,0,0,0,0
-1.6971e-05,-1.3558e-05,-4.4478e-05,9.4388e-07,1.8569e-05,-6.3991e-05,-1.2045e-05,-1.0062e-05,-1.7779e-05,0,-2.2683e-05,0.0011228,0.00017681,-0.00010093,7.7308e-05,0.00012098,0.00014758,0.00012522,0.00022309,6.4861e-05,0,0,0,0,0,0
-1.5618e-05,-1.2454e-05,-4.2443e-05,8.3559e-07,1.6653e-05,-5.9931e-05,-1.097e-05,-9.1682e-06,-1.6372e-05,0,-2.0905e-05,0.0010348,0.0001611,-9.4073e-05,7.0497e-05,0.00011141,0.00013471,0.00011432,0.00020457,5.5132e-05,0,0,0,0,0,0
-1.4362e-05,-1.1434e-05,-4.0285e-05,7.4068e-07,1.4951e-05,-5.5977e-05,-9.9952e-06,-8.3564e-06,-1.5064e-05,0,-1.9256e-05,0.00095315,0.00014682,-8.7531e-05,6.4303e-05,0.00010256,0.00012299,0.00010438,0.00018752,4.6862e-05,0,0,0,0,0,0
-1.3199e-05,-1.0493e-05,-3.8066e-05,6.5739e-07,1.3438e-05,-5.2162e-05,-9.1102e-06,-7.6188e-06,-1.3851e-05,0,-1.7726e-05,0.00087743,0.00013383,-8.1316e-05,5.8666e-05,9.4365e-05,0.0001123,9.5316e-05,0.00017185,3.9833e-05,0,0,0,0,0,0
