piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.0013841,-0.0018804,-0.045132,-0.0005069,-0.014485,-0.03014,-0.018024,-0.0022388,-0.001281,0,0.0097614,0.016809,-0.015547,0.0015895,-0.018149,-0.028721,-0.021142,-0.0026631,-0.0014493,0,0.01,0,0,0,0,0
-0.00054871,-0.00041803,-0.027905,-0.00020445,-0.008714,-0.018986,0.0037902,-0.00077538,-0.00052311,0,0.0075058,0.028461,-0.011111,0.0019429,-0.011904,-0.019081,-0.016696,-0.0035854,-0.0020412,0,0.008,0,0,0,0,0
-2.7927e-05,0.00012604,-0.01628,-0.00010105,-0.0049066,-0.011272,0.0047393,5.9803e-05,-3.9134e-05,0,0.0057325,0.036243,-0.0075749,0.0018363,-0.0074433,-0.012097,-0.011137,-0.0035143,-0.0020854,0,0.0064,0,0,0,0,0
0.00027942,0.00039125,-0.0084641,-4.4786e-05,-0.0024197,-0.0059996,0.0037377,0.00049382,0.00025368,0,0.0043408,0.041131,-0.0047931,0.0015056,-0.0042616,-0.0070448,-0.0067523,-0.0029269,-0.0017984,0,0.00512,0,0,0,0,0
0.00044253,0.00051066,-0.0033165,-1.0684e-05,-0.00083003,-0.0024758,0.0027797,0.00067946,0.00041439,0,0.0032512,0.043866,-0.0026296,0.0010739,-0.0020136,-0.0034243,-0.0034917,-0.0021186,-0.0013296,0,0.004096,0,0,0,0,0
0.00051013,0.00054194,-3.4074e-05,9.7064e-06,0.00015371,-0.00019749,0.0020258,0.00071733,0.00048563,0,0.0024005,0.045017,-0.00096852,0.00061582,-0.00044812,-0.00086498,-0.0011154,-0.0012654,-0.00078014,0,0.0032768,0,0,0,0,0
0.00051647,0.00052056,0.0019569,2.121e-05,0.00073245,0.0012032,0.001449,0.00067261,0.00049805,0,0.0017385,0.045014,0.00028733,0.00017579,0.00061977,0.00090949,0.00058425,-0.0004653,-0.00021665,0,0.0026214,0,0,0,0,0
0.00048536,0.0004698,0.0030656,2.6995e-05,0.0010443,0.0019944,0.0010113,0.00058659,0.00047343,0,0.0012257,0.044187,0.0012185,-0.00022133,0.0013264,0.0021059,0.0017705,0.00023246,0.00031899,0,0.0020972,0,0,0,0,0
0.00043316,0.00040488,0.0035829,2.9179e-05,0.0011836,0.00237,0.00068125,0.00048471,0.00042709,0,0.00083032,0.042785,0.0018915,-0.00056357,0.0017723,0.002879,0.0025696,0.00080902,0.0008022,0,0.0016777,0,0,0,0,0
0.0003709,0.00033551,0.0037135,2.9169e-05,0.0012144,0.0024699,0.00043425,0.00038198,0.00036959,0,0.00052753,0.040996,0.0023606,-0.00084718,0.0020313,0.0033442,0.003079,0.0012634,0.0012204,0,0.0013422,0,0,0,0,0
0.00030582,0.00026766,0.003601,2.7893e-05,0.0011796,0.0023935,0.00025107,0.00028666,0.00030807,0,0.00029746,0.038963,0.0026701,-0.0010734,0.002158,0.0035876,0.0033735,0.0016044,0.0015689,0,0.0010737,0,0,0,0,0
0.00024251,0.00020475,0.0033445,2.5947e-05,0.0011077,0.0022108,0.0001168,0.00020276,0.00024718,0,0.00012441,0.036791,0.0028556,-0.0012465,0.0021923,0.0036734,0.0035105,0.0018456,0.0018486,0,0.00085899,0,0,0,0,0
0.00018373,0.00014855,0.0030115,2.371e-05,0.0010172,0.0019706,1.9844e-05,0.00013169,0.00018983,0,-4.032e-06,0.034559,0.002946,-0.0013721,0.0021632,0.0036491,0.0035337,0.0020022,0.0020633,0,0.00068719,0,0,0,0,0
0.00013093,9.9743e-05,0.0026472,2.1415e-05,0.0009199,0.0017059,-4.8763e-05,7.3304e-05,0.00013769,0,-9.772e-05,0.032325,0.0029643,-0.0014564,0.002092,0.0035499,0.0034766,0.0020894,0.0022191,0,0.00054976,0,0,0,0,0
8.4741e-05,5.8343e-05,0.0022809,1.9197e-05,0.0008231,0.0014386,-9.5953e-05,2.6625e-05,9.1564e-05,0,-0.00016442,0.030129,0.0029288,-0.0015057,0.0019942,0.0034017,0.003364,0.0021211,0.0023227,0,0.0004398,0,0,0,0,0
4.5239e-05,2.3953e-05,0.0019308,1.7129e-05,0.00073103,0.0011826,-0.00012707,-9.7153e-06,5.1691e-05,0,-0.00021028,0.028001,0.0028542,-0.001526,0.0018807,0.0032231,0.0032149,0.0021095,0.0023812,0,0.00035184,0,0,0,0,0
1.2139e-05,-4.0435e-06,0.0016074,1.5244e-05,0.00064596,0.00094619,-0.00014622,-3.7212e-05,1.7934e-05,0,-0.00024013,0.02596,0.0027518,-0.0015225,0.0017593,0.0030279,0.0030434,0.0020653,0.0024015,0,0.00028147,0,0,0,0,0
-1.5041e-05,-2.636e-05,0.0013161,1.3553e-05,0.00056888,0.00073364,-0.00015656,-5.733e-05,-1.0074e-05,0,-0.00025778,0.024019,0.0026306,-0.0015003,0.0016356,0.0028258,0.0028598,0.0019971,0.0023901,0,0.00022518,0,0,0,0,0
-3.6892e-05,-4.3736e-05,0.0010587,1.205e-05,0.00049999,0.00054667,-0.00016049,-7.1418e-05,-3.2836e-05,0,-0.00026622,0.022185,0.0024974,-0.0014633,0.0015133,0.0026236,0.0026715,0.0019121,0.0023529,0,0.00018014,0,0,0,0,0
-5.4042e-05,-5.6885e-05,0.00083492,1.0724e-05,0.000439,0.0003852,-0.00015984,-8.0665e-05,-5.0912e-05,0,-0.00026779,0.020462,0.0023577,-0.0014152,0.0013949,0.002426,0.002484,0.0018162,0.0022953,0,0.00014412,0,0,0,0,0
-6.7115e-05,-6.6472e-05,0.00064298,9.5566e-06,0.00038538,0.00024805,-0.000156,-8.6098e-05,-6.488e-05,0,-0.00026432,0.018848,0.0022155,-0.001359,0.001282,0.0022361,0.002301,0.0017137,0.0022219,0,0.00011529,0,0,0,0,0
-7.6705e-05,-7.3095e-05,0.00048036,8.5318e-06,0.00033845,0.00013338,-0.00015,-8.8576e-05,-7.5304e-05,0,-0.00025722,0.017344,0.0020737,-0.0012972,0.0011755,0.0020558,0.0021251,0.0016084,0.0021367,0,9.2234e-05,0,0,0,0,0
-8.336e-05,-7.7286e-05,0.00034416,7.6322e-06,0.00029751,3.9017e-05,-0.00014262,-8.8811e-05,-8.2711e-05,0,-0.0002476,0.015946,0.0019347,-0.0012319,0.001076,0.0018862,0.0019578,0.0015027,0.0020432,0,7.3787e-05,0,0,0,0,0
-8.7573e-05,-7.9507e-05,0.00023136,6.8419e-06,0.00026186,-3.734e-05,-0.00013444,-8.7381e-05,-8.7586e-05,0,-0.00023631,0.014649,0.0018,-0.0011647,0.00098351,0.0017279,0.0018001,0.0013988,0.0019441,0,5.903e-05,0,0,0,0,0
-8.9782e-05,-8.0153e-05,0.00013901,6.1464e-06,0.00023084,-9.7973e-05,-0.00012587,-8.475e-05,-9.0363e-05,0,-0.00022398,0.013448,0.0016708,-0.0010969,0.00089805,0.0015808,0.0016525,0.001298,0.0018418,0,4.7224e-05,0,0,0,0,0
-9.0371e-05,-7.956e-05,6.4332e-05,5.5331e-06,0.00020385,-0.00014505,-0.00011722,-8.1286e-05,-9.1426e-05,0,-0.00021112,0.012339,0.0015477,-0.0010297,0.00081935,0.0014449,0.001515,0.0012013,0.0017384,0,3.7779e-05,0,0,0,0,0
-8.9667e-05,-7.8012e-05,4.7584e-06,4.9908e-06,0.00018037,-0.0001806,-0.0001087,-7.7277e-05,-9.111e-05,0,-0.00019809,0.011316,0.0014313,-0.00096373,0.00074712,0.0013196,0.0013875,0.0011094,0.0016353,0,3.0223e-05,0,0,0,0,0
