regime,variable,eps_a1,eps_a2,eps_a3,eps_pF,eps_D,eps_pX,eps_rp
float,piDC,0.1609604729,18.96657959,75.36668835,0.1387587812,0.5985687805,1.372385073,3.396058956
float,PIC,0.5509879531,19.17910261,43.87049446,1.02041803,1.172835634,1.954026336,32.25213498
float,y_gap,0.02005973235,0.5907988927,1.358740355,2.565999477,1.118102644,1.104466136,93.24183276
float,y_gap1,5.236810144,15.55451116,71.74600591,0.05679498193,2.144582859,2.961734181,2.299560759
float,y_gap2,0.1028050448,29.64607993,52.22294701,0.3685957799,1.18888309,1.861199726,14.60948942
float,y_gap3,0.05374822207,12.05644262,22.94081592,1.891162569,0.3481888482,0.3548667247,62.3547751
float,PI1,71.72710363,4.026461131,10.40791667,0.3305324688,0.4335682071,0.642205293,12.4322126
float,PI2,0.1571090593,57.51839117,27.8868338,0.4345757172,0.8298332661,1.537484742,11.63577225
float,PI3,0.1496927993,15.95257959,79.53286097,0.1047695132,0.5318435922,1.256325536,2.471927997
float,I,0.04053546714,9.048990481,31.0374072,1.680773573,0.06621476746,0.05306470457,58.07301381
float,BSTAR,0.0093323833,1.311383955,2.770407788,4.615902163,1.250827515,1.616174625,88.42597157
peg,piDC,0.003135900973,1.010829659,31.7185566,20.10809855,2.136443926,3.208265898,41.81466946
peg,PIC,0.5764619302,6.564269806,10.74477678,41.5955846,1.403285014,2.002912137,37.11270974
peg,y_gap,0.02994783199,1.71896055,5.895465036,13.32576547,3.099769382,3.857702345,72.07238938
peg,y_gap1,3.280541019,11.18328478,34.02088094,5.561684866,4.079519639,5.098988453,36.77510029
peg,y_gap2,0.05054709357,8.228370403,4.991227467,10.86867036,3.058772995,3.861017783,68.9413939
peg,y_gap3,0.01272488899,0.9841504951,10.96952718,13.66780829,2.833253765,3.508337957,68.02419743
peg,PI1,17.85422441,0.04586548673,1.628073467,10.99402146,1.123989858,1.299667119,67.0541582
peg,PI2,0.011867936,47.61421148,0.9319420247,20.38412831,0.9891804403,1.365996488,28.70267332
peg,PI3,0.006648133259,0.4292681472,38.49779012,17.29464416,2.102547213,3.194214021,38.4748882
peg,I,0.0003367307153,0.05895583377,0.1478283584,0.1634867457,0.04490843196,0.05820450013,99.5262794
peg,BSTAR,0.006380518469,1.117120504,2.801115337,3.097817196,0.8509442903,1.10288391,91.02373824
managed,piDC,0.06034022889,9.917771445,79.34738907,6.820456885,0.02017257083,0.02149746117,3.812372338
managed,PIC,1.148806079,18.44980993,22.52479535,9.64040486,0.9016819432,1.097664132,46.2368377
managed,y_gap,0.230122705,15.30387671,25.80339121,31.21355553,9.386000032,12.50299469,5.560059126
managed,y_gap1,5.372980745,17.11274763,69.90579049,0.5106314693,2.858720645,3.906733112,0.3323959006
managed,y_gap2,0.1740586391,36.90294232,47.35171335,4.110973391,3.1529805,4.697065224,3.610266571
managed,y_gap3,0.007468943362,11.38000515,52.80784382,22.8881865,3.94124289,4.808616544,4.166636143
managed,PI1,92.63163844,1.402972699,1.866337333,3.481219954,0.02264773809,0.02985892067,0.5653249127
managed,PI2,0.1087092115,84.05993362,4.07240545,4.520069339,0.2200981221,0.3354758692,6.683308392
managed,PI3,0.03675302025,2.997529265,87.61263244,5.65990349,0.0306711404,0.03022818527,3.632282464
managed,I,0.005663316574,2.519644779,8.286850801,2.345200847,0.219258587,0.1359956224,86.48738605
managed,BSTAR,0.008609365816,1.268179329,2.80431028,4.251420471,1.158019034,1.493027278,89.01643424
