piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00012726,-0.00044169,0.00068848,1.7804e-05,0.00022203,0.00044865,-0.00036985,-0.00029656,-0.00010431,-0.0026899,0.0001549,0.0015016,0.00079192,0.001461,0.00097537,-0.00044097,-0.00049209,-0.000392,-0.00013468,0,0,0,0,0,0,0.01
-0.00011006,-9.1846e-05,0.00054665,1.5665e-05,0.00024329,0.0002877,-0.0001399,-0.00021746,-9.551e-05,-0.0025065,0.00010934,0.0025759,0.00042328,0.0010524,0.0008842,-0.00020004,-0.00067823,-0.00067945,-0.00025801,0,0,0,0,0,0,0.008
-9.5377e-05,-7.5119e-05,0.00043197,1.3204e-05,0.00024893,0.00016983,-9.2996e-05,-0.00015887,-8.678e-05,-0.0023468,7.3655e-05,0.0033196,0.00012607,0.00073535,0.00080202,-1.9878e-05,-0.00080196,-0.00088945,-0.00037006,0,0,0,0,0,0,0.0064
-8.2844e-05,-6.205e-05,0.00033968,1.1024e-05,0.00024442,8.4234e-05,-7.0925e-05,-0.0001156,-7.8411e-05,-0.0022075,4.6034e-05,0.0038088,-0.00011452,0.00049069,0.00072794,0.00011274,-0.00089632,-0.0010423,-0.00047131,0,0,0,0,0,0,0.00512
-7.2138e-05,-5.1632e-05,0.00026561,9.1578e-06,0.0002336,2.2851e-05,-5.5741e-05,-8.3737e-05,-7.057e-05,-0.0020857,2.4848e-05,0.0041035,-0.00030998,0.00030317,0.00066115,0.00020825,-0.00097049,-0.0011529,-0.00056243,0,0,0,0,0,0,0.004096
-6.2981e-05,-4.327e-05,0.00020631,7.576e-06,0.00021915,-2.0417e-05,-4.4471e-05,-6.0345e-05,-6.3341e-05,-0.001979,8.772e-06,0.0042509,-0.00046939,0.00016064,0.00060091,0.00027494,-0.0010297,-0.0012327,-0.00064421,0,0,0,0,0,0,0.0032768
-5.5139e-05,-3.6521e-05,0.00015896,6.2438e-06,0.0002029,-5.0185e-05,-3.598e-05,-4.3231e-05,-5.6753e-05,-0.0018853,-3.2588e-06,0.004288,-0.00059994,5.3477e-05,0.00054653,0.00031936,-0.0010775,-0.0012898,-0.00071749,0,0,0,0,0,0,0.0026214
-4.8409e-05,-3.1043e-05,0.00012127,5.1277e-06,0.00018608,-6.9942e-05,-2.9538e-05,-3.0759e-05,-5.0801e-05,-0.0018028,-1.2101e-05,0.0042436,-0.00070732,-2.5987e-05,0.00049741,0.00034669,-0.0011168,-0.0013305,-0.00078309,0,0,0,0,0,0,0.0020972
-4.2622e-05,-2.6569e-05,9.1353e-05,4.1971e-06,0.00016948,-8.2324e-05,-2.4614e-05,-2.1709e-05,-4.5456e-05,-0.0017299,-1.8441e-05,0.0041403,-0.00079606,-8.3819e-05,0.00045299,0.00036102,-0.0011496,-0.0013592,-0.00084178,0,0,0,0,0,0,0.0016777
-3.7634e-05,-2.2892e-05,6.7704e-05,3.4243e-06,0.00015359,-8.9315e-05,-2.0816e-05,-1.5176e-05,-4.0677e-05,-0.0016654,-2.2827e-05,0.0039956,-0.00086974,-0.00012483,0.0004128,0.00036558,-0.0011773,-0.0013793,-0.0008943,0,0,0,0,0,0,0.0013422
