piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.0015241,-0.0007616,0.00073329,0.00017893,0.0036088,-0.0030544,0.00068066,-0.00039687,-0.001677,0.0036173,-0.0019389,0.0012337,0.01016,0.0029217,0.00033907,0.0075533,0.00090563,-0.0005246,-0.0021654,0,0,0,0,0.01,0,0
-0.0013579,-0.001314,0.00053755,0.00014352,0.0027662,-0.0023722,-0.00096204,-0.00062145,-0.0014577,0.0017225,-0.001786,0.0022741,0.0075159,0.0025341,0.00034737,0.0069584,-0.00037437,-0.001346,-0.0040476,0,0,0,0,0.009,0,0
-0.0012126,-0.0012083,0.00039099,0.00011965,0.0021259,-0.0018545,-0.0011164,-0.00076139,-0.0012737,-1.3489e-07,-0.0016398,0.0031388,0.0050849,0.002191,0.00035974,0.0064083,-0.0018597,-0.0023525,-0.0056922,0,0,0,0,0.0081,0,0
-0.001085,-0.0011059,0.00027958,0.00010081,0.0016393,-0.0014606,-0.0010976,-0.00083959,-0.0011182,-0.0015608,-0.0015027,0.0038454,0.0028581,0.0018876,0.0003734,0.0058998,-0.0033201,-0.0034623,-0.007136,0,0,0,0,0.00729,0,0
-0.00097246,-0.0010097,0.00019487,8.5512e-05,0.0012697,-0.0011603,-0.001049,-0.00087347,-0.00098586,-0.0029715,-0.001375,0.0044113,0.00082373,0.00162,0.0003865,0.0054302,-0.0047158,-0.0046168,-0.008409,0,0,0,0,0.006561,0,0
-0.00087293,-0.00092015,0.00013061,7.2975e-05,0.00098882,-0.00093119,-0.00099022,-0.00087611,-0.00087248,-0.0042446,-0.0012567,0.0048529,-0.0010311,0.0013846,0.00039786,0.0049968,-0.0060333,-0.0057749,-0.0095355,0,0,0,0,0.0059049,0,0
-0.0007846,-0.00083723,8.2038e-05,6.2628e-05,0.00077533,-0.00075592,-0.00092677,-0.00085721,-0.00077475,-0.0053916,-0.0011473,0.0051855,-0.0027192,0.0011779,0.00040681,0.004597,-0.0072663,-0.006908,-0.010536,0,0,0,0,0.0053144,0,0
-0.00070599,-0.0007608,4.5504e-05,5.4031e-05,0.00061294,-0.00062147,-0.00086166,-0.00082396,-0.00069,-0.0064238,-0.0010467,0.0054236,-0.0042536,0.00099681,0.000413,0.0042285,-0.0084128,-0.0079971,-0.011427,0,0,0,0,0.004783,0,0
-0.00063588,-0.00069063,1.8207e-05,4.684e-05,0.00048928,-0.00051792,-0.00079694,-0.00078164,-0.00061613,-0.0073515,-0.00095427,0.00558,-0.0056466,0.00083859,0.00041637,0.0038889,-0.0094731,-0.0090303,-0.012222,0,0,0,0,0.0043047,0,0
-0.00057322,-0.00062637,-2.0067e-06,4.0786e-05,0.00039496,-0.00043776,-0.00073398,-0.00073409,-0.00055141,-0.0081846,-0.00086952,0.0056667,-0.00691,0.00070065,0.00041696,0.0035761,-0.01045,-0.010001,-0.012934,0,0,0,0,0.0038742,0,0
-0.0005171,-0.00056769,-1.679e-05,3.5656e-05,0.00032285,-0.00037529,-0.00067368,-0.00068407,-0.00049447,-0.0089321,-0.00079196,0.0056941,-0.008055,0.00058068,0.00041497,0.0032881,-0.011346,-0.010905,-0.013573,0,0,0,0,0.0034868,0,0
-0.00046677,-0.00051419,-2.7413e-05,3.1283e-05,0.00026752,-0.00032622,-0.00061663,-0.00063353,-0.00044417,-0.0096023,-0.00072107,0.0056717,-0.0090919,0.00047661,0.00041064,0.0030229,-0.012166,-0.011742,-0.014146,0,0,0,0,0.0031381,0,0
-0.00042157,-0.0004655,-3.4857e-05,2.7534e-05,0.00022489,-0.00028728,-0.00056311,-0.00058383,-0.00039958,-0.010203,-0.00065635,0.0056079,-0.01003,0.00038659,0.00040422,0.0027789,-0.012916,-0.012514,-0.014662,0,0,0,0,0.0028243,0,0
-0.00038093,-0.00042125,-3.9874e-05,2.4303e-05,0.00019184,-0.00025602,-0.00051328,-0.00053589,-0.00035993,-0.01074,-0.0005973,0.0055101,-0.01088,0.00030894,0.000396,0.0025543,-0.013599,-0.013222,-0.015127,0,0,0,0,0.0025419,0,0
-0.00034435,-0.00038108,-4.3045e-05,2.1504e-05,0.00016604,-0.00023058,-0.00046713,-0.00049028,-0.00032457,-0.011221,-0.00054348,0.0053846,-0.011648,0.00024219,0.00038627,0.0023478,-0.01422,-0.01387,-0.015546,0,0,0,0,0.0022877,0,0
-0.00031139,-0.00034464,-4.4817e-05,1.9069e-05,0.00014569,-0.00020958,-0.00042459,-0.00044736,-0.00029297,-0.011652,-0.00049444,0.0052372,-0.012342,0.00018501,0.00037529,0.0021577,-0.014785,-0.014462,-0.015924,0,0,0,0,0.0020589,0,0
-0.00028168,-0.00031162,-4.5535e-05,1.6942e-05,0.00012947,-0.00019195,-0.00038552,-0.00040729,-0.00026466,-0.012037,-0.00044979,0.0050726,-0.01297,0.00013621,0.00036331,0.001983,-0.015298,-0.015,-0.016266,0,0,0,0,0.001853,0,0
-0.00025488,-0.00028171,-4.5466e-05,1.5076e-05,0.00011638,-0.00017692,-0.00034973,-0.00037014,-0.00023926,-0.01238,-0.00040914,0.0048952,-0.013537,9.4764e-05,0.00035055,0.0018222,-0.015763,-0.015489,-0.016575,0,0,0,0,0.0016677,0,0
-0.00023068,-0.00025464,-4.4815e-05,1.3436e-05,0.00010564,-0.00016389,-0.00031703,-0.00033586,-0.00021643,-0.012688,-0.00037215,0.0047085,-0.014049,5.9732e-05,0.00033723,0.0016744,-0.016185,-0.015933,-0.016855,0,0,0,0,0.0015009,0,0
