piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
6.61e-05,0.00051305,0.0010768,2.1448e-05,0.00044108,0.00061427,0.00018486,0.00024293,4.2143e-05,-0.0061842,0.00064398,0.0024459,0.00036893,0.0022036,-0.0016595,-0.0026581,0.00024596,0.00032111,5.4416e-05,0,0,0,0,0,0.01,0
5.01e-05,-3.4264e-05,0.00086683,1.5125e-05,0.00029046,0.00056125,0.00011201,0.00013838,3.814e-05,-0.0054978,0.0005137,0.0043306,0.00042007,0.0016837,-0.0012568,-0.001998,0.00039499,0.00050402,0.00010366,0,0,0,0,0,0.0085,0
3.6204e-05,-3.9961e-05,0.00069658,1.0481e-05,0.00018943,0.00049667,6.31e-05,6.5564e-05,3.2225e-05,-0.0049026,0.00040666,0.0057523,0.00044249,0.0012567,-0.00092502,-0.0014591,0.00047894,0.00059068,0.00014527,0,0,0,0,0,0.007225,0
2.431e-05,-4.3117e-05,0.0005584,7.0812e-06,0.00012359,0.00042772,2.8432e-05,1.5934e-05,2.5444e-05,-0.0043849,0.00031885,0.006794,0.00044395,0.0009078,-0.00065325,-0.0010211,0.00051677,0.00061174,0.00017813,0,0,0,0,0,0.0061412,0
1.4269e-05,-4.4445e-05,0.00044617,4.6087e-06,8.2383e-05,0.00035918,3.9975e-06,-1.6887e-05,1.8489e-05,-0.0039334,0.00024696,0.0075253,0.00043039,0.0006241,-0.00043201,-0.00066728,0.00052209,0.00058942,0.000202,0,0,0,0,0,0.0052201,0
5.9084e-06,-4.4472e-05,0.000355,2.827e-06,5.8129e-05,0.00029404,-1.2885e-05,-3.7633e-05,1.1806e-05,-0.0035384,0.00018824,0.0080047,0.00040627,0.00039489,-0.00025321,-0.00038335,0.00050495,0.00053968,0.00021724,0,0,0,0,0,0.0044371,0
-9.5465e-07,-4.3592e-05,0.00028093,1.5578e-06,4.5291e-05,0.00023408,-2.4196e-05,-4.9803e-05,5.6621e-06,-0.003192,0.00014044,0.008281,0.000375,0.00021107,-0.00010995,-0.0001574,0.00047275,0.00047385,0.00022455,0,0,0,0,0,0.0037715,0
-6.5005e-06,-4.21e-05,0.00022079,6.6729e-07,3.9903e-05,0.00018022,-3.1425e-05,-5.5973e-05,2.0101e-07,-0.0028873,0.00010166,0.0083952,0.00033912,6.4967e-05,3.6618e-06,2.0575e-05,0.00043094,0.00039986,0.00022481,0,0,0,0,0,0.0032058,0
-1.0901e-05,-4.0211e-05,0.00017198,5.5087e-08,3.9163e-05,0.00013276,-3.5686e-05,-5.8027e-05,-4.5176e-06,-0.0026188,7.0342e-05,0.0083811,0.00030054,-4.9865e-05,9.261e-05,0.00015897,0.00038346,0.00032316,0.00021898,0,0,0,0,0,0.0027249,0
-1.4318e-05,-3.8084e-05,0.00013243,-3.5393e-07,4.1121e-05,9.1663e-05,-3.7814e-05,-5.7336e-05,-8.4901e-06,-0.0023815,4.519e-05,0.0082669,0.00026068,-0.00013887,0.00016113,0.00026482,0.00033315,0.00024737,0.00020802,0,0,0,0,0,0.0023162,0
