piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.00017699,-0.00052244,0.00059222,1.6472e-05,0.00019151,0.00038424,-0.00044792,-0.00037614,-0.00014999,-0.0029763,3.0934e-05,0.0013557,0.00069685,0.0013238,0.0010706,-0.000291,-0.00059596,-0.00049719,-0.00019367,0.01,0,0,0,0,0,0
-0.00015864,-0.00015283,0.00050392,1.5836e-05,0.00024165,0.00024644,-0.00020989,-0.00029159,-0.00014063,-0.0029185,1.4142e-05,0.0023923,0.0003142,0.0010201,0.0010054,-0.00011075,-0.00087522,-0.00088262,-0.00037526,0.0085,0,0,0,0,0,0
-0.00014203,-0.00013055,0.00042672,1.4422e-05,0.00026935,0.00014294,-0.00015495,-0.00022638,-0.00013061,-0.0028567,3.1441e-07,0.0031679,-1.1375e-05,0.00077098,0.00094115,3.1289e-05,-0.0010814,-0.0011819,-0.0005439,0.007225,0,0,0,0,0,0
-0.00012706,-0.00011213,0.00035985,1.2939e-05,0.0002812,6.5715e-05,-0.00012542,-0.00017606,-0.00012043,-0.002793,-1.0776e-05,0.0037312,-0.00028932,0.00056737,0.0008787,0.00014177,-0.0012483,-0.0014146,-0.0006994,0.0061412,0,0,0,0,0,0
-0.00011362,-9.664e-05,0.00030223,1.1504e-05,0.00028205,8.6758e-06,-0.00010348,-0.00013719,-0.00011043,-0.002729,-1.9511e-05,0.0041223,-0.00052727,0.00040176,0.00081856,0.00022624,-0.0013859,-0.0015959,-0.00084199,0.0052201,0,0,0,0,0,0
-0.00010158,-8.356e-05,0.00025277,1.0157e-05,0.00027547,-3.286e-05,-8.6159e-05,-0.00010712,-0.00010083,-0.0026659,-2.6245e-05,0.0043749,-0.00073148,0.00026778,0.0007611,0.00028937,-0.0015006,-0.0017375,-0.00097219,0.0044371,0,0,0,0,0,0
-9.0814e-05,-7.2471e-05,0.00021047,8.9159e-06,0.00026407,-6.2513e-05,-7.2312e-05,-8.3835e-05,-9.1761e-05,-0.0026044,-3.1297e-05,0.0045164,-0.00090719,0.00016011,0.00070654,0.00033504,-0.0015968,-0.0018483,-0.0010907,0.0037715,0,0,0,0,0,0
-8.1207e-05,-6.3037e-05,0.00017443,7.7876e-06,0.00024972,-8.3082e-05,-6.1161e-05,-6.5772e-05,-8.3299e-05,-0.0025451,-3.4945e-05,0.00457,-0.0010587,7.4249e-05,0.00065499,0.00036654,-0.0016782,-0.0019353,-0.0011982,0.0032058,0,0,0,0,0,0
-7.2641e-05,-5.4984e-05,0.00014382,6.7734e-06,0.00023378,-9.6734e-05,-5.2121e-05,-5.1739e-05,-7.5474e-05,-0.0024883,-3.7428e-05,0.0045544,-0.0011898,6.4511e-06,0.00060649,0.00038657,-0.0017475,-0.0020036,-0.0012957,0.0027249,0,0,0,0,0,0
-6.501e-05,-4.8088e-05,0.0001179,5.8696e-06,0.00021717,-0.00010514,-4.4741e-05,-4.0815e-05,-6.8289e-05,-0.0024342,-3.8956e-05,0.0044852,-0.0013033,-4.644e-05,0.000561,0.00039741,-0.001807,-0.0020576,-0.0013839,0.0023162,0,0,0,0,0,0
-5.8215e-05,-4.2163e-05,9.6025e-05,5.07e-06,0.00020056,-0.0001096,-3.8672e-05,-3.2296e-05,-6.1727e-05,-0.0023831,-3.9707e-05,0.0043752,-0.0014019,-8.7062e-05,0.00051846,0.00040095,-0.0018585,-0.0021003,-0.0014636,0.0019687,0,0,0,0,0,0
-5.2164e-05,-3.7059e-05,7.7626e-05,4.3668e-06,0.00018438,-0.00011112,-3.3643e-05,-2.5637e-05,-5.5758e-05,-0.0023349,-3.9832e-05,0.0042348,-0.0014877,-0.00011762,0.00047877,0.00039874,-0.0019032,-0.0021342,-0.0015356,0.0016734,0,0,0,0,0,0
-4.6776e-05,-3.2647e-05,6.2199e-05,3.7515e-06,0.00016891,-0.00011046,-2.9446e-05,-2.0421e-05,-5.0347e-05,-0.0022896,-3.9459e-05,0.0040726,-0.0015625,-0.00013997,0.00044182,0.00039207,-0.0019424,-0.0021612,-0.0016006,0.0014224,0,0,0,0,0,0
-4.1977e-05,-2.8825e-05,4.931e-05,3.2154e-06,0.00015432,-0.00010822,-2.5914e-05,-1.6325e-05,-4.5452e-05,-0.0022472,-3.8698e-05,0.0038954,-0.0016279,-0.00015563,0.00040748,0.00038201,-0.0019769,-0.0021827,-0.0016593,0.0012091,0,0,0,0,0,0
-3.7701e-05,-2.5503e-05,3.8581e-05,2.7499e-06,0.00014069,-0.00010486,-2.2921e-05,-1.31e-05,-4.1034e-05,-0.0022076,-3.7638e-05,0.0037087,-0.0016852,-0.00016589,0.0003756,0.00036942,-0.0020074,-0.0022001,-0.0017122,0.0010277,0,0,0,0,0,0
-3.3889e-05,-2.261e-05,2.9685e-05,2.3472e-06,0.00012808,-0.00010074,-2.0364e-05,-1.0554e-05,-3.705e-05,-0.0021707,-3.6355e-05,0.003517,-0.0017354,-0.00017183,0.00034606,0.00035503,-0.0020345,-0.002214,-0.0017601,0.00087354,0,0,0,0,0,0
-3.0489e-05,-2.0083e-05,2.234e-05,1.9997e-06,0.00011646,-9.6117e-05,-1.8166e-05,-8.5373e-06,-3.3462e-05,-0.0021364,-3.4912e-05,0.0033237,-0.0017796,-0.00017431,0.00031871,0.00033939,-0.0020587,-0.0022253,-0.0018033,0.00074251,0,0,0,0,0,0
-2.7453e-05,-1.7871e-05,1.6307e-05,1.7006e-06,0.00010581,-9.1199e-05,-1.6263e-05,-6.9352e-06,-3.0232e-05,-0.0021045,-3.3359e-05,0.0031317,-0.0018185,-0.00017407,0.00029341,0.00032299,-0.0020803,-0.0022345,-0.0018423,0.00063113,0,0,0,0,0,0
-2.474e-05,-1.593e-05,1.1377e-05,1.4438e-06,9.6075e-05,-8.6141e-05,-1.4605e-05,-5.6581e-06,-2.7325e-05,-0.0020749,-3.1739e-05,0.0029431,-0.0018528,-0.00017172,0.00027002,0.00030619,-0.0020997,-0.0022419,-0.0018776,0.00053646,0,0,0,0,0,0
-2.2315e-05,-1.4223e-05,7.3752e-06,1.2237e-06,8.721e-05,-8.1058e-05,-1.3152e-05,-4.6364e-06,-2.471e-05,-0.0020474,-3.0086e-05,0.0027594,-0.0018831,-0.00016775,0.00024843,0.0002893,-0.0021172,-0.0022481,-0.0019095,0.00045599,0,0,0,0,0,0
-2.0144e-05,-1.2719e-05,4.1501e-06,1.0354e-06,7.915e-05,-7.6036e-05,-1.1872e-05,-3.8162e-06,-2.2356e-05,-0.002022,-2.8426e-05,0.0025819,-0.0019099,-0.00016257,0.0002285,0.00027253,-0.002133,-0.0022531,-0.0019384,0.0003876,0,0,0,0,0,0
-1.82e-05,-1.1391e-05,1.5739e-06,8.7462e-07,7.1834e-05,-7.1134e-05,-1.0739e-05,-3.1552e-06,-2.0238e-05,-0.0019985,-2.6781e-05,0.0024115,-0.0019338,-0.0001565,0.00021012,0.00025607,-0.0021473,-0.0022573,-0.0019645,0.00032946,0,0,0,0,0,0
-1.6456e-05,-1.0216e-05,-4.6194e-07,7.3755e-07,6.5199e-05,-6.6399e-05,-9.7314e-06,-2.6204e-06,-1.833e-05,-0.0019768,-2.5167e-05,0.0022486,-0.0019549,-0.00014983,0.00019317,0.00024006,-0.0021603,-0.0022608,-0.0019882,0.00028004,0,0,0,0,0,0
-1.4891e-05,-9.1749e-06,-2.0493e-06,6.2086e-07,5.9188e-05,-6.1858e-05,-8.8323e-06,-2.1859e-06,-1.6612e-05,-0.0019568,-2.3597e-05,0.0020936,-0.0019737,-0.00014277,0.00017756,0.00022459,-0.002172,-0.0022636,-0.0020096,0.00023803,0,0,0,0,0,0
-1.3485e-05,-8.2501e-06,-3.2658e-06,5.2168e-07,5.3744e-05,-5.7531e-05,-8.0271e-06,-1.8315e-06,-1.5064e-05,-0.0019382,-2.2081e-05,0.0019468,-0.0019905,-0.00013548,0.00016318,0.00020974,-0.0021827,-0.0022661,-0.0020291,0.00020233,0,0,0,0,0,0
-1.2221e-05,-7.4275e-06,-4.1772e-06,4.3749e-07,4.8815e-05,-5.343e-05,-7.3038e-06,-1.5413e-06,-1.3667e-05,-0.0019212,-2.0626e-05,0.0018082,-0.0020055,-0.00012812,0.00014994,0.00019556,-0.0021924,-0.0022681,-0.0020467,0.00017198,0,0,0,0,0,0
-1.1083e-05,-6.6946e-06,-4.8384e-06,3.6613e-07,4.4353e-05,-4.9558e-05,-6.6524e-06,-1.3025e-06,-1.2407e-05,-0.0019054,-1.9236e-05,0.0016776,-0.0020188,-0.00012079,0.00013775,0.00018207,-0.0022013,-0.0022698,-0.0020627,0.00014618,0,0,0,0,0,0
-1.0057e-05,-6.0405e-06,-5.2957e-06,3.0572e-07,4.0314e-05,-4.5915e-05,-6.0643e-06,-1.1053e-06,-1.127e-05,-0.0018909,-1.7913e-05,0.0015549,-0.0020308,-0.00011357,0.00012653,0.0001693,-0.0022093,-0.0022713,-0.0020773,0.00012425,0,0,0,0,0,0
-9.1327e-06,-5.4559e-06,-5.588e-06,2.5466e-07,3.6656e-05,-4.2499e-05,-5.5323e-06,-9.4178e-07,-1.0242e-05,-0.0018775,-1.666e-05,0.00144,-0.0020415,-0.00010653,0.00011622,0.00015723,-0.0022167,-0.0022725,-0.0020905,0.00010562,0,0,0,0,0,0
-8.2981e-06,-4.9327e-06,-5.7476e-06,2.1156e-07,3.3343e-05,-3.9302e-05,-5.0503e-06,-8.0554e-07,-9.313e-06,-0.0018652,-1.5476e-05,0.0013325,-0.0020511,-9.972e-05,0.00010673,0.00014587,-0.0022234,-0.0022736,-0.0021025,8.9774e-05,0,0,0,0,0,0
-7.5442e-06,-4.4637e-06,-5.8015e-06,1.7523e-07,3.0342e-05,-3.6319e-05,-4.6128e-06,-6.9159e-07,-8.4724e-06,-0.0018539,-1.4361e-05,0.0012321,-0.0020598,-9.317e-05,9.8008e-05,0.00013521,-0.0022295,-0.0022745,-0.0021135,7.6308e-05,0,0,0,0,0,0
-6.8626e-06,-4.0427e-06,-5.7721e-06,1.4465e-07,2.7622e-05,-3.3538e-05,-4.2152e-06,-5.959e-07,-7.7114e-06,-0.0018435,-1.3313e-05,0.0011386,-0.0020675,-8.6906e-05,8.999e-05,0.00012521,-0.0022352,-0.0022753,-0.0021234,6.4861e-05,0,0,0,0,0,0
-6.2458e-06,-3.6645e-06,-5.6779e-06,1.1896e-07,2.5155e-05,-3.0952e-05,-3.8536e-06,-5.1522e-07,-7.022e-06,-0.0018339,-1.2331e-05,0.0010515,-0.0020745,-8.0942e-05,8.262e-05,0.00011586,-0.0022403,-0.002276,-0.0021325,5.5132e-05,0,0,0,0,0,0
-5.6873e-06,-3.3241e-06,-5.5343e-06,9.7411e-08,2.2918e-05,-2.855e-05,-3.5242e-06,-4.4693e-07,-6.3971e-06,-0.0018251,-1.1412e-05,0.00097051,-0.0020808,-7.5287e-05,7.5847e-05,0.00010713,-0.002245,-0.0022766,-0.0021408,4.6862e-05,0,0,0,0,0,0
-5.1811e-06,-3.0176e-06,-5.3539e-06,7.9366e-08,2.0887e-05,-2.6321e-05,-3.224e-06,-3.8891e-07,-5.8302e-06,-0.001817,-1.0554e-05,0.00089533,-0.0020865,-6.9943e-05,6.9624e-05,9.8995e-05,-0.0022493,-0.0022771,-0.0021483,3.9833e-05,0,0,0,0,0,0
-4.7221e-06,-2.7412e-06,-5.147e-06,6.4286e-08,1.9044e-05,-2.4255e-05,-2.9502e-06,-3.3943e-07,-5.3157e-06,-0.0018095,-9.7542e-06,0.00082559,-0.0020916,-6.4907e-05,6.3908e-05,9.1422e-05,-0.0022532,-0.0022775,-0.0021552,3.3858e-05,0,0,0,0,0,0
-4.3055e-06,-2.4916e-06,-4.9219e-06,5.1712e-08,1.7369e-05,-2.2342e-05,-2.7002e-06,-2.9709e-07,-4.8484e-06,-0.0018026,-9.0093e-06,0.00076097,-0.0020963,-6.0174e-05,5.8657e-05,8.4382e-05,-0.0022568,-0.0022779,-0.0021614,2.8779e-05,0,0,0,0,0,0
-3.9272e-06,-2.2662e-06,-4.6853e-06,4.1252e-08,1.5847e-05,-2.0573e-05,-2.472e-06,-2.6074e-07,-4.4238e-06,-0.0017963,-8.3167e-06,0.00070113,-0.0021005,-5.5737e-05,5.3835e-05,7.7845e-05,-0.0022601,-0.0022783,-0.0021671,2.4462e-05,0,0,0,0,0,0
-3.5835e-06,-2.0623e-06,-4.4428e-06,3.2573e-08,1.4463e-05,-1.8938e-05,-2.2635e-06,-2.2941e-07,-4.0378e-06,-0.0017906,-7.6733e-06,0.00064576,-0.0021043,-5.1585e-05,4.9406e-05,7.1781e-05,-0.0022631,-0.0022786,-0.0021723,2.0793e-05,0,0,0,0,0,0
-3.271e-06,-1.8777e-06,-4.1986e-06,2.5394e-08,1.3203e-05,-1.7427e-05,-2.0729e-06,-2.0235e-07,-3.6866e-06,-0.0017852,-7.0765e-06,0.00059458,-0.0021077,-4.7707e-05,4.5339e-05,6.6162e-05,-0.0022658,-0.0022788,-0.0021771,1.7674e-05,0,0,0,0,0,0
