piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00035808,0.0028737,0.0070798,0.0001304,0.0029525,0.0039968,0.0013197,0.0012903,0.00023173,0.021497,0.0041182,0.013565,0.0023603,0.012426,-0.0090709,-0.014521,0.0017559,0.0017056,0.00029922,0,0.01,0,0,0,0,0
0.00025192,-0.00035256,0.0053988,8.6372e-05,0.0019141,0.0033983,0.0005168,0.00066534,0.00019591,0.015845,0.0031084,0.023338,0.0024571,0.00889,-0.006402,-0.010169,0.0024435,0.002585,0.00055218,0,0.008,0,0,0,0,0
0.00016555,-0.00034184,0.0040992,5.6162e-05,0.0012282,0.0028148,0.00020876,0.00025176,0.00015387,0.011389,0.0023211,0.030156,0.0024191,0.006145,-0.004326,-0.0068093,0.0027212,0.0029178,0.00075086,0,0.0064,0,0,0,0,0
9.6148e-05,-0.00032364,0.003095,3.5053e-05,0.00078686,0.0022731,2.7065e-05,-1.3051e-05,0.00011094,0.0078904,0.0017088,0.034684,0.0022925,0.0040264,-0.0027223,-0.0042334,0.0027573,0.0029006,0.00089411,0,0.00512,0,0,0,0,0
4.1119e-05,-0.00030167,0.0023201,2.0429e-05,0.00051279,0.0017869,-8.8246e-05,-0.00017445,7.0322e-05,0.0051558,0.0012341,0.037452,0.0021101,0.0024032,-0.0014937,-0.0022747,0.0026398,0.00267,0.00098491,0,0.004096,0,0,0,0,0
-1.8557e-06,-0.00027808,0.0017231,1.0455e-05,0.00035114,0.0013616,-0.00015918,-0.00026502,3.3796e-05,0.0030306,0.00086747,0.038877,0.0018952,0.0011707,-0.00056242,-0.000801,0.0024281,0.0023197,0.0010285,0,0.0032768,0,0,0,0,0
-3.482e-05,-0.0002543,0.0012642,3.7989e-06,0.0002633,0.00099714,-0.00019946,-0.00030804,2.1935e-06,0.0013901,0.00058574,0.03929,0.0016642,0.00024587,0.00013417,0.0002927,0.0021627,0.0019125,0.0010314,0,0.0026214,0,0,0,0,0
-5.9547e-05,-0.00023121,0.00091242,-5.1047e-07,0.00022241,0.00069052,-0.00021876,-0.00031996,-2.4268e-05,0.00013437,0.00037059,0.038951,0.0014283,-0.00043772,0.00064605,0.0010897,0.0018716,0.0014896,0.001,0,0.0020972,0,0,0,0,0
-7.7556e-05,-0.00020934,0.00064363,-3.1774e-06,0.00021005,0.00043676,-0.000224,-0.00031231,-4.5753e-05,-0.00081688,0.00020755,0.038063,0.0011951,-0.00093273,0.0010132,0.0016558,0.0015736,0.0010767,0.00094097,0,0.0016777,0,0,0,0,0
-9.0136e-05,-0.00018899,0.00043915,-4.7102e-06,0.00021376,0.00023009,-0.00022008,-0.00029305,-6.2646e-05,-0.0015279,8.5223e-05,0.036786,0.00096963,-0.001281,0.0012676,0.0020434,0.0012808,0.00068939,0.00086008,0,0.0013422,0,0,0,0,0
-9.8368e-05,-0.0001703,0.00028444,-5.4733e-06,0.00022537,6.4544e-05,-0.00021047,-0.00026759,-7.5442e-05,-0.00205,-5.385e-06,0.035243,0.00075494,-0.0015157,0.0014345,0.0022937,0.0010007,0.00033567,0.00076267,0,0.0010737,0,0,0,0,0
-0.00010316,-0.00015327,0.0001682,-5.7261e-06,0.00023964,-6.5705e-05,-0.00019758,-0.00023955,-8.468e-05,-0.0024242,-7.1348e-05,0.03353,0.0005528,-0.0016631,0.0015343,0.002439,0.00073786,1.9032e-05,0.00065333,0,0.00085899,0,0,0,0,0
-0.00010525,-0.00013787,8.1646e-05,-5.6516e-06,0.00025337,-0.00016607,-0.00018304,-0.00021123,-9.0893e-05,-0.0026832,-0.00011824,0.03172,0.00036403,-0.001744,0.0015828,0.0025051,0.00049432,-0.00026018,0.00053596,0,0.00068719,0,0,0,0,0
-0.00010527,-0.000124,1.7941e-05,-5.3772e-06,0.00026477,-0.00024145,-0.00016797,-0.00018408,-9.4587e-05,-0.002853,-0.00015043,0.029868,0.00018882,-0.0017746,0.0015928,0.0025119,0.00027084,-0.0005035,0.00041383,0,0.00054976,0,0,0,0,0
-0.0001037,-0.00011156,-2.8215e-05,-4.9905e-06,0.00027296,-0.00029619,-0.00015308,-0.00015891,-9.6218e-05,-0.0029544,-0.00017137,0.028015,2.6935e-05,-0.0017677,0.0015741,0.0024752,6.7161e-05,-0.00071356,0.00028959,0,0.0004398,0,0,0,0,0
-0.00010096,-0.00010041,-6.0939e-05,-4.5506e-06,0.00027767,-0.00033406,-0.00013882,-0.00013614,-9.6193e-05,-0.0030035,-0.00018375,0.026193,-0.00012212,-0.0017335,0.0015347,0.0024072,-0.00011754,-0.00089351,0.00016539,0,0.00035184,0,0,0,0,0
-9.7376e-05,-9.0446e-05,-8.3425e-05,-4.0964e-06,0.00027898,-0.00035831,-0.00012544,-0.00011589,-9.4866e-05,-0.0030134,-0.00018967,0.024422,-0.00025903,-0.0016798,0.0014807,0.0023173,-0.00028444,-0.0010467,4.2896e-05,0,0.00028147,0,0,0,0,0
-9.3208e-05,-8.1538e-05,-9.8148e-05,-3.6524e-06,0.00027719,-0.00037169,-0.00011308,-9.814e-05,-9.2537e-05,-0.0029942,-0.00019079,0.022719,-0.00038453,-0.0016126,0.0014166,0.0022129,-0.0004349,-0.0011764,-7.659e-05,0,0.00022518,0,0,0,0,0
-8.8662e-05,-7.3578e-05,-0.00010702,-3.2335e-06,0.00027272,-0.00037651,-0.00010179,-8.2744e-05,-8.9461e-05,-0.0029539,-0.00018839,0.021093,-0.00049942,-0.0015366,0.0013463,0.0020996,-0.00057033,-0.0012858,-0.0001921,0,0.00018014,0,0,0,0,0
-8.3901e-05,-6.6462e-05,-0.00011153,-2.8476e-06,0.00026601,-0.00037469,-9.1537e-05,-6.9508e-05,-8.5848e-05,-0.0028987,-0.00018345,0.019551,-0.00060451,-0.0014554,0.0012726,0.0019817,-0.00069212,-0.0013777,-0.00030295,0,0.00014412,0,0,0,0,0
-7.905e-05,-6.0096e-05,-0.00011282,-2.4982e-06,0.00025751,-0.00036783,-8.2294e-05,-5.821e-05,-8.1871e-05,-0.0028334,-0.00017675,0.018096,-0.00070056,-0.0013718,0.0011974,0.0018623,-0.00080161,-0.0014546,-0.00040867,0,0.00011529,0,0,0,0,0
-7.4207e-05,-5.4398e-05,-0.00011176,-2.1859e-06,0.00024765,-0.00035722,-7.3989e-05,-4.8624e-05,-7.7671e-05,-0.0027618,-0.00016888,0.016729,-0.00078833,-0.0012877,0.0011225,0.0017438,-0.00090005,-0.0015189,-0.00050896,0,9.2234e-05,0,0,0,0,0
