piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
1.3554e-05,-0.00025142,0.0017843,2.7728e-05,0.00067236,0.0010842,0.00013189,-0.00010434,2.9502e-05,-0.0022201,0.00024897,0.0014832,0.0013215,0.0016475,0.0011197,-0.00019062,0.00017548,-0.00013792,3.8093e-05,0,0,0,0,0,0,0.01
1.4288e-05,3.3521e-05,0.0015014,2.2652e-05,0.00061605,0.00086268,-5.2393e-06,-6.0007e-05,2.4349e-05,-0.0019439,0.00019086,0.0025444,0.0010752,0.0012172,0.0010077,1.863e-05,0.00016851,-0.00021724,6.9533e-05,0,0,0,0,0,0,0.008
1.4343e-05,3.3501e-05,0.0012658,1.8829e-05,0.00055921,0.0006878,-9.8158e-06,-2.9302e-05,2.0255e-05,-0.0017041,0.00014466,0.0032789,0.00088339,0.0008811,0.00090795,0.00017137,0.00015545,-0.00025597,9.5687e-05,0,0,0,0,0,0,0.0064
1.389e-05,3.2542e-05,0.0010692,1.5664e-05,0.0005041,0.00054944,-4.05e-06,-8.4694e-06,1.692e-05,-0.0014953,0.00010793,0.0037619,0.00073403,0.00061969,0.00081906,0.00028011,0.00015006,-0.00026717,0.00011753,0,0,0,0,0,0,0.00512
1.3073e-05,3.0833e-05,0.00090474,1.3015e-05,0.00045208,0.00043964,3.7263e-07,5.2441e-06,1.4134e-05,-0.0013132,7.8807e-05,0.0040528,0.00061764,0.0004174,0.0007397,0.00035481,0.00015056,-0.00026023,0.00013578,0,0,0,0,0,0,0.004096
1.2007e-05,2.8648e-05,0.00076692,1.0802e-05,0.00040387,0.00035225,2.972e-06,1.3866e-05,1.1757e-05,-0.0011541,5.5793e-05,0.004198,0.0005268,0.00026186,0.00066876,0.00040332,0.00015451,-0.00024191,0.00015096,0,0,0,0,0,0,0.0032768
1.0786e-05,2.6199e-05,0.00065121,8.957e-06,0.00035981,0.00028245,4.2308e-06,1.8888e-05,9.6894e-06,-0.0010149,3.7684e-05,0.0042341,0.00045573,0.0001432,0.00060524,0.00043185,0.00016014,-0.00021694,0.00016348,0,0,0,0,0,0,0.0026214
9.4804e-06,2.3641e-05,0.00055386,7.4211e-06,0.00031992,0.00022652,4.5833e-06,2.1399e-05,7.8673e-06,-0.00089293,2.3507e-05,0.0041899,0.00039992,5.3576e-05,0.00054829,0.00044527,0.00016624,-0.00018865,0.00017363,0,0,0,0,0,0,0.0020972
8.1469e-06,2.1081e-05,0.00047179,6.1446e-06,0.00028408,0.00018156,4.3493e-06,2.2193e-05,6.2456e-06,-0.00078586,1.248e-05,0.0040874,0.00035586,-1.3245e-05,0.00049714,0.00044743,0.00017203,-0.00015932,0.0001817,0,0,0,0,0,0,0.0016777
6.8269e-06,1.8592e-05,0.00040244,5.0851e-06,0.00025206,0.00014529,3.7562e-06,2.1845e-05,4.794e-06,-0.00069176,3.9696e-06,0.0039441,0.00032083,-6.2218e-05,0.00045113,0.0004413,0.00017702,-0.00013044,0.00018789,0,0,0,0,0,0,0.0013422
