piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
-0.0010749,-0.00039629,-0.0013732,0.00015892,0.0027189,-0.004251,0.00047418,2.8662e-06,-0.001221,0.0034698,-0.0012708,0.0012893,0.010051,0.0025795,4.6538e-05,0.0070531,0.0006309,3.7886e-06,-0.0015766,0,0,0,0,0.01,0,0
-0.00087017,-0.00080609,-0.00092799,0.00013205,0.0021594,-0.0032195,-0.0003514,-0.00014443,-0.00096849,0.0022375,-0.0011091,0.0023677,0.0082062,0.0022951,0.00014465,0.006609,0.00016336,-0.00018712,-0.0028272,0,0,0,0,0.009,0,0
-0.00069603,-0.0006694,-0.00053025,0.00011277,0.0017482,-0.0023912,-0.00041303,-0.00023011,-0.00075915,0.0011869,-0.00096273,0.003257,0.0065898,0.0020408,0.00023232,0.0061879,-0.00038618,-0.00049128,-0.0038074,0,0,0,0,0.0081,0,0
-0.00054812,-0.00054705,-0.00018159,9.7345e-05,0.0014464,-0.0017254,-0.00038574,-0.00027235,-0.00058548,0.00029891,-0.00083162,0.0039778,0.005182,0.0018133,0.00030873,0.0057889,-0.00089941,-0.00085129,-0.0045634,0,0,0,0,0.00729,0,0
-0.0004227,-0.00043918,0.00011976,8.4734e-05,0.001225,-0.00119,-0.00034413,-0.0002847,-0.00044139,-0.00044484,-0.00071476,0.00455,0.0039625,0.0016101,0.00037375,0.0054115,-0.0013573,-0.0012276,-0.0051333,0,0,0,0,0.006561,0,0
-0.00031658,-0.00034477,0.00037672,7.4311e-05,0.0010624,-0.00075997,-0.00029907,-0.00027709,-0.00032193,-0.0010615,-0.00061106,0.004992,0.002912,0.0014287,0.00042775,0.005055,-0.0017552,-0.0015939,-0.005549,0,0,0,0,0.0059049,0,0
-0.00022705,-0.00026268,0.00059274,6.5614e-05,0.00094236,-0.00041523,-0.00025386,-0.00025674,-0.00022303,-0.0015666,-0.00051937,0.0053208,0.002012,0.001267,0.00047136,0.0047187,-0.002093,-0.0019332,-0.0058369,0,0,0,0,0.0053144,0,0
-0.00015178,-0.00019174,0.00077153,5.8289e-05,0.00085304,-0.0001398,-0.00021024,-0.00022885,-0.00014134,-0.0019743,-0.00043859,0.0055519,0.0012458,0.0011228,0.0005054,0.0044019,-0.0023727,-0.0022357,-0.0060194,0,0,0,0,0.004783,0,0
-8.8783e-05,-0.00013082,0.00091684,5.2063e-05,0.00078562,7.9162e-05,-0.00016931,-0.00019708,-7.4109e-05,-0.0022975,-0.00036768,0.0056993,0.00059785,0.0009945,0.00053078,0.0041038,-0.002598,-0.0024962,-0.0061151,0,0,0,0,0.0043047,0,0
-3.6332e-05,-7.8853e-05,0.0010324,4.6724e-05,0.00073364,0.000252,-0.00013169,-0.00016402,-1.9032e-05,-0.0025475,-0.00030562,0.0057754,5.3964e-05,0.00088029,0.00054844,0.0038236,-0.0027732,-0.0027131,-0.0061397,0,0,0,0,0.0038742,0,0
7.0515e-06,-3.4848e-05,0.0011216,4.2106e-05,0.00069242,0.00038707,-9.7679e-05,-0.00013139,2.5809e-05,-0.0027346,-0.0002515,0.0057916,-0.00039862,0.00077874,0.0005593,0.0035605,-0.0029031,-0.0028867,-0.0061064,0,0,0,0,0.0034868,0,0
4.2647e-05,2.1186e-06,0.0011879,3.8079e-05,0.00065858,0.00049119,-6.7376e-05,-0.00010033,6.202e-05,-0.0028677,-0.00020446,0.0057576,-0.00077141,0.00068848,0.00056425,0.0033138,-0.0029928,-0.0030193,-0.0060263,0,0,0,0,0.0031381,0,0
7.1563e-05,3.289e-05,0.0012341,3.4542e-05,0.00062969,0.00056991,-4.0717e-05,-7.1544e-05,9.0953e-05,-0.002955,-0.00016372,0.0056821,-0.0010747,0.00060831,0.00056412,0.0030826,-0.003047,-0.0031139,-0.0059089,0,0,0,0,0.0028243,0,0
9.4757e-05,5.8231e-05,0.0012633,3.1415e-05,0.00060407,0.00062777,-1.7541e-05,-4.5424e-05,0.00011375,-0.0030034,-0.00012855,0.0055728,-0.0013178,0.00053714,0.00055968,0.0028661,-0.0030703,-0.003174,-0.005762,0,0,0,0,0.0025419,0,0
0.00011306,7.8834e-05,0.0012777,2.8632e-05,0.00058053,0.00066853,2.3728e-06,-2.2137e-05,0.00013138,-0.0030192,-9.8319e-05,0.0054363,-0.0015088,0.00047399,0.00055163,0.0026636,-0.0030671,-0.0032032,-0.0055923,0,0,0,0,0.0022877,0,0
0.00012719,9.5318e-05,0.0012797,2.6144e-05,0.00055828,0.00069528,1.9281e-05,-1.6991e-06,0.00014466,-0.0030078,-7.2439e-05,0.0052784,-0.0016551,0.000418,0.00054059,0.0024743,-0.0030415,-0.0032055,-0.0054056,0,0,0,0,0.0020589,0,0
0.00013778,0.00010824,0.0012713,2.3908e-05,0.00053682,0.00071057,3.3454e-05,1.5975e-05,0.00015428,-0.002974,-5.0387e-05,0.005104,-0.0017629,0.00036836,0.00052713,0.0022975,-0.002997,-0.0031843,-0.0052064,0,0,0,0,0.001853,0,0
0.00014536,0.00011809,0.0012542,2.1891e-05,0.00051581,0.00071654,4.5167e-05,3.1036e-05,0.00016085,-0.0029218,-3.1695e-05,0.0049174,-0.001838,0.0003244,0.00051175,0.0021324,-0.0029369,-0.0031433,-0.0049987,0,0,0,0,0.0016677,0,0
0.0001504,0.00012531,0.0012301,2.0065e-05,0.00049509,0.00071497,5.4684e-05,4.3674e-05,0.00016487,-0.0028548,-1.5945e-05,0.0047222,-0.0018854,0.00028547,0.00049488,0.0019785,-0.0028641,-0.0030856,-0.0047858,0,0,0,0,0.0015009,0,0
0.00015332,0.00013029,0.0012003,1.8407e-05,0.00047455,0.00070732,6.2261e-05,5.4099e-05,0.00016676,-0.0027762,-2.7629e-06,0.0045216,-0.0019094,0.00025103,0.00047689,0.001835,-0.0027813,-0.0030141,-0.0045705,0,0,0,0,0.0013509,0,0
0.00015445,0.00013336,0.0011659,1.6897e-05,0.00045419,0.00069483,6.8134e-05,6.253e-05,0.00016691,-0.0026885,8.1812e-06,0.0043182,-0.0019138,0.00022056,0.00045812,0.0017012,-0.0026906,-0.0029314,-0.0043549,0,0,0,0,0.0012158,0,0
0.00015412,0.00013482,0.0011281,1.5521e-05,0.00043401,0.00067854,7.2522e-05,6.9182e-05,0.00016563,-0.002594,1.7181e-05,0.0041142,-0.001902,0.00019363,0.00043885,0.0015767,-0.0025941,-0.00284,-0.0041411,0,0,0,0,0.0010942,0,0
0.00015257,0.00013495,0.0010876,1.4262e-05,0.00041406,0.00065931,7.5626e-05,7.4262e-05,0.00016318,-0.0024947,2.4496e-05,0.0039113,-0.0018768,0.00016985,0.00041931,0.0014608,-0.0024935,-0.0027418,-0.0039304,0,0,0,0,0.00098477,0,0
0.00015003,0.00013395,0.0010454,1.3111e-05,0.00039439,0.00063785,7.7626e-05,7.7965e-05,0.0001598,-0.0023922,3.0356e-05,0.003711,-0.0018407,0.00014884,0.00039971,0.0013531,-0.0023902,-0.0026388,-0.0037241,0,0,0,0,0.00088629,0,0
0.0001467,0.00013205,0.0010019,1.2056e-05,0.00037507,0.00061478,7.8686e-05,8.0474e-05,0.00015568,-0.002288,3.4963e-05,0.0035147,-0.001796,0.00013031,0.00038022,0.0012528,-0.0022855,-0.0025324,-0.003523,0,0,0,0,0.00079766,0,0
0.00014274,0.0001294,0.00095782,1.1089e-05,0.00035615,0.00059058,7.8949e-05,8.1955e-05,0.00015098,-0.0021831,3.8495e-05,0.0033231,-0.0017443,0.00011397,0.00036097,0.0011597,-0.0021805,-0.0024241,-0.0033281,0,0,0,0,0.0007179,0,0
0.0001383,0.00012615,0.00091357,1.0201e-05,0.00033768,0.00056569,7.8545e-05,8.2558e-05,0.00014586,-0.0020785,4.1108e-05,0.0031372,-0.0016875,9.9574e-05,0.00034209,0.0010732,-0.002076,-0.0023149,-0.0031398,0,0,0,0,0.00064611,0,0
0.0001335,0.00012245,0.00086954,9.3857e-06,0.00031972,0.00054043,7.7588e-05,8.2418e-05,0.00014042,-0.001975,4.2938e-05,0.0029575,-0.0016268,8.6894e-05,0.00032366,0.00099287,-0.0019728,-0.002206,-0.0029584,0,0,0,0,0.0005815,0,0
0.00012844,0.00011838,0.00082604,8.6363e-06,0.00030231,0.00051509,7.6176e-05,8.1658e-05,0.00013478,-0.0018734,4.4106e-05,0.0027844,-0.0015633,7.5736e-05,0.00030576,0.00091832,-0.0018714,-0.0020981,-0.0027844,0,0,0,0,0.00052335,0,0
0.0001232,0.00011406,0.00078335,7.9473e-06,0.00028549,0.00048991,7.4398e-05,8.0383e-05,0.00012901,-0.001774,4.4717e-05,0.0026182,-0.0014981,6.5926e-05,0.00028843,0.00084915,-0.0017724,-0.0019918,-0.0026178,0,0,0,0,0.00047101,0,0
0.00011787,0.00010955,0.00074165,7.3136e-06,0.00026927,0.00046507,7.2329e-05,7.8689e-05,0.00012318,-0.0016774,4.4861e-05,0.0024591,-0.0014321,5.7306e-05,0.00027174,0.00078501,-0.0016762,-0.0018878,-0.0024588,0,0,0,0,0.00042391,0,0
0.0001125,0.00010494,0.00070113,6.7307e-06,0.00025368,0.00044072,7.0035e-05,7.6658e-05,0.00011735,-0.0015838,4.4617e-05,0.0023072,-0.0013658,4.9738e-05,0.0002557,0.00072554,-0.001583,-0.0017865,-0.0023073,0,0,0,0,0.00038152,0,0
0.00010714,0.00010026,0.00066191,6.1944e-06,0.00023874,0.00041698,6.7571e-05,7.4362e-05,0.00011158,-0.0014935,4.4055e-05,0.0021625,-0.0012999,4.3101e-05,0.00024033,0.00067043,-0.0014931,-0.0016882,-0.0021632,0,0,0,0,0.00034337,0,0
0.00010183,9.5582e-05,0.00062409,5.7008e-06,0.00022444,0.00039395,6.4987e-05,7.1864e-05,0.00010589,-0.0014066,4.3234e-05,0.0020249,-0.0012348,3.7284e-05,0.00022564,0.00061936,-0.0014066,-0.0015932,-0.0020264,0,0,0,0,0.00030903,0,0
9.6614e-05,9.0933e-05,0.00058772,5.2466e-06,0.0002108,0.00037168,6.2323e-05,6.9217e-05,0.00010033,-0.0013233,4.2205e-05,0.0018945,-0.001171,3.2192e-05,0.00021164,0.00057207,-0.0013237,-0.0015017,-0.0018969,0,0,0,0,0.00027813,0,0
9.1512e-05,8.6348e-05,0.00055286,4.8285e-06,0.0001978,0.00035023,5.9615e-05,6.6468e-05,9.4907e-05,-0.0012437,4.1013e-05,0.001771,-0.0011087,2.7739e-05,0.00019833,0.00052828,-0.0012444,-0.0014138,-0.0017744,0,0,0,0,0.00025032,0,0
8.6549e-05,8.1853e-05,0.00051953,4.4436e-06,0.00018544,0.00032964,5.6892e-05,6.3656e-05,8.9652e-05,-0.0011676,3.9695e-05,0.0016542,-0.0010481,2.3848e-05,0.00018569,0.00048775,-0.0011687,-0.0013297,-0.0016586,0,0,0,0,0.00022528,0,0
8.1739e-05,7.747e-05,0.00048773,4.0893e-06,0.00017371,0.00030993,5.4179e-05,6.0815e-05,8.4576e-05,-0.0010952,3.8284e-05,0.001544,-0.00098955,2.0453e-05,0.00017371,0.00045024,-0.0010966,-0.0012493,-0.0015494,0,0,0,0,0.00020276,0,0
7.7097e-05,7.3215e-05,0.00045747,3.7631e-06,0.0001626,0.00029111,5.1495e-05,5.7971e-05,7.969e-05,-0.0010265,3.6808e-05,0.0014401,-0.00093307,1.7495e-05,0.00016237,0.00041555,-0.0010281,-0.0011727,-0.0014465,0,0,0,0,0.00018248,0,0
7.2631e-05,6.9101e-05,0.00042871,3.4629e-06,0.00015208,0.00027317,4.8857e-05,5.5148e-05,7.5001e-05,-0.00096122,3.5288e-05,0.0013423,-0.00087879,1.4919e-05,0.00015167,0.00038345,-0.0009631,-0.0010998,-0.0013497,0,0,0,0,0.00016423,0,0
