piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00030189,0.00086437,0.0036761,4.5146e-05,0.0015131,0.0021178,0.0012704,0.00059276,0.00026239,-0.0051734,0.0007463,0.0023994,0.0015005,0.0026436,-0.0013149,-0.0020615,0.0016902,0.00078352,0.0003388,0,0,0,0,0,0.01,0
0.00024589,0.00016012,0.003064,3.131e-05,0.0011535,0.0018792,0.00030707,0.00040424,0.00022444,-0.0043866,0.00059076,0.0042512,0.0016952,0.0020609,-0.00097071,-0.0014929,0.0020988,0.0013179,0.0006286,0,0,0,0,0,0.0085,0
0.0001975,0.00011544,0.0025551,2.3106e-05,0.00088585,0.0016462,0.00013906,0.00026564,0.00018828,-0.0037167,0.00046343,0.0056505,0.001826,0.0015802,-0.00068753,-0.0010316,0.0022838,0.001669,0.00087171,0,0,0,0,0,0.007225,0
0.00015589,8.0642e-05,0.0021297,1.7135e-05,0.00068655,0.001426,7.1118e-05,0.0001645,0.00015474,-0.0031449,0.00035878,0.0066776,0.0019075,0.0011848,-0.00045617,-0.00066008,0.0023784,0.0018864,0.0010715,0,0,0,0,0,0.0061412,0
0.00012031,5.2846e-05,0.0017731,1.2646e-05,0.000538,0.0012224,2.6821e-05,9.1289e-05,0.00012425,-0.0026562,0.00027287,0.0074003,0.0019507,0.000861,-0.00026865,-0.000363,0.0024141,0.0020071,0.0012319,0,0,0,0,0,0.0052201,0
9.0038e-05,3.0597e-05,0.0014737,9.2581e-06,0.00042706,0.0010374,-4.9748e-06,3.8838e-05,9.6982e-05,-0.002238,0.00020251,0.0078754,0.0019641,0.00059714,-0.00011806,-0.00012763,0.0024075,0.0020584,0.0013572,0,0,0,0,0,0.0044371,0
6.443e-05,1.2824e-05,0.001222,6.7033e-06,0.00034391,0.00087136,-2.7871e-05,1.759e-06,7.2927e-05,-0.00188,0.00014507,0.0081508,0.0019546,0.00038338,1.5667e-06,5.676e-05,0.0023704,0.0020608,0.0014513,0,0,0,0,0,0.0037715,0
4.2892e-05,-1.3211e-06,0.0010101,4.7793e-06,0.00028128,0.00072404,-4.4101e-05,-2.3982e-05,5.1958e-05,-0.0015734,9.835e-05,0.0082664,0.0019274,0.00021139,9.5321e-05,0.00019917,0.0023117,0.0020291,0.0015184,0,0,0,0,0,0.0032058,0
2.4891e-05,-1.2516e-05,0.00083161,3.3331e-06,0.00023377,0.0005945,-5.531e-05,-4.14e-05,3.3876e-05,-0.0013107,6.0532e-05,0.0082555,0.0018869,7.418e-05,0.00016757,0.00030714,0.0022382,0.0019743,0.0015622,0,0,0,0,0,0.0027249,0
9.9505e-06,-2.1305e-05,0.00068115,2.2486e-06,0.00019739,0.00048152,-6.2745e-05,-5.2745e-05,1.8448e-05,-0.0010857,3.0099e-05,0.0081456,0.0018365,-3.4172e-05,0.00022202,0.00038696,0.0021547,0.0019046,0.001586,0,0,0,0,0,0.0023162,0
-2.3505e-06,-2.8131e-05,0.00055429,1.4378e-06,0.00016917,0.00038368,-6.735e-05,-5.969e-05,5.4212e-06,-0.00089297,5.7886e-06,0.0079597,0.0017788,-0.00011863,0.00026184,0.00044388,0.0020651,0.0018257,0.001593,0,0,0,0,0,0.0019687,0
-1.2384e-05,-3.3352e-05,0.00044734,8.3404e-07,0.00014697,0.00029954,-6.9845e-05,-6.3476e-05,-5.4591e-06,-0.00072804,-1.3452e-05,0.0077167,0.001716,-0.00018337,0.00028967,0.00048228,0.0019721,0.0017418,0.0015859,0,0,0,0,0,0.0016734,0
-2.0476e-05,-3.7258e-05,0.00035721,3.868e-07,0.00012919,0.00022763,-7.0777e-05,-6.5019e-05,-1.4439e-05,-0.00058703,-2.8501e-05,0.0074319,0.0016498,-0.0002319,0.00030777,0.0005058,0.001878,0.0016559,0.0015673,0,0,0,0,0,0.0014224,0
-2.6912e-05,-4.0089e-05,0.00028132,5.7786e-08,0.00011468,0.00016658,-7.056e-05,-6.4994e-05,-2.1751e-05,-0.00046661,-4.0091e-05,0.007118,0.0015816,-0.00026717,0.00031803,0.00051747,0.0017841,0.00157,0.0015392,0,0,0,0,0,0.0012091,0
-3.1941e-05,-4.2039e-05,0.00021749,-1.8198e-07,0.0001026,0.00011507,-6.9509e-05,-6.3894e-05,-2.761e-05,-0.00036394,-4.8834e-05,0.0067851,0.0015125,-0.00029162,0.00032202,0.00051978,0.0016916,0.0014855,0.0015035,0,0,0,0,0,0.0010277,0
-3.5777e-05,-4.3269e-05,0.0001639,-3.5444e-07,9.2346e-05,7.1912e-05,-6.7861e-05,-6.208e-05,-3.2212e-05,-0.00027658,-5.524e-05,0.0064417,0.0014432,-0.00030732,0.00032105,0.00051479,0.0016013,0.0014034,0.001462,0,0,0,0,0,0.00087354,0
-3.8609e-05,-4.3911e-05,0.00011901,-4.762e-07,8.3468e-05,3.6017e-05,-6.5797e-05,-5.981e-05,-3.5735e-05,-0.00020243,-5.9736e-05,0.0060941,0.0013745,-0.00031598,0.00031623,0.0005042,0.0015138,0.0013244,0.0014158,0,0,0,0,0,0.00074251,0
-4.0596e-05,-4.4077e-05,8.1504e-05,-5.5983e-07,7.5658e-05,6.4061e-06,-6.3453e-05,-5.7271e-05,-3.8335e-05,-0.00013969,-6.2676e-05,0.0057476,0.0013068,-0.00031902,0.00030846,0.0004894,0.0014293,0.0012487,0.0013663,0,0,0,0,0,0.00063113,0
-4.1878e-05,-4.3857e-05,5.0284e-05,-6.1484e-07,6.8689e-05,-1.7791e-05,-6.0931e-05,-5.4595e-05,-4.0154e-05,-8.6788e-05,-6.4356e-05,0.0054062,0.0012407,-0.00031762,0.00029848,0.00047153,0.0013483,0.0011765,0.0013145,0,0,0,0,0,0.00053646,0
-4.2575e-05,-4.3326e-05,2.4407e-05,-6.4842e-07,6.2401e-05,-3.7345e-05,-5.8309e-05,-5.1873e-05,-4.1314e-05,-4.2377e-05,-6.5022e-05,0.005073,0.0011763,-0.00031277,0.0002869,0.0004515,0.0012707,0.001108,0.0012611,0,0,0,0,0,0.00045599,0
-4.2788e-05,-4.2548e-05,3.0747e-06,-6.6599e-07,5.6676e-05,-5.2935e-05,-5.5644e-05,-4.9169e-05,-4.1923e-05,-5.2892e-06,-6.4881e-05,0.0047503,0.0011139,-0.00030528,0.00027423,0.00043005,0.0011967,0.001043,0.001207,0,0,0,0,0,0.0003876,0
-4.2606e-05,-4.1576e-05,-1.4393e-05,-6.7169e-07,5.1432e-05,-6.5154e-05,-5.2979e-05,-4.6524e-05,-4.2074e-05,2.5485e-05,-6.4101e-05,0.0044398,0.0010537,-0.0002958,0.00026086,0.00040779,0.0011262,0.00098146,0.0011527,0,0,0,0,0,0.00032946,0
-4.2102e-05,-4.0453e-05,-2.8578e-05,-6.6861e-07,4.6609e-05,-7.4518e-05,-5.0344e-05,-4.3967e-05,-4.1848e-05,5.0821e-05,-6.2824e-05,0.0041427,0.00099569,-0.00028487,0.00024711,0.00038518,0.0010592,0.00092334,0.0010986,0,0,0,0,0,0.00028004,0
-4.134e-05,-3.9215e-05,-3.9975e-05,-6.591e-07,4.2161e-05,-8.1477e-05,-4.7763e-05,-4.1512e-05,-4.1316e-05,7.1479e-05,-6.1166e-05,0.0038596,0.00094006,-0.00027295,0.00023326,0.0003626,0.00099564,0.00086847,0.0010453,0,0,0,0,0,0.00023803,0
-4.0375e-05,-3.7894e-05,-4.9008e-05,-6.4495e-07,3.8056e-05,-8.6419e-05,-4.5252e-05,-3.917e-05,-4.0537e-05,8.8118e-05,-5.9223e-05,0.0035911,0.0008868,-0.00026039,0.00021948,0.00034034,0.00093543,0.0008167,0.00099294,0,0,0,0,0,0.00020233,0
-3.9251e-05,-3.6515e-05,-5.604e-05,-6.275e-07,3.4264e-05,-8.9677e-05,-4.2822e-05,-3.6943e-05,-3.9563e-05,0.00010131,-5.7075e-05,0.0033372,0.00083591,-0.00024747,0.00020595,0.00031861,0.00087845,0.00076786,0.00094185,0,0,0,0,0,0.00017198,0
-3.8008e-05,-3.5099e-05,-6.138e-05,-6.0777e-07,3.0767e-05,-9.1539e-05,-4.048e-05,-3.4831e-05,-3.8438e-05,0.00011155,-5.4785e-05,0.0030979,0.00078738,-0.00023443,0.00019278,0.00029758,0.00082459,0.00072182,0.00089222,0,0,0,0,0,0.00014618,0
-3.6677e-05,-3.3663e-05,-6.5295e-05,-5.8653e-07,2.7543e-05,-9.2252e-05,-3.8232e-05,-3.2832e-05,-3.7198e-05,0.00011927,-5.2407e-05,0.0028728,0.00074118,-0.00022145,0.00018006,0.00027736,0.00077373,0.00067843,0.00084419,0,0,0,0,0,0.00012425,0
-3.5287e-05,-3.2222e-05,-6.8012e-05,-5.6435e-07,2.4577e-05,-9.2025e-05,-3.6079e-05,-3.0943e-05,-3.5875e-05,0.00012484,-4.9983e-05,0.0026617,0.00069726,-0.00020867,0.00016786,0.00025804,0.00072572,0.00063752,0.00079787,0,0,0,0,0,0.00010562,0
