piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
1.2833e-05,-0.00027791,0.0017824,2.715e-05,0.00067835,0.0010769,0.00013782,-0.00012592,3.1604e-05,-0.0024261,0.00018444,0.0013374,0.0013192,0.0015277,0.0012262,-2.0529e-05,0.00018337,-0.00016645,4.0808e-05,0.01,0,0,0,0,0,0
1.3635e-05,2.2996e-05,0.0015861,2.3703e-05,0.00066145,0.00090094,-1.0002e-05,-7.8457e-05,2.6107e-05,-0.0022168,0.00014996,0.0023602,0.0011313,0.0012079,0.0011445,0.00013629,0.00017006,-0.00027015,7.4518e-05,0.0085,0,0,0,0,0,0
1.3943e-05,2.6191e-05,0.00141,2.1023e-05,0.00063302,0.00075598,-1.4104e-05,-4.4169e-05,2.1815e-05,-0.0020211,0.00012079,0.0031258,0.00097747,0.0009434,0.0010655,0.00025642,0.00015129,-0.00032854,0.00010269,0.007225,0,0,0,0,0,0
1.3836e-05,2.7958e-05,0.0012522,1.86e-05,0.00059755,0.00063604,-6.8509e-06,-1.9726e-05,1.8382e-05,-0.001839,9.6097e-05,0.0036818,0.00085138,0.00072535,0.00098995,0.00034645,0.00014218,-0.00035461,0.00012642,0.0061412,0,0,0,0,0,0
1.3393e-05,2.8501e-05,0.001111,1.6392e-05,0.00055826,0.00053632,-1.0345e-06,-2.6314e-06,1.5565e-05,-0.0016703,7.5249e-05,0.004068,0.00074776,0.00054618,0.00091807,0.00041193,0.0001408,-0.00035809,0.00014652,0.0052201,0,0,0,0,0,0
1.2691e-05,2.8139e-05,0.00098485,1.4396e-05,0.00051741,0.00045305,2.7314e-06,9.0045e-06,1.3191e-05,-0.0015144,5.7714e-05,0.0043173,0.00066233,0.00039954,0.0008501,0.00045748,0.00014444,-0.00034619,0.00016355,0.0044371,0,0,0,0,0,0
1.1793e-05,2.7133e-05,0.00087237,1.2605e-05,0.00047657,0.0003832,4.9188e-06,1.6611e-05,1.1142e-05,-0.0013709,4.3028e-05,0.004457,0.00059163,0.0002801,0.00078611,0.00048696,0.00015098,-0.00032423,0.00017794,0.0037715,0,0,0,0,0,0
1.076e-05,2.5686e-05,0.00077219,1.101e-05,0.0004368,0.00032437,5.9768e-06,2.1267e-05,9.3375e-06,-0.0012392,3.0781e-05,0.0045098,0.00053284,0.00018335,0.00072609,0.00050357,0.00015893,-0.00029612,0.00018999,0.0032058,0,0,0,0,0,0
9.6378e-06,2.3953e-05,0.00068303,9.5948e-06,0.00039879,0.00027465,6.2491e-06,2.3784e-05,7.7229e-06,-0.0011185,2.0621e-05,0.0044942,0.00048369,0.00010549,0.00066999,0.00050998,0.00016725,-0.00026468,0.00019997,0.0027249,0,0,0,0,0,0
8.4692e-06,2.2052e-05,0.00060376,8.3461e-06,0.00036295,0.00023247,5.991e-06,2.4775e-05,6.2618e-06,-0.0010082,1.2241e-05,0.0044258,0.00044234,4.3346e-05,0.00061767,0.00050837,0.00017522,-0.00023193,0.00020805,0.0023162,0,0,0,0,0,0
7.287e-06,2.0072e-05,0.00053333,7.2481e-06,0.00032949,0.00019659,5.3899e-06,2.4694e-05,4.9304e-06,-0.00090759,5.373e-06,0.004317,0.00040731,-5.7754e-06,0.000569,0.00050056,0.00018239,-0.00019929,0.00021442,0.0019687,0,0,0,0,0,0
6.118e-06,1.8078e-05,0.00047079,6.2853e-06,0.00029851,0.00016599,4.5823e-06,2.3882e-05,3.713e-06,-0.00081593,-2.1036e-07,0.0041782,0.00037738,-4.4124e-05,0.0005238,0.00048802,0.00018849,-0.00016772,0.00021921,0.0016734,0,0,0,0,0,0
4.9831e-06,1.612e-05,0.00041528,5.4434e-06,0.00027,0.00013983,3.6663e-06,2.2591e-05,2.5991e-06,-0.00073258,-4.7068e-06,0.0040178,0.00035159,-7.3589e-05,0.0004819,0.00047198,0.00019337,-0.00013786,0.00022257,0.0014224,0,0,0,0,0,0
3.898e-06,1.4231e-05,0.00036603,4.7087e-06,0.00024389,0.00011743,2.7111e-06,2.1006e-05,1.5817e-06,-0.00065688,-8.286e-06,0.0038426,0.00032914,-9.5756e-05,0.00044311,0.00045342,0.00019697,-0.0001101,0.00022461,0.0012091,0,0,0,0,0,0
2.8742e-06,1.2435e-05,0.00032235,4.0688e-06,0.00022007,9.8215e-05,1.765e-06,1.9261e-05,6.5564e-07,-0.00058823,-1.1093e-05,0.0036581,0.00030941,-0.00011195,0.00040724,0.00043314,0.00019932,-8.4636e-05,0.00022546,0.0010277,0,0,0,0,0,0
1.9198e-06,1.0748e-05,0.00028363,3.5123e-06,0.0001984,8.1721e-05,8.6004e-07,1.7453e-05,-1.832e-07,-0.00052605,-1.3252e-05,0.0034686,0.00029188,-0.00012328,0.00037412,0.00041179,0.00020046,-6.1566e-05,0.00022522,0.00087354,0,0,0,0,0,0
1.0396e-06,9.178e-06,0.00024932,3.029e-06,0.00017874,6.7553e-05,1.6958e-08,1.565e-05,-9.3841e-07,-0.0004698,-1.487e-05,0.0032777,0.00027614,-0.00013067,0.00034355,0.00038988,0.00020049,-4.0879e-05,0.00022401,0.00074251,0,0,0,0,0,0
2.3622e-07,7.7297e-06,0.00021892,2.6097e-06,0.00016093,5.5379e-05,-7.5212e-07,1.3898e-05,-1.6135e-06,-0.00041897,-1.6038e-05,0.003088,0.00026187,-0.00013489,0.00031537,0.00036782,0.00019949,-2.2508e-05,0.00022193,0.00063113,0,0,0,0,0,0
-4.899e-07,6.4037e-06,0.000192,2.2463e-06,0.00014483,4.4921e-05,-1.4411e-06,1.223e-05,-2.212e-06,-0.00037309,-1.6831e-05,0.0029016,0.0002488,-0.00013658,0.00028941,0.00034592,0.00019757,-6.3419e-06,0.00021907,0.00053646,0,0,0,0,0,0
-1.1397e-06,5.1982e-06,0.00016816,1.9316e-06,0.00013029,3.5942e-05,-2.0483e-06,1.0664e-05,-2.7377e-06,-0.00033172,-1.7317e-05,0.0027202,0.00023673,-0.00013627,0.00026551,0.00032444,0.00019484,7.7538e-06,0.00021553,0.00045599,0,0,0,0,0,0
-1.7152e-06,4.1093e-06,0.00014707,1.6593e-06,0.00011717,2.8242e-05,-2.575e-06,9.2109e-06,-3.1945e-06,-0.00029446,-1.755e-05,0.0025449,0.00022548,-0.00013441,0.00024352,0.00030356,0.00019142,1.9929e-05,0.00021141,0.0003876,0,0,0,0,0,0
-2.2196e-06,3.1317e-06,0.00012842,1.4239e-06,0.00010535,2.1647e-05,-3.0244e-06,7.876e-06,-3.5864e-06,-0.00026093,-1.7577e-05,0.0023766,0.00021494,-0.00013135,0.00022329,0.00028341,0.00018739,3.034e-05,0.00020678,0.00032946,0,0,0,0,0,0
-2.6565e-06,2.2594e-06,0.00011192,1.2205e-06,9.4691e-05,1.6011e-05,-3.401e-06,6.6597e-06,-3.9178e-06,-0.0002308,-1.7439e-05,0.0022157,0.00020499,-0.00012738,0.0002047,0.00026409,0.00018287,3.9143e-05,0.00020172,0.00028004,0,0,0,0,0,0
-3.03e-06,1.4858e-06,9.7348e-05,1.0447e-06,8.5097e-05,1.1206e-05,-3.7103e-06,5.5591e-06,-4.1928e-06,-0.00020375,-1.7169e-05,0.0020628,0.00019555,-0.00012276,0.00018762,0.00024567,0.00017793,4.6491e-05,0.00019631,0.00023803,0,0,0,0,0,0
-3.3444e-06,8.0401e-07,8.4477e-05,8.9304e-07,7.6461e-05,7.123e-06,-3.958e-06,4.5696e-06,-4.4158e-06,-0.00017949,-1.6794e-05,0.0019179,0.00018656,-0.00011769,0.00017193,0.00022818,0.00017267,5.2531e-05,0.0001906,0.00020233,0,0,0,0,0,0
-3.6042e-06,2.0705e-07,7.3118e-05,7.6217e-07,6.8689e-05,3.6666e-06,-4.1498e-06,3.6852e-06,-4.5911e-06,-0.00015776,-1.634e-05,0.0017811,0.00017797,-0.00011231,0.00015753,0.00021164,0.00016714,5.7402e-05,0.00018468,0.00017198,0,0,0,0,0,0
-3.814e-06,-3.1196e-07,6.31e-05,6.4931e-07,6.1696e-05,7.5453e-07,-4.2915e-06,2.899e-06,-4.7228e-06,-0.00013832,-1.5825e-05,0.0016522,0.00016974,-0.00010677,0.00014431,0.00019605,0.00016143,6.1234e-05,0.00017858,0.00014618,0,0,0,0,0,0
-3.9782e-06,-7.5972e-07,5.4273e-05,5.5204e-07,5.5406e-05,-1.6848e-06,-4.3887e-06,2.204e-06,-4.8152e-06,-0.00012094,-1.5265e-05,0.0015313,0.00016184,-0.00010116,0.00013218,0.0001814,0.0001556,6.4147e-05,0.00017236,0.00012425,0,0,0,0,0,0
-4.1011e-06,-1.1427e-06,4.6502e-05,4.6825e-07,4.9748e-05,-3.7139e-06,-4.4466e-06,1.5928e-06,-4.872e-06,-0.00010543,-1.4676e-05,0.0014179,0.00015425,-9.5566e-05,0.00012105,0.00016768,0.00014968,6.6253e-05,0.00016607,0.00010562,0,0,0,0,0,0
-4.187e-06,-1.467e-06,3.9669e-05,3.9611e-07,4.4659e-05,-5.387e-06,-4.4701e-06,1.0582e-06,-4.8971e-06,-9.1599e-05,-1.4066e-05,0.0013119,0.00014695,-9.0052e-05,0.00011084,0.00015484,0.00014373,6.7652e-05,0.00015975,8.9774e-05,0,0,0,0,0,0
-4.2397e-06,-1.7384e-06,3.3665e-05,3.3405e-07,4.0083e-05,-6.7518e-06,-4.4638e-06,5.9332e-07,-4.8941e-06,-7.9287e-05,-1.3447e-05,0.0012129,0.00013992,-8.4665e-05,0.00010149,0.00014287,0.00013779,6.8436e-05,0.00015343,7.6308e-05,0,0,0,0,0,0
-4.2631e-06,-1.9623e-06,2.8399e-05,2.807e-07,3.5968e-05,-7.8498e-06,-4.4317e-06,1.9151e-07,-4.8662e-06,-6.8341e-05,-1.2826e-05,0.0011207,0.00013316,-7.9442e-05,9.2911e-05,0.00013172,0.0001319,6.8689e-05,0.00014714,6.4861e-05,0,0,0,0,0,0
-4.2606e-06,-2.1438e-06,2.3785e-05,2.3487e-07,3.2268e-05,-8.7174e-06,-4.3778e-06,-1.5346e-07,-4.8167e-06,-5.8625e-05,-1.2208e-05,0.0010349,0.00012665,-7.4409e-05,8.505e-05,0.00012135,0.00012607,6.8486e-05,0.00014092,5.5132e-05,0,0,0,0,0,0
-4.2355e-06,-2.2875e-06,1.975e-05,1.9554e-07,2.8941e-05,-9.3863e-06,-4.3053e-06,-4.4742e-07,-4.7484e-06,-5.0014e-05,-1.1598e-05,0.00095507,0.00012038,-6.9586e-05,7.7847e-05,0.00011172,0.00012034,6.7895e-05,0.00013479,4.6862e-05,0,0,0,0,0,0
-4.1908e-06,-2.3977e-06,1.6227e-05,1.6182e-07,2.5949e-05,-9.8844e-06,-4.2174e-06,-6.9576e-07,-4.664e-06,-4.2395e-05,-1.1001e-05,0.000881,0.00011436,-6.4984e-05,7.1248e-05,0.00010279,0.00011473,6.6975e-05,0.00012877,3.9833e-05,0,0,0,0,0,0
-4.1292e-06,-2.4784e-06,1.3157e-05,1.3295e-07,2.326e-05,-1.0236e-05,-4.1169e-06,-9.0346e-07,-4.5659e-06,-3.5666e-05,-1.0419e-05,0.0008123,0.00010858,-6.0611e-05,6.5202e-05,9.4525e-05,0.00010925,6.5781e-05,0.00012288,3.3858e-05,0,0,0,0,0,0
-4.0533e-06,-2.5332e-06,1.0487e-05,1.0827e-07,2.0842e-05,-1.0463e-05,-4.0061e-06,-1.0751e-06,-4.4565e-06,-2.9735e-05,-9.8553e-06,0.00074865,0.00010302,-5.6467e-05,5.9664e-05,8.6879e-05,0.00010392,6.436e-05,0.00011712,2.8779e-05,0,0,0,0,0,0
-3.9654e-06,-2.5654e-06,8.1729e-06,8.7197e-08,1.8669e-05,-1.0583e-05,-3.8872e-06,-1.2147e-06,-4.3378e-06,-2.4519e-05,-9.3104e-06,0.00068972,9.7685e-05,-5.2553e-05,5.4593e-05,7.9813e-05,9.8752e-05,6.2754e-05,0.00011152,2.4462e-05,0,0,0,0,0,0
-3.8675e-06,-2.5778e-06,6.1714e-06,6.9241e-08,1.6715e-05,-1.0613e-05,-3.7622e-06,-1.3262e-06,-4.2116e-06,-1.9942e-05,-8.786e-06,0.00063521,9.2573e-05,-4.8866e-05,4.9949e-05,7.3289e-05,9.3747e-05,6.1001e-05,0.00010608,2.0793e-05,0,0,0,0,0,0
-3.7616e-06,-2.5733e-06,4.4462e-06,5.3975e-08,1.496e-05,-1.0568e-05,-3.6327e-06,-1.413e-06,-4.0796e-06,-1.5936e-05,-8.2828e-06,0.00058482,8.7675e-05,-4.54e-05,4.5697e-05,6.7271e-05,8.8913e-05,5.9133e-05,0.00010081,1.7674e-05,0,0,0,0,0,0
