piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
6.9837e-05,0.0021994,-0.0021076,4.4218e-05,-0.00088763,-0.0012642,-0.0018785,0.00070261,-1.5595e-05,0.018532,0.004657,0.013763,-0.0009288,0.010897,-0.010314,-0.016659,-0.0024994,0.00092873,-2.0137e-05,0,0.01,0,0,0,0,0
0.00010984,-0.00043006,-0.0012206,3.6543e-05,-0.00074535,-0.00051183,0.00078417,0.00038686,7.225e-05,0.013418,0.0036159,0.023659,-0.00026652,0.0077718,-0.0072815,-0.011706,-0.001456,0.0014401,7.3153e-05,0,0.008,0,0,0,0,0
0.00013106,-0.00030996,-0.0005519,2.4046e-05,-0.00055922,-1.673e-05,0.00079827,0.00018417,0.00012379,0.0094704,0.0027897,0.030546,0.0002504,0.005345,-0.0049297,-0.0078842,-0.0003939,0.0016835,0.00023299,0,0.0064,0,0,0,0,0
0.0001391,-0.00022039,-5.2751e-05,1.4874e-05,-0.00036125,0.00029362,0.00060448,5.8385e-05,0.00014997,0.0064431,0.0021366,0.035107,0.00065176,0.0034722,-0.0031183,-0.004954,0.00041036,0.0017607,0.00042664,0,0.00512,0,0,0,0,0
0.00013805,-0.00015214,0.00031154,8.7243e-06,-0.00017107,0.00047388,0.000439,-1.5619e-05,0.00015882,0.0041405,0.0016212,0.037881,0.00096258,0.0020374,-0.0017346,-0.0027262,0.00099446,0.0017401,0.00063171,0,0.004096,0,0,0,0,0
0.00013092,-0.00010067,0.00056904,4.741e-06,2.6147e-07,0.00056404,0.00031357,-5.5461e-05,0.00015614,0.0024071,0.0012152,0.039296,0.0012021,0.00094805,-0.00068879,-0.0010502,0.0014117,0.0016667,0.00083332,0,0.0032768,0,0,0,0,0
0.00011994,-6.2533e-05,0.00074269,2.2481e-06,0.00014736,0.00059309,0.00021986,-7.3388e-05,0.00014611,0.0011193,0.000896,0.039688,0.001385,0.00013052,9.1045e-05,0.00019328,0.0017042,0.0015697,0.001022,0,0.0026214,0,0,0,0,0
0.00010672,-3.4942e-05,0.00085119,7.5966e-07,0.00026853,0.0005819,0.00014993,-7.7807e-05,0.0001317,0.00017864,0.00064573,0.039322,0.0015228,-0.00047377,0.00066225,0.0010992,0.0019037,0.0014669,0.001192,0,0.0020972,0,0,0,0,0
9.2424e-05,-1.5602e-05,0.00090967,-6.6086e-08,0.00036437,0.00054537,9.7714e-05,-7.4397e-05,0.00011501,-0.0004928,0.00045013,0.038403,0.0016241,-0.00091135,0.0010705,0.0017427,0.0020337,0.0013686,0.0013405,0,0.0016777,0,0,0,0,0
7.7861e-05,-2.6505e-06,0.00093033,-4.6674e-07,0.00043681,0.000494,5.8679e-05,-6.6913e-05,9.7466e-05,-0.00095683,0.00029789,0.037095,0.0016958,-0.0012192,0.0013522,0.0021831,0.0021117,0.0012801,0.0014664,0,0.0013422,0,0,0,0,0
