piDC,PIC,y_gap,y_gap1,y_gap2,y_gap3,PI1,PI2,PI3,S,I,BSTAR,GDP,EX,IM,C,P1,P2,P3,PX,RP,A1,A2,A3,PF,DSTAR
0.00032031,0.00033235,0.0083276,8.9003e-05,0.0034029,0.0048358,0.0025162,0.00042475,0.0003059,0,-2.7199e-05,0.0013463,0.0037928,0.0027393,0.0020021,0.0013281,0.0033478,0.00056145,0.00039498,0,0,0,0,0,0,0.01
0.00021791,0.00019306,0.006223,5.7931e-05,0.002504,0.0036611,-8.3818e-05,0.00025046,0.00021354,0,-4.6953e-05,0.0023242,0.0032764,0.0020182,0.0016318,0.001112,0.0032363,0.00089251,0.00067071,0,0,0,0,0,0,0.008
0.00014212,0.00011805,0.0046465,4.1905e-05,0.001847,0.0027576,-0.00030062,0.00013297,0.00014342,0,-6.0852e-05,0.0030122,0.00284,0.0014657,0.0013437,0.00095029,0.0028363,0.0010683,0.00085589,0,0,0,0,0,0,0.0064
8.6254e-05,6.6745e-05,0.0034567,3.0759e-05,0.0013644,0.0020615,-0.00027987,5.5323e-05,9.0488e-05,0,-7.0178e-05,0.0034738,0.0024702,0.0010422,0.0011172,0.00082551,0.0024639,0.0011414,0.00097273,0,0,0,0,0,0,0.00512
4.5407e-05,3.0507e-05,0.0025581,2.2582e-05,0.0010094,0.0015262,-0.00024096,5.2964e-06,5.0874e-05,0,-7.5957e-05,0.0037599,0.0021562,0.00071862,0.0009377,0.00072727,0.0021433,0.0011484,0.0010384,0,0,0,0,0,0,0.004096
1.5883e-05,5.1044e-06,0.0018801,1.6537e-05,0.0007481,0.0011155,-0.00020568,-2.576e-05,2.1549e-05,0,-7.9014e-05,0.0039112,0.0018888,0.00047265,0.00079431,0.00064837,0.0018697,0.0011144,0.0010662,0,0,0,0,0,0,0.0032768
-5.1278e-06,-1.2372e-05,0.0013691,1.2062e-05,0.00055572,0.00080137,-0.00017555,-4.3939e-05,1.4835e-07,0,-8.0002e-05,0.0039601,0.0016604,0.00028685,0.00067881,0.00058366,0.0016361,0.0010563,0.0010664,0,0,0,0,0,0,0.0026214
-1.9759e-05,-2.406e-05,0.00098479,8.7519e-06,0.00041395,0.00056208,-0.00015006,-5.3504e-05,-1.5174e-05,0,-7.9443e-05,0.0039324,0.0014646,0.00014766,0.00058495,0.00052948,0.0014364,0.00098555,0.0010468,0,0,0,0,0,0,0.0020972
-2.963e-05,-3.154e-05,0.00069639,6.3039e-06,0.0003094,0.00038069,-0.00012856,-5.7419e-05,-2.5855e-05,0,-7.7747e-05,0.0038485,0.0012961,4.4514e-05,0.00050799,0.00048319,0.0012654,0.00090966,0.0010135,0,0,0,0,0,0,0.0016777
-3.5969e-05,-3.5983e-05,0.00048071,4.4955e-06,0.0002322,0.00024402,-0.00011044,-5.7729e-05,-3.3013e-05,0,-7.5237e-05,0.0037243,0.0011507,-3.0833e-05,0.00044429,0.00044292,0.0011185,0.00083335,0.00097083,0,0,0,0,0,0,0.0013422
-3.9706e-05,-3.8253e-05,0.00032011,3.1616e-06,0.00017512,0.00014183,-9.5162e-05,-5.583e-05,-3.7516e-05,0,-7.2167e-05,0.0035723,0.0010248,-8.4794e-05,0.00039109,0.00040732,0.00099184,0.00075955,0.00092239,0,0,0,0,0,0,0.0010737
-4.1546e-05,-3.899e-05,0.00020121,2.1799e-06,0.00013285,6.6185e-05,-8.228e-05,-5.2663e-05,-4.0035e-05,0,-6.8732e-05,0.0034023,0.00091515,-0.00012237,0.00034624,0.00037543,0.00088237,0.00068994,0.0008707,0,0,0,0,0,0,0.00085899
-4.2017e-05,-3.8661e-05,0.00011384,1.4596e-06,0.00010147,1.0906e-05,-7.1402e-05,-4.8851e-05,-4.1088e-05,0,-6.5084e-05,0.0032216,0.00081944,-0.00014744,0.00030811,0.00034656,0.00078736,0.00062537,0.00081764,0,0,0,0,0,0,0.00068719
-4.152e-05,-3.7611e-05,5.0268e-05,9.3324e-07,7.8128e-05,-2.8794e-05,-6.2197e-05,-4.48e-05,-4.1074e-05,0,-6.1336e-05,0.0030362,0.00073556,-0.00016304,0.0002754,0.0003202,0.00070461,0.00056615,0.00076461,0,0,0,0,0,0,0.00054976
